6962-T,東証1部,大真空,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,234,238,232,235,39000,9163000
2015-10-01,234,236,232,235,64000,14989000
2015-09-30,230,234,230,231,50000,11588000
2015-09-29,233,233,230,231,57000,13221000
2015-09-28,245,245,231,236,79000,18776000
2015-09-25,240,244,235,241,71000,16996000
2015-09-24,236,240,233,237,94000,22195000
2015-09-18,241,241,236,238,58000,13838000
2015-09-17,240,243,230,242,113000,27083000
2015-09-16,230,243,230,238,129000,30592000
2015-09-15,227,231,227,228,30000,6888000
2015-09-14,231,231,228,228,17000,3904000
2015-09-11,227,233,227,231,84000,19194000
2015-09-10,230,230,227,228,43000,9839000
2015-09-09,230,232,230,232,58000,13384000
2015-09-08,229,234,225,225,52000,11886000
2015-09-07,222,233,222,227,91000,20602000
2015-09-04,239,239,230,231,112000,26265000
2015-09-03,242,244,239,239,66000,15881000
2015-09-02,237,242,235,237,56000,13389000
2015-09-01,251,253,241,241,82000,20209000
2015-08-31,255,257,249,256,78000,19864000
2015-08-28,245,262,245,255,112000,28269000
2015-08-27,236,243,235,238,158000,37635000
2015-08-26,227,238,227,235,137000,31756000
2015-08-25,223,253,220,226,233000,53587000
2015-08-24,272,272,241,245,322000,82592000
2015-08-21,263,265,261,261,92000,24130000
2015-08-20,267,272,265,266,67000,17877000
2015-08-19,273,274,268,269,86000,23291000
2015-08-18,281,281,276,277,40000,11111000
2015-08-17,279,288,274,281,41000,11421000
2015-08-14,280,281,278,279,43000,12031000
2015-08-13,284,286,282,283,70000,19852000
2015-08-12,292,292,286,287,123000,35552000
2015-08-11,275,290,273,288,408000,115696000
2015-08-10,271,277,271,275,134000,36796000
2015-08-07,265,270,265,270,104000,27898000
2015-08-06,263,264,262,264,94000,24711000
2015-08-05,266,267,263,264,61000,16113000
2015-08-04,266,269,266,266,167000,44463000
2015-08-03,270,275,269,272,80000,21789000
2015-07-31,269,270,266,270,68000,18238000
2015-07-30,268,269,267,267,32000,8582000
2015-07-29,268,269,266,266,79000,21075000
2015-07-28,267,268,263,266,111000,29470000
2015-07-27,269,269,266,267,44000,11761000
2015-07-24,269,271,269,269,32000,8619000
2015-07-23,271,271,268,268,108000,29165000
2015-07-22,272,272,268,269,84000,22675000
2015-07-21,276,276,274,275,59000,16210000
2015-07-17,274,277,274,276,40000,10993000
2015-07-16,275,277,274,276,63000,17338000
2015-07-15,277,278,274,275,76000,20999000
2015-07-14,272,277,272,274,120000,32857000
2015-07-13,270,273,269,269,88000,23827000
2015-07-10,272,274,266,268,149000,40126000
2015-07-09,271,275,260,273,308000,82687000
2015-07-08,290,291,278,278,294000,83413000
2015-07-07,291,292,288,289,199000,57795000
2015-07-06,291,293,288,288,246000,71389000
2015-07-03,300,300,293,294,243000,71964000
2015-07-02,301,302,299,300,62000,18624000
2015-07-01,300,303,296,301,99000,29689000
2015-06-30,298,300,297,299,143000,42616000
2015-06-29,305,305,297,301,278000,83840000
2015-06-26,311,311,307,309,181000,55907000
2015-06-25,317,318,311,311,130000,40793000
2015-06-24,317,322,314,317,185000,58729000
2015-06-23,305,313,305,313,189000,58385000
2015-06-22,303,306,302,303,99000,30023000
2015-06-19,305,305,302,303,190000,57643000
2015-06-18,312,316,302,302,392000,120468000
2015-06-17,313,313,304,305,316000,97366000
2015-06-16,310,320,310,313,75000,23498000
2015-06-15,314,314,312,313,55000,17218000
2015-06-12,318,318,314,314,91000,28850000
2015-06-11,314,316,313,314,55000,17266000
2015-06-10,319,322,313,313,168000,53136000
2015-06-09,322,326,318,321,146000,47012000
2015-06-08,314,325,314,320,168000,53725000
2015-06-05,312,314,311,312,53000,16566000
2015-06-04,309,317,309,315,102000,31939000
2015-06-03,311,311,308,309,100000,30937000
2015-06-02,316,316,312,312,36000,11265000
2015-06-01,311,315,310,314,96000,29979000
2015-05-29,310,311,307,310,121000,37430000
2015-05-28,313,314,311,312,113000,35319000
2015-05-27,311,312,310,311,61000,18961000
2015-05-26,314,314,312,313,26000,8134000
2015-05-25,313,314,312,312,59000,18462000
2015-05-22,311,313,311,313,42000,13114000
2015-05-21,314,315,311,311,78000,24404000
2015-05-20,315,315,313,315,50000,15692000
2015-05-19,308,311,307,311,161000,49779000
2015-05-18,308,314,306,310,295000,91138000
2015-05-15,320,321,312,314,133000,42275000
2015-05-14,318,324,318,320,95000,30485000
2015-05-13,320,322,317,321,103000,32885000
2015-05-12,320,322,317,322,91000,29056000
2015-05-11,321,325,321,322,55000,17743000
2015-05-08,322,324,320,322,55000,17714000
2015-05-07,320,327,319,322,162000,52210000
2015-05-01,322,324,318,320,147000,47065000
2015-04-30,326,326,322,324,63000,20460000
2015-04-28,328,329,323,326,146000,47583000
2015-04-27,326,332,321,329,263000,85980000
2015-04-24,338,338,336,338,58000,19584000
2015-04-23,334,336,332,336,78000,26087000
2015-04-22,338,339,333,334,114000,38226000
2015-04-21,337,339,335,338,60000,20240000
2015-04-20,329,335,329,333,71000,23613000
2015-04-17,339,339,335,335,60000,20250000
2015-04-16,335,340,335,340,96000,32458000
2015-04-15,340,341,336,337,102000,34559000
2015-04-14,334,342,332,340,156000,52741000
2015-04-13,336,336,332,333,44000,14704000
2015-04-10,337,337,331,331,76000,25343000
2015-04-09,340,342,336,337,91000,30882000
2015-04-08,333,339,332,338,106000,35696000
2015-04-07,326,332,326,331,70000,23072000
2015-04-06,321,327,321,326,53000,17202000
2015-04-03,321,326,321,325,54000,17457000
2015-04-02,322,325,319,323,113000,36388000
2015-04-01,325,325,321,321,120000,38708000
2015-03-31,329,330,325,325,108000,35266000
2015-03-30,332,333,325,328,190000,62260000
2015-03-27,337,338,330,331,116000,38703000
2015-03-26,339,339,336,337,85000,28671000
2015-03-25,343,345,341,343,81000,27765000
2015-03-24,341,346,341,345,139000,47767000
2015-03-23,335,346,335,343,150000,51184000
2015-03-20,333,335,333,334,75000,25082000
2015-03-19,332,336,332,333,80000,26701000
2015-03-18,335,338,333,334,125000,41834000
2015-03-17,335,337,333,336,150000,50196000
2015-03-16,337,340,336,337,100000,33761000
2015-03-13,340,341,337,339,174000,59073000
2015-03-12,340,346,340,340,87000,29801000
2015-03-11,342,344,334,340,178000,60568000
2015-03-10,341,351,338,344,472000,162517000
2015-03-09,333,337,330,336,191000,63823000
2015-03-06,328,332,327,329,107000,35277000
2015-03-05,328,330,327,327,60000,19727000
2015-03-04,327,329,325,327,102000,33359000
2015-03-03,330,332,326,329,163000,53583000
2015-03-02,329,332,329,330,115000,37956000
2015-02-27,326,329,326,326,189000,61899000
2015-02-26,328,328,324,325,123000,40021000
2015-02-25,332,333,322,328,363000,118671000
2015-02-24,333,333,331,333,89000,29573000
2015-02-23,332,334,331,333,165000,54869000
2015-02-20,333,336,330,332,304000,101113000
2015-02-19,335,337,334,337,145000,48608000
2015-02-18,343,344,334,336,325000,109966000
2015-02-17,341,343,339,341,115000,39217000
2015-02-16,339,343,338,341,185000,63134000
2015-02-13,339,342,336,340,202000,68592000
2015-02-12,339,342,337,337,188000,63763000
2015-02-10,339,341,337,339,181000,61423000
2015-02-09,339,340,337,338,128000,43367000
2015-02-06,338,340,337,339,111000,37599000
2015-02-05,338,340,334,338,107000,36105000
2015-02-04,336,343,336,339,192000,64946000
2015-02-03,340,343,330,331,273000,91869000
2015-02-02,341,342,335,340,324000,109748000
2015-01-30,346,348,343,345,176000,60788000
2015-01-29,357,357,344,345,437000,151959000
2015-01-28,346,362,345,359,322000,114238000
2015-01-27,347,351,343,346,192000,66662000
2015-01-26,342,346,341,346,160000,55053000
2015-01-23,349,349,345,348,172000,59739000
2015-01-22,353,361,348,350,461000,162726000
2015-01-21,347,350,338,346,345000,118477000
2015-01-20,342,351,337,351,250000,86158000
2015-01-19,345,346,339,341,199000,68027000
2015-01-16,352,352,337,342,407000,140113000
2015-01-15,355,365,353,356,590000,211340000
2015-01-14,380,380,356,358,709000,258925000
2015-01-13,386,392,376,381,693000,266031000
2015-01-09,391,394,383,387,537000,208765000
2015-01-08,393,393,377,390,825000,319404000
2015-01-07,384,395,380,390,943000,365663000
2015-01-06,375,383,344,380,1100000,410799000
2015-01-05,366,383,365,379,776000,291548000
2014-12-30,354,371,351,368,829000,300653000
2014-12-29,345,355,341,354,451000,157742000
2014-12-26,325,339,325,339,258000,86518000
2014-12-25,321,328,321,328,265000,86302000
2014-12-24,326,326,323,325,237000,77046000
2014-12-22,326,327,321,326,215000,69946000
2014-12-19,317,328,317,327,403000,129464000
2014-12-18,317,320,312,315,194000,61384000
