6986-T,東証1部,双葉電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1574,1586,1538,1576,79500,124451800
2015-10-01,1550,1583,1527,1574,127400,199047300
2015-09-30,1515,1557,1506,1541,140900,216674500
2015-09-29,1522,1523,1484,1486,253700,379450800
2015-09-28,1538,1553,1520,1543,125000,192579100
2015-09-25,1530,1545,1501,1545,129200,196946600
2015-09-24,1520,1538,1497,1504,199900,302764900
2015-09-18,1559,1567,1538,1548,136200,211228500
2015-09-17,1558,1592,1558,1575,109800,173195500
2015-09-16,1558,1580,1554,1558,73900,115528300
2015-09-15,1539,1591,1536,1543,168000,261828800
2015-09-14,1506,1553,1506,1525,166300,254399100
2015-09-11,1511,1533,1502,1508,327300,496171400
2015-09-10,1580,1595,1537,1578,112900,176981800
2015-09-09,1580,1620,1580,1620,70500,113288000
2015-09-08,1550,1589,1534,1536,106100,164947800
2015-09-07,1542,1574,1514,1546,93400,144308300
2015-09-04,1611,1614,1545,1557,98200,153800500
2015-09-03,1613,1629,1592,1598,76200,122664100
2015-09-02,1559,1657,1559,1601,232200,371856700
2015-09-01,1660,1667,1592,1599,151700,245254100
2015-08-31,1669,1681,1627,1660,132300,218726200
2015-08-28,1645,1688,1632,1669,138900,231245900
2015-08-27,1659,1659,1596,1605,253200,409140500
2015-08-26,1550,1626,1542,1609,257700,407036500
2015-08-25,1578,1638,1533,1562,338100,536746600
2015-08-24,1653,1687,1600,1618,450500,736013200
2015-08-21,1767,1798,1703,1722,433000,747326700
2015-08-20,1850,1870,1846,1847,74700,138655300
2015-08-19,1902,1917,1866,1866,118600,222886500
2015-08-18,1924,1934,1902,1914,121600,232888400
2015-08-17,1936,1943,1914,1927,158300,305093400
2015-08-14,1992,1995,1940,1951,114600,223939400
2015-08-13,1994,2054,1994,2007,100000,201437200
2015-08-12,1995,2043,1988,1994,125300,251523700
2015-08-11,2028,2040,1986,1991,127400,256346100
2015-08-10,2002,2009,1982,2004,96100,191895400
2015-08-07,1939,2056,1925,2005,267500,532708200
2015-08-06,2191,2231,2169,2179,96500,212273300
2015-08-05,2161,2169,2126,2141,66100,141699900
2015-08-04,2175,2187,2143,2175,75900,164485000
2015-08-03,2214,2217,2179,2186,45900,100675600
2015-07-31,2186,2209,2158,2196,91200,200145800
2015-07-30,2154,2201,2147,2165,77300,167725500
2015-07-29,2172,2174,2122,2144,70400,150919500
2015-07-28,2121,2187,2121,2169,111900,241731500
2015-07-27,2179,2199,2158,2159,81800,177400100
2015-07-24,2150,2200,2150,2188,105500,230446900
2015-07-23,2189,2216,2185,2200,139300,306208200
2015-07-22,2184,2188,2158,2171,72900,158665100
2015-07-21,2196,2198,2175,2198,51400,112629300
2015-07-17,2186,2191,2162,2178,40400,87833800
2015-07-16,2200,2200,2156,2196,64500,140788200
2015-07-15,2181,2187,2138,2175,74100,160491700
2015-07-14,2150,2224,2150,2199,163900,360531000
2015-07-13,2100,2113,2065,2100,112400,235121600
2015-07-10,2112,2130,2068,2082,140300,293180400
2015-07-09,2053,2120,2003,2119,192800,399477300
2015-07-08,2215,2220,2130,2132,174500,375497800
2015-07-07,2236,2271,2236,2252,91500,206259700
2015-07-06,2218,2252,2213,2225,100800,224881800
2015-07-03,2277,2291,2248,2284,69200,157287300
2015-07-02,2264,2290,2248,2282,142300,324025300
2015-07-01,2252,2261,2230,2245,59800,134321800
2015-06-30,2244,2246,2212,2218,78200,173889100
2015-06-29,2249,2272,2234,2234,85700,192757400
2015-06-26,2357,2361,2312,2339,75600,176590100
2015-06-25,2362,2372,2333,2350,88900,209486700
2015-06-24,2379,2405,2364,2382,168600,402069400
2015-06-23,2280,2364,2280,2356,142100,331778700
2015-06-22,2335,2350,2287,2299,151100,349095800
2015-06-19,2288,2387,2270,2338,312000,729956300
2015-06-18,2221,2290,2221,2243,191000,430301600
2015-06-17,2234,2243,2198,2217,142900,316372100
2015-06-16,2265,2274,2235,2235,129400,291278500
2015-06-15,2280,2291,2263,2275,77400,176151700
2015-06-12,2286,2295,2280,2292,113600,259780900
2015-06-11,2263,2304,2263,2286,102600,234373000
2015-06-10,2287,2304,2262,2263,101900,232593300
2015-06-09,2346,2350,2297,2297,141200,327375600
2015-06-08,2375,2417,2362,2375,117100,280169000
2015-06-05,2365,2385,2350,2375,150500,356751300
2015-06-04,2367,2394,2344,2371,118300,280920000
2015-06-03,2377,2398,2358,2367,183700,434787700
2015-06-02,2424,2424,2374,2397,164500,394768300
2015-06-01,2425,2426,2403,2412,102600,247525700
2015-05-29,2435,2445,2409,2429,132900,322651000
2015-05-28,2469,2518,2423,2435,221400,543365400
2015-05-27,2392,2460,2391,2445,214100,521755800
2015-05-26,2419,2448,2393,2399,279700,674483300
2015-05-25,2390,2466,2390,2414,321000,777367600
2015-05-22,2315,2396,2250,2394,435500,1019589000
2015-05-21,2296,2320,2250,2255,253600,577488100
2015-05-20,2259,2308,2245,2288,255200,583388000
2015-05-19,2205,2265,2204,2238,206800,462237300
2015-05-18,2165,2197,2138,2194,233700,509057200
2015-05-15,2157,2228,2157,2183,228000,498684600
2015-05-14,2104,2124,2060,2100,160300,335046900
2015-05-13,2077,2156,2072,2124,201800,428050100
2015-05-12,2054,2088,2054,2077,115500,239749700
2015-05-11,2037,2074,2035,2069,133400,275272800
2015-05-08,1991,2019,1962,2004,193400,385261700
2015-05-07,1988,2026,1981,2004,102300,205413200
2015-05-01,2000,2007,1973,1987,120400,239244300
2015-04-30,2007,2025,1981,2003,161600,323444700
2015-04-28,2055,2062,2034,2046,84000,172239200
2015-04-27,2026,2059,2019,2052,63800,130397600
2015-04-24,2040,2043,2014,2034,128000,259779400
2015-04-23,2050,2087,2044,2066,145400,301152500
2015-04-22,2015,2050,1998,2044,150700,306376000
2015-04-21,1995,2005,1961,2004,199900,397170500
2015-04-20,1984,2012,1961,1989,86400,172514100
2015-04-17,2026,2044,2004,2004,114800,231694700
2015-04-16,2060,2064,2031,2054,81700,167343900
2015-04-15,2030,2079,2029,2063,154400,318367700
2015-04-14,2050,2072,2045,2055,112400,230932000
2015-04-13,2055,2074,2036,2041,112000,230077200
2015-04-10,2029,2076,2028,2044,209600,430088600
2015-04-09,2005,2039,2005,2017,191000,386087700
2015-04-08,2000,2020,1993,2005,192300,386322900
2015-04-07,1995,2012,1981,1991,276500,551874400
2015-04-06,1987,2011,1968,1994,321400,642390900
2015-04-03,1987,2012,1980,1987,94000,187398300
2015-04-02,1910,2005,1909,1982,156300,308612700
2015-04-01,1925,1946,1890,1899,203100,386928200
2015-03-31,1954,1972,1922,1935,86200,167529600
2015-03-30,1939,1939,1912,1927,72900,140562200
2015-03-27,1970,2001,1930,1940,95700,187825100
2015-03-26,1983,1996,1964,1971,130000,256783300
2015-03-25,2009,2029,1985,2000,81800,163908800
2015-03-24,2001,2020,1988,2013,120400,241820100
2015-03-23,2040,2055,1996,2006,213200,431293100
2015-03-20,2001,2041,1998,2022,259400,525628000
2015-03-19,2000,2008,1971,1998,144100,287825100
