6989-T,東証1部,北電工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,141,149,138,140,549000,78382000
2015-10-01,140,141,138,141,135000,18882000
2015-09-30,137,140,135,139,381000,52131000
2015-09-29,139,139,134,134,301000,41047000
2015-09-28,142,142,139,141,138000,19440000
2015-09-25,139,141,138,141,299000,41683000
2015-09-24,142,142,140,140,223000,31352000
2015-09-18,143,144,142,142,142000,20267000
2015-09-17,145,146,144,144,238000,34483000
2015-09-16,145,146,143,144,270000,38969000
2015-09-15,146,146,143,143,155000,22379000
2015-09-14,148,148,145,145,159000,23296000
2015-09-11,149,150,146,146,344000,51005000
2015-09-10,146,148,146,147,125000,18376000
2015-09-09,145,149,145,149,187000,27299000
2015-09-08,146,146,142,142,89000,12828000
2015-09-07,145,148,143,145,110000,15982000
2015-09-04,149,149,146,147,158000,23367000
2015-09-03,150,151,149,149,232000,34782000
2015-09-02,147,151,147,148,291000,43167000
2015-09-01,156,156,150,151,231000,35265000
2015-08-31,158,158,154,157,185000,28833000
2015-08-28,156,159,155,158,177000,27854000
2015-08-27,153,156,152,155,232000,35756000
2015-08-26,143,149,143,149,271000,39560000
2015-08-25,142,151,138,139,589000,84376000
2015-08-24,158,158,150,150,467000,72037000
2015-08-21,163,164,161,162,287000,46701000
2015-08-20,168,168,166,167,127000,21223000
2015-08-19,172,172,169,169,103000,17518000
2015-08-18,170,172,170,171,111000,18945000
2015-08-17,170,171,169,170,89000,15114000
2015-08-14,171,171,169,170,136000,23149000
2015-08-13,173,174,172,173,105000,18145000
2015-08-12,174,175,173,174,115000,20026000
2015-08-11,175,178,174,176,333000,58536000
2015-08-10,169,175,169,174,370000,63572000
2015-08-07,170,171,168,170,121000,20519000
2015-08-06,168,172,168,171,296000,50209000
2015-08-05,167,168,166,168,112000,18714000
2015-08-04,167,168,166,167,113000,18877000
2015-08-03,166,168,166,168,102000,17049000
2015-07-31,167,168,166,167,226000,37732000
2015-07-30,168,168,167,167,83000,13894000
2015-07-29,167,169,166,166,161000,26895000
2015-07-28,167,168,165,166,261000,43492000
2015-07-27,170,171,166,167,217000,36613000
2015-07-24,172,173,171,172,126000,21678000
2015-07-23,172,173,172,172,74000,12731000
2015-07-22,173,173,172,172,132000,22807000
2015-07-21,174,174,172,173,85000,14719000
2015-07-17,172,174,171,173,107000,18439000
2015-07-16,174,174,171,172,236000,40782000
2015-07-15,175,175,174,174,135000,23541000
2015-07-14,173,175,172,175,172000,29896000
2015-07-13,170,172,170,171,144000,24620000
2015-07-10,170,172,167,168,326000,54853000
2015-07-09,170,171,163,171,796000,133001000
2015-07-08,179,181,171,172,451000,78570000
2015-07-07,177,184,176,180,496000,89281000
2015-07-06,177,178,176,176,162000,28610000
2015-07-03,180,180,177,177,146000,25999000
2015-07-02,183,183,180,180,247000,44873000
2015-07-01,180,182,177,182,483000,86860000
2015-06-30,178,179,175,179,305000,53947000
2015-06-29,176,180,175,177,312000,55325000
2015-06-26,183,183,181,182,145000,26416000
2015-06-25,184,184,182,183,69000,12643000
2015-06-24,184,184,182,184,154000,28229000
2015-06-23,183,184,182,183,158000,28888000
2015-06-22,180,184,180,183,205000,37176000
2015-06-19,180,182,180,181,205000,37027000
2015-06-18,183,183,179,179,318000,57399000
2015-06-17,184,185,182,183,202000,36936000
2015-06-16,185,186,184,184,136000,25132000
2015-06-15,185,188,185,187,183000,34155000
2015-06-12,186,188,185,187,409000,76297000
2015-06-11,183,186,182,186,312000,57522000
2015-06-10,183,184,181,181,262000,47868000
2015-06-09,186,186,182,182,322000,59262000
2015-06-08,186,187,185,186,291000,54157000
2015-06-05,185,186,185,185,155000,28682000
2015-06-04,189,189,187,187,114000,21395000
2015-06-03,188,188,186,187,169000,31541000
2015-06-02,188,189,186,188,453000,84991000
2015-06-01,184,187,183,187,411000,76167000
2015-05-29,181,184,181,184,358000,65310000
2015-05-28,182,183,180,181,256000,46498000
2015-05-27,179,182,179,181,332000,59936000
2015-05-26,180,180,178,178,130000,23260000
2015-05-25,179,180,179,180,114000,20447000
2015-05-22,181,181,179,179,229000,41224000
2015-05-21,181,183,180,181,323000,58476000
2015-05-20,179,181,178,180,235000,42173000
2015-05-19,178,179,177,178,253000,45000000
2015-05-18,176,178,176,177,255000,45061000
2015-05-15,178,179,176,178,221000,39320000
2015-05-14,179,180,177,177,249000,44346000
2015-05-13,182,182,178,179,260000,46786000
2015-05-12,180,182,177,182,630000,112853000
2015-05-11,183,185,180,181,719000,131097000
2015-05-08,189,193,176,180,1364000,252692000
2015-05-07,188,188,186,187,200000,37402000
2015-05-01,189,189,186,186,265000,49613000
2015-04-30,192,192,188,189,474000,90021000
2015-04-28,192,193,191,191,393000,75291000
2015-04-27,194,194,191,192,245000,47213000
2015-04-24,193,193,190,192,361000,69160000
2015-04-23,191,193,188,190,973000,185880000
2015-04-22,186,190,185,189,475000,89160000
2015-04-21,186,187,184,185,309000,57275000
2015-04-20,186,187,184,185,231000,42873000
2015-04-17,192,192,185,186,504000,95232000
2015-04-16,193,193,190,192,301000,57615000
2015-04-15,191,192,189,191,337000,64221000
2015-04-14,189,191,188,190,269000,50896000
2015-04-13,189,191,188,189,226000,42811000
2015-04-10,190,190,187,190,300000,56664000
2015-04-09,191,192,189,190,310000,59017000
2015-04-08,187,191,187,190,349000,66062000
2015-04-07,185,188,184,187,508000,94200000
2015-04-06,191,191,183,184,1127000,209812000
2015-04-03,199,199,191,193,1373000,266029000
2015-04-02,194,202,192,200,1361000,269256000
2015-04-01,196,196,191,195,691000,134169000
2015-03-31,195,200,195,196,586000,115223000
2015-03-30,195,195,189,192,557000,106899000
2015-03-27,199,202,193,196,517000,102044000
2015-03-26,203,203,200,200,272000,54655000
2015-03-25,203,207,202,203,607000,123866000
