7102-T,東証1部,日車輌,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,290,291,287,291,125000,36181000
2015-10-01,289,291,286,290,175000,50594000
2015-09-30,285,288,281,287,184000,52426000
2015-09-29,285,285,279,283,272000,76573000
2015-09-28,280,288,280,285,286000,80991000
2015-09-25,289,289,283,286,321000,91665000
2015-09-24,291,292,286,288,323000,92963000
2015-09-18,291,293,287,293,357000,103665000
2015-09-17,288,293,287,293,769000,222428000
2015-09-16,300,302,290,292,1410000,415382000
2015-09-15,319,323,316,316,164000,52367000
2015-09-14,333,333,315,317,229000,73257000
2015-09-11,321,330,321,327,196000,63527000
2015-09-10,321,328,319,328,139000,45055000
2015-09-09,320,324,318,323,211000,67911000
2015-09-08,317,317,312,312,164000,51665000
2015-09-07,316,318,309,314,294000,92229000
2015-09-04,338,339,321,324,399000,130204000
2015-09-03,344,349,338,340,262000,90078000
2015-09-02,335,344,332,340,255000,86350000
2015-09-01,343,351,335,343,660000,228019000
2015-08-31,346,346,336,343,207000,70530000
2015-08-28,339,347,335,341,299000,101539000
2015-08-27,343,344,328,330,305000,101373000
2015-08-26,328,335,323,331,329000,107847000
2015-08-25,317,342,307,320,455000,146580000
2015-08-24,345,345,330,330,387000,129871000
2015-08-21,351,354,348,349,271000,95001000
2015-08-20,364,365,356,358,143000,51393000
2015-08-19,364,370,364,365,97000,35514000
2015-08-18,378,378,367,370,212000,78836000
2015-08-17,364,377,364,375,194000,72046000
2015-08-14,368,369,364,365,190000,69519000
2015-08-13,373,375,366,368,209000,77184000
2015-08-12,378,378,375,376,146000,54961000
2015-08-11,379,379,375,378,242000,91423000
2015-08-10,377,378,373,377,143000,53699000
2015-08-07,370,378,370,377,427000,160353000
2015-08-06,370,378,370,375,416000,156054000
2015-08-05,371,375,369,373,260000,96792000
2015-08-04,377,378,368,373,246000,91790000
2015-08-03,379,379,373,376,280000,105267000
2015-07-31,372,377,371,377,509000,190886000
2015-07-30,371,377,367,371,411000,152895000
2015-07-29,371,374,367,371,498000,184587000
2015-07-28,360,370,360,370,910000,332902000
2015-07-27,359,365,352,359,729000,262775000
2015-07-24,351,362,349,359,1430000,511352000
2015-07-23,343,349,342,349,367000,127181000
2015-07-22,342,342,340,341,167000,56950000
2015-07-21,340,344,340,342,236000,80743000
2015-07-17,339,341,339,339,75000,25488000
2015-07-16,341,342,339,341,169000,57578000
2015-07-15,341,341,338,341,142000,48212000
2015-07-14,336,341,335,341,224000,75924000
2015-07-13,329,334,328,333,162000,53627000
2015-07-10,332,332,327,328,253000,83384000
2015-07-09,330,330,321,328,458000,149372000
