7205-T,東証1部,日野自,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1212,1220,1197,1214,2837600,3433048100
2015-10-01,1211,1253,1193,1237,3366000,4135158400
2015-09-30,1197,1223,1178,1213,3853400,4666275800
2015-09-29,1220,1226,1189,1196,3044200,3663958600
2015-09-28,1256,1263,1218,1227,3418800,4200612400
2015-09-25,1293,1304,1270,1296,2439200,3146660300
2015-09-24,1313,1320,1268,1291,2413000,3111166100
2015-09-18,1353,1355,1324,1340,1962000,2621200800
2015-09-17,1364,1383,1353,1372,1788900,2447858900
2015-09-16,1324,1378,1323,1356,2792700,3792889700
2015-09-15,1309,1343,1306,1312,2469500,3272989600
2015-09-14,1314,1326,1293,1308,1623900,2120465800
2015-09-11,1331,1333,1301,1317,3495900,4629571000
2015-09-10,1295,1319,1283,1314,2195500,2855446200
2015-09-09,1323,1344,1315,1332,3591100,4767491400
2015-09-08,1265,1285,1248,1251,2134900,2697439600
2015-09-07,1246,1273,1232,1265,1635100,2053422700
2015-09-04,1293,1304,1250,1268,2038100,2591312800
2015-09-03,1299,1315,1289,1292,1841900,2391312900
2015-09-02,1263,1294,1251,1276,2666400,3395582800
2015-09-01,1337,1342,1290,1290,2183100,2856997900
2015-08-31,1334,1346,1316,1336,3667200,4900419700
2015-08-28,1329,1365,1324,1347,3000500,4033999100
2015-08-27,1310,1325,1264,1279,3594900,4627260600
2015-08-26,1222,1283,1217,1271,4444100,5585277200
2015-08-25,1229,1297,1203,1216,4312600,5368406500
2015-08-24,1316,1334,1281,1281,3428500,4456684200
2015-08-21,1393,1393,1347,1350,4190500,5695618400
2015-08-20,1447,1456,1402,1411,2970800,4202637600
2015-08-19,1502,1507,1446,1447,2923000,4263340100
2015-08-18,1527,1536,1510,1511,1192000,1809709300
2015-08-17,1523,1525,1508,1519,919000,1394824800
2015-08-14,1518,1534,1502,1508,2015900,3051415700
2015-08-13,1537,1549,1509,1520,2931400,4459586900
2015-08-12,1570,1583,1528,1538,3324700,5136489300
2015-08-11,1581,1599,1571,1578,2109500,3335098100
2015-08-10,1582,1588,1561,1576,1648300,2591310900
2015-08-07,1585,1598,1572,1587,1277200,2028104700
2015-08-06,1590,1604,1579,1581,1552300,2466596100
2015-08-05,1572,1594,1565,1578,1998600,3160348200
2015-08-04,1575,1598,1558,1571,2399600,3770275300
2015-08-03,1600,1610,1558,1594,2662200,4220513000
2015-07-31,1567,1619,1561,1607,2516700,4021985200
2015-07-30,1544,1603,1536,1591,5717900,9022338100
2015-07-29,1491,1519,1473,1489,4933100,7384146900
2015-07-28,1440,1496,1433,1471,6680000,9828183200
2015-07-27,1417,1439,1409,1432,1815200,2585155200
2015-07-24,1421,1445,1417,1430,1894200,2713955000
2015-07-23,1437,1452,1423,1440,1700600,2444987100
2015-07-22,1420,1427,1403,1420,1275200,1806106300
2015-07-21,1438,1454,1430,1439,1077800,1548208800
2015-07-17,1450,1456,1426,1433,1205500,1731425900
2015-07-16,1460,1469,1444,1449,1477900,2146374700
2015-07-15,1450,1462,1442,1444,1250300,1812547800
2015-07-14,1436,1455,1431,1441,1943100,2800609400
2015-07-13,1427,1437,1414,1424,1963300,2796538400
2015-07-10,1402,1434,1392,1402,2661700,3752685400
2015-07-09,1385,1410,1346,1410,3492800,4831717700
2015-07-08,1450,1456,1410,1410,3079900,4395249000
2015-07-07,1486,1490,1466,1467,1726700,2543069400
2015-07-06,1483,1486,1464,1468,2289500,3374383800
2015-07-03,1497,1507,1489,1502,1694200,2539618200
2015-07-02,1494,1500,1475,1488,1852000,2761768000
2015-07-01,1521,1521,1488,1492,2228100,3333067000
2015-06-30,1521,1538,1510,1514,2866700,4362693200
2015-06-29,1485,1518,1485,1509,2600600,3913869200
2015-06-26,1500,1547,1499,1533,5003600,7626826300
2015-06-25,1608,1608,1569,1580,2607200,4123735500
2015-06-24,1647,1647,1600,1607,2807600,4527133400
2015-06-23,1615,1642,1609,1630,1687300,2750266900
2015-06-22,1584,1610,1582,1602,1908500,3047710200
2015-06-19,1585,1590,1565,1580,1779100,2804982900
2015-06-18,1572,1583,1555,1559,1681100,2630081800
2015-06-17,1587,1591,1557,1571,1136800,1785217600
2015-06-16,1590,1601,1575,1580,1314700,2082632100
2015-06-15,1590,1605,1579,1602,1280500,2045107000
2015-06-12,1606,1610,1586,1608,2934600,4705513000
2015-06-11,1590,1597,1569,1590,2593100,4100705900
2015-06-10,1608,1624,1573,1578,4034500,6431539200
2015-06-09,1673,1686,1643,1648,2023600,3343234600
2015-06-08,1689,1700,1681,1692,1035700,1752336000
2015-06-05,1678,1686,1667,1684,909200,1525501400
2015-06-04,1662,1693,1657,1692,2088400,3512685000
2015-06-03,1653,1668,1642,1650,1819500,3006204600
2015-06-02,1681,1691,1670,1670,1532500,2571120900
2015-06-01,1687,1690,1652,1681,1594300,2667614600
2015-05-29,1670,1701,1662,1691,2334500,3929937300
2015-05-28,1689,1697,1673,1681,1346500,2271698500
2015-05-27,1650,1683,1646,1682,1592100,2662106800
2015-05-26,1659,1661,1645,1656,1102100,1823879300
2015-05-25,1651,1667,1648,1655,1225800,2026740800
2015-05-22,1657,1666,1647,1657,1353700,2240569700
2015-05-21,1651,1671,1635,1662,1538500,2552895700
2015-05-20,1673,1675,1655,1668,1813200,3022533700
2015-05-19,1670,1675,1656,1658,1803900,3001039800
2015-05-18,1653,1696,1650,1668,3047900,5099053000
2015-05-15,1638,1670,1622,1632,2291100,3759223200
2015-05-14,1613,1638,1610,1623,1445400,2348131800
2015-05-13,1618,1636,1605,1620,1744700,2830859600
2015-05-12,1600,1614,1596,1614,1584800,2544353900
2015-05-11,1626,1627,1598,1598,1674000,2692164900
2015-05-08,1578,1597,1572,1592,2448700,3880888200
2015-05-07,1601,1613,1583,1587,2352400,3749664500
2015-05-01,1600,1612,1575,1599,3661000,5846742400
2015-04-30,1623,1625,1552,1570,4811400,7637446500
2015-04-28,1658,1673,1645,1666,3641300,6042813200
2015-04-27,1649,1667,1632,1643,3654200,6013946200
2015-04-24,1623,1636,1611,1629,2357100,3839446400
2015-04-23,1616,1633,1592,1625,3462300,5597719700
2015-04-22,1643,1648,1615,1622,2317200,3769350700
2015-04-21,1633,1656,1598,1629,3352300,5450380300
2015-04-20,1660,1671,1645,1652,1702500,2816939400
2015-04-17,1659,1689,1651,1675,2282600,3822968700
2015-04-16,1655,1664,1642,1660,1283000,2121439600
2015-04-15,1642,1657,1627,1652,1653000,2719741800
2015-04-14,1606,1643,1596,1642,1815200,2954314200
2015-04-13,1642,1645,1604,1628,2036300,3301427600
2015-04-10,1658,1659,1634,1642,2084300,3434284600
2015-04-09,1667,1678,1640,1652,2031600,3359649400
2015-04-08,1656,1658,1636,1643,2353900,3868757400
2015-04-07,1662,1680,1640,1659,2091900,3459498000
2015-04-06,1634,1650,1624,1643,1250400,2049669200
2015-04-03,1652,1663,1613,1652,2954100,4838481800
2015-04-02,1643,1693,1623,1677,4575200,7645696000
2015-04-01,1714,1725,1650,1652,4539000,7588284500
2015-03-31,1776,1789,1715,1715,2943100,5114948900
2015-03-30,1715,1738,1683,1732,2307600,3968538300
2015-03-27,1718,1747,1691,1717,1927300,3316069800
2015-03-26,1767,1769,1719,1737,2601200,4517773700
2015-03-25,1801,1814,1771,1780,1565900,2791092300
2015-03-24,1798,1810,1766,1796,1916200,3426504500
2015-03-23,1781,1812,1775,1801,1562800,2809671000
2015-03-20,1821,1821,1771,1780,2394400,4273138400
2015-03-19,1808,1827,1783,1812,2746800,4958716400
2015-03-18,1833,1847,1817,1840,1796400,3289148300
2015-03-17,1899,1907,1850,1851,1962900,3658745800
2015-03-16,1880,1897,1868,1885,1361900,2568740800
2015-03-13,1881,1916,1861,1893,3571800,6739739500
2015-03-12,1844,1875,1834,1872,990100,1845139200
2015-03-11,1838,1853,1831,1840,1202900,2215013500
2015-03-10,1858,1878,1831,1842,1972800,3647288000
2015-03-09,1895,1898,1839,1846,1812600,3369754600
2015-03-06,1864,1894,1858,1878,1681800,3153880500
2015-03-05,1813,1859,1813,1859,2218700,4099490200
2015-03-04,1839,1850,1798,1823,1901200,3456859200
2015-03-03,1830,1871,1826,1864,2149600,3985628600
2015-03-02,1811,1836,1795,1828,1992700,3621260000
2015-02-27,1834,1839,1806,1822,1706300,3109456600
2015-02-26,1814,1846,1814,1828,2166200,3964296100
2015-02-25,1775,1836,1757,1818,4335900,7851779800
2015-02-24,1745,1748,1732,1737,1612100,2800438100
2015-02-23,1756,1771,1748,1754,1448500,2546388000
2015-02-20,1711,1759,1707,1753,2316700,4040225700
2015-02-19,1713,1727,1702,1716,1479300,2537422900
2015-02-18,1653,1710,1638,1701,2827500,4774616200
2015-02-17,1659,1662,1627,1628,2535700,4159447200
2015-02-16,1671,1679,1663,1674,1106100,1849404800
2015-02-13,1677,1694,1659,1662,2449700,4097445700
2015-02-12,1682,1714,1676,1694,2351300,3989004600
2015-02-10,1650,1669,1632,1646,2483800,4084020500
2015-02-09,1694,1703,1658,1668,2116500,3535942400
2015-02-06,1700,1707,1679,1687,1625800,2748454100
2015-02-05,1674,1693,1653,1684,2384000,3997328800
2015-02-04,1663,1707,1653,1690,2208600,3723955100
2015-02-03,1665,1684,1621,1640,2590300,4259117400
2015-02-02,1684,1697,1650,1665,2276000,3799027300
2015-01-30,1705,1705,1634,1685,3804500,6373497300
2015-01-29,1702,1744,1688,1721,1934500,3333668400
2015-01-28,1682,1739,1676,1730,2210000,3802207600
2015-01-27,1729,1729,1709,1722,1764200,3033860600
2015-01-26,1712,1715,1669,1697,3238000,5472174500
2015-01-23,1713,1737,1712,1732,2640800,4563048800
2015-01-22,1690,1693,1657,1679,2067500,3455755400
2015-01-21,1728,1732,1670,1694,2645000,4484962500
2015-01-20,1669,1735,1662,1730,2773500,4758292800
2015-01-19,1674,1679,1654,1668,1560700,2602590400
2015-01-16,1640,1665,1609,1651,3496900,5735365200
2015-01-15,1629,1680,1617,1671,2882200,4771537100
2015-01-14,1629,1664,1615,1622,2257300,3690568800
2015-01-13,1621,1642,1588,1642,2747300,4433931300
2015-01-09,1644,1663,1616,1659,3518000,5807365500
2015-01-08,1628,1664,1624,1636,3137500,5153223800
2015-01-07,1547,1634,1547,1600,4663500,7445660700
2015-01-06,1550,1552,1520,1526,1925900,2948117100
2015-01-05,1589,1609,1564,1590,1829900,2911929600
2014-12-30,1625,1625,1589,1603,1539800,2469893000
2014-12-29,1627,1644,1592,1613,1965400,3183996100
2014-12-26,1591,1628,1589,1615,1548600,2494710900
2014-12-25,1594,1600,1586,1591,934800,1487544000
2014-12-24,1606,1620,1596,1602,1281000,2054087700
2014-12-22,1588,1599,1567,1587,2051300,3248731100
2014-12-19,1540,1571,1524,1570,3305300,5135338100
2014-12-18,1486,1507,1466,1491,2418800,3612240100
2014-12-17,1450,1471,1438,1456,2477600,3609403200
2014-12-16,1463,1487,1430,1456,3686700,5362185600
2014-12-15,1501,1524,1490,1497,2634400,3957988700
2014-12-12,1534,1557,1512,1522,5874400,8994134800
2014-12-11,1574,1582,1555,1570,2144000,3360813000
2014-12-10,1616,1628,1594,1607,1993200,3206050500
2014-12-09,1669,1672,1646,1649,1469300,2434137100
2014-12-08,1700,1729,1684,1686,2710800,4612790900
2014-12-05,1625,1673,1614,1668,3280900,5422567500
2014-12-04,1600,1616,1596,1613,2132700,3430716800
2014-12-03,1601,1634,1584,1587,3012700,4832961400
2014-12-02,1591,1610,1589,1607,2213400,3544089100
2014-12-01,1600,1619,1596,1606,1736200,2790783100
2014-11-28,1577,1600,1577,1599,1759500,2805715600
2014-11-27,1577,1592,1573,1575,1481200,2341005700
2014-11-26,1582,1600,1582,1590,1692600,2696538200
2014-11-25,1586,1596,1577,1596,2144800,3407743700
2014-11-21,1552,1569,1536,1565,2805500,4348984000
2014-11-20,1575,1590,1557,1560,2867700,4494102200
2014-11-19,1602,1612,1559,1567,3708500,5867638500
2014-11-18,1556,1590,1544,1586,3162900,4982409900
2014-11-17,1617,1620,1535,1546,4825000,7501189100
2014-11-14,1630,1635,1613,1635,2717200,4422187600
2014-11-13,1619,1632,1597,1628,2082200,3371199400
2014-11-12,1643,1651,1608,1613,2219000,3622168300
2014-11-11,1609,1636,1602,1625,1505700,2440818100
2014-11-10,1600,1604,1587,1599,1532100,2448574400
2014-11-07,1628,1636,1609,1615,1978500,3202523900
2014-11-06,1632,1641,1590,1604,2986200,4818415600
2014-11-05,1628,1654,1608,1624,3938100,6410740300
2014-11-04,1620,1664,1604,1625,5207000,8506234000
2014-10-31,1550,1605,1526,1586,5376500,8461912900
2014-10-30,1536,1536,1502,1526,3668800,5582184400
2014-10-29,1499,1530,1490,1518,2404500,3645346500
2014-10-28,1479,1489,1457,1476,2281800,3358388300
2014-10-27,1512,1521,1491,1501,1403500,2107313000
2014-10-24,1496,1503,1480,1493,1719700,2563491300
2014-10-23,1471,1471,1450,1466,1330100,1944096300
2014-10-22,1478,1481,1449,1478,1777700,2613734900
2014-10-21,1469,1474,1429,1438,1971800,2850442600
2014-10-20,1433,1490,1433,1474,3086800,4545290500
2014-10-17,1425,1439,1397,1399,2385700,3363862600
2014-10-16,1407,1433,1403,1421,2821700,4007223300
2014-10-15,1425,1444,1416,1442,1806700,2588673200
2014-10-14,1418,1445,1416,1424,2681400,3830559300
2014-10-10,1460,1466,1441,1457,3109200,4520372300
2014-10-09,1507,1520,1481,1484,2051200,3068062200
2014-10-08,1500,1503,1480,1494,1828200,2728803700
2014-10-07,1520,1538,1510,1518,1576200,2406146000
2014-10-06,1501,1545,1501,1521,2199700,3357854000
2014-10-03,1470,1492,1469,1485,2256500,3340154800
2014-10-02,1517,1523,1482,1490,3186400,4783535500
2014-10-01,1546,1554,1531,1540,3372600,5217729500
2014-09-30,1534,1537,1511,1534,2062300,3151103300
2014-09-29,1538,1546,1520,1525,1545400,2366796700
2014-09-26,1515,1533,1508,1526,1275300,1942589400
2014-09-25,1535,1547,1526,1547,2608100,4019556400
