7211-T,東証1部,三菱自,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,931,979,929,975,7389600,7120890900
2015-10-01,913,937,903,933,5768900,5331364600
2015-09-30,903,921,901,912,5336400,4876990200
2015-09-29,893,896,882,883,5059600,4487072500
2015-09-28,918,923,903,908,3662100,3331434400
2015-09-25,912,924,896,919,7836500,7133772400
2015-09-24,962,965,930,932,5420100,5091394800
2015-09-18,968,987,951,982,5717800,5561542000
2015-09-17,980,990,967,974,3417200,3339067100
2015-09-16,956,980,952,974,3958000,3842665500
2015-09-15,947,973,943,945,3176600,3031866500
2015-09-14,960,961,932,941,3188900,3003992000
2015-09-11,950,960,944,953,3959400,3763884100
2015-09-10,949,970,941,962,3016300,2887502400
2015-09-09,950,977,947,977,5249000,5067718300
2015-09-08,918,945,914,926,4833900,4498798200
2015-09-07,900,933,895,922,4337300,3977831000
2015-09-04,922,933,903,909,5527000,5073804600
2015-09-03,908,937,905,919,5089700,4706125800
2015-09-02,894,910,885,894,5862700,5258995900
2015-09-01,930,938,904,904,5556000,5088203300
2015-08-31,953,954,926,931,5387700,5034561600
2015-08-28,941,971,937,957,6574400,6294720900
2015-08-27,950,952,914,922,5746100,5324715000
2015-08-26,880,932,876,925,8822200,8032259100
2015-08-25,887,921,871,871,16084100,14372406700
2015-08-24,966,971,930,932,11734900,11092955100
2015-08-21,1007,1008,990,991,7979200,7948614000
2015-08-20,1024,1029,1016,1023,5511500,5640868200
2015-08-19,1034,1034,1013,1014,4901500,5002518900
2015-08-18,1037,1043,1025,1035,3836100,3968264000
2015-08-17,1054,1055,1033,1039,3818100,3973515200
2015-08-14,1048,1058,1046,1053,4698700,4940183700
2015-08-13,1048,1053,1037,1038,6123600,6388597500
2015-08-12,1082,1088,1057,1062,4982300,5319931800
2015-08-11,1072,1102,1068,1093,8318000,9028232400
2015-08-10,1052,1068,1045,1066,4480800,4739551400
2015-08-07,1046,1056,1042,1055,3327800,3492762100
2015-08-06,1041,1062,1038,1052,5403500,5681150900
2015-08-05,1032,1042,1027,1030,4135900,4273945300
2015-08-04,1042,1044,1027,1033,4335300,4476767100
2015-08-03,1050,1054,1041,1048,4622600,4842069700
2015-07-31,1065,1068,1032,1055,12036100,12573437300
2015-07-30,1092,1124,1082,1110,5398700,5976422300
2015-07-29,1100,1100,1084,1088,4166000,4547587500
2015-07-28,1077,1102,1072,1080,7067600,7675903400
2015-07-27,1070,1103,1056,1100,11673600,12668694000
2015-07-24,1035,1044,1034,1043,2354500,2445691500
2015-07-23,1047,1055,1039,1049,1787200,1868508800
2015-07-22,1055,1057,1046,1050,1931800,2031636200
2015-07-21,1056,1067,1056,1063,2168600,2300540000
2015-07-17,1059,1064,1044,1048,2737800,2877041200
2015-07-16,1055,1062,1053,1062,4223700,4468544900
2015-07-15,1057,1059,1044,1051,2679900,2820631100
2015-07-14,1043,1053,1039,1051,3707500,3881806100
2015-07-13,1023,1040,1022,1033,3575700,3697155700
2015-07-10,1010,1033,1005,1016,4289500,4372135000
2015-07-09,999,1014,970,1012,7580100,7504942500
2015-07-08,1028,1035,1011,1011,4516600,4606689400
2015-07-07,1037,1041,1030,1031,2482600,2570299200
2015-07-06,1030,1035,1021,1028,4681000,4805168800
2015-07-03,1038,1043,1035,1041,2682300,2786962000
2015-07-02,1040,1045,1033,1041,3827000,3981054400
2015-07-01,1040,1042,1028,1033,4444200,4592905700
2015-06-30,1032,1051,1032,1042,5846800,6083855600
2015-06-29,1030,1035,1026,1027,5192500,5342968100
2015-06-26,1064,1064,1051,1058,3430200,3624764000
2015-06-25,1066,1067,1059,1064,2656400,2823201700
2015-06-24,1072,1072,1066,1068,3661600,3913828700
2015-06-23,1062,1075,1059,1069,4846300,5180883300
2015-06-22,1055,1064,1050,1059,4255500,4501835700
2015-06-19,1059,1065,1051,1052,5515600,5814687500
2015-06-18,1079,1080,1052,1052,6385700,6781257100
2015-06-17,1080,1089,1071,1086,4318100,4668207000
2015-06-16,1087,1088,1076,1079,3825200,4136821600
2015-06-15,1091,1095,1085,1093,2283300,2491236600
2015-06-12,1089,1099,1086,1095,5676200,6196641500
2015-06-11,1102,1105,1090,1094,4784400,5242861000
2015-06-10,1107,1122,1099,1102,4779200,5302992900
2015-06-09,1135,1137,1109,1112,3887400,4361982100
2015-06-08,1148,1151,1136,1146,3566700,4076878000
2015-06-05,1163,1163,1147,1149,3565800,4109328800
2015-06-04,1146,1166,1146,1163,4505000,5226101200
2015-06-03,1136,1149,1132,1146,2374600,2715621900
2015-06-02,1149,1150,1137,1138,2774300,3170252300
2015-06-01,1149,1156,1142,1147,2842400,3259590500
2015-05-29,1152,1164,1145,1157,5184000,5994537100
2015-05-28,1153,1168,1151,1154,4611900,5351138200
2015-05-27,1142,1153,1140,1147,2952200,3383518900
2015-05-26,1150,1155,1141,1142,2067000,2366878100
2015-05-25,1152,1163,1152,1156,3074600,3558801900
2015-05-22,1136,1152,1130,1148,4675500,5348687800
2015-05-21,1136,1141,1124,1131,5144900,5807451000
2015-05-20,1149,1156,1132,1148,5273800,6048448600
2015-05-19,1159,1163,1144,1147,3569000,4102836800
2015-05-18,1137,1156,1135,1153,5382700,6177703700
2015-05-15,1137,1140,1128,1135,2052800,2325809200
2015-05-14,1131,1139,1129,1136,2496200,2832570800
2015-05-13,1119,1138,1117,1135,3199000,3616476100
2015-05-12,1127,1134,1113,1126,3469500,3890250700
2015-05-11,1141,1150,1129,1138,4769300,5429920200
2015-05-08,1122,1138,1116,1132,4338800,4901545300
2015-05-07,1102,1124,1100,1120,4562300,5097676100
2015-05-01,1102,1109,1094,1109,3360900,3708569900
2015-04-30,1112,1128,1105,1107,5497600,6134177500
2015-04-28,1095,1124,1094,1111,7213500,8014412000
2015-04-27,1104,1105,1078,1090,8392100,9132200100
2015-04-24,1151,1152,1130,1137,4550200,5186687500
2015-04-23,1136,1152,1121,1151,7185300,8175347000
2015-04-22,1143,1149,1128,1136,4123000,4688631500
2015-04-21,1115,1142,1111,1138,7758500,8762450700
2015-04-20,1105,1108,1087,1105,4930800,5415929600
2015-04-17,1099,1122,1094,1115,8890700,9862262500
2015-04-16,1080,1098,1076,1098,4064000,4418960200
2015-04-15,1062,1082,1062,1078,4315400,4635689700
2015-04-14,1056,1064,1055,1064,2636000,2793870200
2015-04-13,1067,1069,1055,1060,2860600,3028552300
2015-04-10,1063,1072,1056,1070,5701400,6071822100
2015-04-09,1073,1084,1064,1071,6237700,6691358900
2015-04-08,1096,1103,1085,1089,3283800,3594155100
2015-04-07,1089,1102,1088,1096,3734000,4095683500
2015-04-06,1074,1090,1074,1088,2404500,2607679600
2015-04-03,1076,1090,1076,1084,2747900,2975958800
2015-04-02,1061,1084,1060,1079,4721300,5084020700
2015-04-01,1073,1075,1052,1052,6273600,6639981800
2015-03-31,1104,1108,1085,1085,5087700,5575844400
2015-03-30,1092,1099,1067,1097,3915900,4261618600
2015-03-27,1086,1098,1075,1086,4741200,5151763400
2015-03-26,1100,1108,1093,1097,3894100,4280776200
2015-03-25,1097,1110,1091,1109,4913100,5407669700
2015-03-24,1096,1105,1091,1095,3016700,3310034300
2015-03-23,1086,1099,1086,1099,2694600,2948384900
2015-03-20,1090,1091,1072,1085,4548700,4913957300
2015-03-19,1088,1099,1082,1099,6479100,7073622400
2015-03-18,1101,1105,1082,1086,4861500,5299736700
