7215-T,東証1部,ファルテック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1383,1400,1372,1391,5200,7216300
2015-10-01,1370,1391,1367,1382,10900,15040600
2015-09-30,1373,1376,1358,1364,5400,7387800
2015-09-29,1355,1376,1326,1332,10900,14636600
2015-09-28,1382,1392,1356,1376,12200,16823000
2015-09-25,1386,1386,1352,1382,8400,11508700
2015-09-24,1380,1387,1357,1362,7800,10690800
2015-09-18,1388,1388,1372,1380,3300,4551600
2015-09-17,1376,1389,1376,1385,3200,4425700
2015-09-16,1364,1378,1364,1374,7300,10016400
2015-09-15,1368,1386,1360,1364,10100,13854300
2015-09-14,1402,1402,1361,1364,10900,14985900
2015-09-11,1393,1393,1350,1366,12600,17353900
2015-09-10,1311,1352,1309,1335,8500,11350500
2015-09-09,1341,1360,1305,1332,12200,16354800
2015-09-08,1302,1325,1301,1302,14800,19370300
2015-09-07,1299,1313,1287,1302,17200,22365300
2015-09-04,1347,1350,1307,1316,13300,17632800
2015-09-03,1351,1363,1345,1345,7500,10154200
2015-09-02,1336,1367,1330,1342,10100,13573000
2015-09-01,1410,1410,1362,1368,20400,28297200
2015-08-31,1434,1434,1401,1414,9800,13906400
2015-08-28,1400,1401,1380,1396,10500,14606200
2015-08-27,1351,1379,1348,1353,12700,17296000
2015-08-26,1356,1356,1299,1340,22300,29545500
2015-08-25,1260,1372,1231,1286,45300,57845600
2015-08-24,1416,1444,1356,1356,41500,58366700
2015-08-21,1503,1505,1476,1476,19000,28414900
2015-08-20,1525,1537,1516,1516,7500,11420800
2015-08-19,1547,1547,1536,1541,3000,4626200
2015-08-18,1532,1550,1530,1548,4700,7248000
2015-08-17,1523,1544,1520,1532,5600,8550800
2015-08-14,1531,1534,1517,1523,8200,12492400
2015-08-13,1526,1555,1525,1531,6300,9643000
2015-08-12,1556,1556,1521,1538,10200,15661300
2015-08-11,1589,1589,1551,1557,6500,10226200
2015-08-10,1556,1576,1549,1576,10300,16099400
2015-08-07,1551,1556,1543,1556,10100,15665800
2015-08-06,1558,1558,1531,1551,5200,8057400
2015-08-05,1538,1554,1537,1547,12600,19466300
2015-08-04,1532,1539,1531,1538,6500,9977700
2015-08-03,1520,1540,1520,1533,12300,18878000
2015-07-31,1512,1536,1511,1523,19300,29473800
2015-07-30,1511,1524,1505,1512,7100,10751100
2015-07-29,1511,1525,1506,1512,4700,7117900
2015-07-28,1498,1522,1497,1505,6800,10231200
2015-07-27,1517,1517,1500,1509,11300,17077200
2015-07-24,1536,1536,1515,1518,7600,11576800
2015-07-23,1535,1541,1520,1526,8300,12696900
2015-07-22,1540,1545,1521,1521,11800,18046200
2015-07-21,1542,1544,1537,1540,4600,7086100
2015-07-17,1530,1537,1519,1530,17200,26304400
2015-07-16,1522,1535,1522,1532,6700,10249200
2015-07-15,1526,1539,1521,1522,9300,14210700
2015-07-14,1531,1544,1526,1533,6500,9971800
2015-07-13,1510,1521,1500,1512,7000,10584600
2015-07-10,1502,1516,1480,1495,13200,19744100
2015-07-09,1461,1506,1458,1499,26400,38830100
2015-07-08,1563,1569,1517,1521,19100,29396100
2015-07-07,1577,1583,1564,1564,8500,13371000
2015-07-06,1563,1567,1546,1560,30200,46995800
2015-07-03,1592,1596,1561,1564,36500,57388300
2015-07-02,1598,1598,1575,1594,6600,10497900
2015-07-01,1596,1596,1573,1590,9100,14424300
2015-06-30,1580,1584,1571,1582,8500,13417600
2015-06-29,1561,1584,1561,1569,14700,23030200
2015-06-26,1609,1609,1583,1590,10000,15894600
2015-06-25,1612,1612,1594,1596,9600,15397800
2015-06-24,1607,1614,1592,1604,10500,16858600
2015-06-23,1595,1610,1560,1601,13300,21055400
2015-06-22,1584,1590,1577,1585,9400,14867000
2015-06-19,1590,1593,1579,1589,7800,12359300
2015-06-18,1600,1601,1586,1589,7100,11299900
2015-06-17,1615,1617,1599,1602,7500,12026800
2015-06-16,1620,1622,1611,1611,10500,16972200
2015-06-15,1613,1624,1610,1623,23500,38035700
2015-06-12,1600,1616,1594,1613,23800,38173000
2015-06-11,1595,1600,1583,1592,20000,31843500
2015-06-10,1585,1598,1584,1596,20400,32474400
2015-06-09,1586,1598,1578,1597,19500,31032000
2015-06-08,1597,1597,1566,1592,25500,40268600
