7239-T,東証1部,タチエス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1548,1589,1545,1576,58800,92266300
2015-10-01,1555,1592,1519,1567,109600,170819400
2015-09-30,1520,1564,1519,1554,50500,78233200
2015-09-29,1512,1513,1489,1489,54800,82070400
2015-09-28,1530,1551,1504,1517,57700,88033900
2015-09-25,1478,1520,1478,1520,103800,154906500
2015-09-24,1501,1512,1470,1470,73500,109451100
2015-09-18,1536,1546,1508,1539,51200,78472800
2015-09-17,1553,1580,1547,1560,68000,106191800
2015-09-16,1536,1568,1531,1553,41900,64943900
2015-09-15,1530,1566,1517,1520,48400,74383200
2015-09-14,1520,1539,1496,1516,53800,81692900
2015-09-11,1489,1540,1489,1516,127800,193170100
2015-09-10,1487,1523,1480,1512,84100,126824300
2015-09-09,1448,1502,1441,1499,82300,122293400
2015-09-08,1390,1461,1390,1418,79900,114308800
2015-09-07,1360,1404,1346,1386,118600,163406700
2015-09-04,1365,1405,1351,1367,188900,259675800
2015-09-03,1416,1437,1351,1355,323900,449527600
2015-09-02,1416,1444,1395,1403,228200,322302200
2015-09-01,1500,1520,1459,1461,119800,178098100
2015-08-31,1538,1540,1505,1518,89300,135807500
2015-08-28,1517,1568,1506,1557,64700,99936300
2015-08-27,1493,1511,1455,1473,104500,154304100
2015-08-26,1407,1501,1406,1486,151000,218509800
2015-08-25,1405,1491,1385,1422,154000,221334400
2015-08-24,1521,1540,1477,1479,122000,183832100
2015-08-21,1605,1625,1561,1561,116700,185311900
2015-08-20,1699,1699,1640,1645,72200,119822800
2015-08-19,1703,1715,1691,1700,65600,111585400
2015-08-18,1717,1720,1701,1706,43600,74536700
2015-08-17,1696,1724,1687,1719,47700,81606600
2015-08-14,1698,1720,1683,1692,77800,132374500
2015-08-13,1696,1716,1689,1705,88900,151409500
2015-08-12,1700,1733,1683,1697,92700,158025700
2015-08-11,1770,1795,1738,1740,152100,267458500
2015-08-10,1774,1792,1733,1754,287100,507570100
2015-08-07,1754,1825,1740,1814,141100,252677400
2015-08-06,1743,1774,1736,1754,138300,242316800
2015-08-05,1740,1756,1725,1743,144000,250759600
2015-08-04,1752,1777,1730,1745,115100,201005600
2015-08-03,1725,1767,1725,1752,83300,146079200
2015-07-31,1671,1717,1662,1717,81400,138386900
2015-07-30,1675,1693,1655,1662,80300,134137000
2015-07-29,1671,1684,1656,1674,56600,94423300
2015-07-28,1635,1674,1630,1667,129900,214887500
2015-07-27,1693,1698,1646,1653,144600,240738500
2015-07-24,1721,1734,1687,1695,83700,142419000
2015-07-23,1749,1758,1691,1722,127600,219307500
