7245-T,東証1部,大同メタ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1034,1051,1022,1045,87900,91396100
2015-10-01,1007,1046,998,1037,115800,119084200
2015-09-30,990,1008,984,992,161100,160079700
2015-09-29,990,1000,969,975,136500,133740700
2015-09-28,1014,1025,992,1004,93900,93984300
2015-09-25,994,1012,981,1012,147700,147361600
2015-09-24,1030,1033,985,986,187300,187422000
2015-09-18,1050,1057,1026,1052,121000,126598200
2015-09-17,1044,1068,1041,1057,96900,102533000
2015-09-16,1026,1058,1026,1036,129500,134718100
2015-09-15,1039,1067,1012,1017,226900,233490900
2015-09-14,1029,1035,1017,1023,89900,92119600
2015-09-11,1014,1035,991,1027,167600,170272900
2015-09-10,1020,1024,1003,1018,120800,122616500
2015-09-09,1037,1050,1026,1040,177700,184318700
2015-09-08,988,1021,988,998,87000,87532500
2015-09-07,974,1001,955,985,165900,163166900
2015-09-04,1024,1024,991,1004,95200,95693400
2015-09-03,1013,1031,1011,1011,82100,83827500
2015-09-02,1001,1022,995,1003,83700,84161900
2015-09-01,1059,1064,1022,1022,88300,91801100
2015-08-31,1073,1076,1045,1064,89800,95115400
2015-08-28,1091,1105,1073,1087,327600,355813700
2015-08-27,1048,1076,1037,1059,136800,144957500
2015-08-26,1005,1043,999,1027,192700,195818600
2015-08-25,999,1064,980,1001,222900,226307900
2015-08-24,1060,1078,1025,1029,160400,167861700
2015-08-21,1105,1115,1087,1089,123200,134757700
2015-08-20,1156,1159,1134,1137,67000,76491000
2015-08-19,1168,1174,1147,1161,70100,81224300
2015-08-18,1193,1200,1175,1181,80200,95190300
2015-08-17,1169,1189,1163,1186,61600,72666800
2015-08-14,1156,1176,1155,1166,67200,78375800
2015-08-13,1149,1159,1140,1156,82300,94736700
2015-08-12,1167,1167,1140,1151,69400,79987800
2015-08-11,1150,1176,1150,1169,74800,87105200
2015-08-10,1132,1150,1118,1150,289400,328087300
2015-08-07,1189,1220,1181,1187,127500,153172200
2015-08-06,1207,1218,1198,1199,87300,105418600
2015-08-05,1195,1209,1188,1197,57900,69490200
2015-08-04,1190,1192,1169,1191,58500,69022300
2015-08-03,1188,1191,1175,1185,55000,65048700
2015-07-31,1169,1184,1157,1179,93000,109379100
2015-07-30,1151,1171,1151,1165,59900,69703500
2015-07-29,1150,1153,1139,1149,49400,56666500
2015-07-28,1145,1161,1136,1150,71100,81782300
2015-07-27,1167,1167,1147,1153,92900,107293200
2015-07-24,1185,1187,1150,1163,282900,329916600
2015-07-23,1210,1210,1194,1199,182700,219203200
2015-07-22,1216,1231,1207,1216,110100,134111900
2015-07-21,1219,1230,1208,1223,91400,111495300
