7271-T,東証1部,安永,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,512,527,510,514,1500,771000
2015-10-01,516,529,508,517,11500,5932100
2015-09-30,506,514,506,513,2800,1427400
2015-09-29,496,505,496,496,6100,3040300
2015-09-28,513,513,500,505,7700,3900400
2015-09-25,504,508,501,507,6000,3021800
2015-09-24,513,517,500,500,6200,3133400
2015-09-18,504,523,504,517,3900,2007300
2015-09-17,513,526,511,513,2600,1334900
2015-09-16,529,529,509,513,4400,2258200
2015-09-15,521,524,517,521,3800,1977300
2015-09-14,535,535,511,511,3400,1766500
2015-09-11,525,527,522,522,11500,6037000
2015-09-10,510,514,510,514,1900,971900
2015-09-09,513,515,507,515,4000,2047700
2015-09-08,504,513,502,502,5800,2918800
2015-09-07,501,505,500,503,6100,3062600
2015-09-04,513,513,501,503,8000,4037100
2015-09-03,519,525,513,513,3700,1920800
2015-09-02,524,531,513,513,6900,3584400
2015-09-01,536,536,529,531,5900,3147100
2015-08-31,531,537,529,536,3100,1652700
2015-08-28,540,550,530,537,6700,3607600
2015-08-27,524,538,520,529,6100,3217300
2015-08-26,514,532,510,524,7600,3957900
2015-08-25,500,523,491,514,16500,8323500
2015-08-24,535,546,521,521,13900,7420000
2015-08-21,559,560,550,550,9500,5288900
2015-08-20,570,573,562,562,2500,1414000
2015-08-19,569,569,564,564,2800,1582700
2015-08-18,568,568,566,568,1500,851100
2015-08-17,567,567,565,565,6400,3620500
2015-08-14,565,568,564,567,3800,2148200
2015-08-13,567,570,565,567,10400,5890000
2015-08-12,576,576,570,571,5800,3317700
2015-08-11,574,577,573,573,4800,2755000
2015-08-10,574,574,571,574,8000,4586300
2015-08-07,570,578,570,577,3700,2127800
2015-08-06,573,579,573,579,6000,3459400
2015-08-05,573,576,572,572,4800,2758100
2015-08-04,570,577,570,573,8300,4753000
2015-08-03,570,575,569,570,6000,3428500
2015-07-31,569,573,569,572,2900,1658700
2015-07-30,569,576,568,569,6900,3933700
2015-07-29,567,577,567,569,8700,4950500
2015-07-28,570,570,565,568,9300,5282600
2015-07-27,577,577,570,570,8900,5094800
2015-07-24,574,574,573,573,3700,2121800
2015-07-23,574,578,574,574,3100,1783300
2015-07-22,578,578,573,574,5300,3049600
2015-07-21,580,582,573,573,6400,3680900
2015-07-17,572,575,572,574,1700,974500
2015-07-16,579,580,574,575,6500,3761500
2015-07-15,580,580,573,578,7300,4214200
2015-07-14,574,576,571,574,7900,4535300
2015-07-13,570,573,569,571,4900,2795100
2015-07-10,570,575,567,572,11800,6731800
2015-07-09,570,575,566,570,13300,7574100
2015-07-08,576,580,570,570,8200,4704300
2015-07-07,575,579,575,576,3100,1786000
2015-07-06,575,580,575,575,5100,2941700
2015-07-03,589,590,576,581,5400,3161700
2015-07-02,574,579,574,575,3000,1727900
2015-07-01,580,582,574,574,7800,4504300
2015-06-30,582,582,573,579,8700,5028000
2015-06-29,583,592,572,572,14600,8449400
2015-06-26,576,580,573,573,8100,4664500
2015-06-25,579,580,575,576,5800,3350800
2015-06-24,574,580,573,577,12500,7193300
2015-06-23,581,581,573,579,8700,5020700
2015-06-22,580,585,575,581,5500,3190800
2015-06-19,571,578,571,576,3400,1954900
2015-06-18,575,578,570,571,7300,4184600
2015-06-17,574,580,573,575,5600,3225100
2015-06-16,590,590,570,574,10300,5948700
2015-06-15,594,594,585,588,4100,2419400
2015-06-12,591,591,580,587,22400,13150400
2015-06-11,594,594,590,591,5100,3019400
2015-06-10,593,595,586,593,9700,5732700
2015-06-09,587,592,587,587,4600,2708200
2015-06-08,587,596,587,588,4800,2827600
2015-06-05,587,596,587,592,4100,2428800
2015-06-04,593,593,586,591,7100,4193600
2015-06-03,590,594,584,593,7400,4356300
2015-06-02,589,593,589,590,5100,3009600
2015-06-01,591,594,585,589,5400,3178400
2015-05-29,594,594,588,590,4600,2717000
2015-05-28,589,589,584,587,4000,2347300
2015-05-27,595,595,583,588,4600,2714300
2015-05-26,592,593,584,585,3800,2234700
2015-05-25,598,599,587,590,7900,4696200
2015-05-22,587,596,583,589,3800,2233500
2015-05-21,587,596,583,587,5000,2940200
2015-05-20,586,589,580,585,7400,4320700
2015-05-19,589,589,582,583,3900,2281800
2015-05-18,578,590,575,585,8800,5112200
2015-05-15,588,593,575,578,17500,10207000
2015-05-14,604,604,594,600,7000,4203000
2015-05-13,601,602,601,601,2600,1563600
2015-05-12,603,604,600,601,3900,2348100
2015-05-11,603,604,599,599,6600,3972400
2015-05-08,604,604,597,600,4300,2584000
2015-05-07,603,604,599,599,2700,1622800
2015-05-01,597,605,596,602,6900,4146800
2015-04-30,605,605,598,599,5300,3185600
2015-04-28,605,605,595,605,8500,5112500
2015-04-27,600,605,599,602,2400,1442200
2015-04-24,595,601,593,594,10100,6037100
2015-04-23,598,603,594,597,6200,3712100
2015-04-22,588,600,588,599,3800,2261800
2015-04-21,582,594,582,591,9000,5291000
2015-04-20,582,591,581,583,4300,2511800
2015-04-17,595,600,588,590,7200,4264400
2015-04-16,603,609,593,596,14900,8915900
2015-04-15,608,610,600,607,5900,3574100
