7305-T,東証1部,新家工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,136,138,135,138,45000,6133000
2015-10-01,137,140,135,138,84000,11573000
2015-09-30,135,138,135,137,44000,6004000
2015-09-29,139,139,132,133,135000,18193000
2015-09-28,140,140,138,139,20000,2783000
2015-09-25,141,141,136,138,76000,10501000
2015-09-24,138,140,136,137,84000,11561000
2015-09-18,140,140,138,139,85000,11830000
2015-09-17,140,143,140,142,97000,13705000
2015-09-16,139,140,139,140,41000,5702000
2015-09-15,140,140,137,138,84000,11630000
2015-09-14,141,142,139,139,64000,9010000
2015-09-11,140,143,140,141,116000,16313000
2015-09-10,139,141,139,140,70000,9755000
2015-09-09,138,142,138,142,156000,21813000
2015-09-08,136,137,133,133,140000,18910000
2015-09-07,135,137,133,135,140000,18831000
2015-09-04,140,140,134,137,250000,34241000
2015-09-03,142,144,140,140,139000,19754000
2015-09-02,140,143,139,140,375000,52690000
2015-09-01,150,153,141,143,125000,18389000
2015-08-31,152,155,149,151,150000,22677000
2015-08-28,150,154,150,154,83000,12690000
2015-08-27,148,153,147,147,125000,18756000
2015-08-26,141,147,141,146,177000,25500000
2015-08-25,144,146,133,138,516000,71963000
2015-08-24,160,165,147,148,586000,91369000
2015-08-21,171,171,167,168,107000,18133000
2015-08-20,172,176,172,172,64000,11126000
2015-08-19,175,175,171,171,45000,7758000
2015-08-18,175,175,174,175,32000,5581000
2015-08-17,175,175,173,175,19000,3312000
2015-08-14,173,174,172,173,88000,15224000
2015-08-13,173,174,172,174,21000,3636000
2015-08-12,175,175,172,173,125000,21729000
2015-08-11,177,179,177,177,95000,16948000
2015-08-10,176,178,174,178,56000,9846000
2015-08-07,174,175,174,175,18000,3142000
2015-08-06,174,175,173,174,34000,5915000
2015-08-05,172,173,172,173,24000,4146000
2015-08-04,173,173,171,172,26000,4476000
2015-08-03,173,175,172,172,27000,4693000
2015-07-31,173,176,173,174,40000,6982000
2015-07-30,172,173,171,171,35000,6027000
2015-07-29,173,174,171,171,18000,3101000
2015-07-28,173,174,170,173,57000,9794000
2015-07-27,176,176,173,173,86000,14986000
2015-07-24,177,177,174,175,55000,9678000
2015-07-23,175,175,175,175,12000,2100000
2015-07-22,176,176,173,174,109000,19034000
2015-07-21,178,178,175,176,48000,8476000
2015-07-17,177,177,175,176,40000,7029000
2015-07-16,176,180,175,177,54000,9573000
2015-07-15,174,175,172,175,72000,12507000
2015-07-14,173,175,173,174,64000,11129000
2015-07-13,169,172,169,172,35000,5977000
2015-07-10,169,173,169,169,105000,17942000
2015-07-09,168,173,165,168,195000,32691000
2015-07-08,177,178,172,172,252000,43753000
2015-07-07,177,180,177,177,56000,9997000
2015-07-06,180,180,175,177,206000,36529000
2015-07-03,183,183,180,181,70000,12668000
2015-07-02,182,183,181,183,75000,13666000
2015-07-01,180,181,179,180,93000,16777000
2015-06-30,179,181,178,181,94000,16887000
2015-06-29,183,184,179,179,122000,22162000
2015-06-26,190,190,186,186,87000,16327000
2015-06-25,188,190,187,189,131000,24689000
2015-06-24,184,189,184,187,323000,60288000
2015-06-23,184,185,183,185,72000,13247000
2015-06-22,183,185,182,184,57000,10476000
2015-06-19,183,184,183,183,56000,10256000
2015-06-18,183,183,181,181,100000,18141000
2015-06-17,182,184,182,182,30000,5486000
2015-06-16,183,183,182,182,47000,8573000
2015-06-15,184,186,184,184,23000,4250000
2015-06-12,184,188,184,185,145000,26844000
2015-06-11,186,186,182,183,84000,15396000
2015-06-10,184,185,183,183,60000,11036000
2015-06-09,186,186,184,184,65000,12020000
2015-06-08,185,188,185,185,72000,13393000
2015-06-05,185,185,184,185,69000,12762000
2015-06-04,187,187,185,186,151000,28098000
2015-06-03,186,188,186,187,106000,19755000
2015-06-02,186,188,185,185,242000,45182000
2015-06-01,183,187,182,185,206000,37984000
2015-05-29,182,183,181,181,108000,19637000
2015-05-28,182,184,181,182,132000,24046000
2015-05-27,182,182,180,181,139000,25180000
2015-05-26,183,183,181,181,39000,7090000
2015-05-25,183,184,181,182,145000,26422000
2015-05-22,182,183,181,183,59000,10752000
2015-05-21,184,184,181,182,178000,32449000
2015-05-20,185,185,183,184,83000,15235000
2015-05-19,184,185,183,183,96000,17644000
2015-05-18,183,185,183,185,75000,13780000
2015-05-15,183,185,183,185,118000,21745000
2015-05-14,185,185,182,182,268000,49215000
2015-05-13,191,193,190,190,72000,13775000
2015-05-12,192,192,191,192,39000,7468000
2015-05-11,192,192,191,191,79000,15149000
2015-05-08,191,193,191,192,75000,14389000
2015-05-07,188,191,187,189,90000,17001000
2015-05-01,192,192,186,189,300000,56581000
2015-04-30,192,195,192,194,107000,20700000
2015-04-28,192,197,191,194,168000,32621000
