7475-T,東証1部,アルビス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2082,2097,2068,2083,6500,13552400
2015-10-01,2070,2082,2058,2075,11600,24017700
2015-09-30,2040,2058,2037,2058,8700,17816600
2015-09-29,2025,2036,1980,2030,21400,43045700
2015-09-28,2047,2047,2010,2043,26700,54166200
2015-09-25,2073,2081,2062,2081,29700,61570500
2015-09-24,2056,2073,2046,2057,17500,35984800
2015-09-18,2049,2075,2049,2058,8500,17507200
2015-09-17,2079,2090,2070,2070,11400,23687300
2015-09-16,2125,2125,2072,2078,9100,19015700
2015-09-15,2050,2101,2050,2100,9300,19454400
2015-09-14,2085,2101,2045,2046,6500,13487300
2015-09-11,2089,2089,2040,2065,14300,29647400
2015-09-10,2022,2042,2022,2039,10700,21775200
2015-09-09,2083,2083,2038,2070,10000,20556900
2015-09-08,2018,2045,2005,2017,15000,30311800
2015-09-07,2027,2058,2010,2034,13100,26573700
2015-09-04,2101,2121,2058,2058,12300,25513000
2015-09-03,2090,2125,2090,2101,5500,11600200
2015-09-02,2085,2109,2080,2082,13000,27169400
2015-09-01,2150,2150,2102,2104,33100,70086800
2015-08-31,2202,2224,2160,2175,9000,19659000
2015-08-28,2192,2202,2158,2189,10000,21823500
2015-08-27,2172,2192,2140,2158,15700,33951800
2015-08-26,2020,2132,2020,2125,27000,56228600
2015-08-25,1995,2192,1975,2008,57700,117039600
2015-08-24,2165,2177,2099,2099,43500,92810900
2015-08-21,2300,2326,2200,2285,41900,94930800
2015-08-20,2337,2370,2337,2346,13000,30587300
2015-08-19,2386,2418,2357,2362,11700,27829600
2015-08-18,2431,2443,2390,2400,12000,28919800
2015-08-17,2450,2451,2420,2438,13500,32907000
2015-08-14,2382,2460,2369,2431,21700,52385800
2015-08-13,2322,2389,2322,2382,21600,51012100
2015-08-12,2359,2372,2313,2335,35100,82305500
2015-08-11,2410,2412,2365,2380,24900,59474900
2015-08-10,2443,2455,2403,2428,28700,69690600
2015-08-07,2467,2478,2452,2462,27200,67068400
2015-08-06,2472,2475,2427,2466,26900,66152100
2015-08-05,2399,2480,2386,2467,53800,130637200
2015-08-04,2400,2400,2376,2400,13900,33251100
2015-08-03,2373,2405,2350,2393,38600,91940900
2015-07-31,2450,2450,2365,2372,77700,186798300
2015-07-30,2300,2467,2270,2400,103700,244828300
2015-07-29,2222,2273,2200,2267,29900,66895100
2015-07-28,2200,2214,2155,2210,22700,49767100
2015-07-27,2210,2222,2190,2205,42200,93067100
2015-07-24,2165,2189,2143,2149,20700,44833300
2015-07-23,2143,2165,2137,2165,22200,47731900
2015-07-22,2130,2155,2130,2143,18500,39666300
2015-07-21,2101,2139,2088,2139,23400,49506800
2015-07-17,2103,2114,2087,2092,22500,47230600
2015-07-16,2100,2103,2088,2090,9900,20719500
2015-07-15,2098,2108,2090,2099,11600,24341500
2015-07-14,2090,2097,2086,2091,22600,47285000
2015-07-13,2082,2086,2071,2085,11500,23923800
2015-07-10,2048,2088,2041,2056,10000,20592700
2015-07-09,2050,2050,2021,2048,19500,39722200
2015-07-08,2089,2089,2050,2050,17200,35678400
2015-07-07,2084,2094,2081,2092,9800,20480700
2015-07-06,2080,2097,2078,2080,17200,35800000
2015-07-03,2085,2096,2079,2090,8300,17330500
2015-07-02,2085,2098,2076,2078,17700,36877100
2015-07-01,2105,2124,2081,2097,21600,45449900
2015-06-30,2088,2093,2069,2093,14800,30827200
2015-06-29,2080,2088,2066,2069,24800,51467600
2015-06-26,2120,2120,2100,2101,9100,19153600
2015-06-25,2114,2117,2103,2112,9100,19224500
2015-06-24,2114,2114,2100,2110,11600,24449300
2015-06-23,2112,2118,2105,2116,10900,23015200
2015-06-22,2092,2113,2092,2110,9400,19776700
2015-06-19,2090,2108,2087,2102,11900,24972900
2015-06-18,2097,2107,2071,2071,12900,26923400
2015-06-17,2101,2109,2095,2103,11900,24997900
2015-06-16,2110,2121,2096,2101,15200,32007800
2015-06-15,2115,2115,2102,2103,9200,19389400
2015-06-12,2111,2117,2099,2110,14200,29944900
2015-06-11,2100,2122,2100,2111,16100,33982900
2015-06-10,2122,2124,2091,2100,19100,40300600
2015-06-09,2125,2140,2121,2122,14900,31704900
2015-06-08,2117,2145,2117,2133,21600,46071300
2015-06-05,2110,2125,2108,2115,17700,37450300
2015-06-04,2110,2123,2110,2113,12800,27081000
