7510-T,東証1部,たけびし,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1011,1038,1011,1026,5800,5944500
2015-10-01,1010,1025,1010,1013,10400,10562400
2015-09-30,1013,1029,1013,1016,4300,4382000
2015-09-29,1030,1032,1008,1008,9900,10061100
2015-09-28,1076,1076,1032,1035,4500,4691900
2015-09-25,1030,1061,1029,1042,10300,10664800
2015-09-24,1040,1074,1029,1033,10800,11222800
2015-09-18,1057,1057,1040,1044,3900,4080000
2015-09-17,1037,1057,1037,1055,4400,4619200
2015-09-16,1053,1055,1039,1039,2600,2724500
2015-09-15,1037,1061,1037,1047,3700,3883000
2015-09-14,1054,1067,1018,1029,5300,5534200
2015-09-11,1037,1050,1037,1041,13600,14146000
2015-09-10,1009,1041,1009,1030,6300,6448900
2015-09-09,1020,1038,1018,1027,9500,9721300
2015-09-08,1030,1042,1002,1006,11800,12010000
2015-09-07,1000,1044,999,1033,10300,10529000
2015-09-04,1033,1035,1007,1010,7900,8035100
2015-09-03,1039,1050,1020,1023,12700,13091800
2015-09-02,1038,1062,1035,1039,8000,8338800
2015-09-01,1085,1089,1054,1054,11800,12647500
2015-08-31,1095,1112,1040,1091,9300,10076800
2015-08-28,1092,1096,1080,1095,7600,8301300
2015-08-27,1063,1071,1062,1062,7400,7877000
2015-08-26,997,1084,997,1033,13700,14314600
2015-08-25,993,1035,982,995,24300,24335700
2015-08-24,1055,1072,1025,1025,24100,25300100
2015-08-21,1124,1128,1098,1102,24100,26739700
2015-08-20,1144,1147,1127,1129,5400,6133800
2015-08-19,1142,1148,1142,1144,5600,6418100
2015-08-18,1143,1149,1140,1147,3500,4007400
2015-08-17,1134,1149,1134,1143,5200,5937000
2015-08-14,1133,1147,1126,1142,17900,20344700
2015-08-13,1135,1141,1120,1128,17200,19408700
2015-08-12,1132,1143,1132,1136,6100,6942600
2015-08-11,1147,1153,1124,1147,9200,10513700
2015-08-10,1122,1159,1120,1147,22000,25203200
2015-08-07,1116,1129,1116,1122,6900,7738100
2015-08-06,1127,1135,1119,1123,11100,12519100
2015-08-05,1112,1124,1109,1119,7400,8258000
2015-08-04,1118,1118,1106,1111,9500,10561000
2015-08-03,1120,1121,1095,1118,10800,12021000
2015-07-31,1090,1108,1090,1108,6100,6688200
2015-07-30,1095,1104,1095,1095,4700,5156600
2015-07-29,1097,1115,1097,1099,4400,4847400
2015-07-28,1103,1105,1092,1100,8000,8797400
2015-07-27,1130,1130,1102,1110,10400,11620700
2015-07-24,1138,1138,1117,1126,15000,17004700
2015-07-23,1124,1128,1112,1128,9100,10222200
2015-07-22,1125,1127,1110,1116,6600,7368600
2015-07-21,1128,1129,1125,1125,5000,5634100
2015-07-17,1129,1130,1114,1123,6500,7289800
2015-07-16,1122,1128,1118,1122,10100,11340800
2015-07-15,1119,1123,1102,1111,12500,13931500
2015-07-14,1093,1120,1093,1104,16600,18355500
2015-07-13,1088,1098,1082,1092,7500,8160700
2015-07-10,1070,1090,1070,1076,13100,14111200
2015-07-09,1072,1078,1050,1068,26600,28251000
2015-07-08,1092,1094,1081,1081,15600,16947200
2015-07-07,1091,1100,1091,1094,8000,8755100
2015-07-06,1095,1101,1091,1091,12500,13692200
2015-07-03,1096,1101,1093,1097,9500,10424200
2015-07-02,1095,1102,1091,1093,4800,5265900
2015-07-01,1085,1094,1085,1088,6600,7190100
2015-06-30,1077,1094,1077,1093,13800,14954400
2015-06-29,1090,1099,1075,1085,21200,23025900
2015-06-26,1100,1106,1091,1099,19200,21081100
2015-06-25,1100,1100,1092,1092,10400,11397600
2015-06-24,1090,1099,1086,1095,13100,14315100
2015-06-23,1080,1089,1080,1089,13700,14856200
2015-06-22,1080,1085,1078,1082,8700,9398700
2015-06-19,1079,1090,1079,1080,9200,9962800
2015-06-18,1081,1083,1079,1079,10100,10915400
2015-06-17,1080,1088,1078,1083,13000,14090300
2015-06-16,1082,1082,1077,1079,10700,11547000
2015-06-15,1083,1087,1079,1082,14700,15920000
2015-06-12,1081,1084,1078,1082,20500,22167800
2015-06-11,1076,1085,1075,1076,14500,15645400
2015-06-10,1085,1085,1076,1076,13500,14598800
2015-06-09,1081,1084,1076,1076,9900,10684200
2015-06-08,1085,1085,1078,1080,3900,4218500
2015-06-05,1078,1081,1076,1076,4800,5175300
2015-06-04,1080,1081,1077,1078,5300,5718200
2015-06-03,1077,1081,1076,1077,4900,5283800
2015-06-02,1083,1083,1077,1078,5500,5939000
2015-06-01,1080,1090,1076,1079,16100,17387200
2015-05-29,1080,1085,1077,1080,5200,5619300
2015-05-28,1082,1083,1076,1076,7200,7767400
2015-05-27,1089,1089,1075,1082,9700,10487400
2015-05-26,1085,1088,1074,1080,12100,13067500
2015-05-25,1087,1089,1083,1084,11500,12486400
2015-05-22,1091,1091,1082,1088,7000,7599000
2015-05-21,1090,1090,1081,1082,12900,13999200
2015-05-20,1094,1094,1082,1090,9300,10139000
2015-05-19,1082,1093,1078,1087,11000,11950000
2015-05-18,1081,1082,1074,1076,7100,7649600
2015-05-15,1069,1076,1069,1073,5000,5363000
2015-05-14,1071,1073,1068,1069,8900,9523200
2015-05-13,1068,1068,1061,1064,7100,7554800
2015-05-12,1070,1070,1060,1061,5200,5523800
2015-05-11,1059,1071,1059,1060,15900,16903600
2015-05-08,1054,1058,1054,1054,9900,10449200
2015-05-07,1060,1065,1054,1054,13700,14476600
2015-05-01,1071,1071,1051,1054,32100,34045800
