7554-T,東証1部,幸楽苑HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1494,1494,1478,1481,10200,15133100
2015-10-01,1488,1507,1488,1497,10700,16011600
2015-09-30,1468,1491,1461,1490,6900,10211600
2015-09-29,1494,1494,1466,1466,10100,14915900
2015-09-28,1473,1498,1473,1496,11900,17721300
2015-09-25,1467,1488,1459,1488,15300,22556300
2015-09-24,1470,1491,1469,1471,16600,24474400
2015-09-18,1493,1498,1481,1481,10700,15922600
2015-09-17,1489,1501,1489,1500,10700,16027400
2015-09-16,1499,1503,1483,1489,7200,10735400
2015-09-15,1495,1504,1491,1498,10200,15293600
2015-09-14,1500,1503,1481,1481,8200,12242700
2015-09-11,1493,1495,1475,1495,27400,40859600
2015-09-10,1497,1497,1466,1467,18500,27346100
2015-09-09,1474,1495,1472,1493,10900,16166600
2015-09-08,1463,1488,1452,1454,12400,18192800
2015-09-07,1470,1490,1448,1473,19600,28705500
2015-09-04,1494,1496,1475,1475,18800,27898500
2015-09-03,1498,1514,1488,1488,9500,14205200
2015-09-02,1492,1527,1477,1497,17500,26204800
2015-09-01,1530,1534,1501,1506,14400,21877400
2015-08-31,1533,1535,1519,1531,11100,16969200
2015-08-28,1535,1540,1523,1533,16100,24648900
2015-08-27,1500,1530,1500,1525,23200,35254100
2015-08-26,1472,1489,1470,1485,23800,35204500
2015-08-25,1398,1500,1375,1444,48300,68654700
2015-08-24,1498,1525,1482,1482,44200,66168500
2015-08-21,1505,1531,1505,1508,23900,36152000
2015-08-20,1535,1535,1512,1516,34500,52576900
2015-08-19,1542,1546,1534,1534,22600,34785900
2015-08-18,1556,1556,1542,1546,19800,30630500
2015-08-17,1552,1560,1550,1556,14800,23017900
2015-08-14,1550,1559,1548,1552,10800,16771000
2015-08-13,1550,1556,1548,1552,14800,22947500
2015-08-12,1562,1572,1552,1555,15200,23720500
2015-08-11,1564,1575,1560,1563,18800,29441300
2015-08-10,1561,1562,1551,1562,12000,18712500
2015-08-07,1551,1556,1551,1556,11000,17088000
2015-08-06,1557,1563,1552,1556,12800,19939100
2015-08-05,1560,1560,1553,1558,11100,17287200
2015-08-04,1559,1560,1549,1554,15000,23321100
2015-08-03,1560,1561,1550,1559,6700,10434100
2015-07-31,1555,1562,1545,1561,12800,19889700
2015-07-30,1556,1569,1555,1556,11600,18122800
2015-07-29,1555,1569,1555,1559,6300,9839400
2015-07-28,1556,1559,1540,1555,12700,19689600
2015-07-27,1573,1573,1557,1558,8500,13289000
2015-07-24,1570,1571,1560,1570,8600,13467000
2015-07-23,1563,1569,1563,1567,6700,10489600
2015-07-22,1560,1570,1560,1563,11000,17213400
2015-07-21,1564,1570,1560,1565,12600,19719200
2015-07-17,1570,1571,1561,1568,11100,17389700
2015-07-16,1559,1570,1558,1563,11900,18596600
2015-07-15,1569,1569,1547,1559,16700,26047600
2015-07-14,1558,1565,1548,1563,15400,24024000
2015-07-13,1540,1560,1535,1552,17600,27223500
2015-07-10,1543,1559,1534,1540,23800,36760800
2015-07-09,1510,1538,1500,1538,48600,73756100
2015-07-08,1577,1577,1545,1545,19900,30956600
2015-07-07,1566,1578,1550,1576,20000,31382700
2015-07-06,1550,1561,1550,1551,14600,22674400
2015-07-03,1567,1568,1550,1552,16800,26163100
2015-07-02,1551,1572,1551,1562,15800,24667400
2015-07-01,1550,1564,1550,1564,9500,14816200
2015-06-30,1539,1560,1538,1548,13100,20270700
2015-06-29,1542,1555,1536,1544,25700,39702100
2015-06-26,1565,1566,1555,1555,11900,18552700
2015-06-25,1571,1577,1570,1571,9000,14155900
