7561-T,東証1部,ハークスレイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1235,1251,1226,1234,27200,33611400
2015-10-01,1294,1299,1269,1269,11200,14345300
2015-09-30,1240,1291,1240,1285,19500,24894200
2015-09-29,1270,1293,1232,1236,23000,28722000
2015-09-28,1289,1296,1255,1295,20300,26020100
2015-09-25,1310,1310,1243,1297,39700,50319400
2015-09-24,1300,1319,1278,1308,29800,38570700
2015-09-18,1335,1354,1311,1332,24800,33184600
2015-09-17,1320,1340,1308,1335,30500,40521100
2015-09-16,1326,1355,1316,1320,34800,46154400
2015-09-15,1277,1326,1274,1317,40000,52389500
2015-09-14,1275,1307,1255,1277,37400,48053900
2015-09-11,1244,1275,1244,1274,41100,51743900
2015-09-10,1213,1237,1140,1237,49400,59409100
2015-09-09,1180,1216,1171,1216,41200,49409100
2015-09-08,1171,1180,1131,1137,19600,22496700
2015-09-07,1216,1216,1162,1179,22800,26988400
2015-09-04,1228,1252,1198,1221,29600,36225600
2015-09-03,1201,1271,1201,1213,39200,48607100
2015-09-02,1214,1220,1183,1199,28600,34419600
2015-09-01,1277,1278,1221,1227,36900,45880400
2015-08-31,1233,1291,1233,1277,37400,47445000
2015-08-28,1235,1249,1226,1235,26300,32548600
2015-08-27,1235,1266,1222,1223,46600,57803400
2015-08-26,1139,1215,1133,1211,43400,51017600
2015-08-25,1100,1200,1088,1139,69300,78509300
2015-08-24,1151,1221,1151,1152,66400,78338800
2015-08-21,1265,1290,1245,1254,46800,59145400
2015-08-20,1335,1345,1278,1291,48400,63611400
2015-08-19,1373,1387,1327,1337,33500,45529200
2015-08-18,1385,1418,1333,1373,73300,101506500
2015-08-17,1299,1390,1297,1363,70300,93918900
2015-08-14,1280,1300,1275,1299,47200,60898500
2015-08-13,1299,1307,1281,1286,47900,62076300
2015-08-12,1251,1337,1251,1299,95500,124821500
2015-08-11,1217,1265,1200,1248,39400,48664400
2015-08-10,1204,1219,1200,1217,23500,28473200
2015-08-07,1190,1250,1190,1218,43800,53676100
2015-08-06,1178,1210,1178,1189,61900,74063600
2015-08-05,1156,1183,1144,1158,29100,33885000
2015-08-04,1134,1165,1132,1153,51000,58649900
2015-08-03,1132,1135,1105,1132,23900,26881100
2015-07-31,1141,1145,1133,1141,20900,23827200
2015-07-30,1163,1163,1140,1141,21800,24988200
2015-07-29,1130,1170,1129,1165,57700,66573700
2015-07-28,1100,1125,1087,1120,50200,55733600
