7581-T,東証1部,サイゼリヤ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2697,2768,2693,2729,116100,316192300
2015-10-01,2730,2766,2700,2718,165900,453037600
2015-09-30,2615,2724,2615,2706,143400,387230300
2015-09-29,2663,2698,2606,2614,180700,477548600
2015-09-28,2636,2700,2591,2694,187700,502006500
2015-09-25,2603,2655,2600,2636,146100,383613700
2015-09-24,2533,2654,2530,2584,229300,598242000
2015-09-18,2624,2653,2572,2574,237800,619779000
2015-09-17,2636,2645,2589,2636,134000,351220300
2015-09-16,2694,2694,2613,2640,115900,306343000
2015-09-15,2684,2720,2654,2680,156400,421436900
2015-09-14,2669,2725,2650,2654,208400,557750800
2015-09-11,2550,2672,2545,2650,273000,713953800
2015-09-10,2564,2610,2533,2581,282600,727314500
2015-09-09,2538,2612,2499,2610,324400,833081500
2015-09-08,2502,2526,2436,2446,396500,976923600
2015-09-07,2511,2594,2510,2537,296100,751222500
2015-09-04,2640,2665,2543,2580,329300,850279500
2015-09-03,2776,2779,2631,2633,388400,1044998300
2015-09-02,2709,2807,2677,2746,392100,1079469900
2015-09-01,2812,2820,2758,2759,383800,1068612200
2015-08-31,2781,2823,2764,2817,271100,758511500
2015-08-28,2763,2780,2710,2762,294000,807151900
2015-08-27,2750,2764,2691,2726,602300,1642881000
2015-08-26,2719,2754,2666,2709,966300,2613318400
2015-08-25,2672,2800,2576,2693,609000,1644289900
2015-08-24,2913,2942,2770,2776,718300,2046118000
2015-08-21,2964,3015,2955,2981,461500,1374694500
2015-08-20,3000,3060,2974,3035,381600,1156109600
2015-08-19,3035,3115,3000,3040,889700,2714344000
2015-08-18,2960,3010,2956,2974,454400,1350453600
2015-08-17,2961,2964,2937,2957,240200,709376900
2015-08-14,2877,2927,2877,2911,273700,795523600
2015-08-13,2864,2879,2833,2865,213200,609330600
2015-08-12,2851,2886,2830,2863,287300,821162700
2015-08-11,2920,2920,2853,2860,229900,661116500
2015-08-10,2883,2923,2865,2914,211700,614675300
2015-08-07,2887,2895,2864,2889,148600,428128400
2015-08-06,2980,2980,2897,2898,288700,844744300
2015-08-05,2999,2999,2950,2974,206700,614381400
2015-08-04,2980,3015,2944,2976,345600,1027910200
2015-08-03,2895,2968,2895,2958,259900,766227000
2015-07-31,2873,2895,2841,2888,295500,849266700
2015-07-30,2900,2914,2848,2860,369100,1058355600
2015-07-29,2910,2930,2885,2890,238800,692316600
2015-07-28,2900,2921,2867,2896,331500,958845400
2015-07-27,2955,3015,2928,2939,277900,822650300
2015-07-24,2974,3020,2952,2984,355600,1058622600
2015-07-23,2990,3015,2969,2977,205400,613836100
