7594-T,東証1部,マルカキカイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1778,1778,1749,1762,8600,15165200
2015-10-01,1729,1743,1722,1739,7900,13682500
2015-09-30,1716,1743,1709,1727,6500,11240800
2015-09-29,1780,1780,1707,1707,17500,30215300
2015-09-28,1794,1800,1752,1789,13900,24764400
2015-09-25,1741,1785,1741,1785,13700,24030000
2015-09-24,1775,1802,1738,1741,14100,24918100
2015-09-18,1792,1806,1777,1780,10200,18215800
2015-09-17,1781,1796,1771,1792,7700,13730500
2015-09-16,1771,1780,1764,1774,5000,8861100
2015-09-15,1770,1797,1761,1762,8600,15221700
2015-09-14,1799,1816,1753,1754,12100,21465100
2015-09-11,1800,1828,1783,1808,20100,36217500
2015-09-10,1767,1792,1745,1791,7700,13636400
2015-09-09,1716,1795,1716,1791,15900,28083600
2015-09-08,1729,1740,1658,1672,18900,32003400
2015-09-07,1751,1770,1660,1722,24200,41532100
2015-09-04,1767,1803,1748,1751,14100,24873200
2015-09-03,1790,1817,1761,1767,10100,18091100
2015-09-02,1799,1811,1730,1760,31500,55961800
2015-09-01,1930,1930,1817,1819,21600,40312300
2015-08-31,1891,1909,1883,1890,9200,17384300
2015-08-28,1923,1923,1873,1891,15500,29392100
2015-08-27,1837,1861,1815,1840,18800,34624600
2015-08-26,1711,1799,1708,1797,30400,53443500
2015-08-25,1650,1798,1647,1691,48200,82771800
2015-08-24,1927,1966,1850,1850,39900,76076700
2015-08-21,2100,2110,2052,2067,26000,54100300
2015-08-20,2122,2158,2099,2123,15000,32064500
2015-08-19,2160,2160,2100,2122,15300,32440500
2015-08-18,2140,2181,2130,2153,22300,48059000
2015-08-17,2115,2140,2115,2135,8100,17260400
2015-08-14,2100,2105,2091,2100,9400,19723800
2015-08-13,2079,2103,2077,2102,11600,24249100
2015-08-12,2129,2129,2089,2099,27900,58651900
2015-08-11,2120,2140,2092,2131,18400,38901700
2015-08-10,2076,2117,2076,2114,13700,28778200
2015-08-07,2076,2113,2001,2076,21300,43933800
2015-08-06,2090,2149,2090,2102,15300,32284900
2015-08-05,2083,2103,2049,2094,18800,39226900
2015-08-04,2077,2093,2064,2083,6200,12892800
2015-08-03,2076,2095,2052,2068,11400,23663100
2015-07-31,2089,2096,2079,2096,10500,21927800
2015-07-30,2085,2095,2070,2090,10600,22108800
2015-07-29,2061,2100,2048,2084,14200,29492400
2015-07-28,2020,2065,2020,2060,8300,16976000
2015-07-27,2061,2085,2046,2055,17100,35339700
2015-07-24,2070,2090,2060,2082,10900,22610300
2015-07-23,2065,2071,2050,2070,10200,20999400
2015-07-22,2064,2069,2034,2064,15100,31014200
2015-07-21,2092,2092,2040,2063,11600,23943100
2015-07-17,2050,2070,2040,2060,13000,26709600
2015-07-16,2013,2043,2013,2043,11800,24027600
2015-07-15,2010,2037,1992,2010,18500,37221500
2015-07-14,1986,2011,1972,2008,16000,31985700
2015-07-13,1964,1964,1928,1946,9900,19241900
2015-07-10,1945,1961,1913,1929,23700,45753000
2015-07-09,1901,1941,1877,1936,35000,66557500
2015-07-08,2050,2053,1971,1975,30600,61212500
2015-07-07,2094,2108,2062,2062,20500,42653600
2015-07-06,2121,2121,2055,2066,55900,116873800
2015-07-03,2064,2080,2046,2071,18200,37587900
2015-07-02,2050,2065,2031,2063,23700,48687100
2015-07-01,2009,2039,2000,2026,10500,21258400
2015-06-30,1982,2000,1982,1998,9500,18910000
2015-06-29,1982,2001,1880,1993,24500,48332200
2015-06-26,2026,2041,2017,2032,10500,21304500
2015-06-25,2048,2048,2017,2023,10300,20974100
2015-06-24,2010,2036,2007,2020,11700,23670200
2015-06-23,2006,2027,1992,2010,14900,29903300
2015-06-22,2035,2036,1991,2006,24700,49674600
2015-06-19,2046,2058,2022,2029,9500,19290900
2015-06-18,2030,2055,2023,2024,17200,35051700
2015-06-17,2055,2062,2022,2024,9600,19552900
2015-06-16,2067,2074,2047,2053,11400,23502600
2015-06-15,2010,2074,2010,2064,16000,32785600
2015-06-12,1991,2039,1991,2020,23900,47917900
2015-06-11,2006,2027,1991,1998,17100,34369200
2015-06-10,2032,2041,2007,2010,21700,43855300
2015-06-09,2055,2080,2037,2039,21000,43148000
2015-06-08,2110,2110,2061,2075,14200,29476800
2015-06-05,2086,2092,2062,2069,18500,38387700
2015-06-04,2072,2100,2072,2086,10500,21951900
2015-06-03,2080,2090,2062,2083,15900,33048000
2015-06-02,2110,2137,2087,2090,18000,37919300
2015-06-01,2098,2139,2059,2132,31400,66014700
2015-05-29,2140,2140,2090,2109,18700,39465800
2015-05-28,2100,2135,2099,2135,30500,64769300
2015-05-27,2080,2115,2079,2087,24600,51408700
2015-05-26,2073,2086,2073,2081,11200,23280300
2015-05-25,2080,2097,2080,2081,10900,22717500
2015-05-22,2080,2097,2072,2080,15400,32077700
2015-05-21,2110,2120,2067,2077,29100,60893400
2015-05-20,2098,2100,2084,2098,15400,32246400
2015-05-19,2080,2097,2075,2077,24600,51170700
2015-05-18,2083,2085,2067,2080,18800,39029100
2015-05-15,2060,2090,2060,2083,28700,59673800
2015-05-14,2072,2081,2029,2054,44000,90654000
2015-05-13,2113,2124,2077,2088,27300,57185400
2015-05-12,2124,2150,2103,2126,21100,44900900
2015-05-11,2084,2128,2080,2124,39300,83000200
2015-05-08,2081,2085,2063,2078,32600,67700300
2015-05-07,2065,2086,2055,2075,30300,62727200
2015-05-01,2064,2075,2029,2058,42700,87497900
2015-04-30,2080,2124,2063,2070,55100,115058700
2015-04-28,2076,2085,2066,2080,30700,63763400
2015-04-27,2041,2085,2041,2076,48400,100251900
2015-04-24,2035,2097,2021,2091,48700,100341000
2015-04-23,2040,2044,2018,2023,17700,35956300
2015-04-22,2044,2050,2025,2035,35000,71184000
2015-04-21,2045,2045,2028,2030,21000,42703300
2015-04-20,2027,2043,2002,2015,41600,84259600
2015-04-17,2040,2061,2021,2031,34400,70214700
2015-04-16,2030,2046,2021,2045,57000,115762100
2015-04-15,2061,2065,1993,2028,75600,153232800
2015-04-14,2045,2080,2040,2077,67700,139170400
2015-04-13,1985,2048,1985,2033,71100,143666700
2015-04-10,1980,1995,1971,1979,58700,116332800
2015-04-09,1959,1984,1911,1932,80500,157444000
2015-04-08,1898,1965,1878,1920,101500,195536100
2015-04-07,1860,1890,1851,1888,65100,121679600
2015-04-06,1839,1851,1814,1835,83800,154116100
2015-04-03,1777,1802,1770,1799,32400,57886300
