7607-T,東証1部,進和,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1555,1576,1532,1554,13000,20190300
2015-10-01,1546,1574,1528,1564,25200,39161200
2015-09-30,1553,1567,1553,1561,12300,19189000
2015-09-29,1555,1574,1522,1522,18700,28856700
2015-09-28,1601,1601,1555,1573,14600,22992100
2015-09-25,1535,1571,1529,1564,22500,34747100
2015-09-24,1581,1602,1554,1554,22600,35584500
2015-09-18,1630,1637,1595,1604,15900,25548700
2015-09-17,1633,1644,1620,1630,11200,18251300
2015-09-16,1666,1666,1632,1633,8000,13140400
2015-09-15,1651,1689,1646,1652,15600,25980800
2015-09-14,1699,1699,1648,1651,12300,20533300
2015-09-11,1650,1690,1619,1680,41000,67944600
2015-09-10,1625,1625,1550,1595,25400,40265600
2015-09-09,1660,1680,1599,1640,91200,148155600
2015-09-08,1620,1630,1581,1589,14900,23939200
2015-09-07,1540,1624,1528,1620,33200,52125900
2015-09-04,1600,1618,1575,1580,29600,47138100
2015-09-03,1620,1630,1588,1591,19700,31707600
2015-09-02,1602,1610,1564,1572,37500,59384300
2015-09-01,1688,1688,1621,1624,34600,57199800
2015-08-31,1686,1700,1640,1648,48300,80650800
2015-08-28,1725,1728,1671,1685,28900,48980900
2015-08-27,1690,1714,1646,1695,77700,131365600
2015-08-26,1566,1682,1566,1672,89800,144648100
2015-08-25,1538,1699,1512,1566,82500,129594400
2015-08-24,1738,1767,1641,1641,59500,101564800
2015-08-21,1850,1851,1813,1818,61100,111965100
2015-08-20,1943,1943,1906,1906,36800,70679100
2015-08-19,2008,2015,1954,1963,51400,102130800
2015-08-18,2035,2035,2012,2018,25500,51537100
2015-08-17,2014,2038,2005,2023,26100,52769300
2015-08-14,2026,2055,2004,2010,24500,49550100
2015-08-13,2054,2064,2037,2048,16000,32767400
2015-08-12,2113,2113,2050,2061,21900,45496100
2015-08-11,2120,2124,2102,2117,18000,38066300
2015-08-10,2063,2120,2052,2120,19300,40312300
2015-08-07,2085,2086,2046,2063,28400,58796900
2015-08-06,2027,2088,2021,2085,39300,80837900
2015-08-05,2000,2052,1991,2031,56300,113707500
2015-08-04,1999,2010,1992,2007,19600,39254400
2015-08-03,2006,2010,1991,1999,26000,51974000
2015-07-31,2024,2029,2004,2019,24100,48558300
2015-07-30,2034,2050,2019,2023,11100,22565500
2015-07-29,2033,2037,2003,2013,15300,30857800
2015-07-28,2017,2059,2001,2019,32200,64923400
2015-07-27,2071,2077,2019,2031,20400,41807900
2015-07-24,2110,2113,2066,2082,17500,36550800
2015-07-23,2125,2131,2100,2108,13600,28711400
2015-07-22,2136,2145,2099,2116,17700,37450400
2015-07-21,2141,2146,2118,2144,17200,36764100
2015-07-17,2075,2129,2075,2111,44500,93862600
2015-07-16,2090,2091,2053,2060,42600,88174000
2015-07-15,2165,2165,2091,2093,55500,117191700
2015-07-14,2120,2169,2120,2147,46800,100235600
2015-07-13,2145,2233,2133,2202,44700,97519500
2015-07-10,2191,2191,2079,2112,20300,43133400
2015-07-09,2100,2142,2004,2141,33300,69265700
2015-07-08,2249,2249,2160,2161,24600,54149500
2015-07-07,2225,2250,2200,2234,20500,45756100
2015-07-06,2276,2277,2169,2178,25600,56620300
2015-07-03,2274,2295,2256,2278,16600,37751200
2015-07-02,2241,2272,2241,2272,14800,33466900
2015-07-01,2175,2225,2162,2225,18600,40860300
2015-06-30,2144,2176,2132,2170,22300,48031700
