7646-T,東証1部,PLANT,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1239,1239,1225,1232,6200,7627800
2015-10-01,1214,1237,1207,1228,7100,8718400
2015-09-30,1224,1224,1197,1199,26300,31698200
2015-09-29,1225,1249,1206,1209,15200,18515000
2015-09-28,1238,1238,1224,1229,8900,10929500
2015-09-25,1220,1249,1220,1237,8000,9826800
2015-09-24,1209,1244,1205,1211,8800,10711300
2015-09-18,1235,1239,1221,1221,6600,8082900
2015-09-17,1226,1241,1225,1235,5300,6531900
2015-09-16,1235,1236,1169,1224,19800,24305500
2015-09-15,1253,1261,1235,1241,12000,15024400
2015-09-14,1266,1269,1250,1250,7900,9972200
2015-09-11,1264,1270,1244,1250,23200,29202200
2015-09-10,1260,1260,1230,1234,13200,16387300
2015-09-09,1230,1273,1229,1268,12800,16003400
2015-09-08,1226,1233,1204,1204,17600,21455100
2015-09-07,1242,1245,1215,1224,19700,24155600
2015-09-04,1276,1283,1242,1245,7800,9837200
2015-09-03,1291,1293,1266,1266,9500,12137300
2015-09-02,1237,1291,1237,1274,21100,26686100
2015-09-01,1333,1333,1296,1297,12600,16585800
2015-08-31,1363,1363,1336,1342,6800,9150300
2015-08-28,1356,1357,1327,1334,13100,17460200
2015-08-27,1325,1350,1320,1326,10000,13298900
2015-08-26,1271,1322,1260,1317,21400,27322500
2015-08-25,1213,1327,1200,1255,44600,56260600
2015-08-24,1360,1375,1301,1303,30300,40265300
2015-08-21,1400,1405,1389,1391,24300,33919400
2015-08-20,1436,1446,1417,1417,12000,17134500
2015-08-19,1450,1456,1436,1436,6700,9672100
2015-08-18,1442,1460,1436,1456,12300,17825800
2015-08-17,1416,1444,1416,1432,12900,18437800
2015-08-14,1413,1417,1404,1408,26300,37109300
2015-08-13,1420,1429,1405,1413,19700,27883500
2015-08-12,1440,1468,1421,1421,21700,31067800
2015-08-11,1467,1472,1435,1440,28400,41083700
2015-08-10,1497,1506,1410,1450,61900,89870200
2015-08-07,1493,1496,1484,1492,9200,13710300
2015-08-06,1508,1519,1496,1500,11500,17299200
2015-08-05,1527,1527,1504,1509,9700,14670800
2015-08-04,1502,1534,1500,1534,9900,14967500
2015-08-03,1533,1533,1499,1502,18800,28529200
2015-07-31,1506,1529,1479,1516,39500,59598500
