7721-T,東証1部,東京計器,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,217,221,214,215,346000,74846000
2015-10-01,212,219,212,216,232000,50171000
2015-09-30,211,214,211,212,194000,41105000
2015-09-29,220,220,210,211,201000,43081000
2015-09-28,222,226,220,223,231000,51411000
2015-09-25,226,227,222,227,193000,43498000
2015-09-24,226,229,222,224,220000,49598000
2015-09-18,230,230,226,226,199000,45278000
2015-09-17,232,233,226,230,185000,42669000
2015-09-16,225,233,225,230,199000,45781000
2015-09-15,224,228,222,224,173000,39000000
2015-09-14,223,230,223,223,152000,34390000
2015-09-11,223,227,222,225,186000,41621000
2015-09-10,218,222,217,221,160000,35169000
2015-09-09,215,221,215,221,107000,23304000
2015-09-08,212,216,210,210,125000,26457000
2015-09-07,212,213,208,211,140000,29412000
2015-09-04,214,216,210,212,198000,42111000
2015-09-03,217,220,214,214,149000,32339000
2015-09-02,215,219,213,216,263000,56808000
2015-09-01,228,228,218,218,169000,37512000
2015-08-31,229,230,224,227,127000,28827000
2015-08-28,226,228,223,227,194000,43732000
2015-08-27,220,222,218,218,272000,59570000
2015-08-26,215,217,207,215,378000,79924000
2015-08-25,209,221,202,207,608000,129008000
2015-08-24,224,230,221,221,556000,125176000
2015-08-21,237,241,235,238,392000,93234000
2015-08-20,243,244,241,241,148000,35872000
2015-08-19,245,247,243,243,335000,82036000
2015-08-18,246,247,244,245,301000,73889000
2015-08-17,248,248,245,247,190000,46862000
2015-08-14,248,250,246,248,278000,68796000
2015-08-13,249,251,246,247,346000,85755000
2015-08-12,253,256,248,251,283000,71110000
2015-08-11,260,262,253,254,279000,71556000
2015-08-10,252,270,251,258,743000,192310000
2015-08-07,251,252,250,251,144000,36150000
2015-08-06,251,253,251,251,76000,19113000
2015-08-05,249,252,249,250,137000,34272000
2015-08-04,251,252,248,249,117000,29164000
2015-08-03,250,252,249,251,127000,31805000
2015-07-31,249,254,248,253,170000,42791000
2015-07-30,250,251,248,250,206000,51363000
2015-07-29,251,253,247,247,249000,62023000
2015-07-28,250,253,248,251,317000,79375000
2015-07-27,267,267,251,253,580000,149388000
2015-07-24,260,263,260,263,219000,57230000
2015-07-23,265,266,261,262,219000,57536000
2015-07-22,268,268,265,265,208000,55396000
2015-07-21,272,272,269,270,111000,30002000
2015-07-17,273,273,266,271,388000,104667000
2015-07-16,268,277,266,273,1206000,329915000
2015-07-15,260,271,257,266,1253000,330434000
2015-07-14,257,260,257,260,123000,31797000
2015-07-13,254,255,252,254,91000,23072000
2015-07-10,253,254,247,251,240000,60208000
2015-07-09,242,247,235,246,419000,100663000
2015-07-08,258,260,246,247,740000,185898000
2015-07-07,257,261,257,259,159000,41261000
2015-07-06,260,261,256,256,253000,65512000
