7727-T,東証1部,オーバル,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,239,239,233,235,20800,4909300
2015-10-01,235,239,228,237,30200,7095700
2015-09-30,227,235,227,234,16900,3901700
2015-09-29,232,233,227,227,25500,5848900
2015-09-28,237,237,234,235,8900,2097500
2015-09-25,236,237,230,237,38200,8932100
2015-09-24,236,239,232,233,28900,6781100
2015-09-18,242,242,233,237,26600,6315800
2015-09-17,237,247,237,242,22700,5480100
2015-09-16,241,244,235,239,21500,5143000
2015-09-15,237,245,237,241,18000,4334000
2015-09-14,242,245,238,239,26100,6281100
2015-09-11,235,245,235,242,41700,9890800
2015-09-10,241,245,239,241,14600,3521000
2015-09-09,235,247,233,244,34900,8374200
2015-09-08,241,241,230,231,23800,5585300
2015-09-07,235,238,218,236,47900,11076600
2015-09-04,252,252,239,240,32800,7975500
2015-09-03,250,256,247,247,46600,11711600
2015-09-02,251,251,247,250,31600,7895100
2015-09-01,257,257,252,252,25800,6559100
2015-08-31,259,262,255,257,30200,7799500
2015-08-28,245,264,245,256,50900,12997500
2015-08-27,243,250,243,245,67500,16585300
2015-08-26,240,249,232,242,68800,16562500
2015-08-25,218,249,218,233,191000,43722400
2015-08-24,269,269,250,250,101700,26216600
2015-08-21,275,280,272,272,42300,11608100
2015-08-20,281,284,280,280,22800,6429100
2015-08-19,288,288,284,284,31100,8908500
2015-08-18,290,290,287,288,20500,5911600
2015-08-17,288,295,288,289,28600,8314800
2015-08-14,291,292,286,290,36300,10507400
2015-08-13,291,292,288,291,30400,8818700
2015-08-12,297,299,291,294,40100,11847300
2015-08-11,295,300,289,297,73300,21442000
2015-08-10,293,297,290,295,40800,11973300
2015-08-07,295,296,292,295,50100,14752300
2015-08-06,300,301,291,296,34400,10219300
2015-08-05,292,300,292,298,47500,14074300
2015-08-04,295,296,290,295,35700,10467900
2015-08-03,298,298,295,296,22200,6582100
2015-07-31,295,297,292,297,22300,6580000
2015-07-30,296,298,294,297,18900,5591400
2015-07-29,297,298,294,294,18800,5553300
2015-07-28,294,297,292,295,32100,9457800
2015-07-27,300,302,296,296,40000,11946700
2015-07-24,299,303,296,301,63600,19047800
2015-07-23,298,299,296,299,28300,8427700
2015-07-22,298,298,295,296,26400,7831100
2015-07-21,298,301,297,299,52700,15748600
2015-07-17,304,304,298,300,105000,31619500
2015-07-16,304,308,298,304,101400,30690100
2015-07-15,293,303,293,301,130800,38804900
2015-07-14,294,296,290,295,101500,29803900
2015-07-13,290,290,283,288,42500,12224100
2015-07-10,283,286,275,284,52400,14808500
2015-07-09,283,285,275,283,163600,46017200
2015-07-08,303,303,292,292,80500,23941000
2015-07-07,305,305,300,302,40600,12264700
2015-07-06,307,307,298,299,80200,24264100
2015-07-03,308,309,304,309,49100,15072300
2015-07-02,313,313,306,310,69300,21537000
2015-07-01,306,306,304,306,31600,9644700
2015-06-30,299,308,299,305,64800,19600500
2015-06-29,306,308,301,301,58600,17785400
