7730-T,東証1部,マニー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2280,2281,2245,2255,115700,261424300
2015-10-01,2323,2357,2290,2299,118900,274689100
2015-09-30,2325,2333,2294,2320,116700,270087300
2015-09-29,2409,2411,2273,2275,120300,277981900
2015-09-28,2399,2449,2372,2440,58900,142757200
2015-09-25,2373,2409,2342,2376,151700,359099200
2015-09-24,2406,2445,2384,2384,111600,268521900
2015-09-18,2454,2478,2433,2470,56000,137846000
2015-09-17,2500,2500,2454,2486,53700,133343200
2015-09-16,2486,2490,2448,2477,44000,108779500
2015-09-15,2516,2538,2480,2480,78900,196992600
2015-09-14,2555,2589,2506,2512,62300,158180900
2015-09-11,2500,2610,2500,2557,90800,230794100
2015-09-10,2507,2561,2480,2550,91500,232068700
2015-09-09,2490,2546,2484,2540,81700,206020400
2015-09-08,2445,2475,2392,2409,97500,236528300
2015-09-07,2412,2499,2411,2445,112700,275785500
2015-09-04,2530,2555,2431,2466,124500,309513300
2015-09-03,2526,2585,2517,2542,97800,249196900
2015-09-02,2502,2595,2500,2526,116000,294780000
2015-09-01,2727,2730,2612,2620,87500,233261600
2015-08-31,2780,2787,2727,2731,122400,336660800
2015-08-28,2820,2820,2723,2770,116600,322688600
2015-08-27,2765,2802,2707,2725,152000,418956100
2015-08-26,8080,8310,8000,8120,75800,614312000
2015-08-25,7800,8580,7530,8120,109800,895083000
2015-08-24,8430,8450,8100,8140,64800,538152000
2015-08-21,8680,8740,8600,8620,28600,247757000
2015-08-20,8730,8800,8710,8730,16400,143592000
2015-08-19,8800,8840,8760,8760,11400,100134000
2015-08-18,8810,8870,8810,8850,12700,112187000
2015-08-17,8810,8870,8810,8860,13100,115893000
2015-08-14,8700,8870,8700,8820,19600,172652000
2015-08-13,8770,8800,8690,8730,18500,161587000
2015-08-12,8810,8820,8720,8770,17600,154210000
2015-08-11,8860,8890,8800,8840,17000,150353000
2015-08-10,8750,8850,8690,8830,21500,189155000
2015-08-07,8750,8770,8620,8710,27800,241753000
2015-08-06,8700,8860,8690,8780,33400,293127000
2015-08-05,8480,8780,8480,8730,42600,369713000
2015-08-04,8480,8500,8420,8500,12700,107454000
2015-08-03,8240,8450,8230,8450,18100,151331000
2015-07-31,8210,8250,8170,8250,9900,81358000
2015-07-30,8190,8270,8190,8210,11600,95326000
2015-07-29,8280,8300,8160,8230,17100,140654000
2015-07-28,8220,8310,8110,8240,23800,195663000
2015-07-27,8450,8470,8260,8280,27200,227558000
2015-07-24,8410,8490,8380,8470,26800,226223000
2015-07-23,8430,8430,8330,8400,21100,177105000
2015-07-22,8400,8450,8370,8370,27800,233405000
2015-07-21,8450,8490,8360,8480,48700,410610000
2015-07-17,8340,8400,8310,8400,37500,313947000
2015-07-16,8280,8340,8240,8320,28400,235813000
2015-07-15,8120,8280,8120,8250,30200,248177000
2015-07-14,8190,8250,8150,8170,29100,238358000
2015-07-13,8210,8290,8120,8210,43900,360949000
2015-07-10,8430,8450,8040,8180,79300,653145000
2015-07-09,8190,8400,7920,8300,135700,1108519000
2015-07-08,8040,8060,7850,7850,24100,191309000
2015-07-07,8000,8070,7980,8050,13900,111571000
2015-07-06,7980,8060,7940,7960,12100,96617000
2015-07-03,8130,8150,8000,8080,18300,147773000
2015-07-02,8170,8180,8130,8160,12600,102854000
2015-07-01,8170,8170,8080,8140,6900,56167000
2015-06-30,7950,8150,7950,8130,19100,154413000
2015-06-29,7990,8170,7920,8040,26900,217172000
2015-06-26,8220,8300,8180,8280,19300,159171000
2015-06-25,8360,8360,8220,8230,24500,203094000
2015-06-24,8280,8390,8240,8370,47100,392175000
2015-06-23,8200,8280,8160,8280,60700,499804000
2015-06-22,8050,8170,8050,8160,42400,344994000
2015-06-19,7980,8170,7950,8020,63200,509535000
2015-06-18,7990,8030,7910,7980,22300,177899000
2015-06-17,8000,8030,7940,7950,21700,173143000
2015-06-16,8030,8050,8000,8000,21700,174022000
2015-06-15,8010,8060,7990,8030,17300,138902000
2015-06-12,8030,8050,7990,8040,22500,180604000
2015-06-11,8010,8010,7970,8000,13900,111170000
2015-06-10,7970,8010,7940,7960,20900,166649000
2015-06-09,8000,8000,7920,7970,19300,153939000
2015-06-08,7990,8030,7860,8020,32000,255293000
2015-06-05,7900,7970,7900,7940,12100,96117000
2015-06-04,8010,8010,7910,7920,11800,93683000
2015-06-03,8000,8000,7910,7980,21800,173545000
2015-06-02,8010,8010,7960,8010,16400,131159000
2015-06-01,8000,8030,7920,7960,18300,145862000
2015-05-29,7910,7990,7890,7970,21200,168622000
2015-05-28,7840,7900,7830,7870,23500,184696000
2015-05-27,7950,7960,7870,7900,20100,158743000
2015-05-26,7930,7980,7910,7940,13200,104785000
2015-05-25,8040,8040,7930,7990,13300,106268000
2015-05-22,8020,8030,7910,7960,18900,150435000
2015-05-21,8130,8150,8030,8060,28400,229583000
2015-05-20,8170,8170,8050,8130,19900,161456000
2015-05-19,8110,8170,8070,8100,27300,221778000
2015-05-18,8100,8110,8030,8110,15000,121160000
2015-05-15,8000,8130,7950,8070,30500,245823000
2015-05-14,7980,8020,7940,7940,15900,126831000
2015-05-13,7890,8040,7860,8040,23000,183756000
2015-05-12,7850,7970,7790,7960,21900,172447000
2015-05-11,8040,8040,7830,7850,30100,238451000
2015-05-08,7900,7970,7770,7930,40700,320423000
2015-05-07,8050,8150,7870,7900,41600,331949000
2015-05-01,8000,8160,8000,8050,63400,512572000
2015-04-30,7790,8080,7790,8030,101900,809005000
2015-04-28,7810,7900,7790,7830,272000,2130409000
2015-04-27,7900,8000,7820,7940,104700,829935000
2015-04-24,7920,8020,7900,7950,49700,395943000
