7731-T,東証1部,ニコン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1463,1519,1451,1498,3372100,5037507400
2015-10-01,1471,1520,1461,1503,4887000,7321418800
2015-09-30,1426,1453,1422,1442,4140200,5968002800
2015-09-29,1436,1446,1387,1400,4326500,6093566100
2015-09-28,1445,1454,1425,1449,3440000,4969894900
2015-09-25,1421,1443,1410,1442,3561500,5085413900
2015-09-24,1452,1468,1439,1439,2784100,4029058900
2015-09-18,1482,1494,1456,1467,3723800,5458169600
2015-09-17,1507,1509,1487,1497,2085400,3123674400
2015-09-16,1492,1504,1476,1490,1446300,2158037800
2015-09-15,1480,1508,1470,1480,1712500,2547927000
2015-09-14,1505,1515,1469,1482,2289800,3405510700
2015-09-11,1493,1512,1483,1492,5629900,8418782800
2015-09-10,1501,1538,1495,1532,3236000,4923768400
2015-09-09,1491,1536,1490,1528,4839800,7357997200
2015-09-08,1475,1495,1446,1452,2998100,4385627400
2015-09-07,1448,1467,1431,1465,3548200,5158790500
2015-09-04,1505,1505,1447,1460,3600700,5284252000
2015-09-03,1516,1516,1487,1488,2618600,3919062500
2015-09-02,1498,1516,1475,1491,4328100,6479915200
2015-09-01,1547,1557,1517,1519,2700400,4126598100
2015-08-31,1558,1570,1530,1555,3230600,5003789400
2015-08-28,1567,1585,1538,1565,3441900,5390763800
2015-08-27,1545,1554,1508,1529,4342600,6649416000
2015-08-26,1497,1527,1466,1516,5258000,7884725700
2015-08-25,1492,1576,1463,1483,6721100,10179824200
2015-08-24,1499,1538,1496,1508,5291900,8016913300
2015-08-21,1552,1569,1500,1538,9694300,14943101400
2015-08-20,1660,1671,1596,1612,9098600,14781254100
2015-08-19,1689,1720,1683,1688,3428000,5815851800
2015-08-18,1683,1710,1677,1692,4053700,6874724700
2015-08-17,1665,1693,1655,1683,4996400,8386357900
2015-08-14,1700,1714,1656,1664,8266000,13910282900
2015-08-13,1609,1634,1604,1625,3415700,5543926600
2015-08-12,1613,1627,1595,1604,2662100,4281007700
2015-08-11,1607,1628,1605,1614,3840700,6210551100
2015-08-10,1583,1624,1583,1593,3885800,6221515400
2015-08-07,1568,1620,1555,1582,11439400,18120995500
2015-08-06,1530,1530,1507,1511,2804400,4255152500
2015-08-05,1504,1533,1502,1527,3343400,5096952900
2015-08-04,1519,1564,1506,1516,6752500,10284398100
2015-08-03,1486,1487,1452,1468,3474300,5082956600
2015-07-31,1456,1484,1451,1474,2875000,4232743700
2015-07-30,1470,1470,1452,1456,2473600,3609242300
2015-07-29,1460,1476,1434,1453,3199200,4656148100
2015-07-28,1430,1456,1421,1450,3058600,4401266000
2015-07-27,1460,1466,1445,1454,2029100,2951343200
2015-07-24,1472,1478,1462,1465,1632600,2397292000
2015-07-23,1481,1489,1467,1477,1396400,2060279600
2015-07-22,1489,1489,1467,1479,1975400,2923887200
2015-07-21,1510,1513,1493,1500,2331000,3497208300
2015-07-17,1487,1510,1480,1504,3451600,5177984700
2015-07-16,1487,1492,1464,1477,2400500,3537967800
2015-07-15,1473,1494,1473,1477,3099100,4599424300
2015-07-14,1470,1482,1459,1466,3256000,4779079400
2015-07-13,1435,1464,1429,1451,3033400,4408401800
2015-07-10,1422,1439,1411,1426,2681200,3823681700
2015-07-09,1413,1422,1383,1419,4215900,5909692200
2015-07-08,1461,1464,1426,1431,3801500,5469770600
2015-07-07,1468,1487,1456,1456,3223700,4739070100
2015-07-06,1436,1458,1435,1444,3518400,5083684300
2015-07-03,1425,1458,1422,1452,3591600,5174071400
2015-07-02,1430,1434,1418,1426,3370500,4809927900
2015-07-01,1422,1424,1415,1416,2223500,3153940100
2015-06-30,1432,1432,1412,1416,4480600,6358517400
2015-06-29,1442,1446,1423,1436,3492400,5013577400
2015-06-26,1475,1484,1461,1472,2973100,4375630400
2015-06-25,1455,1493,1450,1487,6140800,9065419800
2015-06-24,1452,1456,1434,1438,4783900,6902050300
2015-06-23,1447,1459,1435,1451,3225200,4681375600
2015-06-22,1440,1471,1440,1445,3887600,5643191100
2015-06-19,1431,1433,1411,1427,5841100,8317215900
2015-06-18,1436,1442,1430,1431,2403900,3448378100
2015-06-17,1456,1458,1430,1445,4252300,6129708100
2015-06-16,1468,1478,1455,1460,3100200,4531069200
2015-06-15,1475,1493,1468,1482,3153000,4676279900
2015-06-12,1479,1483,1468,1480,4393700,6485048400
2015-06-11,1486,1492,1478,1485,2073800,3081021300
2015-06-10,1485,1493,1473,1476,2682900,3975482200
2015-06-09,1500,1502,1485,1485,3812500,5687198800
2015-06-08,1521,1526,1504,1508,3217700,4873926100
2015-06-05,1533,1540,1501,1516,4718400,7136916600
2015-06-04,1527,1567,1527,1549,2966600,4592926900
2015-06-03,1527,1567,1527,1551,2839400,4402664700
2015-06-02,1550,1550,1533,1536,2112400,3253508500
2015-06-01,1527,1547,1527,1540,2688300,4136053700
2015-05-29,1504,1550,1504,1543,6232300,9556750800
2015-05-28,1510,1521,1505,1512,2483000,3756775500
2015-05-27,1509,1518,1490,1513,3326800,5020373000
2015-05-26,1505,1510,1500,1502,2286300,3437577300
2015-05-25,1510,1524,1509,1514,2878400,4363133700
2015-05-22,1510,1510,1495,1507,3599700,5413995800
2015-05-21,1509,1514,1503,1510,3328000,5024624400
2015-05-20,1500,1507,1482,1499,4735900,7089551700
2015-05-19,1536,1536,1505,1510,6022400,9114016500
2015-05-18,1522,1543,1508,1536,7544200,11555860500
2015-05-15,1515,1546,1483,1527,18740500,28277549200
2015-05-14,1693,1734,1693,1715,2594000,4444497400
2015-05-13,1697,1734,1691,1714,3005900,5164282100
2015-05-12,1724,1728,1684,1704,2801800,4770226000
2015-05-11,1712,1716,1691,1708,2662100,4547293700
2015-05-08,1683,1699,1679,1684,1932500,3261801000
2015-05-07,1675,1694,1641,1684,2909400,4876858500
2015-05-01,1706,1718,1680,1696,2031600,3438678300
2015-04-30,1725,1725,1688,1702,4869600,8278153900
2015-04-28,1771,1775,1698,1737,4592600,7955941000
2015-04-27,1798,1809,1770,1773,3295600,5897451600
2015-04-24,1770,1779,1748,1762,2064300,3641007000
2015-04-23,1738,1799,1736,1759,7414000,13101330600
2015-04-22,1700,1760,1697,1732,6742100,11665774000
2015-04-21,1695,1696,1641,1684,5346700,8903050900
2015-04-20,1686,1697,1656,1691,2915300,4903758300
2015-04-17,1709,1716,1698,1709,1867800,3189031500
2015-04-16,1690,1720,1686,1714,2721300,4650673700
2015-04-15,1680,1705,1675,1702,2493200,4230188500
2015-04-14,1705,1717,1682,1693,2753700,4669138000
2015-04-13,1692,1702,1676,1696,1991500,3374910300
2015-04-10,1695,1696,1671,1692,2965400,5011055900
2015-04-09,1700,1701,1685,1696,2245400,3805305700
2015-04-08,1710,1718,1686,1702,4121900,7015718800
2015-04-07,1644,1683,1638,1677,3628700,6062600600
2015-04-06,1621,1644,1615,1632,2011900,3286997200
2015-04-03,1623,1649,1618,1638,3456900,5670344000
2015-04-02,1660,1664,1617,1623,5147200,8421634100
2015-04-01,1609,1609,1572,1585,3562500,5652585500
2015-03-31,1615,1629,1603,1610,2884100,4651288200
2015-03-30,1583,1603,1545,1602,3430900,5440776300
2015-03-27,1632,1639,1590,1610,4189800,6755542100
2015-03-26,1655,1659,1644,1652,2752900,4546043000
2015-03-25,1700,1723,1667,1673,5282800,8929092400
2015-03-24,1665,1687,1660,1667,4417200,7399917800
2015-03-23,1672,1676,1641,1658,5475500,9079789600
2015-03-20,1691,1693,1672,1677,3433700,5768356900
2015-03-19,1687,1701,1674,1687,3096100,5211850600
2015-03-18,1690,1703,1680,1703,1920100,3247371200
2015-03-17,1712,1733,1692,1700,2272300,3870663300
2015-03-16,1684,1710,1677,1695,2950900,5011536100
2015-03-13,1687,1691,1637,1684,6982300,11710929100
2015-03-12,1680,1697,1667,1686,4709200,7939664800
2015-03-11,1680,1685,1661,1666,4305600,7197175300
2015-03-10,1669,1744,1661,1701,6848500,11668611500
2015-03-09,1674,1687,1647,1656,4845600,8044236400
2015-03-06,1630,1674,1624,1670,6177100,10245674600
2015-03-05,1578,1644,1577,1637,6550600,10651105900
2015-03-04,1561,1597,1560,1577,4098700,6476924200
2015-03-03,1571,1572,1550,1560,2997600,4676396200
2015-03-02,1559,1569,1549,1561,4926200,7676691200
2015-02-27,1540,1545,1526,1545,3290400,5067092500
2015-02-26,1538,1549,1533,1540,2354400,3622994200
2015-02-25,1546,1547,1525,1533,2988900,4589190800
2015-02-24,1549,1563,1539,1547,2475800,3837390900
2015-02-23,1538,1566,1538,1545,3435000,5326049300
2015-02-20,1521,1532,1517,1528,2574000,3929192600
2015-02-19,1532,1550,1511,1513,3154800,4811633500
2015-02-18,1512,1542,1508,1515,6648600,10126888700
