7733-T,東証1部,オリンパス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3780,3810,3745,3795,1277400,4829213500
2015-10-01,3740,3825,3665,3800,1830100,6885603000
2015-09-30,3705,3740,3665,3715,1691300,6271427500
2015-09-29,3785,3800,3595,3615,2881200,10521388000
2015-09-28,3995,3995,3870,3905,1941100,7594455500
2015-09-25,4060,4070,3860,3965,3891000,15314575000
2015-09-24,4140,4210,4105,4105,1422100,5880937000
2015-09-18,4280,4280,4145,4185,1233900,5180527500
2015-09-17,4270,4300,4195,4250,1458600,6209594500
2015-09-16,4215,4260,4170,4230,1310200,5529900500
2015-09-15,4160,4185,4100,4165,1510600,6268741000
2015-09-14,4215,4230,4110,4120,941400,3910117000
2015-09-11,4225,4270,4160,4195,2658400,11205721000
2015-09-10,4155,4215,4090,4185,1510300,6294367000
2015-09-09,4115,4300,4085,4300,1825200,7707321000
2015-09-08,4090,4095,3940,3940,1108800,4423197500
2015-09-07,4110,4135,4050,4080,1154100,4715383000
2015-09-04,4175,4175,4055,4100,1778200,7329629000
2015-09-03,4185,4220,4135,4150,1336600,5569574000
2015-09-02,4105,4215,4075,4115,1495900,6205085000
2015-09-01,4360,4385,4175,4175,1976100,8380235000
2015-08-31,4440,4500,4395,4430,2878300,12800921500
2015-08-28,4460,4505,4395,4440,3102400,13786318500
2015-08-27,4285,4365,4270,4300,1553800,6701062000
2015-08-26,4130,4215,4090,4190,1959500,8155933500
2015-08-25,4185,4385,4125,4125,2844500,12082299000
2015-08-24,4410,4420,4240,4255,2099200,9046240500
2015-08-21,4570,4620,4500,4500,1421200,6444088500
2015-08-20,4675,4730,4630,4640,1852700,8655290500
2015-08-19,4720,4780,4620,4640,2047800,9590688500
2015-08-18,4840,4860,4725,4725,2129800,10143227500
2015-08-17,4890,4930,4875,4890,1193700,5846294000
2015-08-14,4935,4955,4800,4890,2300400,11225336500
2015-08-13,4935,4990,4880,4945,1109800,5488639000
2015-08-12,4950,5040,4860,4935,1887600,9353524500
2015-08-11,4920,4985,4860,4900,1084900,5327266000
2015-08-10,4895,4925,4820,4910,1531900,7478107500
2015-08-07,4580,4810,4580,4795,1701500,8051514000
2015-08-06,4925,4945,4795,4900,1229500,5994652000
2015-08-05,4775,4960,4770,4885,1339200,6557986500
2015-08-04,4740,4840,4720,4760,906300,4323018000
2015-08-03,4735,4765,4685,4740,837400,3962429000
2015-07-31,4750,4780,4725,4750,1029500,4892890000
2015-07-30,4755,4815,4740,4745,1295600,6172058500
2015-07-29,4765,4770,4685,4715,755100,3561105000
2015-07-28,4690,4740,4660,4700,1391200,6547990000
2015-07-27,4800,4830,4700,4715,1309400,6225452000
2015-07-24,4825,4890,4825,4835,840800,4082474500
2015-07-23,4890,4965,4835,4870,1171800,5745261000
2015-07-22,4760,4925,4740,4870,1855600,8997702500
2015-07-21,4670,4760,4625,4750,1435200,6740538000
2015-07-17,4625,4650,4595,4635,999600,4626187000
2015-07-16,4650,4660,4585,4625,1122100,5185388000
2015-07-15,4585,4665,4565,4610,1931900,8929777000
2015-07-14,4530,4570,4510,4530,1046100,4749497500
2015-07-13,4500,4520,4465,4490,1183900,5320712500
2015-07-10,4430,4505,4410,4450,2148900,9589628000
2015-07-09,4270,4445,4220,4445,2223000,9630687500
2015-07-08,4430,4460,4395,4410,1803900,7976473500
2015-07-07,4410,4485,4385,4470,3221500,14345391500
2015-07-06,4325,4395,4320,4370,3541300,15427260500
2015-07-03,4315,4415,4315,4400,2026900,8885638000
2015-07-02,4300,4340,4275,4295,936000,4025014500
2015-07-01,4255,4280,4240,4245,802900,3416624500
2015-06-30,4240,4245,4190,4230,1067700,4504627500
2015-06-29,4250,4295,4235,4235,1304500,5561568000
2015-06-26,4345,4380,4305,4365,863100,3759732000
2015-06-25,4375,4375,4340,4345,581900,2535499000
2015-06-24,4380,4410,4340,4385,1612900,7060549500
2015-06-23,4240,4395,4210,4395,2552500,11026747500
2015-06-22,4165,4200,4155,4190,862200,3608343500
2015-06-19,4185,4190,4155,4175,779700,3255963500
