7735-T,東証1部,スクリン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,580,613,580,608,2118000,1271422000
2015-10-01,596,602,589,597,2227000,1329587000
2015-09-30,567,588,565,582,2088000,1204537000
2015-09-29,581,583,560,562,2804000,1597198000
2015-09-28,606,613,585,590,2583000,1539345000
2015-09-25,599,606,584,606,2312000,1379726000
2015-09-24,608,610,588,595,2893000,1727088000
2015-09-18,638,640,623,628,2769000,1741987000
2015-09-17,642,655,638,650,2349000,1520483000
2015-09-16,629,638,617,636,2597000,1640681000
2015-09-15,613,636,610,629,3672000,2297606000
2015-09-14,615,615,601,608,2383000,1447972000
2015-09-11,629,630,612,615,5338000,3318419000
2015-09-10,604,641,602,640,5282000,3316769000
2015-09-09,600,620,595,619,4829000,2940966000
2015-09-08,577,592,574,574,3845000,2235349000
2015-09-07,556,573,547,568,2529000,1428291000
2015-09-04,583,583,551,557,2393000,1348323000
2015-09-03,577,590,567,570,2926000,1689171000
2015-09-02,560,571,555,561,2579000,1452245000
2015-09-01,580,584,570,570,2991000,1718831000
2015-08-31,591,596,579,582,3368000,1970425000
2015-08-28,582,607,581,600,3808000,2267128000
2015-08-27,568,578,557,567,3104000,1766116000
2015-08-26,536,567,528,562,3548000,1945890000
2015-08-25,520,572,510,531,5092000,2764329000
2015-08-24,555,560,540,543,4206000,2308010000
2015-08-21,560,577,559,573,4044000,2305672000
2015-08-20,586,586,570,580,3782000,2187502000
2015-08-19,606,610,590,592,3886000,2321749000
2015-08-18,612,617,603,611,3475000,2124981000
2015-08-17,634,636,614,622,3202000,1993994000
2015-08-14,637,639,631,637,2522000,1603637000
2015-08-13,630,643,624,637,5387000,3422721000
2015-08-12,649,649,611,616,5884000,3668578000
2015-08-11,684,691,654,659,5373000,3593568000
2015-08-10,652,673,643,669,3393000,2243354000
2015-08-07,668,670,652,652,2268000,1493047000
2015-08-06,659,673,652,666,2424000,1608220000
2015-08-05,640,678,632,666,4260000,2817343000
2015-08-04,639,652,635,650,3009000,1933017000
2015-08-03,653,661,644,646,2649000,1725123000
2015-07-31,625,654,625,652,2616000,1688172000
2015-07-30,631,653,631,635,2858000,1827019000
2015-07-29,660,664,617,625,7032000,4446863000
2015-07-28,654,676,652,670,3232000,2152231000
2015-07-27,660,660,650,654,2857000,1869933000
2015-07-24,667,680,667,672,2319000,1558502000
2015-07-23,685,689,669,677,1863000,1259998000
2015-07-22,692,692,674,680,3863000,2630829000
2015-07-21,712,712,699,701,3946000,2780289000
2015-07-17,730,734,705,705,8019000,5717562000
2015-07-16,756,756,719,724,5089000,3703421000
2015-07-15,754,773,748,758,3124000,2380605000
2015-07-14,740,753,731,748,2873000,2143075000
2015-07-13,731,734,716,719,2002000,1447703000
2015-07-10,730,730,713,723,2611000,1886538000
2015-07-09,722,738,694,737,3092000,2228300000
2015-07-08,779,784,750,750,2452000,1865254000
2015-07-07,755,786,751,782,2498000,1921885000
2015-07-06,761,772,741,747,3276000,2472294000
2015-07-03,766,777,764,776,1278000,986482000
2015-07-02,793,793,766,768,1986000,1544077000
2015-07-01,767,778,764,776,1591000,1227988000
2015-06-30,769,776,763,771,1655000,1272773000
2015-06-29,763,781,761,767,2216000,1708969000
2015-06-26,801,808,791,791,2030000,1619338000
2015-06-25,779,826,772,807,4686000,3778964000
2015-06-24,792,802,779,783,2618000,2064453000
2015-06-23,769,795,769,792,2228000,1746143000
2015-06-22,769,777,761,767,2158000,1657261000
2015-06-19,770,781,765,781,3448000,2678358000
2015-06-18,778,781,753,755,3485000,2655366000
2015-06-17,782,783,761,768,3865000,2973517000
2015-06-16,802,803,782,785,2274000,1790827000
2015-06-15,808,810,788,798,2446000,1946534000
2015-06-12,827,836,813,817,3731000,3069714000
2015-06-11,826,831,819,830,1446000,1194665000
2015-06-10,827,833,814,819,2361000,1941871000
2015-06-09,840,840,813,813,2518000,2075768000
2015-06-08,852,855,841,843,1947000,1647636000
2015-06-05,843,851,834,845,3471000,2924656000
2015-06-04,880,882,841,844,6097000,5216622000
2015-06-03,906,907,888,891,3422000,3059652000
2015-06-02,935,935,916,918,2347000,2163042000
2015-06-01,954,954,932,934,1782000,1670017000
2015-05-29,950,963,950,957,1999000,1915345000
2015-05-28,946,957,942,951,2168000,2059798000
2015-05-27,913,950,911,938,3421000,3198472000
2015-05-26,906,912,898,910,1579000,1430698000
2015-05-25,898,905,895,905,1234000,1111831000
2015-05-22,895,895,880,892,2279000,2020625000
2015-05-21,899,904,887,893,1862000,1664299000
2015-05-20,909,909,896,906,1520000,1373504000
2015-05-19,895,909,887,899,2421000,2170782000
2015-05-18,886,890,871,886,1582000,1394494000
2015-05-15,895,898,886,891,2407000,2141567000
2015-05-14,900,904,877,890,5091000,4528791000
2015-05-13,838,865,831,861,2206000,1882378000
2015-05-12,837,838,824,837,2321000,1931676000
2015-05-11,832,844,829,842,1756000,1472564000
2015-05-08,817,844,817,827,3234000,2670196000
2015-05-07,814,820,803,812,1997000,1621597000
2015-05-01,816,822,795,807,1938000,1559702000
2015-04-30,822,829,813,816,2728000,2236646000
2015-04-28,828,836,820,824,2609000,2154739000
2015-04-27,827,837,818,819,2340000,1930318000
2015-04-24,828,833,818,827,2298000,1893552000
2015-04-23,842,858,830,838,3086000,2588070000
2015-04-22,835,842,823,827,2635000,2191794000
2015-04-21,819,825,807,821,2991000,2442077000
2015-04-20,810,826,810,816,2407000,1962330000
2015-04-17,809,828,803,825,7913000,6447661000
2015-04-16,856,860,849,853,2186000,1865910000
2015-04-15,850,866,841,861,2487000,2131325000
2015-04-14,889,916,866,868,4251000,3772596000
2015-04-13,894,899,882,882,1106000,979182000
2015-04-10,902,908,885,890,2038000,1821230000
2015-04-09,894,911,889,904,1885000,1700872000
2015-04-08,883,890,880,883,1002000,885418000
2015-04-07,891,900,877,881,2007000,1778110000
2015-04-06,863,894,863,881,2464000,2174321000
2015-04-03,871,882,861,872,2109000,1834391000
2015-04-02,893,893,868,877,3943000,3459859000
2015-04-01,915,916,891,891,2214000,1990113000
2015-03-31,925,935,910,910,2687000,2472036000
2015-03-30,890,921,884,916,2643000,2403997000
2015-03-27,952,953,908,919,3158000,2920865000
2015-03-26,953,959,928,950,5016000,4745383000
2015-03-25,976,988,954,969,3029000,2925515000
2015-03-24,957,1004,955,978,8402000,8254766000
2015-03-23,966,976,925,966,13879000,13245525000
2015-03-20,891,909,881,906,2519000,2255629000
2015-03-19,888,895,874,890,3359000,2968585000
2015-03-18,891,904,888,903,2005000,1799069000
2015-03-17,893,899,885,891,2141000,1911944000
2015-03-16,851,896,850,884,3753000,3303523000
2015-03-13,848,869,840,865,4092000,3495060000
2015-03-12,834,839,825,835,2132000,1773964000
2015-03-11,827,846,823,828,2172000,1802794000
2015-03-10,830,854,829,838,3369000,2838881000
2015-03-09,824,830,819,824,1398000,1151310000
2015-03-06,816,835,811,832,2340000,1939604000
2015-03-05,810,814,806,811,904000,732939000
2015-03-04,817,820,801,806,1821000,1472817000
2015-03-03,820,829,816,821,1574000,1293715000
2015-03-02,813,823,805,820,2144000,1750440000
2015-02-27,792,820,786,819,3658000,2954328000
2015-02-26,796,798,788,792,2132000,1687133000
2015-02-25,796,799,787,796,1732000,1376418000
2015-02-24,801,802,793,799,1609000,1283400000
2015-02-23,816,821,798,801,2459000,1979059000
2015-02-20,814,822,808,809,1678000,1364353000
2015-02-19,809,827,805,808,2693000,2190226000
2015-02-18,789,808,784,807,4536000,3631713000
2015-02-17,775,792,766,783,2663000,2086853000
2015-02-16,771,777,756,772,2741000,2111320000
2015-02-13,757,782,755,774,4974000,3822774000
2015-02-12,715,743,710,742,5268000,3862178000
2015-02-10,680,706,657,705,4715000,3255871000
2015-02-09,695,717,694,698,3996000,2818991000
2015-02-06,700,700,680,685,1875000,1289457000
2015-02-05,696,699,690,691,1731000,1200205000
2015-02-04,690,706,688,702,1954000,1369305000
2015-02-03,690,693,678,680,1847000,1263871000
2015-02-02,690,696,682,687,2124000,1463718000
2015-01-30,704,713,695,704,2846000,2007244000
2015-01-29,687,702,681,699,3552000,2463100000
2015-01-28,710,714,684,687,5585000,3854315000
2015-01-27,720,725,715,717,1807000,1299034000
2015-01-26,713,720,709,716,1670000,1192183000
2015-01-23,739,739,715,722,2018000,1458634000
2015-01-22,711,732,707,732,2792000,2020196000
2015-01-21,730,730,705,708,3707000,2633479000
2015-01-20,732,734,714,729,4503000,3261526000
2015-01-19,735,748,724,730,4632000,3394684000
2015-01-16,721,750,712,731,16342000,11892916000
2015-01-15,666,679,665,676,4504000,3033865000
2015-01-14,671,678,661,661,2262000,1508519000
2015-01-13,677,681,656,674,4966000,3327300000
2015-01-09,733,735,690,691,5129000,3634364000
2015-01-08,700,734,697,726,5279000,3817436000
2015-01-07,666,686,663,683,3489000,2361743000
2015-01-06,695,695,665,673,6050000,4082896000
2015-01-05,704,721,704,715,1494000,1067174000
2014-12-30,722,725,712,715,1005000,720409000
2014-12-29,745,747,718,727,1295000,945823000
2014-12-26,730,741,726,740,896000,659585000
2014-12-25,726,728,722,727,842000,610881000
2014-12-24,741,743,721,732,2085000,1520577000
2014-12-22,736,739,727,736,1714000,1256169000
2014-12-19,739,739,726,734,2695000,1975560000
2014-12-18,730,739,715,718,3521000,2546669000
2014-12-17,695,710,693,705,3896000,2737318000
2014-12-16,693,704,687,697,3453000,2399778000
2014-12-15,724,726,710,713,2024000,1450633000
2014-12-12,734,745,731,740,3784000,2789209000
2014-12-11,720,722,707,719,2215000,1585716000
2014-12-10,723,733,720,731,2096000,1524247000
2014-12-09,732,744,730,736,1791000,1316883000
2014-12-08,750,753,741,745,2001000,1492280000
2014-12-05,768,772,718,742,8376000,6191496000
2014-12-04,800,801,770,778,3303000,2575471000
2014-12-03,806,809,789,789,1961000,1565737000
2014-12-02,795,814,789,796,2589000,2066947000
2014-12-01,768,802,768,798,2521000,1994212000
2014-11-28,762,771,762,768,1720000,1320116000
2014-11-27,753,769,753,760,1768000,1345217000
2014-11-26,760,763,754,760,1683000,1278554000
2014-11-25,769,774,756,766,2554000,1949596000
2014-11-21,750,769,747,765,3295000,2494940000
2014-11-20,753,758,745,748,1467000,1098852000
2014-11-19,757,769,746,748,2483000,1868563000
2014-11-18,734,757,728,757,3798000,2831536000
2014-11-17,742,747,721,724,2822000,2058095000
2014-11-14,725,748,722,747,4933000,3629530000
2014-11-13,714,719,705,716,2388000,1704880000
2014-11-12,704,720,702,708,4661000,3321934000
2014-11-11,698,700,667,696,6454000,4447090000
2014-11-10,655,666,648,666,2627000,1732823000
2014-11-07,661,665,650,654,2350000,1538505000
2014-11-06,660,662,649,653,3030000,1985809000
2014-11-05,626,664,626,662,8475000,5504980000
2014-11-04,612,618,601,606,4775000,2905396000
2014-10-31,577,597,574,594,3436000,2012852000
2014-10-30,566,575,565,574,1498000,856684000
2014-10-29,568,574,564,569,2250000,1280682000
2014-10-28,567,571,560,562,2171000,1225470000
2014-10-27,567,570,561,566,1775000,1003011000
2014-10-24,558,563,554,560,2694000,1506600000
2014-10-23,551,558,549,552,2249000,1243372000
2014-10-22,527,560,526,559,6767000,3704506000
2014-10-21,525,525,518,519,2470000,1286010000
2014-10-20,523,528,513,525,3187000,1664223000
2014-10-17,510,520,507,512,3548000,1820251000
2014-10-16,493,505,491,500,3000000,1499203000
2014-10-15,502,514,498,512,3094000,1565705000
2014-10-14,496,498,488,494,3483000,1720557000
2014-10-10,513,514,502,506,2788000,1416308000
2014-10-09,517,519,508,516,4680000,2405367000
2014-10-08,524,528,521,525,1772000,929525000
2014-10-07,530,537,526,532,2023000,1076626000
2014-10-06,534,538,527,534,2308000,1229601000
2014-10-03,523,535,519,526,2859000,1497839000
2014-10-02,540,546,526,527,2648000,1413280000
2014-10-01,560,562,546,546,2178000,1204144000
2014-09-30,566,566,553,558,1886000,1052467000
2014-09-29,569,572,559,563,2650000,1495192000
2014-09-26,552,567,552,564,3293000,1848529000
2014-09-25,574,577,558,562,4314000,2449532000
