7744-T,東証1部,ノーリツ鋼機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,566,571,557,568,28100,15876700
2015-10-01,578,578,565,568,48400,27613700
2015-09-30,580,583,574,575,22300,12901200
2015-09-29,583,584,571,573,66700,38326000
2015-09-28,594,597,587,591,24400,14410100
2015-09-25,584,592,584,592,38100,22428000
2015-09-24,600,600,584,584,33100,19546400
2015-09-18,607,608,598,602,20600,12412300
2015-09-17,613,614,607,612,16400,10013000
2015-09-16,615,617,605,612,29200,17827800
2015-09-15,620,632,611,612,34600,21453400
2015-09-14,620,626,611,617,40100,24767700
2015-09-11,588,628,588,621,86900,52685800
2015-09-10,583,593,582,590,15800,9270700
2015-09-09,599,599,582,599,56600,33481100
2015-09-08,582,588,573,573,68000,39362200
2015-09-07,590,599,582,592,38400,22611400
2015-09-04,618,620,593,599,50500,30521100
2015-09-03,622,627,614,614,23600,14651900
2015-09-02,608,627,607,618,48100,29516200
2015-09-01,628,640,618,618,56700,35602500
2015-08-31,645,645,626,633,56600,36011100
2015-08-28,669,669,645,651,62600,40906500
2015-08-27,670,670,641,649,84300,55013500
2015-08-26,628,635,610,630,76600,47920000
2015-08-25,591,640,581,606,197400,120862600
2015-08-24,650,666,631,636,189800,122996800
2015-08-21,681,686,675,680,91000,61973700
2015-08-20,701,705,699,700,82700,58030400
2015-08-19,704,710,701,704,107300,75524400
2015-08-18,714,718,703,708,114900,81596900
2015-08-17,722,733,715,719,124000,89546400
2015-08-14,720,738,715,734,173600,125693000
2015-08-13,730,737,715,724,304400,221566200
2015-08-12,759,767,706,725,1083500,791421900
2015-08-11,760,760,760,760,47800,36328000
2015-08-10,653,664,648,660,59300,38968900
2015-08-07,656,662,650,651,18900,12354900
2015-08-06,665,665,657,659,37000,24456700
2015-08-05,658,665,652,663,40000,26432800
2015-08-04,648,658,646,657,32100,20959100
2015-08-03,660,660,645,653,32000,20859600
2015-07-31,650,659,649,656,14100,9235000
2015-07-30,656,658,647,650,58900,38330300
2015-07-29,659,661,653,654,18700,12259900
2015-07-28,660,663,654,659,38800,25493100
2015-07-27,667,672,664,665,30900,20622500
2015-07-24,678,680,665,667,67300,45101600
2015-07-23,673,679,669,678,24400,16442200
2015-07-22,671,679,669,673,27000,18192100
2015-07-21,680,681,668,672,42500,28666700
2015-07-17,680,681,670,674,21100,14228300
2015-07-16,677,677,669,671,26400,17742600
2015-07-15,670,677,665,671,46000,30829100
2015-07-14,674,676,663,670,35300,23650400
2015-07-13,669,674,661,661,65800,43792300
2015-07-10,670,686,660,661,138700,92746200
2015-07-09,675,678,654,674,105500,70385100
2015-07-08,699,706,693,693,126900,88868300
2015-07-07,707,716,703,706,32900,23288300
2015-07-06,701,708,700,701,53900,37886700
2015-07-03,712,717,708,709,34400,24449700
2015-07-02,714,718,709,712,31000,22089200
2015-07-01,703,713,702,710,37400,26477700
2015-06-30,690,706,690,704,59200,41459400
2015-06-29,691,702,681,691,169800,117486800
2015-06-26,710,720,703,706,72500,51338100
2015-06-25,709,720,702,711,80200,56935800
2015-06-24,718,724,708,713,85700,61166400
2015-06-23,711,714,703,714,65100,46121300
2015-06-22,710,716,705,711,43500,30816900
2015-06-19,706,715,705,708,55400,39259900
2015-06-18,719,724,710,710,88600,63423600
2015-06-17,740,747,716,727,114100,83169000
2015-06-16,756,769,739,742,93600,70211900
2015-06-15,756,770,751,754,113400,85671400
2015-06-12,776,779,756,760,297000,228641600
2015-06-11,743,784,743,778,321300,246142300
2015-06-10,727,733,726,732,43700,31909600
2015-06-09,726,735,725,731,53400,39007500
2015-06-08,733,737,721,726,29800,21672700
2015-06-05,720,739,719,733,58700,42827100
2015-06-04,720,726,715,722,41400,29919200
2015-06-03,713,722,709,720,36400,26139200
2015-06-02,713,715,706,712,32800,23325200
2015-06-01,720,725,713,721,40400,29031600
2015-05-29,723,723,710,721,33300,23968100
2015-05-28,714,723,714,722,45300,32608800
2015-05-27,707,724,705,718,58000,41390000
2015-05-26,712,719,702,714,67800,48284900
2015-05-25,712,713,704,710,46600,33009300
2015-05-22,705,715,701,712,44000,31169200
2015-05-21,702,708,696,704,94000,65914000
2015-05-20,725,725,700,708,117900,83548500
2015-05-19,727,740,724,738,97200,71361700
2015-05-18,714,730,714,726,86000,62165200
2015-05-15,701,714,701,708,35000,24715000
2015-05-14,688,715,687,704,98400,69243600
2015-05-13,682,695,680,688,23600,16247500
2015-05-12,687,689,682,686,11100,7624300
2015-05-11,683,697,683,688,22400,15477500
2015-05-08,674,684,672,683,23800,16100300
2015-05-07,678,682,673,677,20600,13954600
2015-05-01,681,684,672,678,48100,32575800
2015-04-30,689,691,685,685,48500,33399200
2015-04-28,693,695,689,691,38100,26370300
2015-04-27,690,697,690,692,34200,23652600
2015-04-24,691,695,690,690,22700,15713200
2015-04-23,692,697,691,691,16000,11085900
2015-04-22,696,699,690,691,27100,18765100
2015-04-21,693,700,691,692,21300,14770800
2015-04-20,690,697,690,692,16900,11698400
2015-04-17,697,704,696,696,19100,13355900
2015-04-16,703,705,698,702,14400,10092300
2015-04-15,698,702,687,699,38000,26520400
2015-04-14,696,705,696,702,26300,18442400
2015-04-13,697,702,690,697,25100,17502100
2015-04-10,700,703,695,697,29100,20331600
2015-04-09,700,705,678,697,28100,19499800
2015-04-08,703,709,699,700,31500,22181200
2015-04-07,693,704,692,698,17700,12383000
2015-04-06,699,709,691,698,38000,26507300
2015-04-03,706,708,699,702,15500,10913000
2015-04-02,696,707,696,706,30200,21235700
2015-04-01,696,698,687,696,62600,43457200
2015-03-31,695,708,695,696,37600,26330200
2015-03-30,685,698,685,692,26300,18179100
2015-03-27,683,703,678,687,38700,26676600
2015-03-26,702,702,692,696,38800,27018600
2015-03-25,705,712,702,702,43900,31046000
2015-03-24,702,710,701,705,18900,13290700
2015-03-23,710,712,701,705,26000,18404000
2015-03-20,705,709,697,709,40700,28712500
2015-03-19,702,710,697,700,31200,21890700
2015-03-18,709,711,702,708,21900,15457000
2015-03-17,705,712,698,705,27100,19135300
2015-03-16,702,706,697,703,20700,14520500
2015-03-13,710,710,705,706,41800,29635100
2015-03-12,701,710,701,706,43300,30573900
2015-03-11,700,704,697,701,27000,18935900
2015-03-10,703,703,680,700,57600,40228600
2015-03-09,698,701,693,699,37000,25830900
2015-03-06,703,705,698,700,39600,27771100
2015-03-05,698,705,698,703,39200,27531000
2015-03-04,686,703,686,697,95500,66497300
2015-03-03,684,694,682,691,47100,32442800
2015-03-02,685,687,678,683,17800,12159700
2015-02-27,683,690,673,684,57000,38962300
2015-02-26,670,697,670,686,64600,44182800
2015-02-25,675,676,668,670,20700,13917000
2015-02-24,669,680,666,675,31500,21246700
2015-02-23,672,674,666,670,34300,22974500
2015-02-20,679,680,671,675,28200,19057500
2015-02-19,671,681,671,677,60600,41061100
2015-02-18,675,680,669,675,48600,32784100
2015-02-17,678,678,669,673,31400,21139700
2015-02-16,670,677,668,674,34200,23027400
2015-02-13,676,676,670,672,35900,24198300
2015-02-12,678,680,666,667,36000,24153000
2015-02-10,666,685,660,668,88400,59401000
2015-02-09,668,670,662,669,29800,19873100
2015-02-06,661,675,643,668,67300,44570400
2015-02-05,658,664,649,664,55100,36176300
2015-02-04,645,656,645,653,35200,22941300
2015-02-03,642,655,631,645,128100,83101800
2015-02-02,636,641,628,640,36800,23392200
2015-01-30,638,642,635,640,17700,11304400
2015-01-29,635,648,632,638,50300,32166500
2015-01-28,637,644,633,641,15600,9962800
2015-01-27,634,638,631,637,25500,16189200
2015-01-26,629,633,622,632,16300,10262500
2015-01-23,629,630,625,630,32000,20086900
2015-01-22,626,630,622,625,32600,20396100
2015-01-21,632,632,623,625,24500,15347800
2015-01-20,619,632,619,631,98900,62230200
2015-01-19,619,624,617,618,20500,12701700
2015-01-16,628,628,610,621,71000,43898900
2015-01-15,623,639,622,636,40400,25479100
2015-01-14,632,642,623,627,60500,38162100
2015-01-13,648,650,633,642,68900,44093500
2015-01-09,656,665,653,654,53400,35147300
2015-01-08,660,667,655,665,54500,36093500
2015-01-07,653,663,651,654,41300,27086900
2015-01-06,654,665,652,656,97200,64016300
2015-01-05,661,678,658,668,89900,59888900
2014-12-30,664,684,651,667,226900,150570600
2014-12-29,706,715,651,669,854400,578893300
2014-12-26,593,697,593,697,961100,643461100
2014-12-25,598,600,594,597,87300,52136200
2014-12-24,603,605,599,601,70000,42129900
2014-12-22,600,603,598,603,49900,29977800
2014-12-19,610,610,600,604,28300,17088500
2014-12-18,600,613,598,604,45700,27661600
2014-12-17,591,603,591,594,47200,28158700
2014-12-16,600,601,591,596,61700,36755100
2014-12-15,601,610,600,602,37000,22347300
2014-12-12,607,613,605,607,53700,32670500
2014-12-11,601,608,601,604,25500,15395800
2014-12-10,610,615,606,610,43700,26703700
2014-12-09,613,616,612,612,24000,14703500
2014-12-08,620,622,610,616,64200,39663200
2014-12-05,612,619,610,619,41400,25444400
2014-12-04,613,618,611,614,22400,13766400
2014-12-03,615,615,612,613,28500,17477300
2014-12-02,615,617,611,615,23500,14445600
2014-12-01,616,621,615,618,57500,35516400
2014-11-28,608,612,605,612,31900,19461300
2014-11-27,606,608,603,604,25200,15242400
2014-11-26,607,609,605,608,28400,17256200
2014-11-25,600,610,598,607,74600,44971700
2014-11-21,598,600,595,598,68500,40930400
2014-11-20,601,603,598,598,65200,39121100
2014-11-19,606,612,601,601,47500,28747300
2014-11-18,607,615,600,603,59200,35771000
2014-11-17,632,635,603,604,88200,54319200
2014-11-14,640,643,629,637,45400,28927500
2014-11-13,626,643,625,638,44400,28285900
2014-11-12,631,638,623,631,56300,35580600
2014-11-11,619,635,617,631,70400,44158600
2014-11-10,601,626,601,624,54800,33655100
2014-11-07,619,619,607,611,23800,14578300
2014-11-06,619,626,610,618,49300,30497200
2014-11-05,619,634,605,620,57000,35446200
2014-11-04,630,632,617,619,47400,29525000
2014-10-31,595,618,595,611,61300,37262100
2014-10-30,599,607,587,591,69400,41380100
2014-10-29,592,598,586,598,30200,17908900
2014-10-28,585,593,582,584,24900,14606900
2014-10-27,578,592,576,583,28500,16626800
2014-10-24,576,579,572,576,25700,14789700
2014-10-23,567,577,565,572,24100,13756300
2014-10-22,573,578,561,574,36900,20985800
2014-10-21,577,580,564,567,33000,18904600
2014-10-20,572,572,561,571,38000,21620200
2014-10-17,568,571,555,556,37200,20938100
2014-10-16,567,577,567,571,34600,19784900
2014-10-15,584,585,576,582,29400,17070600
2014-10-14,585,585,574,578,61400,35597200
2014-10-10,606,609,596,599,50800,30607400
2014-10-09,621,621,611,612,32900,20233400
2014-10-08,620,622,616,619,33500,20743300
2014-10-07,629,635,626,627,38100,24005900
2014-10-06,632,634,630,632,26800,16948800
2014-10-03,629,629,627,628,35200,22120000
2014-10-02,642,643,630,630,72700,46218200
2014-10-01,646,647,641,641,38100,24541600
2014-09-30,657,658,645,646,85900,55846500
2014-09-29,655,662,652,654,50300,33073100
2014-09-26,653,653,648,651,43900,28577000
2014-09-25,651,660,651,658,74900,49129400
