7752-T,東証1部,リコー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1211.5,1254.5,1198.0,1244.0,3813100,4704503050
2015-10-01,1217.5,1228.5,1196.0,1221.0,4003400,4861861650
2015-09-30,1183.5,1207.0,1162.5,1204.5,4980800,5943829350
2015-09-29,1202.0,1204.0,1171.5,1182.5,4774600,5652397000
2015-09-28,1224.0,1235.5,1215.5,1226.5,3049600,3734142800
2015-09-25,1254.0,1257.5,1218.0,1246.0,4659600,5755280950
2015-09-24,1252.0,1263.5,1239.0,1242.0,5272300,6585799050
2015-09-18,1269.0,1269.0,1247.5,1256.5,4224700,5308110000
2015-09-17,1283.5,1296.5,1279.0,1285.0,2587800,3328430000
2015-09-16,1266.5,1287.0,1258.5,1279.0,3752000,4798121600
2015-09-15,1259.5,1264.5,1242.5,1252.0,4742100,5945509550
2015-09-14,1260.0,1266.5,1243.0,1256.5,3666400,4603400800
2015-09-11,1263.0,1271.0,1248.5,1255.5,5390000,6796578450
2015-09-10,1239.5,1259.5,1231.5,1256.5,4370800,5458042950
2015-09-09,1261.0,1272.5,1239.5,1266.0,6727400,8464216050
2015-09-08,1225.5,1261.0,1216.0,1222.5,7918100,9755363850
2015-09-07,1154.0,1246.0,1154.0,1239.0,14957000,18219922950
2015-09-04,1142.5,1150.0,1121.5,1133.5,4478800,5078115100
2015-09-03,1141.0,1157.0,1133.0,1142.5,5110400,5854853250
2015-09-02,1133.5,1152.0,1120.0,1136.5,9787500,11142807550
2015-09-01,1177.0,1187.0,1153.5,1153.5,6667700,7769813450
2015-08-31,1169.0,1189.5,1163.5,1185.5,6613000,7807735900
2015-08-28,1163.0,1183.0,1153.5,1177.0,7168400,8393800900
2015-08-27,1166.0,1181.0,1146.5,1157.5,11737600,13616234200
2015-08-26,1127.0,1169.0,1092.5,1158.0,15961800,18184704100
2015-08-25,1092.0,1168.0,1091.5,1146.5,16261200,18542803250
2015-08-24,1107.0,1129.0,1098.5,1122.0,13253300,14817906150
2015-08-21,1121.0,1132.0,1118.0,1123.5,7146100,8036719250
2015-08-20,1158.5,1167.0,1140.0,1140.0,4206200,4826251650
2015-08-19,1158.0,1171.5,1155.0,1159.0,4112600,4779872650
2015-08-18,1159.0,1182.0,1158.5,1164.5,4251900,4970286450
2015-08-17,1156.0,1164.5,1148.0,1150.0,4099200,4733730000
