7762-T,東証1部,シチズンHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,843,874,840,865,2651300,2291495800
2015-10-01,830,853,830,845,2706400,2285479500
2015-09-30,809,832,806,824,3918300,3220750900
2015-09-29,799,800,779,779,2679900,2110142400
2015-09-28,820,821,801,804,3062700,2476468600
2015-09-25,788,792,772,789,3818300,2994518500
2015-09-24,808,810,790,790,2205300,1754656700
2015-09-18,825,832,811,814,3591600,2939105000
2015-09-17,841,853,837,840,2222700,1873351300
2015-09-16,843,847,828,832,2667800,2224980700
2015-09-15,846,861,841,843,2015500,1711804100
2015-09-14,849,853,827,832,1893400,1579006800
2015-09-11,851,851,833,841,3919700,3312009200
2015-09-10,858,865,841,863,2319500,1983614800
2015-09-09,848,879,848,878,3582100,3107069100
2015-09-08,842,848,821,826,2941400,2441323400
2015-09-07,841,856,833,847,2628800,2217460500
2015-09-04,876,876,837,848,3974700,3392732100
2015-09-03,873,885,867,868,3369100,2946818600
2015-09-02,863,880,844,850,4138600,3558994000
2015-09-01,907,912,874,876,3195900,2832113300
2015-08-31,913,924,906,916,3969400,3633473000
2015-08-28,902,925,896,920,4078800,3733202300
2015-08-27,886,891,875,880,3607500,3180233600
2015-08-26,850,875,836,868,3346600,2865079300
2015-08-25,862,912,850,855,5527500,4840957000
2015-08-24,890,918,880,885,4950100,4430889300
2015-08-21,920,937,910,914,3630100,3341090100
2015-08-20,931,949,924,941,3465400,3254769200
2015-08-19,920,947,918,945,6069900,5689868800
2015-08-18,907,923,907,916,2717800,2487854200
2015-08-17,906,906,887,892,2073000,1850886000
2015-08-14,890,909,885,906,5930700,5330773000
2015-08-13,885,888,848,884,8737000,7646253100
2015-08-12,840,872,838,851,4646400,3959652400
2015-08-11,824,847,823,836,2431000,2032657200
2015-08-10,830,837,818,827,1985000,1640650200
2015-08-07,802,831,802,823,2483100,2037365300
2015-08-06,806,811,799,805,2807500,2261779500
2015-08-05,800,817,793,806,3897000,3137162700
2015-08-04,815,816,802,806,2625600,2117678800
2015-08-03,822,825,811,815,1927000,1571679500
2015-07-31,830,833,823,828,1837300,1519323600
2015-07-30,838,839,829,830,2376300,1976848400
2015-07-29,844,845,835,838,1399200,1174324700
2015-07-28,831,840,821,836,1994600,1661104000
2015-07-27,845,854,841,844,1499200,1269085600
2015-07-24,855,865,844,845,1748300,1490535900
2015-07-23,865,867,846,850,1414400,1206373000
2015-07-22,868,871,855,863,1409200,1217220400
2015-07-21,873,879,865,871,1497800,1303216800
2015-07-17,865,879,861,876,1758900,1535058700
2015-07-16,862,864,847,859,1622100,1386439000
2015-07-15,865,869,858,863,1259500,1085989100
2015-07-14,849,865,847,860,1789700,1538593400
2015-07-13,833,851,828,840,2009100,1688521300
2015-07-10,831,846,824,828,3177100,2643844000
2015-07-09,813,827,790,826,2346500,1907997600
2015-07-08,859,859,827,828,2790800,2335003900
2015-07-07,874,875,853,853,3230400,2778298700
2015-07-06,877,891,869,874,3027100,2663620400
2015-07-03,862,887,860,883,2771300,2434445400
2015-07-02,863,865,857,860,2098200,1806890200
2015-07-01,865,871,852,855,2641100,2271943100
2015-06-30,854,857,847,854,2287800,1949946900
2015-06-29,873,878,857,860,2622200,2271447400
2015-06-26,895,907,890,891,1472900,1319179200
2015-06-25,899,920,896,899,2533600,2294381100
2015-06-24,888,896,883,895,2656400,2369038200
2015-06-23,858,883,858,883,3075100,2691315500
2015-06-22,850,857,847,856,1977800,1686819100
2015-06-19,855,856,839,847,3494400,2954205200
2015-06-18,861,861,846,851,2469300,2103579900
2015-06-17,865,865,850,864,2530000,2170436600
2015-06-16,868,873,858,864,2699200,2331558500
2015-06-15,878,880,869,876,1468100,1283538200
2015-06-12,883,886,878,882,3709200,3271930700
2015-06-11,895,897,885,892,1818200,1619551600
2015-06-10,889,898,881,889,2374000,2106413400
2015-06-09,892,899,884,884,2086200,1857526500
2015-06-08,906,909,900,904,1262400,1140932800
2015-06-05,897,908,892,906,1976700,1783233400
2015-06-04,909,920,905,906,2097700,1913216800
2015-06-03,895,905,886,903,2136700,1918786700
2015-06-02,904,905,896,898,1687800,1519651900
2015-06-01,904,904,895,900,2041600,1835552000
