7825-T,東証1部,ダンロップス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1143,1150,1135,1142,20700,23657000
2015-10-01,1148,1148,1128,1143,16600,18885100
2015-09-30,1130,1131,1115,1122,14300,16064500
2015-09-29,1145,1148,1115,1115,17800,20053700
2015-09-28,1149,1157,1145,1152,18600,21394000
2015-09-25,1126,1145,1126,1142,23800,27001000
2015-09-24,1128,1129,1119,1119,35300,39702900
2015-09-18,1146,1146,1127,1128,33100,37450400
2015-09-17,1144,1149,1139,1149,18300,20939500
2015-09-16,1150,1150,1139,1144,11300,12915400
2015-09-15,1152,1154,1143,1149,14100,16208200
2015-09-14,1155,1159,1144,1144,7100,8169200
2015-09-11,1140,1154,1140,1151,38100,43603500
2015-09-10,1140,1147,1134,1141,18500,21110300
2015-09-09,1132,1155,1132,1155,26100,29912500
2015-09-08,1138,1151,1123,1123,19500,22133300
2015-09-07,1135,1150,1122,1138,37200,42316300
2015-09-04,1145,1157,1134,1137,31800,36369800
2015-09-03,1159,1160,1144,1145,16700,19212500
2015-09-02,1135,1171,1132,1145,31700,36474500
2015-09-01,1187,1187,1155,1161,23800,27756400
2015-08-31,1175,1190,1167,1187,31400,37100800
2015-08-28,1164,1180,1159,1171,19900,23228800
2015-08-27,1121,1150,1120,1135,30100,34109500
2015-08-26,1118,1118,1097,1107,43800,48464700
2015-08-25,1102,1140,1050,1088,93200,102130300
2015-08-24,1180,1193,1150,1150,53100,62198300
2015-08-21,1215,1217,1200,1202,34500,41681500
2015-08-20,1224,1237,1222,1227,42200,51880300
2015-08-19,1227,1230,1221,1222,17100,20952700
2015-08-18,1221,1227,1219,1227,14400,17618500
2015-08-17,1229,1229,1220,1224,11700,14315000
2015-08-14,1225,1228,1219,1223,10900,13344100
2015-08-13,1215,1228,1211,1225,27400,33476000
2015-08-12,1220,1230,1220,1220,22000,26926600
2015-08-11,1229,1232,1222,1227,31900,39194700
2015-08-10,1222,1230,1211,1226,30700,37599100
2015-08-07,1219,1226,1215,1224,21400,26141400
2015-08-06,1210,1228,1202,1220,86700,105860100
2015-08-05,1200,1204,1187,1202,27400,32794600
2015-08-04,1215,1217,1180,1190,82500,98300100
2015-08-03,1189,1208,1188,1200,37000,44389200
2015-07-31,1187,1197,1183,1195,18300,21816700
2015-07-30,1189,1194,1181,1181,15900,18864500
2015-07-29,1197,1197,1183,1189,12000,14284500
2015-07-28,1189,1195,1181,1191,23500,27959200
2015-07-27,1200,1200,1186,1190,27200,32438700
2015-07-24,1193,1195,1186,1195,21500,25630800
2015-07-23,1190,1192,1183,1191,24300,28893700
2015-07-22,1189,1191,1180,1184,20600,24405300
2015-07-21,1197,1198,1188,1189,24400,29055600
2015-07-17,1199,1199,1190,1193,17000,20292600
2015-07-16,1200,1200,1192,1197,18400,22018000
2015-07-15,1197,1199,1191,1199,18300,21879900
2015-07-14,1180,1199,1177,1196,38600,45927800
2015-07-13,1153,1167,1153,1167,19300,22430100
2015-07-10,1144,1162,1143,1153,41700,48031200
2015-07-09,1160,1163,1132,1143,75500,86662800
2015-07-08,1179,1181,1170,1170,30800,36181600
2015-07-07,1177,1188,1175,1177,36900,43474600
2015-07-06,1180,1184,1171,1176,44000,51818000
2015-07-03,1188,1188,1181,1182,23800,28198200
2015-07-02,1194,1194,1185,1188,18000,21401200
2015-07-01,1191,1194,1180,1180,31900,37730000
2015-06-30,1185,1191,1181,1182,32900,38926500
2015-06-29,1191,1196,1179,1187,65200,77474800
2015-06-26,1224,1224,1202,1205,51700,62491400
2015-06-25,1219,1220,1215,1218,36300,44209000
2015-06-24,1217,1218,1212,1218,33900,41242300
2015-06-23,1217,1217,1208,1214,39300,47667400
2015-06-22,1200,1212,1200,1212,37900,45761900
2015-06-19,1200,1206,1200,1200,103700,124543000
2015-06-18,1207,1207,1200,1200,64000,76950300
2015-06-17,1212,1212,1206,1207,26600,32137900
2015-06-16,1209,1211,1208,1208,31000,37491000
2015-06-15,1210,1214,1209,1210,19200,23243500
2015-06-12,1210,1213,1210,1212,43200,52311100
2015-06-11,1215,1215,1209,1211,48900,59228800
2015-06-10,1212,1215,1210,1212,30000,36341400
2015-06-09,1217,1217,1211,1211,24300,29467400
2015-06-08,1217,1219,1213,1214,26200,31853100
2015-06-05,1210,1214,1210,1213,33800,40945600
2015-06-04,1211,1215,1210,1212,33600,40715600
2015-06-03,1218,1218,1210,1212,59500,72160900
2015-06-02,1234,1234,1218,1218,98700,120643700
2015-06-01,1239,1241,1235,1235,36300,44935400
2015-05-29,1244,1247,1240,1240,33200,41258700
2015-05-28,1253,1256,1250,1250,25700,32190500
2015-05-27,1255,1255,1240,1251,25900,32286800
2015-05-26,1260,1262,1254,1257,24600,30952600
2015-05-25,1250,1260,1248,1259,59300,74407100
2015-05-22,1243,1243,1234,1242,30800,38126700
2015-05-21,1245,1248,1238,1238,25200,31262000
2015-05-20,1240,1247,1238,1243,25300,31399200
2015-05-19,1253,1253,1238,1239,28000,34782300
2015-05-18,1230,1250,1228,1246,41600,51478800
2015-05-15,1229,1235,1228,1232,22000,27069000
2015-05-14,1235,1238,1228,1229,39300,48393000
2015-05-13,1242,1247,1233,1238,28400,35134700
2015-05-12,1240,1245,1236,1243,30100,37321900
2015-05-11,1241,1252,1239,1240,40400,50247900
2015-05-08,1244,1252,1235,1244,58200,72427400
2015-05-07,1240,1253,1236,1245,34900,43419900
2015-05-01,1239,1244,1233,1236,34800,43039600
2015-04-30,1250,1255,1240,1242,39800,49587100
2015-04-28,1253,1257,1247,1250,37400,46855200
2015-04-27,1258,1260,1254,1255,19700,24764100
2015-04-24,1261,1261,1257,1258,20700,26058900
2015-04-23,1262,1265,1258,1260,28300,35707100
2015-04-22,1262,1265,1255,1261,21400,26966300
2015-04-21,1245,1263,1245,1261,35600,44714100
2015-04-20,1251,1258,1245,1245,30800,38490200
2015-04-17,1252,1267,1250,1254,37200,46827500
2015-04-16,1252,1256,1248,1252,27500,34399600
2015-04-15,1256,1258,1250,1252,16500,20683100
2015-04-14,1256,1257,1252,1257,15100,18941700
2015-04-13,1255,1257,1250,1253,18700,23433800
2015-04-10,1259,1259,1250,1252,28100,35260000
2015-04-09,1250,1260,1242,1259,39400,49364100
2015-04-08,1230,1261,1230,1245,58700,73305700
2015-04-07,1227,1233,1225,1229,28700,35269800
2015-04-06,1226,1230,1223,1226,15500,19013700
2015-04-03,1235,1235,1223,1227,26100,32013600
2015-04-02,1215,1242,1215,1221,57400,70424300
2015-04-01,1218,1226,1215,1216,44100,53756300
2015-03-31,1225,1230,1212,1213,72900,89045500
2015-03-30,1208,1226,1206,1222,69400,84688300
2015-03-27,1215,1225,1205,1207,101400,123147300
2015-03-26,1238,1238,1215,1221,102100,125049900
2015-03-25,1242,1244,1238,1239,73300,90931600
2015-03-24,1248,1252,1242,1244,62500,77864400
2015-03-23,1250,1255,1248,1252,43600,54543700
2015-03-20,1248,1252,1246,1252,34000,42454800
2015-03-19,1251,1255,1248,1249,44700,55894000
2015-03-18,1259,1261,1253,1255,34200,42970000
2015-03-17,1264,1264,1258,1259,33100,41735700
2015-03-16,1262,1265,1260,1262,35700,45038700
2015-03-13,1266,1273,1262,1263,53600,67846300
2015-03-12,1263,1277,1262,1262,38900,49244000
2015-03-11,1268,1280,1265,1265,51500,65404900
2015-03-10,1273,1280,1271,1272,46400,59241400
2015-03-09,1273,1273,1267,1273,33000,41956100
2015-03-06,1271,1279,1270,1277,34200,43579500
2015-03-05,1271,1276,1270,1271,20200,25698600
2015-03-04,1277,1277,1271,1273,27600,35142200
2015-03-03,1277,1284,1274,1276,31700,40465800
2015-03-02,1283,1287,1278,1279,47900,61375200
2015-02-27,1286,1286,1280,1282,45200,57955000
2015-02-26,1285,1293,1283,1287,30700,39492400
2015-02-25,1287,1287,1280,1281,21400,27454400
2015-02-24,1293,1294,1283,1286,32600,41915500
2015-02-23,1296,1297,1291,1291,26600,34400300
2015-02-20,1281,1291,1279,1291,29200,37592400
2015-02-19,1275,1291,1275,1281,38000,48740200
2015-02-18,1273,1280,1273,1275,32500,41493200
2015-02-17,1275,1277,1270,1272,39400,50159700
2015-02-16,1281,1284,1276,1278,52600,67258300
2015-02-13,1290,1291,1280,1285,103400,132808600
2015-02-12,1330,1336,1288,1294,188900,246304100
2015-02-10,1331,1348,1331,1348,43000,57689200
2015-02-09,1334,1338,1333,1336,19300,25760700
2015-02-06,1338,1340,1325,1329,20100,26745800
2015-02-05,1333,1333,1321,1329,20100,26664800
2015-02-04,1329,1332,1317,1329,24100,31968000
2015-02-03,1348,1348,1309,1312,44200,58323300
2015-02-02,1310,1350,1305,1349,92100,122581700
2015-01-30,1304,1310,1298,1304,34800,45453500
2015-01-29,1303,1305,1295,1301,39500,51327900
2015-01-28,1301,1303,1297,1302,30000,39015100
2015-01-27,1307,1307,1296,1301,26500,34447900
2015-01-26,1301,1307,1296,1302,18500,24073300
2015-01-23,1307,1307,1296,1301,23900,31115400
2015-01-22,1299,1299,1290,1297,28900,37385200
2015-01-21,1306,1310,1299,1302,24800,32343300
2015-01-20,1291,1305,1287,1305,35900,46589700
2015-01-19,1278,1292,1278,1287,18600,23879400
2015-01-16,1295,1295,1272,1277,49200,63064700
2015-01-15,1292,1302,1292,1294,32400,41983800
2015-01-14,1297,1309,1292,1295,36200,47113600
2015-01-13,1295,1298,1290,1296,32800,42432700
2015-01-09,1304,1306,1295,1299,47100,61253600
2015-01-08,1297,1310,1294,1303,32500,42332500
2015-01-07,1278,1299,1278,1291,44500,57395900
2015-01-06,1309,1310,1290,1292,69600,90375500
2015-01-05,1323,1331,1318,1318,55000,72784300
2014-12-30,1341,1341,1325,1334,67200,89618700
2014-12-29,1371,1371,1334,1342,139100,187591500
2014-12-26,1389,1391,1362,1376,219800,303591700
2014-12-25,1430,1430,1423,1426,218700,312265000
2014-12-24,1424,1434,1423,1432,109800,156767800
2014-12-22,1432,1434,1420,1430,87700,125205800
2014-12-19,1425,1436,1416,1431,67800,96543800
2014-12-18,1415,1422,1413,1418,44400,62909500
2014-12-17,1400,1413,1396,1407,50900,71480100
2014-12-16,1405,1405,1396,1400,52100,73004000
2014-12-15,1400,1413,1394,1405,52300,73408500
2014-12-12,1400,1415,1400,1405,73000,102519200
2014-12-11,1414,1415,1403,1410,49900,70342100
2014-12-10,1440,1445,1415,1417,80100,114047100
2014-12-09,1453,1453,1440,1441,52100,75329100
2014-12-08,1456,1458,1450,1455,41600,60492400
2014-12-05,1437,1455,1434,1455,51500,74424200
2014-12-04,1443,1446,1436,1441,50900,73299600
2014-12-03,1450,1452,1442,1443,48600,70268200
2014-12-02,1458,1459,1447,1448,46400,67402800
2014-12-01,1450,1453,1442,1452,46700,67662200
2014-11-28,1426,1445,1424,1438,47000,67446600
2014-11-27,1410,1423,1410,1417,38000,53843600
2014-11-26,1400,1419,1400,1411,39200,55330300
2014-11-25,1405,1409,1400,1404,43000,60423100
2014-11-21,1395,1399,1385,1397,39300,54785000
2014-11-20,1385,1392,1380,1390,27200,37737100
2014-11-19,1385,1388,1376,1378,32100,44372900
2014-11-18,1367,1384,1367,1383,32000,44062900
2014-11-17,1370,1375,1365,1367,30600,41916200
2014-11-14,1370,1378,1365,1369,44500,60982800
2014-11-13,1361,1367,1342,1367,36500,49505600
2014-11-12,1362,1370,1355,1359,43100,58768600
2014-11-11,1354,1363,1353,1360,43900,59682500
2014-11-10,1341,1352,1341,1352,41300,55651100
2014-11-07,1344,1350,1340,1350,47500,63967200
2014-11-06,1329,1346,1320,1340,63100,84321300
2014-11-05,1310,1336,1310,1331,65000,85969400
2014-11-04,1310,1325,1310,1318,61200,80552700
2014-10-31,1300,1314,1297,1310,45000,58786400
2014-10-30,1292,1300,1292,1300,35500,46020700
2014-10-29,1285,1295,1282,1290,23500,30248600
2014-10-28,1275,1280,1270,1280,21000,26801200
2014-10-27,1275,1275,1266,1270,15500,19696800
2014-10-24,1269,1269,1261,1267,12700,16080400
2014-10-23,1267,1269,1260,1264,13100,16565600
2014-10-22,1270,1270,1260,1267,14900,18851500
2014-10-21,1257,1266,1253,1260,16700,21015400
2014-10-20,1253,1259,1249,1257,18300,22947200
2014-10-17,1250,1250,1234,1234,33200,41200900
2014-10-16,1254,1259,1247,1251,22000,27568900
2014-10-15,1260,1262,1246,1262,17600,22092700
2014-10-14,1250,1253,1243,1245,30600,38179500
2014-10-10,1253,1262,1250,1254,36300,45470100
2014-10-09,1275,1275,1262,1263,15500,19679000
2014-10-08,1260,1275,1255,1262,21100,26678700
2014-10-07,1272,1273,1265,1267,17900,22740900
2014-10-06,1272,1272,1263,1268,20300,25737800
2014-10-03,1250,1258,1250,1253,24900,31208600
2014-10-02,1261,1261,1250,1250,25300,31759800
2014-10-01,1270,1273,1263,1266,26100,33123100
2014-09-30,1268,1270,1260,1267,28300,35838300
2014-09-29,1265,1266,1256,1264,27700,34969600
2014-09-26,1258,1258,1250,1252,19100,23966800
2014-09-25,1252,1256,1245,1256,28300,35460300
