7838-T,東証1部,共立印刷,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,303,306,303,306,43800,13337600
2015-10-01,306,308,303,303,86900,26457100
2015-09-30,305,308,304,306,69700,21308500
2015-09-29,310,310,300,301,144900,44313500
2015-09-28,315,315,311,313,82100,25723500
2015-09-25,325,325,314,323,144600,46045500
2015-09-24,316,325,316,321,126600,40677300
2015-09-18,328,328,319,319,87400,28213900
2015-09-17,322,330,316,330,178900,57945700
2015-09-16,320,320,315,319,73400,23311500
2015-09-15,319,320,316,317,73000,23236700
2015-09-14,320,320,313,315,80000,25386400
2015-09-11,317,319,312,317,100800,31916900
2015-09-10,311,314,308,312,106000,32964800
2015-09-09,314,315,310,315,63800,19981500
2015-09-08,308,310,306,306,75500,23295000
2015-09-07,304,311,304,311,77500,23870400
2015-09-04,313,313,303,309,110600,34005000
2015-09-03,312,314,307,309,81700,25355200
2015-09-02,305,315,299,306,184500,56712500
2015-09-01,322,325,308,309,273000,85301300
2015-08-31,326,328,322,326,87100,28315200
2015-08-28,323,325,319,320,107900,34807600
2015-08-27,321,321,311,312,152800,48322900
2015-08-26,300,314,299,313,128600,39352200
2015-08-25,298,311,287,296,259000,77158100
2015-08-24,301,312,301,304,239000,72996900
2015-08-21,322,323,311,314,239300,75836800
2015-08-20,331,331,328,328,63700,20983300
2015-08-19,337,337,331,331,134400,44866600
2015-08-18,339,339,333,337,349600,117685900
2015-08-17,328,330,326,328,63500,20813200
2015-08-14,324,328,324,328,81700,26640800
2015-08-13,324,326,322,326,51800,16793000
2015-08-12,325,330,323,325,114400,37215400
2015-08-11,331,331,326,329,128200,42136700
2015-08-10,326,333,326,333,116600,38402800
2015-08-07,326,327,324,326,83900,27344900
2015-08-06,327,329,324,325,91800,29970400
2015-08-05,324,330,324,328,94900,31014400
2015-08-04,334,335,322,326,282400,92319000
2015-08-03,330,335,329,335,271000,90442700
2015-07-31,325,331,324,329,240600,79311300
2015-07-30,328,328,325,327,154700,50632400
2015-07-29,328,328,326,327,146500,47978700
2015-07-28,321,329,317,328,287100,92943100
2015-07-27,322,323,317,321,151500,48688700
2015-07-24,324,325,317,318,377800,121508500
2015-07-23,317,326,317,323,324500,104399500
2015-07-22,314,317,314,316,212300,66809500
2015-07-21,310,315,310,313,256300,79867300
2015-07-17,308,309,307,309,205900,63453000
2015-07-16,306,307,305,307,214900,65864800
2015-07-15,306,306,305,306,162600,49719700
2015-07-14,304,305,304,305,160900,49016000
2015-07-13,302,304,301,304,115900,35133900
2015-07-10,300,302,299,301,115800,34786500
2015-07-09,298,300,296,299,200500,59689300
2015-07-08,300,302,298,299,150700,45223000
2015-07-07,300,301,299,301,51200,15365900
2015-07-06,300,301,299,299,88600,26555600
2015-07-03,303,303,301,301,39600,11953600
2015-07-02,303,303,301,302,52000,15707900
2015-07-01,300,303,299,302,80100,24130700
2015-06-30,299,300,298,299,130400,38997000
2015-06-29,299,300,297,297,143400,42781600
2015-06-26,301,303,299,301,128000,38523500
2015-06-25,303,305,301,301,91700,27738200
2015-06-24,303,304,302,303,90600,27451000
2015-06-23,302,303,301,301,49300,14869900
2015-06-22,301,302,299,300,75900,22773300
2015-06-19,304,304,299,299,207000,62210300
2015-06-18,303,304,302,302,60200,18252300
2015-06-17,305,305,303,303,56100,17079900
2015-06-16,305,305,304,304,20700,6304900
2015-06-15,303,306,303,306,94800,28838400
2015-06-12,304,305,303,305,108200,32905300
2015-06-11,305,305,304,305,56000,17059300
2015-06-10,305,305,303,303,42200,12827900
2015-06-09,303,305,303,303,100900,30641000
2015-06-08,302,304,302,303,51700,15670900
2015-06-05,303,304,299,302,252700,76231100
2015-06-04,304,305,303,303,90800,27563400
2015-06-03,304,306,304,304,30700,9362300
2015-06-02,305,306,304,305,69200,21111500
2015-06-01,305,306,303,304,93200,28359300
2015-05-29,305,306,304,306,62600,19131500
2015-05-28,304,305,304,304,48800,14862400
2015-05-27,305,306,304,305,66100,20153000
2015-05-26,304,306,303,305,59400,18087200
2015-05-25,306,306,303,305,115000,35084600
2015-05-22,303,305,303,305,47200,14334500
2015-05-21,304,305,303,304,122500,37244500
2015-05-20,306,306,304,305,39000,11889300
2015-05-19,305,306,304,306,111800,34120900
2015-05-18,304,305,302,305,69900,21253000
2015-05-15,303,304,302,304,71300,21614000
2015-05-14,301,303,301,302,93000,28067500
2015-05-13,298,303,297,303,286700,86146700
2015-05-12,297,298,296,296,49700,14759300
