7844-T,東証1部,マーベラス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,895,941,894,931,961000,881559200
2015-10-01,926,934,916,917,596800,551633100
2015-09-30,910,927,905,914,743200,681475400
2015-09-29,926,931,891,897,1104500,1004060000
2015-09-28,955,958,938,943,753100,714212600
2015-09-25,922,958,911,956,1383200,1292036400
2015-09-24,962,971,927,927,1492300,1408444700
2015-09-18,1003,1004,982,991,777600,768947200
2015-09-17,982,1016,980,999,1193500,1194692100
2015-09-16,985,997,970,976,1056100,1037538300
2015-09-15,980,998,964,970,1423800,1394725500
2015-09-14,1002,1014,967,990,2087900,2071291100
2015-09-11,1029,1036,1001,1015,2491400,2530455600
2015-09-10,1036,1067,1025,1054,1427800,1495682300
2015-09-09,1085,1097,1043,1065,2897600,3092918200
2015-09-08,1159,1171,1031,1060,5858700,6432739700
2015-09-07,1071,1176,1057,1151,7259800,8144877800
2015-09-04,1101,1119,1025,1071,5922600,6362238900
2015-09-03,1021,1025,995,1002,791700,798358000
2015-09-02,980,1038,968,1001,1965500,1982938500
2015-09-01,1050,1056,991,1018,2421300,2465806600
2015-08-31,1085,1098,1055,1070,1507600,1618185200
2015-08-28,1100,1109,1080,1090,1628200,1780925600
2015-08-27,1070,1094,1041,1047,1764100,1880754900
2015-08-26,1040,1052,1005,1040,2074300,2145062500
2015-08-25,954,1051,900,1001,4413600,4384211300
2015-08-24,1100,1111,969,978,3794200,3948271200
2015-08-21,1127,1210,1122,1152,3422300,3988013100
2015-08-20,1193,1196,1151,1155,2267500,2647324500
2015-08-19,1255,1274,1199,1210,2112900,2600334400
2015-08-18,1218,1262,1203,1226,2380500,2944737300
2015-08-17,1310,1319,1227,1237,1926900,2424035300
2015-08-14,1330,1349,1325,1328,462000,615858100
2015-08-13,1342,1356,1333,1342,442800,593979800
2015-08-12,1366,1376,1338,1356,951600,1290725000
2015-08-11,1364,1408,1364,1388,604300,838271900
2015-08-10,1370,1379,1351,1367,509700,694842800
2015-08-07,1365,1380,1352,1376,602300,824052200
2015-08-06,1390,1390,1367,1369,449900,618876500
2015-08-05,1358,1391,1358,1370,718300,986417000
2015-08-04,1393,1407,1362,1371,1183200,1627748000
2015-08-03,1461,1468,1412,1415,792100,1135979000
2015-07-31,1501,1512,1435,1445,1752700,2558903300
2015-07-30,1510,1519,1504,1515,477800,722464200
2015-07-29,1516,1535,1503,1519,712800,1082065000
2015-07-28,1482,1519,1468,1505,770100,1152299900
2015-07-27,1550,1550,1501,1508,532700,809771700
2015-07-24,1548,1578,1530,1544,949900,1472014300
2015-07-23,1532,1557,1526,1544,410300,634327900
