7862-T,東証1部,トッパン･F,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1411,1432,1406,1413,115000,162670200
2015-10-01,1427,1443,1397,1420,162700,230863800
2015-09-30,1408,1449,1406,1416,184400,262066800
2015-09-29,1440,1455,1387,1397,197900,278185600
2015-09-28,1464,1480,1448,1469,122400,179353600
2015-09-25,1460,1481,1450,1476,143400,210002200
2015-09-24,1468,1481,1441,1442,217600,316083700
2015-09-18,1535,1537,1501,1503,188100,284495800
2015-09-17,1563,1576,1548,1565,142500,222266200
2015-09-16,1552,1564,1531,1548,77800,120322800
2015-09-15,1565,1577,1545,1547,77300,120271300
2015-09-14,1573,1582,1547,1551,91600,143066700
2015-09-11,1514,1569,1510,1552,155800,239683700
2015-09-10,1545,1545,1505,1530,172600,263526900
2015-09-09,1511,1568,1505,1568,244400,377092100
2015-09-08,1496,1514,1480,1481,203700,304780100
2015-09-07,1454,1504,1445,1496,348800,516550300
2015-09-04,1465,1498,1445,1474,365400,537022600
2015-09-03,1437,1474,1437,1444,212900,309868000
2015-09-02,1407,1467,1407,1417,137600,196946700
2015-09-01,1470,1474,1431,1431,96700,140330900
2015-08-31,1479,1496,1460,1484,106800,157983800
2015-08-28,1477,1496,1450,1487,120900,178719700
2015-08-27,1460,1476,1431,1437,183800,266386300
2015-08-26,1421,1447,1400,1441,202800,288527300
2015-08-25,1400,1485,1400,1409,226700,325855500
2015-08-24,1491,1532,1465,1467,128300,191339300
2015-08-21,1550,1573,1547,1553,107700,167827700
2015-08-20,1620,1639,1596,1600,95300,153898500
2015-08-19,1642,1667,1620,1625,75600,123698300
2015-08-18,1655,1658,1643,1652,54000,89141200
2015-08-17,1649,1658,1641,1656,73200,120822900
2015-08-14,1636,1646,1632,1642,60500,99197200
2015-08-13,1656,1660,1620,1641,137200,225083800
2015-08-12,1675,1684,1656,1668,64400,107546600
2015-08-11,1716,1716,1668,1688,131100,221402800
2015-08-10,1685,1720,1681,1718,129100,220496000
2015-08-07,1675,1683,1655,1683,144200,240887500
2015-08-06,1711,1712,1682,1689,107200,181735800
2015-08-05,1704,1710,1679,1705,86800,147426600
2015-08-04,1687,1717,1684,1712,94100,160502600
2015-08-03,1676,1690,1668,1686,75000,126028600
2015-07-31,1700,1700,1661,1683,145200,243974300
2015-07-30,1687,1712,1683,1696,283300,480009500
2015-07-29,1684,1713,1636,1674,214700,360936300
2015-07-28,1638,1687,1634,1683,212500,353739400
2015-07-27,1688,1690,1645,1655,149400,249413000
2015-07-24,1721,1721,1696,1712,157000,269148000
2015-07-23,1720,1731,1712,1728,351100,604006600
2015-07-22,1739,1739,1709,1718,144800,248697000
2015-07-21,1733,1764,1725,1751,154200,269720200
2015-07-17,1749,1754,1718,1734,176100,306707800
2015-07-16,1720,1749,1719,1744,266000,461163800
2015-07-15,1675,1712,1670,1709,153100,260141200
2015-07-14,1673,1692,1662,1673,235700,395559100
2015-07-13,1618,1664,1613,1648,180800,297329500
2015-07-10,1625,1632,1592,1600,298900,481961600
2015-07-09,1610,1632,1594,1625,240100,387552800
2015-07-08,1700,1707,1662,1664,289900,488309100
2015-07-07,1710,1734,1696,1717,381300,654082300
2015-07-06,1694,1714,1691,1695,84200,143232800
2015-07-03,1714,1723,1693,1717,72400,123955400
2015-07-02,1710,1726,1702,1714,156300,267815200
2015-07-01,1693,1709,1682,1702,123600,209701700
2015-06-30,1668,1693,1658,1687,232500,391217800
2015-06-29,1662,1691,1605,1676,221900,371264800
2015-06-26,1705,1722,1698,1711,136700,234035000
2015-06-25,1730,1734,1703,1707,237900,408022500
2015-06-24,1740,1746,1716,1744,193000,334683500
2015-06-23,1718,1752,1711,1726,236100,408163300
2015-06-22,1698,1713,1692,1707,145200,247243000
2015-06-19,1715,1715,1686,1700,341200,580721100
2015-06-18,1715,1725,1683,1710,433100,736951100
2015-06-17,1715,1735,1698,1716,489800,841564300
2015-06-16,1695,1722,1690,1696,261000,444000000
2015-06-15,1677,1697,1663,1693,309700,520579100
2015-06-12,1700,1700,1670,1686,406400,684919800
2015-06-11,1644,1686,1637,1686,438500,730246600
2015-06-10,1614,1642,1611,1635,429700,698530300
2015-06-09,1625,1628,1613,1617,291900,472634000
2015-06-08,1638,1641,1617,1635,252300,410769300
2015-06-05,1621,1645,1616,1643,258100,421814300
2015-06-04,1620,1636,1614,1633,286200,465257800
2015-06-03,1615,1622,1602,1619,174300,281274400
2015-06-02,1607,1633,1603,1622,133600,216692200
2015-06-01,1616,1620,1605,1617,137000,220876800
2015-05-29,1600,1634,1594,1619,237400,384646800
2015-05-28,1590,1611,1571,1594,517100,819898100
2015-05-27,1604,1638,1589,1593,775400,1249445800
2015-05-26,1583,1610,1582,1604,193500,309265400
2015-05-25,1598,1600,1590,1597,108200,172661400
2015-05-22,1580,1592,1571,1588,209700,332261400
2015-05-21,1580,1580,1563,1573,318700,500826300
2015-05-20,1590,1594,1574,1592,177400,281204700
2015-05-19,1569,1580,1554,1573,234900,368781800
2015-05-18,1570,1578,1558,1568,178300,279280700
2015-05-15,1530,1571,1530,1569,252600,392945700
2015-05-14,1510,1522,1500,1516,256600,388210200
2015-05-13,1510,1517,1498,1513,238000,359284600
2015-05-12,1510,1513,1488,1509,246700,370149200
2015-05-11,1499,1532,1496,1515,349700,529921300
2015-05-08,1469,1484,1463,1479,262700,387639400
2015-05-07,1450,1461,1432,1459,439700,637188500
2015-05-01,1445,1464,1443,1462,496100,722014600
2015-04-30,1418,1448,1418,1445,451100,645481500
2015-04-28,1415,1420,1390,1401,344000,482350000
2015-04-27,1407,1418,1404,1415,163800,231373900
2015-04-24,1411,1414,1398,1404,293600,412503200
2015-04-23,1427,1431,1410,1417,378100,535202800
2015-04-22,1399,1429,1388,1429,348700,493935700
2015-04-21,1395,1406,1382,1403,303400,424224300
2015-04-20,1390,1412,1379,1404,262800,368182600
2015-04-17,1411,1433,1397,1411,406500,573872400
2015-04-16,1438,1440,1405,1417,528700,751280100
2015-04-15,1438,1446,1434,1438,228900,329467600
2015-04-14,1442,1447,1433,1443,226900,326723400
2015-04-13,1460,1469,1439,1443,176900,256767300
2015-04-10,1436,1449,1418,1445,159600,229516400
2015-04-09,1443,1448,1428,1441,200900,289007400
2015-04-08,1445,1454,1423,1443,319900,460719300
2015-04-07,1426,1443,1420,1442,136700,196275400
2015-04-06,1437,1440,1412,1430,159400,227113100
2015-04-03,1395,1443,1395,1443,389200,553470100
2015-04-02,1372,1396,1367,1386,316000,437943000
2015-04-01,1356,1369,1340,1363,221800,301244100
2015-03-31,1370,1377,1354,1362,194500,265733200
2015-03-30,1360,1362,1345,1355,104800,141982600
2015-03-27,1368,1389,1332,1347,301200,409106900
2015-03-26,1372,1389,1368,1383,317000,437086400
2015-03-25,1375,1394,1366,1386,312400,432092800
2015-03-24,1360,1382,1360,1374,149400,204768300
2015-03-23,1373,1378,1353,1365,250500,341313900
2015-03-20,1403,1414,1363,1382,476100,660673400
2015-03-19,1383,1406,1376,1402,316500,440872700
2015-03-18,1357,1386,1351,1377,323200,442615400
2015-03-17,1352,1354,1330,1341,223900,300408300
2015-03-16,1360,1362,1333,1352,400600,539760500
2015-03-13,1343,1359,1326,1352,640800,861833500
2015-03-12,1270,1313,1269,1313,577000,749755700
2015-03-11,1220,1265,1220,1262,258300,323697600
2015-03-10,1237,1238,1222,1229,162700,200038900
2015-03-09,1227,1235,1208,1229,197500,242087500
2015-03-06,1211,1238,1207,1236,217100,266976200
2015-03-05,1208,1235,1205,1210,253900,309024900
2015-03-04,1223,1236,1214,1217,302100,368254900
2015-03-03,1243,1247,1226,1232,412400,509154600
2015-03-02,1260,1274,1249,1253,274300,345563100
2015-02-27,1256,1274,1245,1253,343700,432638000
2015-02-26,1250,1262,1241,1252,189500,236998300
2015-02-25,1250,1255,1226,1248,216800,269943200
2015-02-24,1252,1257,1241,1250,252700,315875600
2015-02-23,1260,1260,1242,1251,155600,194576000
2015-02-20,1251,1266,1240,1256,182300,228717800
2015-02-19,1252,1265,1242,1260,140600,176920900
2015-02-18,1263,1270,1245,1252,194200,243858000
2015-02-17,1270,1270,1246,1250,109000,136576000
2015-02-16,1249,1271,1245,1267,144900,183347300
2015-02-13,1251,1254,1234,1238,108500,135097800
2015-02-12,1247,1267,1247,1251,114500,143545600
2015-02-10,1245,1257,1227,1237,106000,131191400
2015-02-09,1260,1263,1243,1251,131300,164258500
2015-02-06,1242,1258,1241,1249,101200,126546200
2015-02-05,1244,1249,1228,1246,76800,95429100
2015-02-04,1220,1249,1218,1241,119200,147738900
2015-02-03,1230,1233,1218,1222,187500,229409800
2015-02-02,1232,1238,1216,1227,64500,79110700
2015-01-30,1218,1239,1218,1232,100300,123547300
2015-01-29,1220,1228,1214,1218,60800,74214500
2015-01-28,1234,1238,1200,1231,110600,135902800
2015-01-27,1224,1239,1220,1236,122200,150420700
2015-01-26,1188,1222,1188,1217,223900,270487800
2015-01-23,1200,1210,1197,1205,168400,202743100
2015-01-22,1196,1199,1175,1199,105000,124713800
2015-01-21,1201,1208,1184,1194,169200,202236100
2015-01-20,1185,1196,1172,1195,102100,120938800
2015-01-19,1150,1183,1150,1180,159600,186758700
2015-01-16,1151,1157,1114,1137,319500,360492200
2015-01-15,1155,1177,1155,1177,167500,196137600
2015-01-14,1170,1179,1158,1164,123100,143919900
2015-01-13,1190,1191,1175,1188,123300,146000300
2015-01-09,1200,1214,1195,1201,152500,183607700
2015-01-08,1178,1200,1177,1188,68900,82015000
2015-01-07,1152,1184,1152,1172,75600,88494100
2015-01-06,1179,1188,1166,1167,128500,151190800
2015-01-05,1197,1218,1190,1200,89900,108108900
2014-12-30,1200,1229,1192,1214,99100,120363000
2014-12-29,1216,1220,1202,1212,64900,78805600
2014-12-26,1204,1216,1200,1209,62500,75630500
2014-12-25,1205,1214,1203,1206,109500,132163100
2014-12-24,1205,1208,1195,1205,139000,167227300
2014-12-22,1196,1209,1189,1197,164300,196970700
2014-12-19,1190,1198,1179,1193,87400,104018000
2014-12-18,1180,1190,1174,1175,86700,102298000
2014-12-17,1150,1173,1150,1158,117400,136166900
2014-12-16,1150,1162,1142,1158,150200,172940600
2014-12-15,1160,1174,1151,1164,158100,184158700
2014-12-12,1162,1180,1162,1166,158500,185169600
2014-12-11,1170,1193,1159,1185,308200,363170300
2014-12-10,1187,1200,1181,1188,198200,235486400
2014-12-09,1210,1215,1198,1203,149400,180062200
2014-12-08,1191,1209,1188,1207,189900,228000100
2014-12-05,1178,1192,1173,1191,209600,247815000
2014-12-04,1180,1191,1167,1186,311900,367818700
2014-12-03,1160,1174,1155,1170,141200,164894900
2014-12-02,1156,1172,1156,1168,80000,93149700
2014-12-01,1150,1175,1148,1172,149500,174110300
2014-11-28,1155,1165,1148,1152,122100,140901900
2014-11-27,1171,1172,1150,1155,121500,140675300
2014-11-26,1159,1185,1154,1178,269300,316609700
2014-11-25,1163,1163,1142,1150,307300,353572500
2014-11-21,1119,1148,1106,1144,170500,192729300
2014-11-20,1110,1118,1108,1110,69000,76827100
2014-11-19,1128,1131,1109,1110,78200,87467600
2014-11-18,1100,1133,1099,1132,159600,179215600
2014-11-17,1110,1110,1092,1093,139000,152715400
2014-11-14,1136,1142,1079,1111,288500,320082100
2014-11-13,1101,1129,1101,1124,188900,211543200
2014-11-12,1109,1125,1099,1102,180800,200535400
2014-11-11,1090,1116,1088,1113,181300,199912300
2014-11-10,1100,1101,1087,1091,56500,61718200
2014-11-07,1100,1111,1094,1110,210400,232351500
2014-11-06,1100,1119,1081,1091,287800,315423700
2014-11-05,1071,1099,1068,1097,321100,348451400
2014-11-04,1090,1099,1069,1070,281000,302886400
2014-10-31,1010,1041,999,1038,196100,199956100
2014-10-30,990,1008,990,998,201000,201431300
2014-10-29,985,1002,985,996,117600,117067600
2014-10-28,982,989,978,982,182600,179482300
2014-10-27,991,999,985,994,168100,166821200
2014-10-24,992,995,977,988,210000,207021500
2014-10-23,986,996,979,984,185300,182856500
2014-10-22,982,1002,977,1000,274600,271866400
2014-10-21,991,997,966,971,370800,361370700
2014-10-20,1009,1016,997,1002,162400,163308500
2014-10-17,981,987,963,966,125400,122050800
2014-10-16,986,998,978,987,105400,104362400
2014-10-15,1009,1023,1000,1007,122200,123312500
2014-10-14,994,1026,994,1007,166500,168746100
2014-10-10,1040,1051,1030,1046,114900,120109600
2014-10-09,1050,1063,1050,1055,128500,135793200
2014-10-08,1055,1062,1043,1050,163700,172302700
2014-10-07,1088,1101,1079,1083,102700,112042200
2014-10-06,1100,1105,1093,1098,102400,112631900
2014-10-03,1079,1096,1079,1090,68900,75041700
2014-10-02,1101,1119,1089,1089,121000,133078100
2014-10-01,1132,1139,1116,1128,113700,128406300
2014-09-30,1144,1149,1124,1132,139300,157781000
2014-09-29,1148,1158,1135,1144,153700,175585700
2014-09-26,1093,1128,1093,1118,146900,163975800
2014-09-25,1122,1138,1110,1135,186700,210242700
