7911-T,東証1部,凸版印,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,950,954,945,952,1532000,1456836000
2015-10-01,964,964,944,954,2699000,2580745000
2015-09-30,951,966,946,961,3046000,2916162000
2015-09-29,950,951,929,938,2936000,2757268000
2015-09-28,966,973,954,962,1289000,1241143000
2015-09-25,954,968,947,966,2377000,2275512000
2015-09-24,964,978,952,952,2825000,2717385000
2015-09-18,994,994,970,971,3150000,3074286000
2015-09-17,1006,1008,994,1000,1555000,1552776000
2015-09-16,1015,1016,994,997,1587000,1589101000
2015-09-15,1004,1021,1002,1011,1661000,1681154000
2015-09-14,1010,1013,994,997,1544000,1546754000
2015-09-11,988,1008,986,1006,3288000,3266014000
2015-09-10,991,997,981,992,2255000,2233776000
2015-09-09,990,1018,984,1018,2753000,2759737000
2015-09-08,974,980,954,954,1726000,1660357000
2015-09-07,957,977,947,974,2894000,2794993000
2015-09-04,965,973,949,961,3452000,3316384000
2015-09-03,967,981,958,960,1880000,1818363000
2015-09-02,953,983,951,958,3998000,3869618000
2015-09-01,998,1002,968,968,2672000,2623694000
2015-08-31,993,1008,983,1007,2216000,2216425000
2015-08-28,991,1003,983,995,2044000,2029381000
2015-08-27,974,990,963,966,2574000,2507586000
2015-08-26,928,965,920,964,4243000,4009329000
2015-08-25,928,965,915,918,5390000,5051491000
2015-08-24,979,987,941,943,5038000,4849363000
2015-08-21,1014,1014,992,994,2379000,2387123000
2015-08-20,1057,1057,1036,1036,1573000,1644338000
2015-08-19,1075,1080,1063,1065,1256000,1344319000
2015-08-18,1073,1086,1070,1079,1422000,1536011000
2015-08-17,1060,1071,1053,1068,1289000,1373582000
2015-08-14,1069,1069,1056,1056,2028000,2153022000
2015-08-13,1069,1069,1047,1064,1263000,1338745000
2015-08-12,1072,1083,1059,1064,1652000,1763003000
2015-08-11,1095,1099,1061,1073,1995000,2146509000
2015-08-10,1090,1097,1080,1086,1983000,2155141000
2015-08-07,1079,1092,1073,1085,1342000,1455022000
2015-08-06,1088,1108,1087,1093,3440000,3777572000
2015-08-05,1070,1079,1063,1072,1165000,1248684000
2015-08-04,1072,1079,1065,1071,1071000,1147682000
2015-08-03,1070,1072,1057,1072,1141000,1217416000
2015-07-31,1064,1079,1062,1079,1836000,1970977000
2015-07-30,1057,1066,1054,1060,1715000,1816901000
2015-07-29,1041,1062,1040,1056,1410000,1487592000
2015-07-28,1049,1058,1038,1050,1312000,1377080000
2015-07-27,1065,1071,1047,1053,1109000,1170181000
2015-07-24,1078,1082,1068,1070,767000,822822000
2015-07-23,1086,1090,1080,1085,1041000,1129034000
2015-07-22,1080,1088,1075,1078,1399000,1509861000
2015-07-21,1079,1093,1079,1087,1897000,2056640000
2015-07-17,1072,1075,1066,1067,843000,901234000
2015-07-16,1070,1077,1065,1076,1849000,1983178000
2015-07-15,1057,1067,1053,1065,1806000,1917929000
2015-07-14,1065,1066,1047,1057,1843000,1945293000
2015-07-13,1020,1041,1020,1037,1962000,2026592000
2015-07-10,1007,1022,996,1006,3066000,3095432000
2015-07-09,993,1005,970,1003,3422000,3384949000
2015-07-08,1030,1048,1004,1004,3343000,3398588000
2015-07-07,1040,1049,1040,1045,1589000,1658995000
2015-07-06,1020,1036,1018,1021,2249000,2300688000
2015-07-03,1039,1044,1032,1040,1448000,1504579000
2015-07-02,1048,1050,1038,1043,1137000,1185843000
2015-07-01,1033,1040,1025,1034,1559000,1608840000
2015-06-30,1026,1039,1021,1024,2388000,2453743000
2015-06-29,1041,1044,1022,1024,2728000,2813804000
2015-06-26,1066,1073,1059,1065,1820000,1939475000
2015-06-25,1062,1072,1058,1062,1397000,1489042000
