7937-T,東証1部,ツツミ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2391,2408,2355,2373,5000,11908000
2015-10-01,2457,2457,2383,2391,13200,31893500
2015-09-30,2351,2472,2351,2457,12000,28882600
2015-09-29,2346,2444,2344,2349,13800,32831500
2015-09-28,2441,2455,2363,2377,12500,30014600
2015-09-25,2346,2410,2339,2406,8000,19001600
2015-09-24,2416,2422,2352,2356,9500,22645200
2015-09-18,2455,2511,2448,2466,11300,27877900
2015-09-17,2518,2518,2479,2505,7300,18240300
2015-09-16,2464,2464,2421,2440,3000,7324700
2015-09-15,2438,2474,2435,2435,4600,11268400
2015-09-14,2553,2560,2415,2437,9300,22971500
2015-09-11,2453,2489,2435,2453,20300,49802400
2015-09-10,2439,2563,2439,2453,11100,27534100
2015-09-09,2393,2492,2393,2483,11500,28282500
2015-09-08,2352,2401,2334,2341,7400,17408600
2015-09-07,2331,2377,2331,2352,3300,7767900
2015-09-04,2398,2431,2314,2343,9700,22851800
2015-09-03,2434,2465,2369,2374,8400,20255500
2015-09-02,2459,2493,2410,2417,7400,18073500
2015-09-01,2541,2595,2492,2492,8900,22526100
2015-08-31,2485,2563,2485,2563,7300,18392400
2015-08-28,2486,2504,2447,2481,15300,37955900
2015-08-27,2595,2627,2412,2417,27400,69123400
2015-08-26,2471,2566,2471,2546,14600,36659700
2015-08-25,2526,2639,2468,2468,14300,36275000
2015-08-24,2658,2735,2576,2576,11900,31586500
2015-08-21,2755,2760,2681,2685,16000,43597600
2015-08-20,2880,2898,2787,2787,5900,16777300
2015-08-19,2938,2953,2920,2929,7300,21434800
2015-08-18,2918,2950,2896,2938,4500,13193400
2015-08-17,2893,2925,2893,2918,6400,18652600
2015-08-14,2888,2902,2855,2900,5000,14428500
2015-08-13,2885,2902,2864,2899,9200,26544800
2015-08-12,2817,2880,2817,2862,6300,18043100
2015-08-11,2814,2865,2778,2851,14800,41723000
2015-08-10,2805,2817,2780,2806,11000,30815800
2015-08-07,2745,2765,2737,2755,5200,14316500
2015-08-06,2711,2829,2687,2785,9400,26090800
2015-08-05,2691,2724,2691,2711,4400,11935800
2015-08-04,2702,2728,2702,2719,2900,7864700
2015-08-03,2692,2715,2691,2702,3400,9173600
