7943-T,東証1部,ニチハ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1655,1690,1636,1680,106200,176370500
2015-10-01,1663,1697,1653,1682,47100,79166500
2015-09-30,1597,1661,1589,1650,86600,141333800
2015-09-29,1607,1609,1562,1574,98500,156121200
2015-09-28,1613,1643,1598,1629,44600,72382300
2015-09-25,1581,1612,1576,1611,53700,85727100
2015-09-24,1580,1603,1566,1572,73100,115579000
2015-09-18,1602,1624,1587,1607,99500,159968300
2015-09-17,1612,1630,1597,1619,93700,151616900
2015-09-16,1605,1612,1580,1612,44400,70921400
2015-09-15,1603,1635,1571,1583,61100,97329700
2015-09-14,1607,1627,1589,1603,37200,59731100
2015-09-11,1535,1616,1535,1594,86600,135097200
2015-09-10,1536,1586,1527,1575,69000,107809300
2015-09-09,1520,1570,1496,1569,47500,73276700
2015-09-08,1510,1531,1470,1474,82500,123423900
2015-09-07,1529,1535,1486,1505,93700,141743200
2015-09-04,1621,1622,1549,1556,63900,100948300
2015-09-03,1620,1665,1572,1612,95600,155474100
2015-09-02,1580,1645,1580,1598,80800,130153800
2015-09-01,1689,1689,1602,1607,96200,156832700
2015-08-31,1692,1729,1684,1706,71000,120823700
2015-08-28,1705,1709,1635,1694,102800,172980100
2015-08-27,1655,1729,1644,1655,144400,241758300
2015-08-26,1570,1634,1547,1621,157800,251110200
2015-08-25,1495,1650,1495,1547,173800,273671200
2015-08-24,1665,1704,1589,1590,86600,141948200
2015-08-21,1769,1798,1700,1704,90800,157703800
2015-08-20,1760,1852,1760,1801,190200,342926900
2015-08-19,1814,1849,1772,1781,88800,159886600
2015-08-18,1829,1864,1801,1826,100100,183385700
2015-08-17,1870,1889,1818,1823,112100,206209200
2015-08-14,1785,1874,1785,1855,167700,309798600
2015-08-13,1826,1863,1760,1774,154000,274836100
2015-08-12,1798,1895,1780,1840,301700,558303300
2015-08-11,1851,1855,1779,1806,256400,461639300
2015-08-10,1918,1918,1877,1888,136700,258198600
2015-08-07,1890,1922,1874,1918,78800,149976600
2015-08-06,1903,1924,1882,1892,141300,268860200
2015-08-05,1843,1914,1830,1903,139100,263873900
2015-08-04,1842,1842,1746,1818,354000,634673100
2015-08-03,1766,1906,1766,1882,258600,477465200
2015-07-31,1800,1883,1800,1846,132600,244554700
2015-07-30,1814,1824,1782,1792,154400,277500600
2015-07-29,1785,1829,1778,1804,87400,157695200
2015-07-28,1785,1798,1758,1766,110400,195772800
2015-07-27,1813,1813,1739,1745,181300,319790300
2015-07-24,1862,1876,1826,1838,79200,145958700
2015-07-23,1800,1857,1800,1844,118200,217011900
2015-07-22,1754,1807,1741,1776,105400,187485700
2015-07-21,1742,1773,1735,1762,97600,171822800
2015-07-17,1795,1795,1716,1727,129800,225263000
2015-07-16,1782,1822,1767,1800,81600,147066700
2015-07-15,1787,1793,1752,1767,49200,87013700
2015-07-14,1750,1806,1749,1769,108000,191753200
2015-07-13,1675,1732,1675,1723,62200,106433100
2015-07-10,1718,1718,1651,1653,146400,245926600
2015-07-09,1666,1720,1622,1711,104100,174603800
2015-07-08,1748,1768,1716,1716,127100,220899400
2015-07-07,1791,1796,1742,1742,161900,285426800
2015-07-06,1789,1792,1750,1760,178000,315254300
2015-07-03,1865,1871,1817,1830,99100,181667100
2015-07-02,1886,1886,1845,1852,165900,308542800
2015-07-01,1880,1884,1843,1861,127200,236503100
2015-06-30,1890,1892,1815,1881,195200,362292700
2015-06-29,1914,1919,1888,1895,130200,247984000
2015-06-26,1930,1962,1918,1954,175800,341851300
2015-06-25,1907,1936,1888,1929,110000,211087900
2015-06-24,1901,1932,1896,1920,134200,257104100
2015-06-23,1885,1902,1864,1895,181400,341159400
2015-06-22,1800,1876,1800,1876,131700,243644500
