7961-T,東証1部,兼日農,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,150,151,149,151,36000,5409000
2015-10-01,152,152,147,152,87000,13017000
2015-09-30,144,150,144,150,41000,5979000
2015-09-29,147,147,144,144,88000,12786000
2015-09-28,147,148,146,147,67000,9817000
2015-09-25,149,149,147,148,35000,5188000
2015-09-24,147,149,147,147,50000,7380000
2015-09-18,151,151,149,150,40000,5987000
2015-09-17,150,152,150,151,16000,2405000
2015-09-16,152,152,152,152,5000,760000
2015-09-15,153,153,150,150,33000,5010000
2015-09-14,153,154,152,153,27000,4128000
2015-09-11,150,153,150,151,108000,16249000
2015-09-10,147,155,146,152,122000,18357000
2015-09-09,148,152,148,150,43000,6425000
2015-09-08,149,149,143,144,59000,8561000
2015-09-07,147,149,143,146,76000,11082000
2015-09-04,145,148,144,146,167000,24300000
2015-09-03,148,149,146,147,36000,5327000
2015-09-02,145,151,145,148,119000,17705000
2015-09-01,153,154,148,149,86000,13016000
2015-08-31,152,154,151,153,61000,9291000
2015-08-28,153,153,150,151,92000,14008000
2015-08-27,148,150,148,148,80000,11920000
2015-08-26,140,147,140,147,76000,10914000
2015-08-25,140,147,139,142,303000,43086000
2015-08-24,147,151,143,143,259000,38045000
2015-08-21,150,153,149,151,153000,23076000
2015-08-20,153,153,152,153,15000,2289000
2015-08-19,154,154,153,153,45000,6907000
2015-08-18,154,155,154,155,41000,6322000
2015-08-17,151,156,151,156,73000,11210000
2015-08-14,151,151,150,151,57000,8590000
2015-08-13,150,152,150,152,23000,3464000
2015-08-12,154,154,151,151,30000,4551000
2015-08-11,153,154,152,152,31000,4750000
2015-08-10,151,153,151,153,52000,7910000
2015-08-07,150,152,150,152,40000,6050000
2015-08-06,152,154,152,152,87000,13305000
2015-08-05,151,152,151,152,73000,11062000
2015-08-04,152,152,150,150,65000,9784000
2015-08-03,154,155,151,152,167000,25459000
2015-07-31,155,156,154,155,34000,5269000
2015-07-30,154,155,153,154,32000,4927000
