7974-T,東証1部,任天堂,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,20510,21025,20295,20925,468000,9731574000
2015-10-01,20415,20850,20170,20710,735200,15101999000
2015-09-30,19710,20230,19640,20060,604900,12058120000
2015-09-29,19805,19980,19180,19310,781200,15262421000
2015-09-28,20510,20740,19995,20100,623200,12629801500
2015-09-25,20540,20640,20065,20510,660800,13475994000
2015-09-24,20600,20875,20180,20180,1071400,21847221000
2015-09-18,21360,21580,20905,21055,696200,14703834500
2015-09-17,21800,21815,20945,21295,1271500,27021689500
2015-09-16,23000,23025,21380,21645,1004500,22062917000
2015-09-15,23105,23175,22525,22620,714700,16296208500
2015-09-14,23250,23335,22715,22915,435200,10028726000
2015-09-11,23000,23705,23000,23070,1143100,26609725000
2015-09-10,23290,23490,22910,23405,784100,18242502500
2015-09-09,23300,23600,22965,23600,798100,18688296500
2015-09-08,23055,23295,22320,22355,725400,16397645000
2015-09-07,22700,23065,22460,22855,683100,15548727500
2015-09-04,23805,23875,22950,23175,820600,19165305500
2015-09-03,24180,24305,23445,23515,715200,16972750000
2015-09-02,23300,24535,23210,23770,859000,20539869000
2015-09-01,24835,25170,23800,23865,1068200,25990129000
2015-08-31,24325,25250,24010,25010,1063800,26425407500
2015-08-28,24490,24685,23700,24170,859800,20722323500
2015-08-27,23995,24400,23275,23355,1038000,24509781000
2015-08-26,22610,23945,22610,23880,1123100,26190465500
2015-08-25,21140,23430,21070,22350,1793000,39981821000
2015-08-24,22690,23100,21765,21790,1819200,40642568500
2015-08-21,24300,24465,23580,23720,1036600,24835689000
2015-08-20,25170,25530,24875,24915,780000,19613076500
2015-08-19,24920,25695,24710,24800,1036400,26084086000
2015-08-18,24490,24895,24355,24750,535500,13246585000
2015-08-17,24360,24895,24270,24555,539500,13258618000
2015-08-14,24045,24180,23550,24025,636900,15246083000
2015-08-13,23995,24550,23895,24205,622500,15098310500
2015-08-12,24695,25230,23850,24320,1033400,25215061500
2015-08-11,24900,26050,24385,24685,1917400,48298694500
2015-08-10,23315,24600,23220,24600,1225500,29645772500
2015-08-07,23200,23435,22965,23275,652600,15132213000
2015-08-06,23000,23180,22875,22950,799300,18383540500
2015-08-05,22500,23175,22425,23000,985500,22489132000
2015-08-04,22250,22420,22190,22320,677600,15108226500
2015-08-03,21770,22275,21705,22185,541500,11930823500
2015-07-31,22190,22300,21800,21810,758500,16670514500
2015-07-30,22000,22450,21460,22195,1867200,41190162500
2015-07-29,20945,20970,20500,20500,360700,7471059500
2015-07-28,20700,20990,20490,20725,535700,11111763000
2015-07-27,21400,21425,20770,20835,752000,15834078500
2015-07-24,21900,22100,21615,21755,647300,14127106000
2015-07-23,21650,21880,21605,21880,571600,12465156500
2015-07-22,21460,21620,21385,21470,566200,12165939500
2015-07-21,21100,21880,21050,21755,794800,17205339000
2015-07-17,21345,21545,21020,21300,1078400,22976039500
2015-07-16,20435,21115,20320,21010,1034500,21549176000
2015-07-15,19785,20445,19745,20225,949000,19136869500
2015-07-14,19965,20045,19625,19735,912100,18049902500
2015-07-13,20110,20390,19320,19805,1526600,30207158500
2015-07-10,20000,20345,19490,19515,869400,17282421000
2015-07-09,19500,20100,19205,19770,983600,19313321000
2015-07-08,20305,20585,19840,19840,982000,19818683500
2015-07-07,20585,20675,20285,20345,383900,7840135000
2015-07-06,20400,20580,20235,20235,506600,10311099000
2015-07-03,21035,21075,20660,20895,424800,8852457500
2015-07-02,21185,21485,21005,21050,623600,13232139500
2015-07-01,20705,21100,20705,21045,564700,11831429000
2015-06-30,20600,20785,20330,20470,956300,19608509500
2015-06-29,20985,21250,20815,20990,963500,20259367500
2015-06-26,21490,21935,21440,21780,1209900,26259045500
2015-06-25,20915,21745,20905,21420,984100,21030198000
2015-06-24,21000,21090,20765,20880,775300,16191474000
2015-06-23,20350,20950,20315,20950,856100,17719337500
2015-06-22,19905,20060,19795,20000,515800,10277378000
2015-06-19,19800,19910,19670,19735,336200,6642397500
2015-06-18,19900,20035,19515,19515,575900,11324629000
2015-06-17,20230,20350,19770,19875,668400,13368589000
2015-06-16,20490,20580,20325,20350,429100,8773667000
2015-06-15,20290,20650,20260,20320,470500,9596660000
2015-06-12,19905,20625,19835,20505,996300,20140130500
2015-06-11,20195,20425,19990,20000,909900,18379707500
2015-06-10,20500,20715,20160,20160,772200,15750409000
2015-06-09,20660,20675,20200,20200,675700,13774968500
2015-06-08,21065,21080,20760,20820,587000,12262554500
2015-06-05,20890,21035,20645,20880,710400,14801293000
2015-06-04,21000,21240,20950,21190,485100,10245958500
2015-06-03,20995,21250,20800,20950,515100,10809369500
2015-06-02,21500,21810,21035,21095,733700,15638753000
2015-06-01,20900,21580,20855,21485,623300,13278005500
2015-05-29,20700,21350,20660,21120,1068600,22526576000
2015-05-28,20820,20855,20570,20830,794100,16459997500
2015-05-27,21370,21410,20750,20760,1014900,21238391500
2015-05-26,21325,21505,21200,21235,525500,11202607000
2015-05-25,21450,21785,21195,21410,689300,14836305500
2015-05-22,21645,21750,20920,21330,1489300,31666917500
2015-05-21,21765,21860,21630,21630,518400,11270073500
2015-05-20,21800,22015,21550,21795,1031300,22496823500
2015-05-19,22265,22350,21850,22050,915100,20196019000
2015-05-18,22800,22850,22400,22455,844000,19061369500
2015-05-15,22795,23095,22445,22770,997800,22658658500
2015-05-14,21830,23180,21675,22520,1816800,40843306000
2015-05-13,20750,22310,20670,22210,1452500,31562303000
2015-05-12,20735,20830,20470,20805,560300,11584342500
2015-05-11,21015,21105,20425,20595,1344200,27833134000
2015-05-08,21045,21610,20670,21155,2719000,57468892000
2015-05-07,19755,19885,19550,19740,861400,16990748000
2015-05-01,20120,20545,20005,20255,772700,15683558000
2015-04-30,20600,20895,20275,20320,659700,13547503000
2015-04-28,20690,20940,20660,20785,456000,9473308000
2015-04-27,20550,20600,20330,20575,538400,11026845500
2015-04-24,20505,20885,20405,20750,661600,13682828500
2015-04-23,20845,20910,20275,20370,815400,16761490000
2015-04-22,20820,21055,20680,20915,932700,19466142000
2015-04-21,20385,20680,20205,20670,682900,13960124000
2015-04-20,20200,20430,19850,20245,561600,11363413000
2015-04-17,20550,20595,20165,20370,1052700,21461598000
2015-04-16,19950,20720,19920,20655,1476700,30129623000
2015-04-15,19435,20045,19300,19920,1155700,22907888000
2015-04-14,19580,19690,19250,19440,868700,16877342000
2015-04-13,18940,19825,18840,19765,1564500,30407526000
2015-04-10,18750,18940,18630,18910,615100,11582222500
