7984-T,東証1部,コクヨ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1265,1281,1250,1269,250600,316296600
2015-10-01,1272,1289,1258,1279,284500,362700500
2015-09-30,1268,1278,1252,1265,367300,464872900
2015-09-29,1266,1266,1236,1250,334100,416962100
2015-09-28,1260,1297,1255,1289,332500,427071500
2015-09-25,1211,1243,1201,1243,320500,393528700
2015-09-24,1193,1230,1187,1201,286800,347661900
2015-09-18,1225,1234,1202,1211,342700,417142900
2015-09-17,1220,1255,1216,1252,325300,402857400
2015-09-16,1252,1257,1210,1216,303800,370928600
2015-09-15,1259,1266,1234,1236,303700,379253700
2015-09-14,1243,1257,1227,1245,308200,383908800
2015-09-11,1211,1257,1179,1248,690600,850476000
2015-09-10,1183,1190,1145,1181,323100,379140100
2015-09-09,1144,1191,1134,1191,298000,348498500
2015-09-08,1168,1168,1106,1110,199400,223910100
2015-09-07,1140,1173,1132,1167,263500,304546800
2015-09-04,1170,1170,1123,1138,212100,242273000
2015-09-03,1177,1194,1159,1162,217400,255641200
2015-09-02,1150,1193,1127,1160,293100,341933200
2015-09-01,1207,1214,1167,1168,400900,479372700
2015-08-31,1230,1239,1209,1227,295300,360923600
2015-08-28,1220,1248,1212,1239,364700,449065300
2015-08-27,1189,1208,1179,1185,381100,453963200
2015-08-26,1103,1165,1083,1155,536200,607774400
2015-08-25,1084,1148,1073,1095,351900,389980800
2015-08-24,1190,1211,1142,1144,316700,371597000
2015-08-21,1240,1252,1219,1219,364600,449095100
2015-08-20,1304,1304,1270,1270,209500,268577400
2015-08-19,1322,1340,1302,1308,361000,476431500
2015-08-18,1323,1332,1314,1326,270800,358547500
2015-08-17,1301,1323,1290,1320,332800,435633000
2015-08-14,1317,1326,1299,1312,206200,270456800
2015-08-13,1302,1328,1284,1325,246700,322288800
2015-08-12,1336,1337,1305,1316,201700,265676700
2015-08-11,1336,1344,1320,1336,362200,483791800
2015-08-10,1263,1337,1263,1336,396400,521657800
2015-08-07,1273,1283,1261,1280,320600,407733700
2015-08-06,1315,1315,1277,1279,334000,432021300
2015-08-05,1315,1328,1292,1313,274200,359709900
2015-08-04,1284,1322,1281,1317,433100,564675600
2015-08-03,1273,1282,1255,1278,393600,499591500
2015-07-31,1299,1303,1276,1289,498200,643364100
2015-07-30,1278,1300,1265,1297,502100,647452500
2015-07-29,1231,1277,1230,1265,718300,903108300
2015-07-28,1200,1248,1192,1232,1195700,1458479400
2015-07-27,1170,1241,1150,1229,1266100,1526088100
2015-07-24,1087,1170,1072,1145,656300,739391500
2015-07-23,1069,1087,1068,1084,150900,162956300
2015-07-22,1073,1076,1065,1070,172100,184362500
2015-07-21,1084,1084,1071,1082,105200,113523300
2015-07-17,1089,1090,1075,1080,123400,133306300
2015-07-16,1080,1084,1070,1084,156000,168455700
2015-07-15,1058,1080,1055,1071,223300,239359400
2015-07-14,1056,1058,1046,1057,139400,146948800
2015-07-13,1026,1046,1026,1040,145300,150445600
2015-07-10,1029,1036,1006,1013,313200,319176500
2015-07-09,1030,1030,983,1020,415700,418585000
2015-07-08,1078,1083,1050,1050,225800,239354600
2015-07-07,1071,1092,1071,1090,231000,250808500
2015-07-06,1064,1078,1055,1058,193900,206088600
2015-07-03,1093,1093,1082,1084,106400,115520900
2015-07-02,1067,1095,1066,1093,267300,290034200
2015-07-01,1056,1076,1055,1074,139300,148861300
2015-06-30,1052,1060,1052,1054,159100,167904800
2015-06-29,1056,1062,1052,1053,228000,241017400
2015-06-26,1100,1101,1082,1090,196300,213914700
2015-06-25,1117,1117,1108,1109,207300,230539400
2015-06-24,1108,1118,1103,1113,269800,299837200
2015-06-23,1094,1102,1086,1101,230000,252009400
2015-06-22,1082,1094,1073,1092,158500,172219000
2015-06-19,1095,1099,1081,1081,192700,209156300
2015-06-18,1080,1088,1077,1079,169000,183006100
2015-06-17,1082,1086,1075,1079,120300,129858000
2015-06-16,1083,1092,1080,1082,147000,159434800
2015-06-15,1086,1094,1081,1089,114100,124079000
2015-06-12,1109,1109,1094,1098,260700,288217000
2015-06-11,1077,1100,1073,1099,170000,185752700
2015-06-10,1087,1087,1072,1072,183100,197571700
2015-06-09,1076,1088,1076,1080,194600,210612000
2015-06-08,1083,1088,1077,1087,146000,158296700
2015-06-05,1085,1087,1072,1079,285300,308030600
2015-06-04,1102,1110,1089,1092,179700,196831200
2015-06-03,1102,1112,1102,1108,134600,149091700
2015-06-02,1098,1110,1097,1104,176200,194478000
2015-06-01,1086,1100,1086,1097,132400,144810100
2015-05-29,1089,1100,1085,1086,208600,227768200
2015-05-28,1097,1101,1085,1092,158900,173299200
2015-05-27,1094,1103,1091,1097,168600,184967500
2015-05-26,1099,1099,1083,1094,297700,324901100
2015-05-25,1104,1119,1103,1107,214200,237478600
2015-05-22,1096,1102,1083,1097,327000,357637100
2015-05-21,1110,1112,1093,1102,217800,240142100
2015-05-20,1100,1114,1098,1109,352100,390509600
2015-05-19,1080,1099,1074,1096,267600,292196300
2015-05-18,1080,1087,1073,1084,285600,308662800
2015-05-15,1074,1091,1073,1083,175000,189705700
2015-05-14,1085,1087,1072,1075,177200,191103400
2015-05-13,1084,1092,1079,1085,138700,150492600
2015-05-12,1088,1097,1077,1093,265600,289025600
2015-05-11,1089,1105,1084,1085,299100,326893600
2015-05-08,1058,1076,1058,1072,235100,251662900
2015-05-07,1070,1095,1057,1058,368600,394932100
2015-05-01,1082,1088,1072,1084,235400,254227900
2015-04-30,1096,1106,1085,1091,424700,463534800
2015-04-28,1097,1115,1093,1101,550000,606359600
2015-04-27,1090,1109,1073,1095,1161800,1266339400
2015-04-24,1181,1188,1174,1177,174200,205552500
2015-04-23,1188,1197,1181,1186,161700,192032900
2015-04-22,1189,1216,1184,1196,238400,286032100
2015-04-21,1189,1194,1165,1177,261800,307850900
2015-04-20,1181,1205,1172,1195,221700,265188000
2015-04-17,1180,1200,1175,1190,253500,302210900
2015-04-16,1175,1186,1161,1181,263100,308485900
2015-04-15,1185,1190,1168,1170,189300,222308800
2015-04-14,1182,1205,1178,1193,220200,263292400
2015-04-13,1176,1192,1165,1185,331900,391866900
2015-04-10,1155,1177,1146,1170,264600,307963600
2015-04-09,1153,1162,1148,1155,269400,310747900
2015-04-08,1170,1174,1147,1159,349900,406924900
2015-04-07,1179,1189,1164,1172,219700,258267100
2015-04-06,1144,1189,1138,1178,320700,376830900
2015-04-03,1151,1165,1146,1154,123600,142661200
2015-04-02,1126,1170,1126,1149,379400,438333600
2015-04-01,1111,1144,1111,1133,388700,439265000
2015-03-31,1126,1151,1117,1123,387700,438902500
2015-03-30,1110,1114,1094,1109,343200,379575800
2015-03-27,1125,1148,1108,1116,301200,338802800
2015-03-26,1147,1150,1123,1127,278500,314800300
2015-03-25,1141,1161,1137,1159,259700,298392200
2015-03-24,1150,1158,1146,1152,242900,279663900
2015-03-23,1160,1167,1149,1156,217900,252024900
2015-03-20,1170,1172,1151,1161,303100,351240000
2015-03-19,1176,1187,1157,1170,253600,297010800
2015-03-18,1186,1191,1161,1178,298600,351316900
2015-03-17,1167,1191,1156,1188,290900,342676500
2015-03-16,1141,1167,1137,1159,256700,296824000
2015-03-13,1130,1149,1112,1145,536300,608653400
2015-03-12,1104,1128,1100,1122,280000,313256100
2015-03-11,1108,1117,1097,1099,287600,318242900
2015-03-10,1110,1122,1097,1110,226200,251082500
2015-03-09,1116,1116,1081,1106,420200,462474400
2015-03-06,1075,1128,1068,1125,522100,576170500
2015-03-05,1058,1075,1037,1070,333600,353618400
2015-03-04,1052,1066,1036,1059,235000,247291000
