7988-T,東証1部,ニフコ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4295,4460,4255,4405,525500,2310125500
2015-10-01,4135,4385,4110,4345,376700,1620514000
2015-09-30,4050,4125,4020,4075,260800,1065194000
2015-09-29,4025,4060,3980,3980,235600,945789500
2015-09-28,4150,4175,4055,4090,196200,804283000
2015-09-25,4175,4230,4105,4200,215500,897002000
2015-09-24,4270,4290,4145,4145,356100,1491860000
2015-09-18,4335,4405,4260,4395,555600,2422563000
2015-09-17,4250,4400,4245,4370,389900,1698165500
2015-09-16,4170,4235,4170,4190,177000,743236000
2015-09-15,4200,4250,4105,4135,290600,1212038000
2015-09-14,4215,4280,4150,4165,248300,1041003500
2015-09-11,4115,4225,4115,4180,389400,1619360000
2015-09-10,4195,4260,4130,4245,383000,1609354500
2015-09-09,4235,4295,4165,4295,473300,2005029000
2015-09-08,4150,4265,4095,4115,445200,1860287000
2015-09-07,4165,4265,4105,4140,511300,2126537000
2015-09-04,4420,4425,4105,4235,479700,2029890500
2015-09-03,4415,4505,4365,4400,436700,1933532000
2015-09-02,4375,4495,4350,4405,476100,2109043000
2015-09-01,4700,4700,4340,4385,821600,3659939500
2015-08-31,4825,4825,4670,4740,407100,1924067500
2015-08-28,4715,4885,4655,4855,469700,2253589000
2015-08-27,4630,4700,4555,4580,317400,1464724500
2015-08-26,4500,4595,4455,4570,336800,1526629000
2015-08-25,4295,4650,4285,4475,530100,2378619000
2015-08-24,4635,4710,4440,4455,473800,2155393500
2015-08-21,4730,4765,4680,4700,326300,1540498500
2015-08-20,4945,4975,4805,4820,321200,1559997000
2015-08-19,5110,5170,4935,4960,451000,2254574000
2015-08-18,5180,5250,5110,5180,221600,1151064000
2015-08-17,5250,5260,5180,5210,239900,1251093000
2015-08-14,5280,5350,5230,5230,181300,954042000
2015-08-13,5350,5350,5200,5310,324500,1714999000
2015-08-12,5490,5540,5380,5390,171000,928236000
2015-08-11,5630,5710,5510,5540,253300,1417885000
2015-08-10,5510,5610,5450,5590,176100,979856000
2015-08-07,5340,5520,5340,5480,283100,1544840000
2015-08-06,5430,5470,5370,5370,242500,1314639000
2015-08-05,5380,5410,5340,5390,218500,1175471000
2015-08-04,5300,5390,5280,5360,244600,1307456000
2015-08-03,5310,5340,5240,5300,266500,1410356000
2015-07-31,5340,5450,5170,5360,596900,3179611000
2015-07-30,4955,5040,4930,4970,309500,1541643500
2015-07-29,4950,4960,4865,4920,268600,1316794500
2015-07-28,4910,4945,4820,4910,261100,1273895000
2015-07-27,4950,4980,4925,4955,141400,699724000
2015-07-24,5040,5060,4985,5010,155300,777731500
2015-07-23,5070,5120,5040,5080,217500,1103617000
2015-07-22,5170,5190,5060,5100,146600,749276000
2015-07-21,5280,5280,5140,5180,196600,1019833000
2015-07-17,5200,5250,5130,5230,263800,1374080000
2015-07-16,5150,5250,5120,5210,198200,1030822000
2015-07-15,5190,5190,5000,5120,310900,1582054000
2015-07-14,5190,5280,5180,5190,116000,605244000
2015-07-13,5130,5150,5060,5100,192100,980335000
2015-07-10,5110,5140,5020,5060,376100,1906974000
2015-07-09,5050,5090,4905,5070,389700,1959582500
2015-07-08,5290,5350,5150,5210,489800,2555751000
2015-07-07,5400,5420,5320,5350,142100,761791000
2015-07-06,5380,5420,5240,5330,247500,1316722000
2015-07-03,5400,5480,5350,5450,249400,1353626000
2015-07-02,5490,5510,5310,5330,212200,1138693000
2015-07-01,5300,5460,5280,5410,165400,893757000
2015-06-30,5270,5320,5250,5310,154200,814955000
2015-06-29,5450,5450,5210,5230,258500,1367243000
2015-06-26,5390,5440,5330,5350,158400,851913000
2015-06-25,5500,5510,5360,5360,207800,1119147000
2015-06-24,5350,5540,5330,5520,354500,1941817000
2015-06-23,5400,5400,5320,5340,152500,814548000
2015-06-22,5280,5360,5270,5350,160600,852979000
2015-06-19,5270,5340,5260,5320,368400,1952960000
2015-06-18,5260,5270,5190,5190,206500,1076162000
2015-06-17,5290,5380,5260,5300,276600,1471225000
2015-06-16,5250,5290,5220,5240,226600,1190461000
2015-06-15,5130,5240,5110,5240,271000,1408086000
2015-06-12,5270,5270,5110,5180,269800,1402138000
2015-06-11,5070,5180,5050,5180,215700,1110156000
2015-06-10,5140,5160,5030,5030,397200,2019339000
2015-06-09,5180,5190,5090,5100,164300,843364000
2015-06-08,5240,5250,5090,5170,211800,1092615000
2015-06-05,5230,5240,5160,5240,136100,709581000
2015-06-04,5200,5290,5180,5260,362500,1899641000
2015-06-03,5260,5290,5150,5180,398600,2080596000
2015-06-02,5310,5370,5290,5330,322900,1719498000
2015-06-01,5140,5280,5140,5240,372900,1936248000
2015-05-29,5210,5250,5080,5170,406400,2103001000
2015-05-28,5210,5300,5160,5190,409400,2142081000
2015-05-27,5100,5200,5090,5130,279500,1441541000
2015-05-26,5070,5140,5070,5110,110000,561875000
2015-05-25,5210,5300,5080,5100,186400,957873000
2015-05-22,5040,5200,5020,5150,301200,1547831000
2015-05-21,5060,5060,4865,4990,336100,1675587000
2015-05-20,4960,5090,4940,5080,393200,1978134000
2015-05-19,4785,4945,4770,4850,284200,1386792000
2015-05-18,4690,4755,4690,4750,131100,620182000
2015-05-15,4715,4765,4670,4690,200200,943591000
2015-05-14,4610,4745,4575,4710,488000,2281530000
2015-05-13,4315,4435,4310,4435,138800,610728000
2015-05-12,4420,4420,4290,4360,211000,917721500
2015-05-11,4345,4485,4335,4455,290200,1286944500
2015-05-08,4275,4345,4250,4285,204200,873949000
2015-05-07,4325,4400,4260,4275,246500,1066442000
2015-05-01,4255,4330,4245,4325,240400,1032293500
2015-04-30,4375,4405,4235,4255,342900,1467077000
2015-04-28,4415,4470,4380,4435,207200,916377500
2015-04-27,4430,4455,4390,4425,65200,288482000
2015-04-24,4450,4470,4400,4430,119800,531061000
2015-04-23,4555,4580,4460,4475,154800,697364500
2015-04-22,4580,4590,4540,4555,216200,986272000
2015-04-21,4505,4570,4485,4570,258200,1173881000
2015-04-20,4470,4490,4420,4475,158000,705798500
2015-04-17,4560,4580,4470,4470,232800,1048264000
2015-04-16,4495,4555,4490,4555,261900,1186723500
2015-04-15,4440,4505,4410,4490,180200,806882500
2015-04-14,4500,4515,4410,4435,197900,880646500
2015-04-13,4530,4530,4400,4445,171500,761276000
2015-04-10,4500,4515,4435,4505,162500,727946500
2015-04-09,4565,4565,4465,4500,337100,1516873500
2015-04-08,4425,4610,4400,4565,396500,1800263500
2015-04-07,4425,4460,4350,4385,315800,1386997000
2015-04-06,4280,4375,4255,4360,347900,1503176000
2015-04-03,4140,4245,4140,4245,178500,751712500
2015-04-02,4050,4175,4050,4140,451900,1864378000
2015-04-01,4115,4130,4020,4045,491100,1991882000
2015-03-31,4225,4260,4130,4145,307700,1282329000
2015-03-30,4325,4340,4190,4205,267200,1128664500
2015-03-27,4290,4395,4270,4300,322200,1394639000
2015-03-26,4255,4305,4225,4290,331000,1413198500
2015-03-25,4240,4290,4225,4290,230500,982166500
2015-03-24,4215,4255,4155,4240,401300,1691518000
2015-03-23,4235,4270,4195,4260,397100,1681818500
2015-03-20,4365,4365,4195,4225,1022700,4332207000
2015-03-19,4400,4430,4315,4330,313600,1363821500
2015-03-18,4445,4455,4355,4385,263100,1151589500
2015-03-17,4440,4485,4405,4445,262100,1166072000
2015-03-16,4365,4430,4355,4410,268800,1181909000
2015-03-13,4150,4400,4145,4380,521200,2228719500
2015-03-12,4150,4195,4125,4135,272300,1130500000
2015-03-11,4110,4155,4090,4140,190500,787458500
2015-03-10,4165,4175,4080,4105,302300,1244954000
2015-03-09,4155,4215,4155,4175,241200,1007513500
2015-03-06,4195,4205,4145,4200,377000,1576006500
2015-03-05,4145,4205,4125,4185,488100,2036934000
2015-03-04,4125,4125,4060,4095,183100,749942500
2015-03-03,4120,4160,4085,4100,279400,1148337000
2015-03-02,4180,4180,4095,4115,167700,691618500
2015-02-27,4130,4145,4085,4110,184100,757322500
2015-02-26,4090,4145,4085,4125,234200,963754000
2015-02-25,4050,4105,4030,4055,125700,510478500
2015-02-24,4080,4095,4015,4030,150200,608373000
2015-02-23,4125,4125,4050,4090,103800,424124000
2015-02-20,4135,4160,4060,4100,182300,748251000
2015-02-19,4100,4135,4090,4120,166600,685398000
2015-02-18,3995,4120,3995,4085,246900,1008393500
2015-02-17,3920,3995,3900,3990,102900,407896500
2015-02-16,3945,3990,3930,3945,123600,489226500
2015-02-13,4010,4025,3935,3945,146200,580098500
2015-02-12,4015,4105,3995,4025,271000,1092878000
2015-02-10,3980,4010,3885,3920,127400,499906500
2015-02-09,4000,4010,3960,3975,123700,492368000
2015-02-06,3995,4005,3960,3975,95000,378686000
2015-02-05,4040,4060,3950,3960,163700,652600500
2015-02-04,4040,4105,4030,4060,203300,827712000
2015-02-03,4110,4110,3960,3985,182800,734057000
2015-02-02,4010,4125,3955,4110,376800,1532627500
2015-01-30,4100,4150,4065,4080,199700,817225000
2015-01-29,4115,4140,4080,4100,189100,778078500
2015-01-28,4200,4210,4115,4135,267100,1106019500
2015-01-27,4200,4285,4195,4245,313400,1331025000
2015-01-26,4160,4225,4145,4210,228500,959917500
2015-01-23,4215,4255,4180,4190,89700,377743500
2015-01-22,4175,4185,4110,4170,192100,798478000
2015-01-21,4165,4220,4125,4180,231800,968229500
2015-01-20,4060,4190,4055,4180,259900,1082105000
2015-01-19,4000,4070,3965,4060,172600,696584500
2015-01-16,3890,3995,3890,3985,175700,693766000
2015-01-15,3890,4025,3890,4000,200300,799741500
2015-01-14,3920,3925,3875,3895,111100,433230500
2015-01-13,3845,3925,3795,3920,133100,514042000
2015-01-09,3880,3915,3860,3880,138000,536625500
2015-01-08,3805,3890,3790,3870,124400,479992500
2015-01-07,3750,3835,3750,3770,161700,612211000
2015-01-06,3880,3880,3805,3805,119800,458598000
2015-01-05,3910,3960,3835,3930,148600,581350500
2014-12-30,3995,3995,3905,3920,77900,306447000
2014-12-29,4025,4035,3915,3985,101300,403651500
2014-12-26,4005,4025,3990,4000,126800,507659500
2014-12-25,4030,4070,3995,4005,86000,346369500
2014-12-24,4065,4115,4055,4070,300700,1228454500
2014-12-22,3955,4000,3915,3995,166800,662723000
2014-12-19,3955,3970,3870,3880,235400,918864000
2014-12-18,3975,4035,3840,3855,324600,1267397500
2014-12-17,3845,3935,3800,3905,288900,1124963000
2014-12-16,3770,3830,3765,3805,152800,580086500
2014-12-15,3885,3895,3815,3840,143900,554627500
2014-12-12,3925,3990,3905,3935,182600,719315000
2014-12-11,3890,3925,3850,3915,209100,813953000
2014-12-10,3925,3985,3900,3925,425000,1670190500
2014-12-09,4060,4095,3985,3995,413900,1665115500
2014-12-08,4235,4295,4110,4130,848400,3545029500
2014-12-05,4265,4310,4200,4210,495100,2105053000
2014-12-04,4225,4290,4215,4290,223700,954857000
2014-12-03,4110,4195,4065,4155,292500,1211651000
2014-12-02,4125,4230,4100,4180,234900,982709500
2014-12-01,4060,4130,4045,4110,224100,918321500
2014-11-28,3975,4070,3960,4055,260700,1053100000
2014-11-27,3920,3960,3895,3935,185700,731592000
2014-11-26,4095,4125,3890,3900,443400,1754163500
2014-11-25,3785,3900,3775,3885,245000,944854500
2014-11-21,3755,3760,3680,3740,217400,808968000
2014-11-20,3750,3800,3745,3775,269300,1018049000
2014-11-19,3565,3715,3565,3685,282300,1034333000
2014-11-18,3485,3560,3470,3555,173900,613890500
2014-11-17,3540,3555,3330,3415,224700,777182000
2014-11-14,3600,3600,3525,3550,271800,966236500
2014-11-13,3550,3585,3535,3550,414100,1471741500
2014-11-12,3505,3525,3440,3450,190900,664552000
2014-11-11,3495,3520,3470,3490,227200,793426000
2014-11-10,3455,3485,3440,3465,147900,512008000
2014-11-07,3495,3510,3460,3470,160200,556933000
2014-11-06,3565,3575,3475,3480,257800,905431000
2014-11-05,3560,3605,3540,3565,206700,737714500
2014-11-04,3645,3645,3540,3575,385000,1380416000
2014-10-31,3400,3530,3365,3505,393800,1359301500
2014-10-30,3425,3475,3405,3450,211300,728844500
2014-10-29,3330,3395,3310,3390,198600,670337500
2014-10-28,3280,3300,3260,3285,122000,400617000
2014-10-27,3295,3300,3250,3295,170900,560893500
2014-10-24,3300,3315,3255,3260,181000,592075000
2014-10-23,3225,3280,3200,3265,280300,908541000
2014-10-22,3180,3255,3180,3250,269600,869806500
2014-10-21,3145,3160,3095,3100,181600,566676000
2014-10-20,3105,3140,3095,3120,212800,663704500
2014-10-17,3065,3090,3025,3030,169700,518326000
2014-10-16,3090,3120,3065,3075,135000,417230500
2014-10-15,3100,3165,3090,3150,215300,675275000
2014-10-14,3080,3095,3045,3070,261900,805156500
2014-10-10,3140,3160,3120,3150,202500,635794500
2014-10-09,3260,3265,3200,3205,193600,623872500
2014-10-08,3270,3280,3225,3250,178800,581023000
2014-10-07,3325,3365,3325,3330,234500,785141000
2014-10-06,3305,3345,3255,3315,211700,699851500
2014-10-03,3235,3270,3215,3240,255700,827861000
2014-10-02,3340,3340,3225,3235,229800,750548500
