8008-T,東証1部,4℃HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2850,2870,2710,2717,130400,361000300
2015-10-01,2920,2959,2844,2850,105500,307048900
2015-09-30,2830,2955,2770,2910,91200,264297000
2015-09-29,2854,2943,2774,2780,131800,376482000
2015-09-28,2840,2892,2804,2854,50200,143076000
2015-09-25,2696,2873,2692,2873,67100,188350600
2015-09-24,2681,2760,2681,2724,37100,101419900
2015-09-18,2691,2746,2656,2719,40500,109888100
2015-09-17,2703,2726,2651,2693,29900,80283300
2015-09-16,2685,2704,2617,2703,51300,137214900
2015-09-15,2642,2718,2642,2665,40200,107667500
2015-09-14,2657,2702,2619,2636,43200,114546500
2015-09-11,2632,2670,2619,2651,43500,114694100
2015-09-10,2632,2655,2601,2637,27800,73100700
2015-09-09,2600,2678,2567,2678,41600,109472800
2015-09-08,2611,2670,2517,2521,31400,80586800
2015-09-07,2631,2650,2562,2606,64300,167297200
2015-09-04,2697,2715,2606,2660,62100,165371600
2015-09-03,2680,2735,2636,2647,90300,242019500
2015-09-02,2514,2697,2502,2633,68400,180504200
2015-09-01,2637,2715,2582,2609,108500,287563300
2015-08-31,2570,2645,2530,2636,46600,120861200
2015-08-28,2625,2625,2548,2568,51000,131326400
2015-08-27,2649,2659,2550,2564,47200,122198400
2015-08-26,2450,2564,2450,2544,88300,221719200
2015-08-25,2450,2623,2351,2437,161000,402240800
2015-08-24,2740,2781,2641,2650,84800,228898700
2015-08-21,2811,2891,2811,2839,72400,206651500
2015-08-20,2849,2947,2840,2894,43700,127090800
2015-08-19,2925,2950,2848,2864,60400,173595200
2015-08-18,3020,3020,2920,2950,59200,175119400
2015-08-17,2959,3030,2959,3020,62000,186142100
2015-08-14,2908,3040,2907,2945,65800,195986000
2015-08-13,2931,2961,2880,2928,55400,161797500
2015-08-12,2880,2973,2872,2955,103000,303272600
2015-08-11,2942,2943,2856,2881,60900,176354100
2015-08-10,2833,2947,2833,2942,117700,342341600
2015-08-07,2708,2830,2708,2820,82200,229576700
2015-08-06,2749,2795,2737,2750,72100,199666600
2015-08-05,2717,2744,2668,2726,79800,217048900
2015-08-04,2674,2730,2650,2699,91500,247203100
2015-08-03,2645,2672,2626,2665,25500,67793700
2015-07-31,2661,2664,2619,2642,39500,104196500
2015-07-30,2726,2726,2610,2644,107100,283260800
2015-07-29,2749,2749,2688,2736,26200,71268400
2015-07-28,2656,2780,2550,2756,85300,230087900
2015-07-27,2783,2820,2671,2677,111800,304350500
2015-07-24,2799,2815,2779,2796,30300,84615700
2015-07-23,2764,2815,2755,2810,51800,144862800
2015-07-22,2766,2786,2744,2762,51900,143463300
2015-07-21,2792,2797,2733,2763,73100,201776700
2015-07-17,2874,2900,2778,2786,69500,195175900
2015-07-16,2843,2896,2815,2879,49300,141072500
2015-07-15,2850,2889,2814,2851,43100,122486100
2015-07-14,2898,2898,2836,2850,49400,141400200
2015-07-13,2740,2846,2740,2834,37600,105342800
2015-07-10,2752,2774,2676,2724,99100,268959700
2015-07-09,2667,2795,2661,2760,97900,265344300
2015-07-08,2800,2894,2760,2817,139900,396392700
2015-07-07,2901,2993,2801,2842,168400,487661400
2015-07-06,2937,2974,2894,2900,77700,227162400
2015-07-03,2930,2964,2909,2926,78900,231066500
2015-07-02,3035,3045,2944,2958,48900,146108900
2015-07-01,2970,3080,2970,2991,81900,247784300
2015-06-30,2907,2986,2901,2974,64400,190395800
2015-06-29,2970,2977,2882,2882,49300,143779900
2015-06-26,2951,2992,2945,2988,43700,129951600
2015-06-25,2920,2983,2902,2953,81400,241263800
2015-06-24,2985,2985,2911,2922,70700,207459800
2015-06-23,2990,3010,2936,2973,54400,161487900
2015-06-22,3030,3040,2944,2962,67300,200481900
2015-06-19,2971,3060,2971,3000,94600,284768400
2015-06-18,2930,3000,2930,2941,137900,408749800
2015-06-17,2890,3000,2850,2930,231000,680641700
2015-06-16,2862,2886,2795,2840,115200,326621600
2015-06-15,2800,2914,2790,2873,149400,429477300
2015-06-12,2850,2852,2787,2808,114200,322719700
2015-06-11,2794,2890,2777,2840,131800,374536500
2015-06-10,2760,2789,2716,2718,42400,116405800
2015-06-09,2810,2810,2747,2752,71200,197460800
2015-06-08,2710,2837,2695,2810,115100,320961000
2015-06-05,2691,2713,2655,2672,50300,134623200
2015-06-04,2740,2780,2660,2674,110100,297617300
2015-06-03,2721,2746,2689,2727,51100,138680400
2015-06-02,2697,2772,2695,2746,60400,165542600
2015-06-01,2647,2701,2636,2686,53300,142390000
2015-05-29,2700,2717,2647,2682,72700,194229700
2015-05-28,2731,2750,2683,2695,32800,89085600
2015-05-27,2694,2728,2672,2717,36700,99410300
2015-05-26,2702,2718,2668,2675,36200,97150800
2015-05-25,2690,2731,2690,2702,33800,91452600
2015-05-22,2730,2739,2676,2699,28400,76628300
2015-05-21,2769,2770,2702,2726,57900,158027600
2015-05-20,2805,2805,2711,2739,68300,187609500
2015-05-19,2730,2810,2729,2782,122300,340631000
2015-05-18,2630,2716,2630,2708,69400,186404000
2015-05-15,2626,2680,2621,2640,36800,97149300
2015-05-14,2669,2669,2614,2626,29300,77189200
2015-05-13,2680,2718,2663,2668,67500,181142200
2015-05-12,2650,2689,2587,2676,136700,360850000
2015-05-11,2550,2750,2550,2717,200300,538302200
2015-05-08,2500,2525,2467,2512,106000,265263400
2015-05-07,2560,2600,2503,2507,94400,239911600
2015-05-01,2601,2613,2553,2560,86200,221923500
2015-04-30,2666,2666,2618,2636,59200,156122400
2015-04-28,2679,2691,2640,2666,56700,151094100
2015-04-27,2690,2696,2678,2691,32500,87352400
2015-04-24,2651,2710,2646,2686,74800,201023500
2015-04-23,2652,2680,2638,2647,73400,194862400
2015-04-22,2683,2719,2672,2680,59400,159940000
2015-04-21,2680,2695,2650,2674,52200,138998500
2015-04-20,2670,2748,2640,2663,132400,356168800
2015-04-17,2700,2735,2656,2689,167400,451963600
2015-04-16,2734,2751,2655,2673,128000,343802600
2015-04-15,2680,2780,2651,2724,297900,813174900
2015-04-14,2527,2694,2389,2640,468600,1207999500
2015-04-13,2425,2528,2425,2516,187900,469638000
