8013-T,東証1部,ナイガイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,57,58,57,58,963000,55171000
2015-10-01,59,59,58,58,694000,40848000
2015-09-30,57,60,57,58,836000,48442000
2015-09-29,59,59,57,57,753000,43709000
2015-09-28,60,60,59,59,475000,28395000
2015-09-25,59,60,58,60,576000,34008000
2015-09-24,60,60,59,59,398000,23708000
2015-09-18,61,62,60,60,763000,46461000
2015-09-17,61,62,61,62,721000,43993000
2015-09-16,61,61,60,60,892000,54255000
2015-09-15,61,61,60,61,1161000,70806000
2015-09-14,62,62,60,61,1096000,67310000
2015-09-11,62,62,61,61,1076000,66193000
2015-09-10,60,62,60,61,1184000,71322000
2015-09-09,59,61,58,60,1359000,80583000
2015-09-08,59,59,57,57,1137000,66766000
2015-09-07,60,60,58,59,1681000,99830000
2015-09-04,60,61,58,59,1836000,108458000
2015-09-03,61,61,60,61,1324000,80711000
2015-09-02,60,61,59,60,1215000,72916000
2015-09-01,62,62,60,60,1883000,115679000
2015-08-31,61,62,61,62,1538000,94239000
2015-08-28,60,62,60,62,1590000,96676000
2015-08-27,60,61,59,59,1436000,86131000
2015-08-26,57,60,57,60,1546000,90067000
2015-08-25,57,60,56,57,2941000,169904000
2015-08-24,61,62,59,59,2976000,179608000
2015-08-21,67,68,63,64,2777000,183392000
2015-08-20,65,69,65,68,1959000,130218000
2015-08-19,66,67,64,66,1864000,122339000
2015-08-18,63,66,63,66,2467000,159106000
2015-08-17,63,63,62,63,1541000,96422000
2015-08-14,63,64,62,63,1788000,112601000
2015-08-13,63,64,63,63,1578000,99416000
2015-08-12,63,64,63,64,1770000,112383000
2015-08-11,65,65,63,64,2561000,164346000
2015-08-10,66,67,63,65,2343000,152996000
2015-08-07,67,67,66,67,2267000,151879000
2015-08-06,67,68,67,67,1847000,124393000
2015-08-05,66,68,66,67,2038000,135528000
2015-08-04,67,67,66,66,1880000,125191000
2015-08-03,68,68,66,67,2129000,143837000
2015-07-31,67,68,67,68,2087000,141004000
2015-07-30,70,70,67,68,2369000,163891000
2015-07-29,68,70,67,69,3533000,242427000
2015-07-28,66,68,66,67,2265000,150068000
2015-07-27,68,68,66,68,2434000,164913000
2015-07-24,70,70,68,68,2516000,174231000
2015-07-23,69,70,68,70,2618000,180714000
2015-07-22,71,71,68,69,4170000,293054000
2015-07-21,73,73,70,71,5119000,366455000
2015-07-17,66,72,65,69,11029000,756428000
2015-07-16,65,66,64,65,3670000,237388000
2015-07-15,65,65,64,65,3077000,199642000
2015-07-14,64,65,63,65,2045000,130985000
2015-07-13,63,64,63,64,1439000,91197000
2015-07-10,63,63,62,63,2212000,139338000
2015-07-09,62,63,59,63,4864000,299991000
2015-07-08,67,70,64,64,7745000,519128000
2015-07-07,66,66,65,65,2593000,170940000
2015-07-06,68,69,65,66,3557000,239832000
2015-07-03,69,71,67,68,6389000,438052000
2015-07-02,68,69,67,68,2897000,198037000
2015-07-01,67,69,67,68,2396000,162141000
2015-06-30,67,68,66,66,3955000,265341000
2015-06-29,67,68,66,67,4891000,327699000
2015-06-26,70,72,68,69,4805000,334048000
2015-06-25,72,74,68,70,6122000,434396000
2015-06-24,83,84,71,73,24733000,1897921000
2015-06-23,64,94,64,90,80011000,6625003000
2015-06-22,63,64,62,64,2060000,130048000
2015-06-19,62,63,62,62,1168000,72458000
2015-06-18,62,63,62,62,1273000,79412000
2015-06-17,62,63,62,62,828000,51769000
2015-06-16,63,63,62,62,785000,49398000
2015-06-15,64,64,62,63,1282000,81401000
2015-06-12,63,64,63,64,1242000,78272000
2015-06-11,63,64,63,63,1733000,109837000
2015-06-10,63,64,63,63,622000,39312000
2015-06-09,64,64,63,63,967000,61585000
2015-06-08,64,64,63,63,1225000,78220000
2015-06-05,64,64,63,64,1250000,79906000
2015-06-04,64,65,63,64,2062000,132032000
2015-06-03,63,64,63,64,2168000,137053000
2015-06-02,64,65,63,63,1929000,123353000
2015-06-01,62,63,62,63,1701000,106013000
2015-05-29,63,63,62,62,985000,62031000
2015-05-28,62,64,62,63,1906000,119165000
2015-05-27,62,63,62,63,1771000,109937000
2015-05-26,63,63,62,62,1124000,70518000
2015-05-25,64,64,62,63,1861000,118115000
2015-05-22,63,63,62,62,1629000,102548000
2015-05-21,64,64,62,62,1199000,76190000
2015-05-20,63,64,63,64,1330000,84550000
2015-05-19,63,64,62,64,1380000,87032000
2015-05-18,63,64,62,63,1070000,67367000
2015-05-15,64,64,62,63,1118000,71205000
2015-05-14,63,64,63,63,932000,58912000
2015-05-13,64,65,63,64,1897000,121411000
2015-05-12,63,63,62,62,1401000,87827000
2015-05-11,64,64,63,63,1442000,91852000
2015-05-08,62,63,62,63,1353000,84025000
2015-05-07,62,63,61,62,1439000,89482000
2015-05-01,63,63,61,63,1758000,110114000
2015-04-30,65,65,63,64,1732000,111585000
2015-04-28,67,67,65,66,1237000,81433000
2015-04-27,67,67,66,67,814000,54514000
2015-04-24,66,67,66,67,1079000,71612000
2015-04-23,66,68,66,66,2287000,152278000
2015-04-22,66,66,65,65,1392000,91564000
2015-04-21,65,66,65,65,1062000,69128000
2015-04-20,66,67,65,65,1293000,85586000
2015-04-17,68,68,67,67,1164000,78883000
2015-04-16,68,69,66,68,2316000,156317000
2015-04-15,67,71,67,68,5291000,362163000
2015-04-14,66,67,64,66,1833000,120201000
2015-04-13,65,66,64,66,1636000,106380000
2015-04-10,65,66,64,65,2299000,148451000
2015-04-09,67,67,64,65,2484000,162926000
2015-04-08,67,68,66,67,1766000,118310000
2015-04-07,66,68,65,67,3881000,257939000
2015-04-06,65,66,63,66,2416000,156574000
2015-04-03,62,65,61,65,1892000,119200000
2015-04-02,62,63,61,62,1845000,114208000
2015-04-01,61,62,60,62,2189000,133805000
2015-03-31,64,64,62,62,2227000,141010000
2015-03-30,60,66,60,64,4597000,288857000
2015-03-27,60,61,60,60,756000,45603000
2015-03-26,61,61,60,60,1199000,73066000
2015-03-25,62,62,61,62,947000,58283000
2015-03-24,61,62,61,61,774000,47424000
2015-03-23,62,62,61,62,993000,61547000
2015-03-20,62,63,62,62,813000,50410000
2015-03-19,63,63,62,62,735000,45994000
2015-03-18,62,63,62,63,1495000,93302000
2015-03-17,62,63,62,62,840000,52219000
2015-03-16,63,63,62,62,705000,44055000
2015-03-13,63,63,62,63,878000,55199000
2015-03-12,62,63,62,63,672000,41854000
2015-03-11,61,63,61,62,1170000,72049000
2015-03-10,63,63,62,63,924000,58159000
2015-03-09,63,63,62,62,1961000,122733000
2015-03-06,64,65,63,64,1233000,78540000
2015-03-05,62,64,62,64,1897000,119688000
2015-03-04,62,63,62,62,1072000,66465000
2015-03-03,63,63,61,62,1627000,101529000
2015-03-02,62,63,62,63,1006000,62403000
2015-02-27,63,63,62,63,1477000,92815000
2015-02-26,64,64,63,63,1494000,94957000
2015-02-25,65,65,63,64,1416000,91430000
2015-02-24,63,65,63,65,1146000,72693000
2015-02-23,65,65,63,63,1200000,77471000
2015-02-20,63,64,63,64,952000,60423000
2015-02-19,63,64,63,64,594000,37482000
2015-02-18,63,64,63,63,850000,53675000
2015-02-17,63,64,62,63,1208000,76218000
2015-02-16,62,64,62,63,1895000,118431000
2015-02-13,61,62,61,62,1109000,67784000
2015-02-12,61,62,61,62,678000,41486000
2015-02-10,60,62,60,62,991000,59992000
2015-02-09,60,61,60,60,775000,46552000
2015-02-06,59,60,59,60,1000000,59315000
2015-02-05,60,61,60,60,1325000,79501000
2015-02-04,60,61,59,61,922000,55578000
2015-02-03,60,61,60,60,1000000,60229000
2015-02-02,61,62,61,61,818000,49901000
2015-01-30,61,62,61,62,904000,55174000
2015-01-29,61,62,60,61,822000,50159000
2015-01-28,61,62,61,61,1522000,93327000
2015-01-27,61,62,60,62,1149000,70124000
2015-01-26,61,61,60,60,946000,57515000
2015-01-23,60,61,60,60,728000,43721000
2015-01-22,60,61,59,61,1146000,68826000
2015-01-21,60,61,59,60,1206000,72358000
2015-01-20,59,60,59,60,575000,34230000
2015-01-19,60,60,59,59,666000,39684000
2015-01-16,59,60,59,59,624000,36848000
2015-01-15,61,61,60,60,1057000,64321000
2015-01-14,61,61,60,60,1317000,80223000
2015-01-13,60,62,60,61,993000,60330000
2015-01-09,61,61,60,61,748000,45586000
2015-01-08,62,62,60,61,1128000,69327000
2015-01-07,61,61,59,61,1420000,86226000
2015-01-06,62,62,61,61,1261000,77773000
2015-01-05,62,63,62,63,787000,48971000
2014-12-30,61,62,61,62,615000,37620000
2014-12-29,62,62,61,62,805000,49840000
2014-12-26,59,61,58,61,1143000,68004000
2014-12-25,60,61,60,60,2585000,155204000
2014-12-24,63,63,61,61,2418000,151189000
2014-12-22,62,63,62,62,1637000,101501000
2014-12-19,63,63,62,63,2140000,134742000
2014-12-18,63,64,62,62,1867000,117515000
2014-12-17,62,63,62,62,2013000,125397000
2014-12-16,64,64,62,62,2357000,148335000
2014-12-15,65,66,64,64,2466000,160278000
2014-12-12,65,66,65,66,1560000,101560000
2014-12-11,65,66,64,65,1833000,119080000
2014-12-10,66,67,65,66,2448000,161607000
2014-12-09,66,68,66,66,2252000,149261000
2014-12-08,67,67,66,66,1848000,123567000
2014-12-05,66,67,66,66,1425000,94620000
2014-12-04,68,69,67,68,1963000,133298000
2014-12-03,67,68,66,68,2141000,143400000
2014-12-02,68,69,65,66,3300000,221568000
2014-12-01,68,70,67,69,2193000,149457000
2014-11-28,69,73,67,68,4576000,317494000
2014-11-27,65,69,65,69,3208000,213108000
2014-11-26,62,65,62,65,2563000,161679000
2014-11-25,62,63,61,62,2088000,129944000
2014-11-21,60,62,60,62,1630000,98696000
2014-11-20,61,62,60,61,1080000,65895000
2014-11-19,61,61,60,60,1159000,70149000
2014-11-18,60,61,60,60,1547000,93374000
2014-11-17,61,61,60,60,1108000,67106000
2014-11-14,62,62,61,61,1296000,79797000
2014-11-13,60,62,60,61,1382000,83738000
2014-11-12,60,62,60,60,1582000,95590000
2014-11-11,62,62,61,61,1675000,103170000
2014-11-10,61,62,60,62,1467000,89607000
2014-11-07,62,62,61,62,1458000,89804000
2014-11-06,62,63,61,62,2024000,126065000
2014-11-05,60,61,59,61,1918000,115115000
2014-11-04,61,61,59,59,1638000,98391000
2014-10-31,57,60,57,59,2005000,116007000
2014-10-30,57,58,57,57,1593000,91554000
2014-10-29,58,58,57,58,1509000,87025000
2014-10-28,58,58,57,57,1415000,81375000
2014-10-27,59,60,58,58,1814000,107158000
2014-10-24,58,59,57,58,1672000,96959000
2014-10-23,57,57,56,56,1445000,82320000
2014-10-22,57,57,56,56,1247000,70991000
2014-10-21,57,57,56,56,1132000,64265000
2014-10-20,56,57,56,57,1106000,62410000
2014-10-17,58,58,54,54,2082000,116940000
2014-10-16,58,59,57,58,1483000,86443000
2014-10-15,60,61,59,59,1374000,81966000
2014-10-14,61,61,58,59,2332000,140057000
2014-10-10,63,63,62,62,1937000,121856000
2014-10-09,65,65,63,64,1811000,116136000
2014-10-08,64,65,64,64,1440000,92848000
2014-10-07,65,66,65,65,1369000,89021000
2014-10-06,65,66,64,66,1458000,94788000
2014-10-03,64,65,64,65,1292000,82771000
2014-10-02,66,66,64,64,2325000,152003000
2014-10-01,67,67,66,66,1511000,100606000
2014-09-30,68,68,66,66,1864000,125011000
2014-09-29,68,68,67,67,1554000,104992000
2014-09-26,67,68,67,67,1360000,91172000
2014-09-25,67,68,67,67,806000,54282000
