8015-T,東証1部,豊通商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2519,2538,2491,2508,630500,1582321100
2015-10-01,2523,2573,2478,2536,865200,2195460800
2015-09-30,2520,2536,2469,2513,640700,1609465800
2015-09-29,2551,2551,2447,2454,920600,2277607500
2015-09-28,2661,2685,2573,2588,653300,1701338300
2015-09-25,2624,2670,2610,2670,805100,2128080400
2015-09-24,2670,2704,2602,2606,703600,1849379000
2015-09-18,2740,2754,2671,2697,766000,2068466500
2015-09-17,2773,2797,2737,2754,951400,2622533800
2015-09-16,2784,2811,2755,2777,514400,1431366200
2015-09-15,2766,2815,2733,2740,711300,1959524600
2015-09-14,2807,2815,2719,2729,559800,1535193700
2015-09-11,2825,2855,2774,2784,2128900,5999939600
2015-09-10,2780,2855,2780,2842,565900,1597589600
2015-09-09,2739,2870,2722,2870,1043700,2946953800
2015-09-08,2693,2722,2640,2643,652500,1743423800
2015-09-07,2612,2699,2604,2680,669100,1781937300
2015-09-04,2719,2737,2608,2635,703800,1868797300
2015-09-03,2678,2725,2675,2693,667000,1799821400
2015-09-02,2669,2738,2656,2681,855200,2307544200
2015-09-01,2790,2803,2707,2708,709400,1949457800
2015-08-31,2790,2808,2748,2794,872300,2426944300
2015-08-28,2761,2824,2755,2804,913500,2555387900
2015-08-27,2680,2710,2652,2673,1098900,2940187100
2015-08-26,2574,2660,2563,2652,1468900,3828425100
2015-08-25,2626,2720,2581,2602,1738100,4593823900
2015-08-24,2785,2799,2706,2720,1085200,2976080600
2015-08-21,2822,2862,2810,2819,684100,1937941000
2015-08-20,2924,2933,2880,2883,542100,1571022400
2015-08-19,2997,3005,2931,2931,743900,2194553200
2015-08-18,3010,3045,3000,3025,397200,1202789500
2015-08-17,3000,3025,2981,2999,426500,1279189400
2015-08-14,2977,2992,2941,2967,667300,1980910400
2015-08-13,2969,3025,2960,2999,783500,2349634400
2015-08-12,2992,3045,2956,2960,813500,2431493900
2015-08-11,3030,3095,2988,2993,732800,2210999500
2015-08-10,2979,2994,2934,2987,652500,1937527300
2015-08-07,2975,3015,2956,3005,680000,2035976600
2015-08-06,2985,3010,2957,2966,746800,2223797200
2015-08-05,2911,2980,2902,2935,1109400,3262476800
2015-08-04,2950,2974,2902,2907,975900,2858632600
2015-08-03,2886,2991,2876,2963,1797300,5264991900
2015-07-31,3165,3215,3110,3145,1001700,3163871500
2015-07-30,3140,3245,3140,3235,630500,2029702000
2015-07-29,3105,3130,3070,3110,430600,1336611500
2015-07-28,3140,3140,3070,3115,686400,2134945000
2015-07-27,3155,3175,3140,3165,527400,1666562000
2015-07-24,3210,3215,3155,3155,518200,1644107500
2015-07-23,3260,3260,3195,3225,415800,1337478500
2015-07-22,3220,3240,3200,3220,409700,1319925500
2015-07-21,3245,3265,3225,3265,360400,1171796500
2015-07-17,3215,3235,3200,3215,418400,1344706000
2015-07-16,3220,3245,3190,3240,533600,1720838500
2015-07-15,3225,3230,3185,3200,466900,1496675000
2015-07-14,3200,3230,3180,3190,974200,3114614500
2015-07-13,3170,3215,3160,3185,486700,1551990500
2015-07-10,3150,3215,3120,3155,1203500,3808029500
2015-07-09,3090,3145,3020,3145,1020700,3155508000
2015-07-08,3270,3280,3145,3150,911600,2896761500
2015-07-07,3330,3340,3300,3305,615600,2039685000
2015-07-06,3350,3380,3300,3305,738400,2453427500
2015-07-03,3370,3430,3340,3420,650500,2213833500
