8089-T,東証1部,すてきN,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,164,170,164,170,81000,13541000
2015-10-01,161,164,161,163,29000,4716000
2015-09-30,162,162,158,161,77000,12293000
2015-09-29,170,170,159,159,81000,13265000
2015-09-28,171,172,170,170,43000,7351000
2015-09-25,168,172,165,170,81000,13632000
2015-09-24,168,168,165,166,72000,11978000
2015-09-18,167,169,167,169,41000,6893000
2015-09-17,168,172,168,172,58000,9866000
2015-09-16,167,167,164,167,31000,5138000
2015-09-15,166,167,165,165,36000,5962000
2015-09-14,168,168,164,165,20000,3309000
2015-09-11,166,167,165,166,162000,26888000
2015-09-10,162,165,161,163,37000,6016000
2015-09-09,162,166,161,166,149000,24267000
2015-09-08,167,167,160,160,60000,9691000
2015-09-07,164,166,160,164,47000,7667000
2015-09-04,167,168,164,164,119000,19740000
2015-09-03,171,172,165,165,166000,28211000
2015-09-02,170,175,170,172,51000,8784000
2015-09-01,179,181,176,177,56000,10008000
2015-08-31,176,181,176,179,31000,5527000
2015-08-28,177,180,176,180,51000,9110000
2015-08-27,174,175,172,172,70000,12159000
2015-08-26,165,175,165,171,104000,17623000
2015-08-25,165,176,162,162,197000,32998000
2015-08-24,189,189,180,180,108000,19862000
2015-08-21,190,190,186,186,117000,22100000
2015-08-20,194,194,192,194,28000,5422000
2015-08-19,194,197,193,194,36000,7001000
2015-08-18,196,197,195,196,23000,4506000
2015-08-17,194,196,193,195,64000,12481000
2015-08-14,200,200,189,191,202000,39323000
2015-08-13,204,206,200,202,76000,15374000
2015-08-12,206,207,205,205,75000,15412000
2015-08-11,212,212,207,209,63000,13197000
2015-08-10,208,211,205,211,83000,17292000
2015-08-07,208,212,208,211,46000,9704000
2015-08-06,213,213,210,212,47000,9960000
2015-08-05,209,212,209,212,30000,6328000
2015-08-04,208,210,208,209,34000,7093000
2015-08-03,209,210,207,210,22000,4596000
2015-07-31,209,209,205,209,63000,13091000
2015-07-30,207,210,207,208,41000,8539000
2015-07-29,208,208,204,208,32000,6626000
2015-07-28,201,208,201,206,43000,8819000
2015-07-27,208,210,203,203,53000,10870000
2015-07-24,213,213,210,210,24000,5054000
2015-07-23,210,212,210,212,28000,5927000
