8091-T,東証1部,ニチモウ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,226,232,224,231,87000,19866000
2015-10-01,225,230,225,227,82000,18652000
2015-09-30,228,232,217,223,478000,107249000
2015-09-29,245,245,231,233,272000,64175000
2015-09-28,246,248,243,247,140000,34373000
2015-09-25,244,251,235,249,234000,56701000
2015-09-24,248,248,241,242,223000,54410000
2015-09-18,248,250,244,248,134000,33109000
2015-09-17,254,254,245,249,142000,35351000
2015-09-16,249,255,243,254,400000,99379000
2015-09-15,264,265,246,246,525000,132534000
2015-09-14,272,273,259,266,601000,161592000
2015-09-11,253,265,252,262,573000,148788000
2015-09-10,236,253,236,250,294000,72302000
2015-09-09,240,246,236,244,254000,61454000
2015-09-08,232,235,229,233,150000,34943000
2015-09-07,232,237,230,232,243000,56634000
2015-09-04,244,244,218,234,542000,126803000
2015-09-03,245,253,244,245,509000,126211000
2015-09-02,232,247,226,241,531000,126746000
2015-09-01,233,245,232,239,565000,134755000
2015-08-31,222,240,216,237,559000,129411000
2015-08-28,214,220,214,219,218000,47471000
2015-08-27,211,212,206,206,171000,35784000
2015-08-26,203,209,202,206,227000,46573000
2015-08-25,197,210,191,200,571000,114580000
2015-08-24,211,219,206,208,449000,95276000
2015-08-21,221,227,221,222,331000,73858000
2015-08-20,235,236,229,229,275000,64031000
2015-08-19,234,240,232,236,423000,99832000
2015-08-18,227,237,226,235,593000,137897000
2015-08-17,225,227,221,227,312000,70234000
2015-08-14,224,225,221,222,375000,83892000
2015-08-13,214,225,214,222,476000,103941000
2015-08-12,213,215,210,214,463000,98732000
2015-08-11,214,215,208,215,484000,102640000
2015-08-10,210,218,207,213,1990000,422297000
2015-08-07,192,193,192,193,36000,6928000
2015-08-06,194,194,191,192,48000,9208000
2015-08-05,192,193,190,192,79000,15106000
2015-08-04,194,194,193,194,24000,4641000
2015-08-03,194,195,193,194,19000,3690000
2015-07-31,194,195,193,194,44000,8538000
2015-07-30,194,194,193,193,18000,3487000
2015-07-29,193,194,193,193,24000,4640000
2015-07-28,194,194,192,193,45000,8682000
2015-07-27,198,198,195,195,51000,10030000
2015-07-24,196,197,196,197,48000,9415000
