8103-T,東証1部,明和産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,368,374,363,372,16600,6136900
2015-10-01,358,370,358,368,35700,13022000
2015-09-30,350,363,350,361,19000,6804300
2015-09-29,361,365,345,349,23700,8372600
2015-09-28,362,368,360,365,11900,4332300
2015-09-25,360,370,358,370,19400,7045100
2015-09-24,361,365,360,360,23000,8310800
2015-09-18,374,374,365,365,15400,5663800
2015-09-17,369,373,366,370,20300,7503100
2015-09-16,372,372,363,372,14900,5460200
2015-09-15,369,373,364,366,29300,10807200
2015-09-14,378,385,369,369,4700,1772500
2015-09-11,368,379,368,377,28500,10550300
2015-09-10,371,375,365,373,23900,8841600
2015-09-09,374,379,370,378,21400,8025000
2015-09-08,377,377,363,365,27400,10169600
2015-09-07,362,382,360,380,34500,12806100
2015-09-04,381,383,366,368,24100,8941900
2015-09-03,374,390,374,381,35800,13643600
2015-09-02,358,382,346,373,52700,19371600
2015-09-01,389,389,355,369,50700,19114500
2015-08-31,389,393,381,389,24200,9385000
2015-08-28,379,392,379,389,37300,14381100
2015-08-27,378,378,371,375,34100,12788600
2015-08-26,362,375,359,372,68600,25233400
2015-08-25,363,378,353,365,83800,30620400
2015-08-24,390,393,374,376,89300,34373600
2015-08-21,398,401,391,395,50600,20042700
2015-08-20,405,407,400,405,40700,16417100
2015-08-19,409,412,406,407,18500,7546500
2015-08-18,420,420,400,413,51300,21183500
2015-08-17,414,419,413,418,36300,15108900
2015-08-14,412,415,405,414,21200,8718700
2015-08-13,407,413,406,412,21800,8945600
2015-08-12,414,414,406,409,22700,9319100
2015-08-11,414,416,405,414,35800,14697900
2015-08-10,403,415,403,413,34600,14157900
2015-08-07,403,411,401,407,53600,21719800
2015-08-06,415,420,415,418,24900,10420900
2015-08-05,407,420,407,416,51300,21252200
2015-08-04,407,410,404,409,49400,20129000
2015-08-03,401,410,397,408,50600,20400800
2015-07-31,392,401,392,399,21400,8512000
2015-07-30,393,398,391,394,23900,9457700
2015-07-29,395,396,387,392,18800,7364100
2015-07-28,387,400,387,389,24700,9630400
2015-07-27,399,399,392,393,33900,13383800
2015-07-24,402,404,399,399,28200,11318900
2015-07-23,399,404,398,402,40000,16033200
2015-07-22,404,405,397,397,32600,13054500
2015-07-21,410,410,403,404,29800,12104300
2015-07-17,407,407,403,404,19600,7930600
2015-07-16,412,414,392,407,131100,52555400
2015-07-15,408,414,406,408,132600,54467000
2015-07-14,401,415,401,404,46900,19049900
2015-07-13,400,405,392,398,44600,17861300
2015-07-10,404,408,393,397,71600,28641900
2015-07-09,418,418,385,406,165600,65679600
2015-07-08,434,434,418,418,72800,30940300
2015-07-07,432,435,431,433,27600,11953200
2015-07-06,430,437,430,430,37700,16291300
2015-07-03,440,458,437,438,214700,95687900
2015-07-02,423,437,421,437,110900,47923900
2015-07-01,419,421,417,419,23900,10010100
2015-06-30,423,423,415,419,38400,16079600
2015-06-29,425,427,420,420,36900,15609800
2015-06-26,433,434,429,431,21700,9346300
2015-06-25,432,436,430,434,36200,15676100
2015-06-24,433,435,432,433,34700,15035300
2015-06-23,428,435,425,434,68000,29173400
2015-06-22,429,429,425,427,36800,15736200
2015-06-19,429,430,426,428,43100,18455400
2015-06-18,430,432,427,427,30800,13229200
2015-06-17,434,436,431,431,29800,12910000
2015-06-16,434,435,432,432,19200,8320300
2015-06-15,432,434,431,433,13600,5885400
2015-06-12,435,435,432,433,30700,13340400
2015-06-11,432,436,431,434,45500,19767800
2015-06-10,432,434,430,430,30200,13061700
2015-06-09,437,439,432,432,37200,16201900
2015-06-08,442,442,438,439,18100,7967800
2015-06-05,440,444,438,442,28800,12712300
2015-06-04,445,446,441,441,24300,10786900
2015-06-03,442,445,436,443,79100,34809400
2015-06-02,449,449,443,443,64700,28850800
2015-06-01,455,457,449,449,88400,40074900
2015-05-29,446,453,446,452,45400,20362800
2015-05-28,452,454,449,449,59300,26773400
2015-05-27,456,457,449,451,60600,27506700
2015-05-26,451,459,449,456,88100,39917100
2015-05-25,452,453,447,449,59100,26625500
2015-05-22,443,452,440,449,162700,73047800
2015-05-21,443,445,440,444,20000,8870000
2015-05-20,443,447,442,444,33400,14845900
2015-05-19,436,444,436,443,40800,18026000
2015-05-18,434,440,422,438,65400,28419200
2015-05-15,433,437,430,434,19200,8327400
2015-05-14,434,438,431,431,18400,7994200
2015-05-13,437,438,434,434,8600,3747700
2015-05-12,436,438,433,436,16500,7204800
2015-05-11,431,437,431,435,18000,7806900
2015-05-08,428,436,428,431,26700,11496200
2015-05-07,430,433,428,431,14500,6234400
2015-05-01,434,435,428,432,29200,12609800
2015-04-30,433,439,433,434,40600,17685000
2015-04-28,437,438,435,436,22300,9736100
2015-04-27,436,438,436,437,9100,3976700
2015-04-24,434,438,434,436,27600,12025500
2015-04-23,439,440,435,436,35400,15477200
2015-04-22,438,442,438,439,21600,9501600
2015-04-21,436,440,435,440,18400,8046600
2015-04-20,440,440,435,435,33400,14593600
2015-04-17,440,444,440,441,16600,7347500
2015-04-16,440,444,440,443,19200,8486400
2015-04-15,442,443,437,440,23800,10462900
2015-04-14,442,443,440,442,21800,9610800
2015-04-13,446,446,441,443,16200,7169900
2015-04-10,443,444,441,442,19400,8583000
2015-04-09,447,447,444,444,12100,5390400
2015-04-08,448,448,444,447,36300,16199100
2015-04-07,445,448,445,445,16100,7182300
2015-04-06,447,449,444,444,17500,7805500
2015-04-03,457,457,447,451,22600,10225100
2015-04-02,445,457,445,457,73300,33314100
2015-04-01,442,451,442,449,41100,18353600
2015-03-31,444,448,442,444,25300,11254600
2015-03-30,441,444,440,443,24300,10737400
2015-03-27,439,452,436,444,62900,28045000
2015-03-26,446,447,440,441,54200,24053400
2015-03-25,446,449,446,448,24900,11163300
2015-03-24,447,451,446,446,21500,9622100
2015-03-23,449,452,446,451,17200,7738900
2015-03-20,451,451,447,450,22900,10290100
2015-03-19,446,452,446,450,35800,16062600
2015-03-18,447,449,446,448,23700,10593500
2015-03-17,445,449,445,447,26900,12037000
2015-03-16,450,452,445,446,81000,36383900
2015-03-13,456,456,453,453,69000,31385200
2015-03-12,455,458,453,455,20900,9518900
2015-03-11,454,457,450,453,31400,14242800
2015-03-10,457,458,451,455,37100,16853400
2015-03-09,455,458,449,457,40400,18370100
2015-03-06,458,459,455,456,22700,10376200
2015-03-05,454,458,453,455,28000,12777300
2015-03-04,458,458,453,454,39700,18113700
2015-03-03,463,463,452,458,47600,21745400
2015-03-02,460,466,456,458,34300,15796800
2015-02-27,469,469,455,459,56500,26003200
2015-02-26,453,472,453,469,259800,120958100
2015-02-25,458,458,452,453,30000,13658000
2015-02-24,457,460,455,455,34700,15865600
2015-02-23,460,461,455,458,33200,15224100
2015-02-20,459,460,455,459,38000,17417700
2015-02-19,455,462,453,462,51600,23629700
2015-02-18,453,456,452,453,62300,28287400
2015-02-17,454,454,450,450,65000,29323900
2015-02-16,452,456,448,455,58300,26308800
2015-02-13,455,455,447,448,30700,13845600
2015-02-12,452,456,450,451,53700,24297600
2015-02-10,443,446,442,446,26900,11961300
2015-02-09,451,451,442,445,23200,10326000
2015-02-06,441,446,435,446,72600,32074200
2015-02-05,449,449,440,441,32600,14407300
2015-02-04,448,453,447,449,27300,12284500
2015-02-03,449,453,441,442,38400,17120600
2015-02-02,457,458,445,446,84500,38104000
2015-01-30,465,465,455,463,38900,17901000
2015-01-29,467,467,457,460,31400,14524900
2015-01-28,465,468,463,467,50600,23546300
2015-01-27,458,468,455,467,93000,42927900
2015-01-26,452,458,451,454,29500,13425400
2015-01-23,450,455,445,453,34100,15392100
2015-01-22,451,451,444,447,51500,22999600
2015-01-21,450,451,442,447,58600,26205900
2015-01-20,447,455,443,453,79000,35729600
2015-01-19,442,447,440,442,62100,27506300
2015-01-16,443,445,436,442,67400,29654000
2015-01-15,448,453,446,451,56000,25174100
2015-01-14,449,455,445,446,56000,25155700
2015-01-13,456,458,443,457,123200,55487400
2015-01-09,468,471,458,461,73900,34430800
2015-01-08,467,467,458,464,126700,58557000
2015-01-07,467,471,462,464,107000,49994200
2015-01-06,470,475,467,469,110900,52272200
2015-01-05,471,485,467,480,147500,70737600
2014-12-30,472,474,466,469,37700,17691700
2014-12-29,472,477,469,475,149300,70752600
2014-12-26,468,476,465,475,144100,68060200
2014-12-25,467,475,449,473,242900,113036600
2014-12-24,457,467,454,465,190100,87716000
2014-12-22,451,462,451,459,108600,49550000
2014-12-19,470,470,452,455,213000,98438800
2014-12-18,453,468,453,466,160100,73856600
2014-12-17,436,457,435,445,184100,82276900
2014-12-16,451,453,441,442,153900,68988000
2014-12-15,459,465,456,456,115200,52992300
2014-12-12,462,472,462,462,150900,70379800
2014-12-11,460,462,451,459,152800,69730100
2014-12-10,461,468,456,465,148600,68375900
2014-12-09,467,470,463,468,110500,51666900
2014-12-08,470,472,466,471,141900,66675400
2014-12-05,467,468,460,466,108900,50471700
2014-12-04,461,467,456,466,156200,72105700
2014-12-03,472,473,457,457,169400,79017000
2014-12-02,447,467,446,467,235500,108118100
2014-12-01,446,447,440,445,99400,44049500
2014-11-28,455,460,448,449,142200,64587700
2014-11-27,458,465,455,455,169000,77657400
2014-11-26,450,457,448,455,138300,62396100
2014-11-25,443,454,442,452,121400,54382700
2014-11-21,443,446,435,442,176600,77868400
2014-11-20,436,445,433,444,255600,112406100
2014-11-19,420,438,419,436,247600,106969200
2014-11-18,410,420,410,420,72300,30131400
2014-11-17,419,419,407,412,84800,35148900
2014-11-14,418,418,413,418,66000,27443900
2014-11-13,409,415,407,415,80000,33026000
2014-11-12,413,416,410,410,69000,28519300
2014-11-11,408,418,408,414,85900,35525200
2014-11-10,411,413,403,408,95800,39023400
2014-11-07,404,414,404,414,109000,44719400
2014-11-06,411,414,406,408,196300,80510500
2014-11-05,402,410,402,409,81900,33261000
2014-11-04,415,416,408,408,153800,63387400
2014-10-31,396,410,396,408,93900,37852600
2014-10-30,395,399,392,393,179300,70688300
