8130-T,東証1部,サンゲツ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1912,1943,1898,1908,105400,201296200
2015-10-01,1921,1955,1894,1931,100200,192564700
2015-09-30,1920,1929,1866,1905,152600,291112800
2015-09-29,1903,1912,1867,1873,113000,212776000
2015-09-28,1920,1963,1892,1943,137200,265756300
2015-09-25,1898,1935,1896,1933,147600,283020000
2015-09-24,1850,1907,1850,1870,167600,316067500
2015-09-18,1920,1939,1886,1888,154400,293433700
2015-09-17,1947,1959,1925,1945,170700,331573900
2015-09-16,1989,1989,1942,1953,102400,200129100
2015-09-15,1986,2025,1976,1982,125400,250365200
2015-09-14,1996,2020,1973,1974,127300,253631500
2015-09-11,1907,1977,1907,1956,270000,523998100
2015-09-10,1938,1959,1903,1948,231300,448004600
2015-09-09,1954,2012,1954,2011,184000,365228900
2015-09-08,1986,1998,1914,1914,118400,230022100
2015-09-07,1990,2004,1964,1984,134600,266946200
2015-09-04,2032,2056,1974,1990,147700,296042500
2015-09-03,2009,2047,2004,2011,240100,485909800
2015-09-02,2020,2087,2005,2032,236000,483164300
2015-09-01,2092,2124,2061,2061,260700,545535800
2015-08-31,2100,2121,2071,2114,156500,329088500
2015-08-28,2057,2099,2027,2094,265000,549040300
2015-08-27,2018,2053,2006,2016,224300,454987300
2015-08-26,1956,1995,1944,1990,265500,523887000
2015-08-25,1987,2045,1969,1976,287100,574469900
2015-08-24,2086,2149,2062,2064,163100,341719300
2015-08-21,2173,2190,2147,2163,147600,319533100
2015-08-20,2233,2250,2197,2203,104100,230440000
2015-08-19,2242,2271,2221,2248,112600,252614200
2015-08-18,2301,2301,2230,2274,162800,369185700
2015-08-17,2241,2308,2222,2307,190800,435193100
2015-08-14,2200,2249,2180,2246,190900,424950700
2015-08-13,2193,2220,2161,2219,169600,371913300
2015-08-12,2200,2227,2185,2207,161800,356599700
2015-08-11,2260,2260,2178,2235,158400,351757700
2015-08-10,2185,2240,2175,2238,130900,289654200
2015-08-07,2168,2189,2136,2177,138000,298394200
2015-08-06,2143,2205,2141,2178,186400,406578600
2015-08-05,2097,2160,2097,2141,112300,239723300
2015-08-04,2103,2126,2080,2093,181100,379840100
2015-08-03,2030,2116,2030,2106,167400,349017900
2015-07-31,2016,2047,1999,2043,121200,245261700
2015-07-30,2024,2044,1990,2000,125600,252438200
2015-07-29,1995,2027,1982,2024,110800,222574500
2015-07-28,1963,2002,1951,1994,94900,187733000
2015-07-27,2016,2016,1975,1981,103500,206522000
2015-07-24,2009,2020,1997,2017,66800,134336600
2015-07-23,1970,2010,1970,2009,121100,241838700
2015-07-22,1981,1990,1963,1967,87200,171896700
2015-07-21,1968,1990,1962,1986,54000,106904900
2015-07-17,1988,1989,1954,1964,83700,164738000
2015-07-16,1980,1998,1962,1970,150100,296311400
2015-07-15,1944,1979,1940,1965,220000,431515700
2015-07-14,1925,1944,1904,1924,155600,299235700
2015-07-13,1867,1908,1862,1904,105600,199515500
2015-07-10,1851,1882,1836,1851,164000,303967000
2015-07-09,1830,1857,1787,1849,215400,392435600
2015-07-08,1895,1917,1847,1847,157500,294660000
2015-07-07,1884,1912,1881,1905,89500,170328800
2015-07-06,1900,1900,1860,1865,138700,260215600
2015-07-03,1925,1927,1892,1901,135400,257841200
2015-07-02,1892,1937,1892,1929,261100,501132500
2015-07-01,1869,1888,1862,1880,148600,279070900
2015-06-30,1845,1873,1845,1867,144500,268921100
2015-06-29,1852,1864,1836,1842,197800,365569600
2015-06-26,1884,1895,1867,1892,164600,310208100
2015-06-25,1873,1898,1872,1894,149700,282859500
2015-06-24,1893,1904,1871,1892,217000,409721800
2015-06-23,1849,1868,1836,1868,150700,280252700
2015-06-22,1847,1864,1820,1835,178000,326472800
2015-06-19,1819,1854,1819,1852,188700,347833500
2015-06-18,1830,1845,1811,1812,162900,296547000
2015-06-17,1801,1842,1801,1834,244200,447189400
2015-06-16,1820,1844,1800,1801,189400,344011100
2015-06-15,1793,1818,1793,1807,111700,201914300
2015-06-12,1812,1836,1801,1803,292200,529124400
2015-06-11,1823,1842,1812,1818,242300,442305300
2015-06-10,1793,1827,1771,1812,339500,611740100
2015-06-09,1799,1811,1785,1786,201600,361924300
2015-06-08,1820,1834,1799,1799,207500,375621000
2015-06-05,1823,1842,1815,1831,203900,373846300
2015-06-04,1830,1837,1822,1823,108100,197362900
2015-06-03,1849,1854,1834,1843,117700,216984400
2015-06-02,1832,1869,1832,1863,174100,323549700
2015-06-01,1850,1852,1823,1839,184600,338695000
2015-05-29,1807,1857,1806,1849,280100,516217100
2015-05-28,1823,1831,1805,1816,177000,321303500
2015-05-27,1792,1831,1790,1822,194500,353699000
2015-05-26,1845,1846,1774,1803,433900,782863900
2015-05-25,1877,1877,1841,1846,101700,188660500
2015-05-22,1862,1875,1850,1861,171800,319179800
2015-05-21,1881,1892,1857,1862,168400,314640300
2015-05-20,1884,1907,1866,1881,190700,358552200
2015-05-19,1849,1879,1844,1863,212600,396033600
2015-05-18,1848,1861,1836,1850,150200,277215200
2015-05-15,1840,1859,1829,1856,118700,219340000
2015-05-14,1810,1823,1788,1811,184300,333498900
2015-05-13,1840,1842,1810,1824,223600,408115300
2015-05-12,1835,1897,1832,1875,235600,440663500
2015-05-11,1853,1871,1834,1839,118000,218199100
2015-05-08,1838,1846,1826,1828,93800,171936900
2015-05-07,1819,1867,1819,1838,127300,234854400
2015-05-01,1832,1838,1809,1819,138800,252535100
2015-04-30,1840,1866,1822,1853,297800,549361900
2015-04-28,1910,1915,1860,1874,360100,674297000
2015-04-27,1909,1939,1890,1910,153900,295128400
2015-04-24,1896,1901,1868,1891,241600,455760400
2015-04-23,1913,1934,1889,1896,195200,371815000
2015-04-22,1883,1917,1883,1914,193100,367943100
2015-04-21,1878,1886,1857,1881,206400,387283200
2015-04-20,1886,1910,1869,1889,198700,374893600
2015-04-17,1910,1924,1886,1914,255100,486611100
2015-04-16,1931,1935,1885,1929,282800,540842100
2015-04-15,1915,1944,1910,1931,324900,626410600
2015-04-14,1878,1913,1859,1913,288500,545842300
2015-04-13,1889,1893,1870,1880,177800,334084500
2015-04-10,1880,1899,1864,1895,253400,477251800
2015-04-09,1883,1897,1874,1894,240700,453998300
2015-04-08,1890,1914,1874,1892,210000,397045500
2015-04-07,1888,1903,1880,1890,146800,277498200
2015-04-06,1893,1895,1880,1888,106500,201093800
2015-04-03,1860,1899,1860,1893,183600,346658000
2015-04-02,1822,1876,1822,1860,247200,458806500
2015-04-01,1814,1827,1789,1810,177500,321413900
2015-03-31,1843,1860,1800,1817,159800,291554800
2015-03-30,1795,1814,1778,1803,99000,178275500
2015-03-27,1790,1824,1771,1785,212800,381962800
2015-03-26,3635,3690,3630,3660,66700,243692000
2015-03-25,3735,3740,3680,3695,57300,212424000
2015-03-24,3735,3755,3690,3735,90300,336645500
2015-03-23,3775,3810,3765,3785,61300,231842000
2015-03-20,3875,3885,3740,3745,126700,478758000
2015-03-19,3820,3875,3770,3860,131400,503963000
2015-03-18,3795,3815,3770,3815,76900,291744000
2015-03-17,3765,3810,3755,3795,92000,347983000
2015-03-16,3760,3770,3740,3760,48600,182552500
2015-03-13,3710,3765,3685,3750,120500,449582500
2015-03-12,3660,3715,3645,3710,91800,339369500
2015-03-11,3630,3670,3615,3655,90500,330222500
2015-03-10,3565,3635,3565,3610,136200,491594000
2015-03-09,3540,3585,3540,3565,85300,304280000
2015-03-06,3495,3550,3490,3540,104200,368435000
2015-03-05,3520,3540,3495,3510,95700,336236000
2015-03-04,3530,3540,3485,3520,119000,418102000
2015-03-03,3500,3540,3485,3535,109400,384917000
2015-03-02,3470,3515,3470,3485,71900,251506500
2015-02-27,3450,3470,3430,3470,75600,261400000
2015-02-26,3405,3465,3405,3445,92300,317356000
2015-02-25,3455,3475,3415,3430,119000,408602500
2015-02-24,3485,3500,3475,3480,92700,323091500
2015-02-23,3495,3505,3455,3485,71900,250693000
2015-02-20,3460,3515,3425,3500,141900,495608000
2015-02-19,3480,3510,3440,3460,157100,545032500
2015-02-18,3475,3485,3450,3470,128000,444424500
2015-02-17,3400,3440,3365,3420,95400,325159500
2015-02-16,3295,3400,3290,3400,138200,464084500
2015-02-13,3200,3305,3190,3275,241800,787235500
2015-02-12,3165,3190,3130,3140,102400,323177500
2015-02-10,3145,3155,3115,3140,49600,155564000
2015-02-09,3150,3160,3125,3145,58800,184921000
2015-02-06,3135,3155,3120,3130,41100,129043000
