8141-T,東証1部,新光商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1268,1277,1256,1270,20300,25701700
2015-10-01,1261,1274,1256,1274,24300,30799000
2015-09-30,1267,1279,1243,1253,24100,30315500
2015-09-29,1256,1269,1239,1267,59800,75100800
2015-09-28,1268,1274,1256,1269,32600,41345100
2015-09-25,1235,1268,1235,1268,35500,44696900
2015-09-24,1250,1264,1229,1229,44000,54617700
2015-09-18,1265,1265,1250,1252,20100,25216800
2015-09-17,1272,1285,1270,1283,17800,22729300
2015-09-16,1269,1272,1251,1265,5000,6301400
2015-09-15,1254,1270,1250,1254,17700,22251700
2015-09-14,1252,1261,1246,1252,11300,14159200
2015-09-11,1250,1280,1250,1252,47400,59376900
2015-09-10,1261,1284,1236,1279,47900,60431200
2015-09-09,1237,1285,1225,1285,43700,54982900
2015-09-08,1214,1225,1207,1209,20400,24721600
2015-09-07,1212,1230,1206,1219,16200,19714300
2015-09-04,1228,1229,1211,1214,36500,44494800
2015-09-03,1213,1242,1212,1216,24100,29431200
2015-09-02,1199,1223,1199,1205,48800,58935300
2015-09-01,1218,1234,1206,1207,32000,38878800
2015-08-31,1220,1241,1220,1222,14300,17515700
2015-08-28,1221,1227,1200,1223,22400,27265300
2015-08-27,1195,1203,1173,1187,56500,66947900
2015-08-26,1160,1190,1158,1179,48900,57298000
2015-08-25,1180,1217,1157,1158,57300,67292900
2015-08-24,1239,1244,1211,1211,51000,62453400
2015-08-21,1259,1289,1248,1249,24000,30127000
2015-08-20,1297,1299,1272,1273,17600,22539400
2015-08-19,1314,1317,1302,1303,29700,38832100
2015-08-18,1321,1324,1313,1323,3900,5142200
2015-08-17,1313,1323,1309,1322,16300,21462500
2015-08-14,1296,1310,1296,1306,12500,16324900
2015-08-13,1295,1306,1291,1296,12700,16489000
2015-08-12,1313,1320,1289,1295,35500,46177100
2015-08-11,1338,1345,1328,1331,21500,28706600
2015-08-10,1298,1328,1291,1328,16900,22182500
2015-08-07,1296,1309,1291,1294,15500,20134200
2015-08-06,1290,1308,1281,1296,20800,26965600
2015-08-05,1274,1290,1274,1284,13200,16940200
2015-08-04,1280,1280,1267,1278,13300,16937600
2015-08-03,1283,1288,1273,1281,10300,13182800
2015-07-31,1300,1314,1283,1289,31300,40485700
2015-07-30,1295,1310,1295,1300,14400,18715400
2015-07-29,1307,1307,1278,1297,14700,18971600
2015-07-28,1283,1300,1277,1294,20100,25971800
2015-07-27,1308,1311,1292,1294,20200,26277300
2015-07-24,1308,1312,1304,1307,14200,18565400
2015-07-23,1300,1308,1295,1307,13100,17057500
2015-07-22,1290,1309,1280,1304,26200,33892900
2015-07-21,1307,1310,1296,1300,11500,14973700
2015-07-17,1310,1320,1295,1304,12600,16445300
2015-07-16,1310,1315,1306,1308,20900,27376900
2015-07-15,1309,1312,1282,1310,26100,34060400
2015-07-14,1300,1309,1281,1301,28800,37488400
2015-07-13,1273,1288,1269,1287,27400,35081800
2015-07-10,1265,1277,1257,1261,40000,50576600
2015-07-09,1245,1266,1227,1255,48800,60921300
2015-07-08,1275,1286,1250,1250,32900,41359300
2015-07-07,1275,1296,1275,1276,12900,16510600
2015-07-06,1280,1286,1262,1263,32100,40831100
2015-07-03,1299,1304,1288,1290,13100,16933000
2015-07-02,1304,1315,1294,1305,19200,25007500
2015-07-01,1296,1305,1292,1298,11200,14544500
2015-06-30,1283,1302,1278,1295,19900,25654600
2015-06-29,1270,1300,1269,1291,39000,50124700
2015-06-26,1290,1311,1289,1308,25700,33417600
2015-06-25,1310,1317,1296,1301,23000,29999000
2015-06-24,1332,1332,1304,1314,41300,54241300
2015-06-23,1317,1333,1314,1326,29000,38376800
2015-06-22,1293,1319,1290,1311,34300,44833800
2015-06-19,1276,1319,1276,1306,71400,93160100
2015-06-18,1285,1289,1259,1266,31300,39826600
2015-06-17,1295,1310,1286,1287,43300,56185400
2015-06-16,1300,1308,1296,1296,26400,34353200
2015-06-15,1300,1307,1289,1300,27100,35173300
2015-06-12,1308,1316,1293,1304,68500,89526800
2015-06-11,1264,1317,1263,1307,93200,121411900
2015-06-10,1231,1268,1231,1263,65900,83101400
2015-06-09,1225,1261,1225,1231,53700,66886300
2015-06-08,1252,1253,1231,1232,39300,48750900
2015-06-05,1245,1256,1240,1252,21400,26734800
2015-06-04,1248,1255,1243,1245,12800,15964300
2015-06-03,1264,1264,1245,1250,20100,25147100
2015-06-02,1248,1265,1247,1259,28300,35550500
2015-06-01,1240,1254,1239,1249,23500,29291400
2015-05-29,1221,1249,1221,1242,39900,49583400
2015-05-28,1240,1245,1230,1239,36400,45118000
2015-05-27,1220,1240,1208,1238,44100,54229400
2015-05-26,1203,1226,1203,1224,21200,25853400
2015-05-25,1219,1230,1203,1211,38300,46408400
2015-05-22,1207,1211,1202,1208,30600,36947000
2015-05-21,1202,1225,1202,1207,53200,64525200
2015-05-20,1210,1210,1201,1208,41300,49786000
2015-05-19,1201,1215,1200,1203,33300,40094800
2015-05-18,1202,1232,1199,1200,45800,55275500
2015-05-15,1235,1269,1192,1202,108500,132041000
2015-05-14,1249,1267,1234,1235,32200,40413800
2015-05-13,1279,1298,1263,1279,31400,40348700
2015-05-12,1257,1297,1237,1294,64400,82042800
2015-05-11,1240,1260,1240,1252,44300,55535500
2015-05-08,1221,1237,1219,1229,27200,33374400
2015-05-07,1215,1243,1214,1220,43000,52765700
2015-05-01,1222,1233,1205,1221,30100,36763800
2015-04-30,1247,1247,1214,1222,30900,37970000
2015-04-28,1242,1247,1225,1232,21100,26020800
2015-04-27,1238,1243,1223,1234,12800,15788500
2015-04-24,1218,1246,1215,1238,42800,52836600
2015-04-23,1211,1242,1211,1224,27900,34203700
2015-04-22,1210,1218,1203,1207,20200,24475400
2015-04-21,1195,1215,1193,1199,25700,30901500
2015-04-20,1195,1224,1194,1201,34400,41699300
2015-04-17,1203,1224,1195,1213,36000,43533200
2015-04-16,1224,1238,1206,1211,21500,26251500
2015-04-15,1203,1226,1201,1208,24300,29479000
2015-04-14,1211,1217,1208,1212,12000,14550600
2015-04-13,1212,1223,1205,1211,18400,22329800
2015-04-10,1205,1218,1204,1213,42200,51054300
2015-04-09,1230,1241,1205,1211,88100,107438300
2015-04-08,1234,1250,1228,1230,47300,58567200
2015-04-07,1244,1244,1217,1226,37600,46110500
2015-04-06,1248,1260,1239,1242,42100,52578400
2015-04-03,1242,1248,1230,1248,41100,51101800
2015-04-02,1193,1232,1193,1229,77300,94274700
2015-04-01,1186,1199,1185,1190,58600,69743600
2015-03-31,1230,1250,1206,1216,54200,66489600
2015-03-30,1232,1233,1207,1227,55400,67758800
2015-03-27,1230,1266,1220,1232,91300,113256200
2015-03-26,1230,1245,1226,1237,55400,68486500
2015-03-25,1241,1245,1215,1226,30500,37408000
2015-03-24,1203,1266,1202,1249,77000,95444000
2015-03-23,1200,1207,1197,1202,29500,35459400
2015-03-20,1162,1195,1159,1186,42900,50525500
2015-03-19,1170,1177,1155,1161,42300,49279700
2015-03-18,1180,1191,1167,1168,57500,67644400
2015-03-17,1185,1189,1177,1185,27500,32597800
2015-03-16,1167,1184,1162,1177,46300,54259900
2015-03-13,1135,1183,1135,1166,98400,113501200
2015-03-12,1179,1184,1155,1165,46300,54153200
2015-03-11,1160,1176,1160,1171,15800,18491100
2015-03-10,1168,1178,1159,1174,34200,40069100
2015-03-09,1149,1158,1148,1154,56400,65008400
2015-03-06,1165,1167,1148,1148,51100,59211800
2015-03-05,1162,1174,1161,1168,38000,44370200
2015-03-04,1166,1170,1154,1163,44700,51952800
2015-03-03,1188,1188,1159,1164,29600,34595800
2015-03-02,1186,1193,1183,1187,32400,38508400
2015-02-27,1175,1185,1163,1173,55600,65286900
2015-02-26,1159,1172,1159,1170,37200,43447000
2015-02-25,1161,1163,1156,1159,25100,29115000
2015-02-24,1159,1166,1141,1157,60600,70318900
2015-02-23,1140,1154,1131,1147,49100,56187700
2015-02-20,1130,1143,1120,1140,19600,22275200
2015-02-19,1110,1132,1106,1130,42700,47992200
2015-02-18,1080,1112,1080,1100,74800,82018400
2015-02-17,1105,1120,1071,1078,81100,88349900
2015-02-16,1118,1125,1105,1105,62700,69770600
2015-02-13,1146,1146,1112,1118,72400,81382600
2015-02-12,1150,1152,1118,1120,61700,69596800
2015-02-10,1128,1150,1110,1113,37500,41963900
2015-02-09,1158,1163,1122,1127,41200,46640200
2015-02-06,1145,1148,1120,1135,49600,56448000
2015-02-05,1135,1144,1132,1138,33300,37912800
2015-02-04,1142,1159,1142,1148,36300,41653700
2015-02-03,1136,1149,1120,1128,45600,51711200
2015-02-02,1185,1191,1144,1145,56900,65868500
2015-01-30,1196,1225,1193,1222,29900,36145500
2015-01-29,1191,1196,1180,1191,14500,17241900
2015-01-28,1190,1197,1170,1189,47700,56605600
2015-01-27,1175,1190,1172,1187,18700,22133200
2015-01-26,1155,1174,1155,1172,24500,28575400
2015-01-23,1140,1163,1132,1157,28900,33308200
2015-01-22,1141,1145,1118,1137,39600,44788600
2015-01-21,1172,1172,1137,1143,31100,35886300
2015-01-20,1162,1178,1152,1178,18000,21052100
2015-01-19,1167,1175,1144,1156,16000,18501900
2015-01-16,1166,1169,1151,1161,35900,41606600
2015-01-15,1171,1189,1167,1187,17200,20296600
2015-01-14,1180,1193,1144,1166,36900,43391200
2015-01-13,1204,1205,1169,1198,34500,41160500
2015-01-09,1200,1214,1200,1204,17800,21441400
2015-01-08,1195,1208,1192,1204,22500,27051000
2015-01-07,1160,1197,1160,1173,42500,50086900
2015-01-06,1180,1200,1174,1176,36700,43343200
2015-01-05,1199,1216,1184,1187,24000,28811200
2014-12-30,1220,1220,1201,1205,14100,17017800
2014-12-29,1225,1225,1200,1209,21400,25888400
2014-12-26,1190,1209,1190,1209,9500,11430300
2014-12-25,1202,1206,1188,1200,41400,49522600
2014-12-24,1185,1209,1177,1199,39600,47181400
2014-12-22,1196,1196,1178,1184,36800,43583600
2014-12-19,1190,1199,1177,1185,28300,33648600
2014-12-18,1180,1210,1179,1190,25800,30894400
2014-12-17,1165,1188,1159,1161,27900,32652700
2014-12-16,1185,1185,1158,1178,43600,51240200
2014-12-15,1179,1210,1179,1191,19100,22779400
2014-12-12,1211,1219,1200,1206,59500,71998000
2014-12-11,1200,1226,1184,1194,51900,62071700
2014-12-10,1200,1231,1200,1206,45700,55432800
2014-12-09,1232,1240,1220,1225,28200,34681300
2014-12-08,1240,1244,1230,1235,43400,53726100
2014-12-05,1214,1241,1198,1228,36200,44287000
2014-12-04,1210,1218,1196,1211,23600,28528700
2014-12-03,1200,1228,1196,1202,53100,64017300
2014-12-02,1154,1193,1154,1190,55500,65498600
2014-12-01,1161,1182,1158,1164,54400,63512100
2014-11-28,1183,1184,1172,1179,17800,20973100
2014-11-27,1170,1179,1158,1163,19500,22820700
2014-11-26,1182,1187,1168,1172,30700,36080000
2014-11-25,1167,1190,1164,1182,36500,42976600
2014-11-21,1167,1173,1150,1165,31900,37047100
2014-11-20,1179,1184,1156,1165,51400,60058800
2014-11-19,1139,1193,1136,1161,107600,125106700
2014-11-18,1086,1136,1085,1136,62800,70040600
2014-11-17,1115,1115,1082,1083,30700,33510200
2014-11-14,1120,1120,1096,1118,42800,47621800
2014-11-13,1100,1106,1080,1105,29700,32448500
2014-11-12,1120,1139,1093,1095,62600,69873900
2014-11-11,1111,1131,1103,1119,82700,92345900
2014-11-10,1102,1102,1084,1096,39700,43360800
2014-11-07,1103,1106,1066,1102,73500,80160600
2014-11-06,1080,1119,1079,1098,92200,101224800
2014-11-05,1050,1079,1050,1075,104400,111574400
2014-11-04,1071,1090,1032,1042,117200,123349200
2014-10-31,1040,1047,999,1045,88400,91046200
2014-10-30,1037,1048,1030,1036,64800,67221200
2014-10-29,1033,1057,1032,1050,56100,58761100
2014-10-28,1022,1031,1017,1024,45700,46869100
2014-10-27,1041,1045,1028,1032,39400,40794900
2014-10-24,1055,1060,1035,1037,39000,40703200
2014-10-23,1062,1062,1045,1048,29700,31217600
2014-10-22,1065,1077,1055,1062,34600,36910800
2014-10-21,1052,1066,1039,1055,45100,47443200
2014-10-20,1047,1060,1046,1056,26700,28129900
2014-10-17,1003,1046,999,1037,105900,107936200
2014-10-16,1026,1042,1001,1003,33500,34000000
2014-10-15,1042,1060,1031,1056,33000,34523800
2014-10-14,1029,1049,1023,1042,54200,56197400
2014-10-10,1080,1088,1017,1059,72100,76984700
2014-10-09,1129,1129,1095,1113,82800,91938900
2014-10-08,1099,1126,1081,1123,71200,78840400
2014-10-07,1090,1116,1090,1111,54800,60768200
2014-10-06,1080,1110,1074,1104,90000,99167200
2014-10-03,1029,1069,1026,1065,69000,72796200
2014-10-02,1044,1057,1028,1029,55500,57665700
2014-10-01,1081,1096,1058,1069,62200,67283500
2014-09-30,1100,1100,1067,1076,64500,69488000
2014-09-29,1100,1105,1079,1097,50500,55171500
2014-09-26,1056,1100,1056,1090,78800,85597000
2014-09-25,1079,1094,1076,1084,51700,55991800
