8150-T,東証1部,三信電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1205,1253,1199,1239,92400,113439000
2015-10-01,1216,1225,1199,1217,96600,117368200
2015-09-30,1180,1217,1163,1215,130500,156476700
2015-09-29,1175,1178,1153,1171,127500,149012000
2015-09-28,1169,1197,1150,1193,111800,131860800
2015-09-25,1166,1181,1153,1181,133600,155823400
2015-09-24,1191,1203,1158,1161,202700,238427200
2015-09-18,1210,1230,1191,1218,144200,175173200
2015-09-17,1207,1227,1201,1223,73700,89623500
2015-09-16,1221,1221,1189,1201,99800,119621900
2015-09-15,1214,1220,1192,1204,111900,135022200
2015-09-14,1247,1247,1205,1206,102200,124420200
2015-09-11,1183,1234,1178,1229,257700,311800600
2015-09-10,1186,1205,1175,1199,181400,215984200
2015-09-09,1200,1229,1190,1229,189100,229649800
2015-09-08,1153,1169,1140,1150,146800,169369400
2015-09-07,1134,1173,1130,1166,154700,178556200
2015-09-04,1187,1187,1145,1164,194400,226107700
2015-09-03,1216,1223,1181,1186,198900,237626400
2015-09-02,1200,1234,1187,1203,121200,146382000
2015-09-01,1253,1253,1220,1225,244300,300984300
2015-08-31,1270,1273,1232,1253,135300,169144200
2015-08-28,1221,1260,1220,1249,133200,165072900
2015-08-27,1179,1198,1160,1191,174000,206157300
2015-08-26,1100,1158,1093,1149,194700,219323100
2015-08-25,1072,1149,1055,1098,302100,333588300
2015-08-24,1176,1179,1124,1136,224300,258109000
2015-08-21,1200,1229,1191,1205,159900,193646600
2015-08-20,1257,1259,1212,1227,181800,223657500
2015-08-19,1262,1271,1251,1262,121300,152791100
2015-08-18,1307,1325,1260,1265,232400,296847000
2015-08-17,1250,1303,1244,1296,194300,248535100
2015-08-14,1234,1254,1234,1250,136600,169985300
2015-08-13,1220,1262,1220,1247,222600,276167500
2015-08-12,1260,1260,1211,1228,193600,238460500
2015-08-11,1260,1301,1260,1267,224600,286783800
2015-08-10,1175,1261,1164,1260,308900,377210000
2015-08-07,1251,1265,1201,1205,524200,642091600
2015-08-06,1326,1353,1316,1341,120200,160754000
2015-08-05,1322,1345,1281,1296,193900,252933800
2015-08-04,1358,1358,1315,1336,151400,201259200
2015-08-03,1342,1357,1312,1351,112100,150217000
2015-07-31,1317,1343,1304,1342,85700,113943600
2015-07-30,1323,1327,1294,1305,97800,127696800
2015-07-29,1328,1333,1284,1310,130200,170422100
2015-07-28,1300,1319,1253,1306,215500,278053500
2015-07-27,1347,1347,1306,1309,140200,184343900
2015-07-24,1359,1359,1326,1347,133700,179261500
2015-07-23,1372,1381,1351,1368,84400,115116600
2015-07-22,1380,1384,1346,1377,185100,253614200
2015-07-21,1406,1429,1386,1400,137800,193199900
2015-07-17,1400,1403,1364,1392,152400,211202000
2015-07-16,1400,1424,1389,1394,199700,279786100
2015-07-15,1400,1434,1361,1387,642600,894353000
2015-07-14,1319,1383,1302,1372,705300,951606700
2015-07-13,1200,1252,1200,1251,112400,138526500
2015-07-10,1211,1211,1181,1199,114500,137003000
2015-07-09,1180,1208,1163,1205,139600,165374400
2015-07-08,1246,1247,1207,1217,153500,188018600
2015-07-07,1262,1264,1237,1256,114100,143106300
2015-07-06,1256,1267,1245,1254,126700,159070600
2015-07-03,1280,1285,1261,1272,100000,127113200
2015-07-02,1319,1321,1282,1296,118900,154720600
2015-07-01,1258,1320,1249,1302,309500,401077200
2015-06-30,1315,1332,1237,1252,349700,445716600
2015-06-29,1240,1278,1234,1266,174900,220831300
2015-06-26,1255,1280,1254,1276,144000,182916500
2015-06-25,1278,1278,1250,1255,156200,196832100
2015-06-24,1280,1295,1260,1294,131800,168707000
2015-06-23,1245,1279,1233,1276,112900,142464700
2015-06-22,1237,1237,1203,1235,221400,270295500
2015-06-19,1228,1251,1226,1251,110900,137760300
2015-06-18,1218,1234,1212,1218,98500,120404400
2015-06-17,1254,1258,1226,1236,127200,157443300
2015-06-16,1260,1260,1240,1248,87700,109438100
2015-06-15,1270,1275,1242,1263,85700,107666600
2015-06-12,1266,1279,1246,1279,164100,207686100
2015-06-11,1265,1268,1232,1235,127900,159511300
2015-06-10,1212,1254,1203,1242,222500,275910200
2015-06-09,1206,1229,1200,1202,126000,153149900
2015-06-08,1202,1213,1192,1201,74300,89365600
2015-06-05,1204,1206,1183,1193,75500,90062100
2015-06-04,1209,1218,1206,1210,46200,55942200
2015-06-03,1227,1227,1203,1209,73300,88909900
2015-06-02,1226,1243,1225,1231,86400,106510600
2015-06-01,1225,1234,1204,1223,81800,99861200
2015-05-29,1203,1235,1203,1229,135400,165756100
2015-05-28,1193,1216,1185,1201,155600,186743000
2015-05-27,1119,1184,1118,1181,262300,304584800
2015-05-26,1104,1122,1101,1114,125500,139587400
2015-05-25,1107,1139,1101,1104,106600,118653100
2015-05-22,1108,1117,1102,1107,133200,147710500
2015-05-21,1090,1114,1090,1102,237600,261641300
2015-05-20,1112,1122,1081,1089,182700,200059500
2015-05-19,1128,1141,1111,1112,84000,94334400
2015-05-18,1110,1129,1106,1119,64900,72565800
2015-05-15,1104,1126,1101,1115,110900,124010800
2015-05-14,1100,1128,1076,1105,232700,258147200
2015-05-13,1050,1062,1036,1055,57000,60118100
2015-05-12,1043,1055,1030,1046,69900,73031700
2015-05-11,1050,1070,1041,1049,191400,202017400
2015-05-08,985,989,973,978,58500,57316200
2015-05-07,990,1010,986,986,57400,57067200
2015-05-01,981,996,968,993,45100,44584400
2015-04-30,994,999,988,991,34600,34341500
2015-04-28,985,1000,982,994,36000,35773800
2015-04-27,995,999,985,989,15900,15751900
2015-04-24,1002,1018,991,991,19400,19324000
2015-04-23,991,1017,991,997,20000,20021100
2015-04-22,983,996,983,987,34400,34038200
2015-04-21,980,990,980,986,23300,22963900
2015-04-20,979,998,978,981,30600,30129700
2015-04-17,983,991,978,981,18700,18401500
2015-04-16,974,992,974,988,29500,29001100
2015-04-15,994,998,974,975,30100,29540900
2015-04-14,989,999,982,994,20700,20508300
2015-04-13,986,992,975,984,19000,18679800
2015-04-10,999,999,975,982,55700,54951800
2015-04-09,1011,1017,994,999,15500,15526600
2015-04-08,1006,1022,997,1008,54200,54638400
2015-04-07,1003,1014,999,1006,20800,20922400
2015-04-06,1004,1015,997,1002,26800,26867800
2015-04-03,1018,1020,1009,1020,24000,24370500
2015-04-02,993,1022,988,1007,67300,67793300
2015-04-01,981,995,968,987,80000,78662700
2015-03-31,981,1005,981,995,83900,83319400
2015-03-30,964,977,952,958,54300,52205300
2015-03-27,977,1000,959,963,65900,64325500
2015-03-26,995,1007,990,998,49500,49313900
2015-03-25,1005,1019,1000,1013,66900,67627600
2015-03-24,1002,1017,1002,1011,41200,41528400
2015-03-23,1024,1024,1005,1015,47200,47899700
2015-03-20,1009,1022,995,1017,69500,70153900
2015-03-19,1005,1012,995,1008,56500,56769800
2015-03-18,1021,1022,999,1003,76800,77394100
2015-03-17,1014,1029,1014,1018,49100,50113100
2015-03-16,1029,1029,1006,1010,62300,63157600
2015-03-13,1014,1042,1007,1035,180800,185920800
2015-03-12,999,1008,987,1005,72500,72548000
2015-03-11,981,996,975,991,71300,70480200
2015-03-10,994,1001,969,976,80900,79255600
2015-03-09,980,994,980,989,55300,54588200
2015-03-06,975,993,973,987,110500,108697500
2015-03-05,980,1001,975,985,81200,80101600
2015-03-04,979,992,952,980,198900,193831500
2015-03-03,989,1009,987,993,101200,100718300
2015-03-02,1008,1015,972,976,122800,120932900
2015-02-27,1020,1033,1006,1015,125700,128101100
2015-02-26,1008,1024,1000,1020,136700,138489700
2015-02-25,992,1004,985,1002,72900,72570100
2015-02-24,950,1000,949,992,184800,181616100
2015-02-23,964,969,940,951,91100,86424900
2015-02-20,953,962,952,957,79400,76020000
2015-02-19,925,949,924,946,85800,80586100
2015-02-18,900,928,899,925,258400,236336400
2015-02-17,874,899,870,897,120400,106859600
2015-02-16,853,879,853,874,76300,66542400
2015-02-13,865,868,854,856,53200,45822300
2015-02-12,860,870,852,855,66900,57661500
2015-02-10,851,867,849,849,39600,33845900
2015-02-09,836,851,833,846,60400,51062300
2015-02-06,845,864,830,838,97000,81632700
2015-02-05,829,829,811,824,70700,57978800
2015-02-04,823,835,812,825,97100,79957400
2015-02-03,807,814,797,810,88300,71146700
