8160-T,東証1部,木曽路,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1980,1982,1965,1982,36900,72907700
2015-10-01,1980,1986,1962,1978,53900,106264700
2015-09-30,2000,2018,1975,1979,54900,109395100
2015-09-29,1994,2008,1985,1988,66300,132246100
2015-09-28,2010,2019,1983,2001,64000,127988100
2015-09-25,2030,2058,2008,2058,86700,175921600
2015-09-24,2000,2021,2000,2006,110100,220810300
2015-09-18,2020,2025,2006,2013,91500,184151000
2015-09-17,2030,2037,2020,2028,33800,68490200
2015-09-16,2039,2039,2021,2027,32600,66130600
2015-09-15,2022,2048,2022,2038,20600,41952700
2015-09-14,2031,2049,2022,2022,24300,49366300
2015-09-11,2010,2054,2010,2042,60000,121412800
2015-09-10,2021,2043,2007,2036,30500,61809900
2015-09-09,2040,2047,2012,2044,38800,78704800
2015-09-08,2051,2058,2003,2013,21900,44306300
2015-09-07,2002,2059,2002,2059,33400,67804300
2015-09-04,2050,2050,2000,2022,44000,88697500
2015-09-03,2041,2055,2015,2024,39800,80656800
2015-09-02,2001,2060,2001,2031,55000,111422100
2015-09-01,2100,2101,2046,2046,53800,111659100
2015-08-31,2119,2120,2088,2120,54300,114518600
2015-08-28,2095,2105,2051,2101,41100,85931000
2015-08-27,2099,2101,2032,2049,63300,130414300
2015-08-26,2010,2075,2008,2070,57200,117099200
2015-08-25,2000,2060,1957,2001,95700,191531000
2015-08-24,2050,2067,2013,2013,64900,131812500
2015-08-21,2088,2088,2071,2074,50500,105049300
2015-08-20,2121,2151,2106,2106,29300,62076400
2015-08-19,2155,2161,2115,2125,29700,63520600
2015-08-18,2141,2162,2138,2161,58300,125384000
2015-08-17,2114,2136,2114,2136,21800,46374500
2015-08-14,2110,2119,2107,2114,15700,33149000
2015-08-13,2120,2122,2102,2122,29200,61640300
2015-08-12,2119,2133,2118,2126,19200,40815300
2015-08-11,2135,2135,2121,2129,17200,36603000
2015-08-10,2124,2137,2119,2135,24000,51106900
2015-08-07,2122,2131,2112,2124,27300,57965300
2015-08-06,2135,2144,2127,2130,35700,76235400
2015-08-05,2135,2146,2131,2138,54200,116008300
2015-08-04,2130,2135,2122,2135,39800,84765500
2015-08-03,2108,2135,2099,2114,24700,52148100
2015-07-31,2125,2130,2074,2098,51400,107900500
2015-07-30,2120,2139,2117,2128,38900,82773400
2015-07-29,2101,2118,2101,2114,24300,51273800
2015-07-28,2090,2110,2062,2100,44400,92840200
2015-07-27,2115,2120,2100,2102,32900,69471500
2015-07-24,2098,2120,2098,2115,22000,46488700
2015-07-23,2093,2115,2093,2108,31100,65589500
2015-07-22,2097,2103,2090,2093,21200,44414700
2015-07-21,2108,2115,2093,2099,30300,63775300
2015-07-17,2085,2108,2085,2092,45600,95541200
2015-07-16,2073,2079,2060,2079,37600,77963300
2015-07-15,2044,2074,2044,2066,71600,147644500
2015-07-14,2033,2055,2033,2046,50000,102229300
2015-07-13,2014,2028,2012,2027,29100,58823400
2015-07-10,2010,2021,2002,2008,38800,77987900
2015-07-09,2001,2017,2000,2014,69400,139188300
2015-07-08,2024,2031,2007,2007,49000,98783300
2015-07-07,2021,2033,2011,2026,42800,86752300
2015-07-06,2006,2016,2002,2007,38800,77920800
2015-07-03,2015,2025,2006,2006,42400,85331700
2015-07-02,2029,2029,2019,2022,13900,28135000
2015-07-01,2025,2028,2013,2015,16100,32500900
2015-06-30,2012,2023,2009,2020,29500,59487700
2015-06-29,2014,2024,2001,2012,39900,80295600
2015-06-26,2026,2030,2017,2024,32500,65730500
2015-06-25,2029,2034,2025,2025,21100,42805000
2015-06-24,2035,2035,2022,2029,32900,66767100
2015-06-23,2018,2033,2015,2032,45600,92400800
2015-06-22,2012,2020,2005,2018,33700,67848800
2015-06-19,2009,2013,2001,2007,29900,59989700
2015-06-18,2003,2008,2001,2001,20200,40466400
2015-06-17,2007,2015,2002,2003,26500,53164000
2015-06-16,2010,2027,2006,2006,30500,61428600
2015-06-15,2012,2015,2003,2010,18000,36147600
2015-06-12,2013,2018,2004,2012,59900,120510900
2015-06-11,2009,2019,2006,2013,21900,44045700
