8170-T,東証1部,アデランス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,960,972,935,966,158000,151172900
2015-10-01,961,979,955,962,133100,128534700
2015-09-30,920,960,920,951,256900,243867300
2015-09-29,905,910,896,900,138300,124696500
2015-09-28,892,934,892,921,304400,279969600
2015-09-25,864,886,864,886,145000,126972400
2015-09-24,855,874,851,866,150800,130181400
2015-09-18,886,894,865,871,136400,119260700
2015-09-17,881,901,881,901,85500,76592800
2015-09-16,895,895,871,885,156400,137528000
2015-09-15,873,897,869,884,149800,132805700
2015-09-14,880,889,857,872,127500,110949700
2015-09-11,846,883,840,872,160700,138701700
2015-09-10,850,850,828,848,146600,123318200
2015-09-09,847,870,822,864,331600,281686800
2015-09-08,818,842,818,832,226700,188768400
2015-09-07,829,831,814,820,177600,145833300
2015-09-04,864,864,832,842,172300,145705000
2015-09-03,868,870,852,864,164000,141404100
2015-09-02,850,884,836,858,252000,215684700
2015-09-01,894,894,867,869,141800,124375200
2015-08-31,911,911,879,894,119600,106991800
2015-08-28,874,910,873,899,159500,142383600
2015-08-27,892,895,869,873,147500,129648500
2015-08-26,855,875,850,871,171800,148059900
2015-08-25,832,892,830,852,397400,339758800
2015-08-24,940,954,918,921,235700,219561800
2015-08-21,960,987,952,967,291400,283086300
2015-08-20,987,996,972,974,229900,225185400
2015-08-19,1001,1007,987,990,183300,182170300
2015-08-18,1012,1024,1005,1011,150800,152601600
2015-08-17,1019,1027,1014,1018,93700,95480100
2015-08-14,1003,1017,996,1013,144900,146368100
2015-08-13,1015,1022,996,1003,228500,229700300
2015-08-12,1037,1048,1021,1022,175500,181253300
2015-08-11,1035,1059,1034,1053,239700,251997200
2015-08-10,1015,1035,1015,1032,128300,132239000
2015-08-07,1014,1022,1007,1015,113100,114772400
2015-08-06,1032,1032,1014,1018,132800,135828300
2015-08-05,1028,1031,1016,1025,138100,141314200
2015-08-04,1014,1036,1007,1030,160200,164495200
2015-08-03,1003,1020,1002,1010,129700,131327300
2015-07-31,989,1006,989,1004,163100,163254100
2015-07-30,1002,1005,992,994,145800,145422600
2015-07-29,994,1010,994,1002,215400,216049400
2015-07-28,977,994,971,990,178900,176280500
2015-07-27,986,988,979,980,106700,104774200
2015-07-24,984,991,978,988,118000,116196200
2015-07-23,988,989,977,980,206900,202913500
2015-07-22,988,994,979,988,169300,167026900
2015-07-21,987,994,980,988,245500,242126800
2015-07-17,978,989,976,983,322700,316056200
2015-07-16,1013,1014,976,986,904800,891225400
2015-07-15,1041,1057,1028,1032,192500,200781600
2015-07-14,1032,1044,1031,1039,135800,140718800
2015-07-13,1034,1034,1019,1024,97900,100336400
2015-07-10,1032,1047,1021,1028,141800,146407000
2015-07-09,1032,1032,990,1029,236300,239266800
2015-07-08,1071,1075,1043,1044,211500,222635700
2015-07-07,1096,1098,1070,1083,259300,281252400
2015-07-06,1076,1079,1067,1068,92600,99291700
2015-07-03,1092,1092,1080,1085,81300,88165400
2015-07-02,1088,1099,1082,1088,188600,205749200
2015-07-01,1055,1078,1052,1077,76600,81881400
2015-06-30,1045,1067,1043,1057,168500,177919900
2015-06-29,1056,1060,1043,1043,164000,172284500
2015-06-26,1080,1080,1065,1067,122200,130680200
2015-06-25,1087,1087,1073,1079,125200,135396900
2015-06-24,1084,1086,1075,1081,103200,111735000
2015-06-23,1076,1082,1068,1079,155800,167604700
2015-06-22,1069,1087,1069,1076,120000,129177800
2015-06-19,1059,1071,1054,1060,229900,244087400
2015-06-18,1065,1065,1045,1052,377900,398790700
2015-06-17,1072,1085,1061,1069,458100,491241600
2015-06-16,1082,1087,1076,1076,281900,305127500
2015-06-15,1083,1092,1074,1087,193000,209414900
2015-06-12,1090,1095,1080,1085,249100,270647300
2015-06-11,1110,1111,1091,1096,344500,377844100
2015-06-10,1123,1125,1100,1106,343400,380107000
2015-06-09,1129,1138,1117,1129,487700,549626500
2015-06-08,1121,1140,1116,1135,322500,365346900
2015-06-05,1104,1128,1104,1121,552100,618914300
2015-06-04,1110,1116,1103,1111,425700,471413900
2015-06-03,1106,1112,1100,1106,167400,185234700
2015-06-02,1111,1111,1105,1107,109100,120815700
2015-06-01,1102,1127,1102,1114,168600,188241600
2015-05-29,1110,1111,1094,1102,261900,288331100
2015-05-28,1120,1121,1109,1115,84200,93857000
2015-05-27,1116,1119,1100,1118,175900,195130900
2015-05-26,1116,1127,1116,1121,65900,73990100
2015-05-25,1120,1124,1116,1119,69200,77483400
2015-05-22,1114,1117,1107,1116,76900,85531100
2015-05-21,1117,1121,1100,1115,163000,180697400
2015-05-20,1119,1119,1107,1117,170800,190040600
2015-05-19,1132,1132,1122,1128,87700,98924500
2015-05-18,1124,1133,1116,1124,171400,192641000
2015-05-15,1088,1121,1084,1112,209900,232525200
2015-05-14,1088,1090,1072,1079,173200,186838900
2015-05-13,1084,1107,1084,1091,153000,167187800
2015-05-12,1095,1099,1087,1095,127000,138614700
2015-05-11,1099,1116,1095,1100,160100,176845000
2015-05-08,1103,1107,1087,1091,291500,319296200
2015-05-07,1105,1122,1096,1107,223600,248645200
2015-05-01,1114,1123,1100,1105,273200,302121000
2015-04-30,1117,1132,1114,1122,264200,296843400
2015-04-28,1124,1139,1120,1127,219400,248093300
2015-04-27,1140,1142,1115,1120,505200,567459000
2015-04-24,1147,1158,1141,1155,199000,229231600
2015-04-23,1146,1148,1135,1145,224900,256791800
2015-04-22,1168,1182,1145,1152,374700,434606700
2015-04-21,1159,1192,1153,1161,328200,382786200
2015-04-20,1136,1160,1135,1138,281300,322246300
2015-04-17,1159,1172,1142,1149,456200,526945300
2015-04-16,1171,1188,1132,1182,974800,1129134800
2015-04-15,1220,1254,1176,1192,1303200,1585115900
2015-04-14,1374,1390,1355,1363,295400,404249000
2015-04-13,1345,1370,1345,1363,257200,350452400
2015-04-10,1300,1339,1297,1337,369300,489835400
2015-04-09,1295,1324,1293,1305,228900,299449300
2015-04-08,1290,1306,1270,1293,311500,400894400
2015-04-07,1310,1313,1271,1301,267500,346986700
2015-04-06,1320,1322,1302,1304,175400,229982100
2015-04-03,1284,1338,1280,1330,445500,587357800
2015-04-02,1242,1295,1241,1284,523900,668584400
