8185-T,東証1部,チヨダ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,3835,3885,3800,3860,72100,277175000
2015-10-01,3860,3890,3810,3835,89300,343281500
2015-09-30,3675,3845,3675,3835,77700,294704500
2015-09-29,3700,3705,3610,3640,160500,585559500
2015-09-28,3685,3780,3650,3780,68100,254959000
2015-09-25,3660,3700,3585,3690,151200,551091500
2015-09-24,3605,3750,3580,3655,104200,384600500
2015-09-18,3685,3730,3595,3595,144700,527329500
2015-09-17,3580,3645,3550,3630,117500,423143000
2015-09-16,3645,3650,3570,3620,86700,312985000
2015-09-15,3665,3695,3630,3655,93100,340905500
2015-09-14,3630,3710,3630,3660,93900,344894500
2015-09-11,3430,3655,3430,3625,163700,578836000
2015-09-10,3425,3445,3375,3430,79700,272024500
2015-09-09,3380,3450,3355,3450,104000,354952000
2015-09-08,3415,3450,3305,3345,106600,358789000
2015-09-07,3435,3470,3345,3380,150900,511193000
2015-09-04,3400,3485,3345,3385,168800,576573000
2015-09-03,3350,3385,3330,3340,66200,222106000
2015-09-02,3300,3415,3290,3345,72000,241496000
2015-09-01,3350,3420,3340,3355,89700,303309000
2015-08-31,3375,3390,3300,3390,129000,432372500
2015-08-28,3380,3415,3340,3405,120400,407420000
2015-08-27,3300,3360,3245,3285,146100,482573000
2015-08-26,3165,3295,3145,3255,202900,656770500
2015-08-25,3100,3220,3085,3135,186200,585566000
2015-08-24,3260,3315,3200,3200,106100,344127500
2015-08-21,3400,3470,3360,3375,138700,473259000
2015-08-20,3550,3580,3515,3540,54600,194220000
2015-08-19,3540,3575,3520,3555,48600,172614500
2015-08-18,3565,3620,3530,3555,81300,289448500
2015-08-17,3525,3610,3500,3605,60900,217698500
2015-08-14,3470,3595,3470,3565,56500,201128000
2015-08-13,3490,3515,3415,3490,76700,265502500
2015-08-12,3480,3560,3465,3510,64400,226546500
2015-08-11,3620,3650,3510,3515,82200,292010500
2015-08-10,3500,3625,3490,3620,94700,338412500
2015-08-07,3455,3485,3410,3480,84100,290096000
2015-08-06,3470,3480,3415,3455,81300,280887500
2015-08-05,3500,3510,3420,3455,114000,393954000
2015-08-04,3420,3490,3380,3490,71000,245749000
2015-08-03,3295,3430,3280,3425,78900,267454500
2015-07-31,3280,3300,3215,3295,75500,246817500
2015-07-30,3270,3290,3235,3280,92900,303897000
2015-07-29,3180,3205,3160,3200,65900,209827500
2015-07-28,3170,3195,3140,3160,73800,233574500
2015-07-27,3325,3325,3170,3175,85500,275583000
2015-07-24,3260,3355,3260,3330,138800,459681000
2015-07-23,3170,3265,3165,3260,50100,162259500
2015-07-22,3175,3190,3135,3165,96100,303550000
2015-07-21,3200,3230,3170,3195,78700,251203000
2015-07-17,3150,3200,3145,3185,89300,284197500
2015-07-16,3090,3140,3070,3125,95800,298167000
2015-07-15,3060,3110,3040,3100,114100,352028500
2015-07-14,3020,3035,2968,3015,88100,265118500
2015-07-13,2978,3010,2950,3010,58500,175084700
2015-07-10,2971,2990,2937,2966,112000,332330000
2015-07-09,2948,2995,2922,2985,173800,512734300
2015-07-08,3000,3085,2965,2978,203500,611296800
2015-07-07,2918,2981,2895,2974,82900,245247600
2015-07-06,2862,2952,2862,2926,110100,321922600
2015-07-03,2930,2967,2879,2912,86700,254357000
2015-07-02,2900,2955,2900,2924,121500,356218000
2015-07-01,2872,2890,2860,2877,121500,349032900
2015-06-30,2838,2909,2838,2874,83200,239104700
2015-06-29,2860,2880,2838,2838,57300,163571000
2015-06-26,2860,2918,2860,2910,95700,278106600
2015-06-25,2843,2880,2831,2859,76800,219498800
2015-06-24,2809,2868,2809,2843,92000,261321800
2015-06-23,2807,2839,2760,2779,102200,284687100
2015-06-22,2775,2795,2756,2769,173000,480069500
2015-06-19,2860,2876,2776,2804,190200,534048800
2015-06-18,2891,2892,2829,2831,84400,241128200
2015-06-17,2866,2910,2854,2901,79600,230222200
2015-06-16,2825,2874,2825,2846,64900,185113500
2015-06-15,2799,2835,2798,2825,37800,106583200
2015-06-12,2800,2836,2780,2799,86800,243531100
2015-06-11,2776,2811,2741,2786,67600,188777400
2015-06-10,2766,2776,2730,2738,50200,137996900
2015-06-09,2789,2813,2721,2733,83500,230879600
2015-06-08,2786,2800,2753,2789,46300,128833900
2015-06-05,2749,2810,2748,2786,81400,227227600
2015-06-04,2753,2808,2720,2750,80300,221847000
2015-06-03,2746,2768,2728,2753,69700,191412300
2015-06-02,2727,2774,2723,2744,67700,186381100
2015-06-01,2710,2779,2710,2763,72200,198966200
2015-05-29,2708,2786,2696,2748,103700,284492500
2015-05-28,2719,2727,2683,2692,44200,119325800
2015-05-27,2709,2722,2682,2699,44300,119725000
2015-05-26,2670,2703,2664,2694,53400,143379800
2015-05-25,2700,2740,2666,2683,80600,217376600
2015-05-22,2620,2687,2620,2683,90700,241812300
2015-05-21,2660,2668,2615,2632,166700,439367000
2015-05-20,2665,2694,2665,2679,66100,177111900
2015-05-19,2692,2712,2653,2658,134800,359845400
2015-05-18,2652,2687,2633,2669,79300,211183200
2015-05-15,2655,2716,2655,2679,72400,194373700
2015-05-14,2679,2689,2643,2655,89800,238983700
2015-05-13,2662,2690,2635,2680,83700,223808200
2015-05-12,2640,2668,2632,2646,54400,143961800
2015-05-11,2649,2673,2623,2661,110700,294262200
