8203-T,東証1部,MrMax,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,324,324,317,319,68600,21950000
2015-10-01,310,323,310,319,98300,31092000
2015-09-30,309,314,307,308,69900,21668200
2015-09-29,313,314,306,307,79400,24512300
2015-09-28,314,318,312,313,46800,14695700
2015-09-25,318,322,312,319,105600,33351200
2015-09-24,332,334,318,318,129100,42240900
2015-09-18,342,342,332,332,81800,27362300
2015-09-17,334,344,334,342,59500,20208600
2015-09-16,341,342,332,333,104400,35029600
2015-09-15,344,351,338,338,88300,30200200
2015-09-14,357,367,341,345,140800,49531400
2015-09-11,340,347,340,341,128700,43898200
2015-09-10,345,348,341,343,97700,33520700
2015-09-09,359,359,344,351,145900,50825900
2015-09-08,346,363,340,343,311300,107900000
2015-09-07,340,349,331,338,210000,71043300
2015-09-04,363,363,340,343,261000,91152600
2015-09-03,365,370,361,361,98000,35726000
2015-09-02,366,373,362,363,186000,68384500
2015-09-01,386,386,371,372,153700,57904000
2015-08-31,397,397,385,388,77900,30347700
2015-08-28,393,399,390,397,110600,43619000
2015-08-27,383,396,381,384,102000,39329700
2015-08-26,375,387,370,383,213100,80403200
2015-08-25,364,399,358,372,306700,114379500
2015-08-24,388,399,378,380,329900,127023800
2015-08-21,400,407,394,400,470200,188357100
2015-08-20,415,423,409,410,86100,35461400
2015-08-19,413,438,401,415,740400,310499400
2015-08-18,411,417,408,413,109100,45000800
2015-08-17,409,417,403,409,108200,44187100
2015-08-14,410,424,406,413,247600,102725500
2015-08-13,396,410,395,406,223700,90240900
2015-08-12,391,407,391,398,349100,139762800
2015-08-11,402,402,390,396,217000,86058700
2015-08-10,393,402,393,401,212500,84527900
2015-08-07,394,404,390,401,165100,65154100
2015-08-06,396,405,388,398,293700,116524100
2015-08-05,412,415,394,396,549800,221225800
2015-08-04,420,432,411,414,936900,392255500
2015-08-03,437,455,424,424,4278400,1878318200
2015-07-31,378,461,361,461,5374700,2410244800
2015-07-30,393,397,377,381,445200,172601200
2015-07-29,396,396,392,393,128800,50731500
2015-07-28,394,399,390,396,337800,133210100
2015-07-27,401,401,395,398,207300,82345600
2015-07-24,407,410,400,401,343500,138462500
2015-07-23,421,421,407,410,356100,146692800
2015-07-22,422,426,417,421,452000,190465700
2015-07-21,424,431,420,428,547000,233891300
2015-07-17,423,434,416,420,978800,416567000
2015-07-16,416,423,410,419,535300,223068100
2015-07-15,419,419,407,411,447200,184574700
2015-07-14,426,426,410,416,703500,293847100
2015-07-13,405,416,394,414,616500,251733400
2015-07-10,404,408,400,405,666500,268788700
2015-07-09,400,415,390,412,2126000,853635300
2015-07-08,444,447,406,411,4392100,1860022500
2015-07-07,427,468,418,452,12792100,5767886300
2015-07-06,410,432,407,412,2858300,1197822400
2015-07-03,410,428,403,418,3376300,1401309700
2015-07-02,429,432,402,410,3435000,1426753900
2015-07-01,439,445,421,429,7689600,3337034900
2015-06-30,442,459,413,419,12065900,5178041500
2015-06-29,445,467,430,449,14203800,6379066700
2015-06-26,475,489,431,469,40737500,18836150600
2015-06-25,383,443,377,443,36676500,15222016000
2015-06-24,362,385,352,363,4979700,1832344400
2015-06-23,360,366,341,346,3797700,1339806800
2015-06-22,355,382,337,365,15664300,5670516300
2015-06-19,317,367,306,365,12339200,4121844300
2015-06-18,282,350,282,317,9598300,3097191900
2015-06-17,269,280,268,278,119300,32788300
2015-06-16,271,271,269,269,12300,3321900
2015-06-15,269,270,268,270,28300,7624200
2015-06-12,268,270,268,268,58700,15753800
2015-06-11,270,270,267,268,64800,17391700
2015-06-10,270,271,270,270,15700,4240700
2015-06-09,270,271,270,270,14400,3890800
2015-06-08,270,271,270,270,14800,3999300
2015-06-05,270,271,269,269,35300,9531000
