8219-T,東証1部,青山商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4290,4390,4265,4310,167400,721024000
2015-10-01,4240,4380,4230,4320,191400,825634500
2015-09-30,4185,4255,4180,4210,172800,729991500
2015-09-29,4220,4245,4070,4090,236300,974770500
2015-09-28,4205,4280,4180,4275,163500,694311000
2015-09-25,4175,4265,4155,4235,352600,1488134500
2015-09-24,4100,4265,4100,4150,301800,1266679000
2015-09-18,4250,4270,4180,4190,317700,1336679500
2015-09-17,4360,4375,4255,4300,135600,582544000
2015-09-16,4440,4440,4200,4250,234700,997622500
2015-09-15,4405,4505,4390,4390,198700,880148500
2015-09-14,4435,4550,4415,4430,200700,895893000
2015-09-11,4255,4410,4255,4365,255700,1108799000
2015-09-10,4280,4330,4230,4305,268800,1153848500
2015-09-09,4270,4410,4240,4410,245100,1063936000
2015-09-08,4270,4340,4125,4135,210600,884919500
2015-09-07,4210,4310,4175,4240,213000,902200000
2015-09-04,4300,4300,4140,4230,266700,1123083500
2015-09-03,4315,4345,4240,4260,242400,1039575000
2015-09-02,4285,4415,4275,4300,237800,1033018500
2015-09-01,4480,4505,4340,4340,212600,938602000
2015-08-31,4495,4530,4445,4530,169700,762302000
2015-08-28,4485,4550,4405,4505,443800,1992419500
2015-08-27,4450,4470,4370,4395,271700,1201779000
2015-08-26,4340,4425,4320,4395,194900,853302500
2015-08-25,4350,4520,4260,4315,365700,1604278000
2015-08-24,4715,4750,4505,4510,397400,1825018000
2015-08-21,4870,4925,4845,4855,213700,1041562000
2015-08-20,5050,5070,4955,4960,157100,787301500
2015-08-19,5200,5220,5100,5100,217800,1120868000
2015-08-18,5100,5200,5100,5180,355200,1834729000
2015-08-17,5040,5130,5040,5070,190900,969651000
2015-08-14,4975,5070,4940,5030,229600,1154197500
2015-08-13,4850,4985,4840,4975,281300,1383267500
2015-08-12,4895,4920,4810,4845,258600,1253099000
2015-08-11,4940,4960,4850,4870,258600,1264528000
2015-08-10,5040,5080,4860,4935,444100,2196243500
2015-08-07,4890,4910,4815,4895,185900,904504500
2015-08-06,4930,4930,4835,4870,272200,1326268500
2015-08-05,4920,4920,4785,4830,265600,1286832000
2015-08-04,4950,4965,4905,4940,189000,934020500
2015-08-03,4945,4995,4910,4945,161600,799341500
2015-07-31,4915,4935,4875,4925,151100,742674000
2015-07-30,4915,5010,4915,4935,255100,1263826500
2015-07-29,4875,4905,4815,4900,140100,682486500
2015-07-28,4760,4830,4735,4805,120100,574971000
2015-07-27,4910,4915,4795,4815,140800,680968000
2015-07-24,4915,4950,4855,4910,130200,637300000
2015-07-23,4845,4965,4835,4945,129400,638240000
2015-07-22,4870,4900,4825,4850,149500,725264500
2015-07-21,4850,4930,4825,4900,180800,885651500
2015-07-17,4880,4895,4790,4800,204000,984294500
2015-07-16,4850,4910,4810,4880,180900,879783000
2015-07-15,4845,4885,4790,4815,173200,836206000
2015-07-14,4830,4880,4780,4870,183200,886882000
2015-07-13,4770,4795,4720,4780,196500,937623000
2015-07-10,4850,4860,4700,4730,241000,1146685000
2015-07-09,4725,4875,4635,4865,390900,1863656500
