8260-T,東証1部,井筒屋,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,64,65,63,65,805000,51530000
2015-10-01,65,65,64,64,867000,56204000
2015-09-30,64,65,63,65,445000,28527000
2015-09-29,64,65,63,63,671000,42874000
2015-09-28,64,65,63,65,562000,36186000
2015-09-25,63,64,62,64,473000,29814000
2015-09-24,63,63,62,62,554000,34771000
2015-09-18,63,64,63,63,615000,38844000
2015-09-17,64,64,63,63,783000,49708000
2015-09-16,65,66,63,63,1643000,105590000
2015-09-15,66,66,64,65,1054000,69182000
2015-09-14,64,66,64,65,802000,51875000
2015-09-11,64,65,64,64,1002000,64139000
2015-09-10,62,64,61,63,1424000,89179000
2015-09-09,61,63,61,63,970000,60022000
2015-09-08,62,62,60,60,2046000,124778000
2015-09-07,62,63,61,62,1468000,91338000
2015-09-04,64,64,62,62,1006000,63592000
2015-09-03,65,66,63,64,1036000,67025000
2015-09-02,62,65,62,64,1605000,101805000
2015-09-01,66,66,63,63,1653000,107654000
2015-08-31,67,68,66,67,940000,62976000
2015-08-28,65,67,65,67,1622000,107175000
2015-08-27,65,66,64,64,1224000,79494000
2015-08-26,62,65,62,64,1332000,83912000
2015-08-25,60,65,59,62,2465000,152189000
2015-08-24,65,67,63,63,3505000,227137000
2015-08-21,70,70,68,69,2253000,156263000
2015-08-20,71,72,70,71,1513000,107415000
2015-08-19,73,73,72,72,1258000,91039000
2015-08-18,73,73,72,72,903000,65750000
2015-08-17,73,74,72,73,995000,72623000
2015-08-14,72,74,72,73,1420000,103378000
2015-08-13,73,73,72,72,1236000,90045000
2015-08-12,75,75,73,73,1935000,143097000
2015-08-11,76,76,74,74,1320000,99065000
2015-08-10,76,76,74,76,2167000,162965000
2015-08-07,76,77,75,77,1326000,100914000
2015-08-06,76,77,75,77,1222000,92793000
2015-08-05,76,77,75,76,1973000,150398000
2015-08-04,76,77,74,76,2604000,197326000
2015-08-03,77,77,75,76,2121000,161873000
2015-07-31,79,79,77,77,1479000,115350000
2015-07-30,77,78,77,78,1701000,131999000
2015-07-29,77,78,76,77,2086000,161553000
