8273-T,東証1部,イズミ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4910,5040,4885,4930,148200,731838000
2015-10-01,4855,5010,4815,4955,156400,774562500
2015-09-30,4700,4870,4665,4835,203700,976647000
2015-09-29,4810,4810,4590,4615,287800,1337162000
2015-09-28,4690,4925,4635,4910,190600,923475500
2015-09-25,4625,4770,4590,4635,312000,1446088000
2015-09-24,4655,4720,4585,4620,213300,995275000
2015-09-18,4735,4740,4590,4665,283100,1322395500
2015-09-17,4820,4825,4725,4765,161900,770412500
2015-09-16,4895,4910,4700,4775,108200,515669000
2015-09-15,4820,4965,4820,4860,110300,540270500
2015-09-14,4750,4890,4745,4810,121800,587128500
2015-09-11,4635,4850,4635,4790,236500,1118978500
2015-09-10,4560,4720,4505,4705,367000,1703197500
2015-09-09,4720,4720,4600,4690,249800,1165077000
2015-09-08,4760,4760,4500,4530,223200,1019496000
2015-09-07,4795,4840,4705,4760,137600,656109500
2015-09-04,5020,5020,4815,4845,106300,517676500
2015-09-03,4990,5050,4940,4945,118200,588424000
2015-09-02,4855,5110,4835,4975,164100,821472000
2015-09-01,5160,5180,4920,4925,157100,788658500
2015-08-31,5250,5250,5130,5200,139300,722392000
2015-08-28,5280,5280,5170,5260,122600,641849000
2015-08-27,5120,5230,5050,5080,236900,1214167000
2015-08-26,5020,5090,4960,5060,249500,1256860000
2015-08-25,4800,5130,4800,4955,204000,1013424500
2015-08-24,5250,5390,5120,5120,140400,734714000
2015-08-21,5440,5460,5360,5370,149300,807088000
2015-08-20,5550,5630,5530,5600,103100,576060000
2015-08-19,5720,5810,5550,5590,127200,714861000
2015-08-18,5870,5920,5720,5770,86300,498831000
2015-08-17,5760,5870,5750,5870,118400,690604000
2015-08-14,5670,5780,5630,5760,111300,637207000
2015-08-13,5660,5730,5580,5710,110100,624208000
2015-08-12,5670,5760,5660,5750,125900,721377000
2015-08-11,5780,5780,5660,5720,88400,505285000
2015-08-10,5630,5820,5630,5800,102800,592468000
2015-08-07,5640,5680,5480,5650,270200,1505339000
2015-08-06,5840,5860,5690,5700,132500,760269000
2015-08-05,6070,6100,5810,5830,188300,1111754000
2015-08-04,5970,6170,5960,6090,200700,1225896000
2015-08-03,5810,5980,5790,5940,154100,911388000
2015-07-31,5810,5840,5700,5790,99700,576178000
2015-07-30,5780,5860,5730,5810,173800,1007314000
2015-07-29,5720,5740,5630,5700,183000,1041604000
2015-07-28,5660,5780,5650,5730,134000,767482000
2015-07-27,5820,5830,5640,5690,157200,896879000
2015-07-24,5900,5970,5810,5830,110900,648753000
2015-07-23,5890,5950,5830,5900,155600,917289000
2015-07-22,5770,5840,5710,5790,146500,845487000
2015-07-21,5860,5900,5750,5820,241400,1404312000
2015-07-17,5850,5910,5780,5810,140800,818556000
2015-07-16,5850,5850,5780,5850,135900,792284000
2015-07-15,5980,6040,5790,5840,335400,1979588000
2015-07-14,5660,5770,5590,5680,314500,1782255000
2015-07-13,5500,5540,5370,5520,172600,946095000
2015-07-10,5390,5540,5310,5350,344000,1856205000
2015-07-09,5280,5460,5240,5400,494000,2648210000
2015-07-08,5260,5270,5040,5080,222200,1139832000
2015-07-07,5140,5230,5030,5230,244300,1260429000
2015-07-06,5030,5090,4960,5040,138400,695367000
