8279-T,東証1部,ヤオコー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,5490,5670,5440,5500,78200,432146000
2015-10-01,5480,5550,5400,5480,72500,397883000
2015-09-30,5320,5470,5260,5400,64900,350093000
2015-09-29,5290,5300,5150,5200,90900,474959000
2015-09-28,5100,5370,5050,5370,107800,571499000
2015-09-25,5110,5180,5010,5120,90500,460083000
2015-09-24,5080,5250,5070,5150,93100,481357000
2015-09-18,5140,5260,5130,5160,97400,504463000
2015-09-17,5110,5330,5080,5290,105100,549054000
2015-09-16,5200,5220,4995,5060,102200,515845500
2015-09-15,5130,5240,5120,5170,85200,442191000
2015-09-14,5140,5190,5050,5080,132400,677127000
2015-09-11,5100,5330,5100,5230,127700,662695000
2015-09-10,5170,5300,5120,5260,119900,626474000
2015-09-09,5330,5370,5170,5270,152000,799029000
2015-09-08,5440,5520,5120,5140,126300,663174000
2015-09-07,5370,5510,5330,5440,97000,526259000
2015-09-04,5620,5620,5380,5420,254900,1388324000
2015-09-03,5900,6000,5620,5650,194500,1118521000
2015-09-02,5810,6070,5780,5900,150600,894418000
2015-09-01,6300,6300,5980,5980,112400,684309000
2015-08-31,6360,6370,6230,6330,112800,710153000
2015-08-28,6510,6590,6280,6320,267500,1699756000
2015-08-27,6350,6630,6280,6410,186700,1204400000
2015-08-26,6050,6170,6000,6110,110700,673447000
2015-08-25,5810,6270,5680,5900,228500,1369822000
2015-08-24,6300,6490,6080,6110,158300,991263000
2015-08-21,6450,6650,6450,6580,116900,767824000
2015-08-20,6660,6850,6610,6610,88500,595531000
2015-08-19,6780,6830,6620,6660,106100,712285000
2015-08-18,6950,7030,6750,6830,129000,887691000
2015-08-17,6620,6860,6590,6860,95500,646846000
2015-08-14,6530,6680,6530,6600,95000,628832000
2015-08-13,6620,6620,6400,6570,144000,941371000
2015-08-12,6450,6570,6310,6400,154500,997564000
2015-08-11,6700,6700,6430,6470,118200,771054000
2015-08-10,6410,6600,6310,6500,157000,1014716000
2015-08-07,6450,6450,6100,6250,184900,1155802000
2015-08-06,6570,6680,6500,6500,93700,618228000
2015-08-05,6500,6570,6390,6470,96800,628599000
2015-08-04,6450,6450,6340,6450,72900,467071000
2015-08-03,6170,6380,6130,6350,67100,420047000
2015-07-31,6150,6150,6010,6130,43100,262436000
2015-07-30,6180,6190,6040,6110,61400,375632000
2015-07-29,6110,6190,6030,6100,58500,357151000
2015-07-28,5780,6100,5770,6070,66300,396265000
2015-07-27,6100,6150,5890,5910,71700,430451000
2015-07-24,6040,6120,6030,6060,44500,269954000
2015-07-23,5920,6050,5900,6040,56200,336850000
2015-07-22,5900,5950,5850,5920,44200,261568000
2015-07-21,5950,5950,5890,5940,66100,391560000
2015-07-17,5850,5910,5820,5900,71700,421344000
2015-07-16,5700,5850,5670,5830,112000,650940000
2015-07-15,5470,5650,5430,5640,84800,473742000
2015-07-14,5450,5470,5320,5400,113600,614908000
2015-07-13,5320,5400,5290,5340,87400,467907000
2015-07-10,5450,5500,5300,5310,118300,636015000
2015-07-09,5390,5490,5260,5400,142100,764762000
2015-07-08,5810,5830,5540,5550,139600,787706000
2015-07-07,5740,5910,5710,5870,86400,504822000
2015-07-06,5590,5730,5560,5610,56900,320816000
2015-07-03,5730,5740,5630,5670,52400,296859000
2015-07-02,5940,5970,5720,5750,59800,346989000
2015-07-01,5740,5860,5690,5840,54000,313159000
2015-06-30,5590,5740,5590,5690,95400,541621000
2015-06-29,5520,5770,5520,5650,110800,627512000
2015-06-26,5870,5880,5790,5820,59700,347941000
2015-06-25,5860,5950,5860,5880,66800,394773000
2015-06-24,5800,5870,5740,5860,58600,341072000
2015-06-23,5670,5760,5670,5760,48500,277622000
2015-06-22,5740,5780,5610,5640,72200,408138000
2015-06-19,5580,5730,5580,5680,83800,474082000
2015-06-18,5570,5630,5530,5560,44900,250619000
2015-06-17,5540,5620,5540,5590,59000,329290000
2015-06-16,5490,5540,5390,5500,59700,327149000
2015-06-15,5490,5580,5380,5500,91200,499916000
2015-06-12,5480,5640,5450,5550,140300,777292000
2015-06-11,5350,5480,5330,5440,75400,409348000
2015-06-10,5140,5370,5140,5270,85400,451183000
2015-06-09,5150,5220,5150,5180,56600,293565000
2015-06-08,5090,5170,5050,5160,68100,349568000
2015-06-05,5050,5130,5040,5090,31700,161426000
2015-06-04,5050,5090,5040,5090,42600,216057000
2015-06-03,5120,5120,5010,5030,50800,256747000
2015-06-02,5020,5130,4990,5100,69400,351839000
2015-06-01,4905,5020,4895,5020,53000,263548500
2015-05-29,5010,5040,4870,4975,88200,438156000
2015-05-28,4950,5010,4945,5000,75500,375875500
2015-05-27,4790,4950,4765,4950,128600,628807000
2015-05-26,4745,4795,4745,4770,31700,151333500
2015-05-25,4780,4795,4750,4785,39100,186560500
2015-05-22,4740,4780,4710,4780,44500,211609000
2015-05-21,4750,4780,4725,4740,50100,238175000
2015-05-20,4785,4800,4670,4740,61900,292713000
2015-05-19,4750,4775,4670,4755,62000,294395500
2015-05-18,4700,4735,4670,4720,66300,312054500
2015-05-15,4550,4665,4530,4660,81900,379038500
2015-05-14,4525,4580,4485,4510,73400,332527500
2015-05-13,4380,4490,4360,4480,78100,348365000
2015-05-12,4300,4380,4250,4375,92800,401181500
2015-05-11,4465,4465,4345,4400,61500,271163000
2015-05-08,4350,4400,4315,4340,57000,248352500
2015-05-07,4300,4380,4295,4320,54000,233621500
2015-05-01,4260,4280,4215,4245,37900,160744500
2015-04-30,4290,4315,4240,4255,61700,263609000
2015-04-28,4325,4350,4300,4315,52900,228506500
2015-04-27,4350,4375,4335,4350,27200,118355000
2015-04-24,4405,4405,4320,4350,56800,247534500
2015-04-23,4500,4510,4420,4420,43400,193010000
2015-04-22,4465,4550,4460,4500,44400,200343000
2015-04-21,4345,4475,4345,4460,52400,232114500
2015-04-20,4305,4430,4285,4405,75000,328431000
2015-04-17,4410,4410,4315,4360,98900,430575500
2015-04-16,4500,4530,4405,4445,76700,341410500
2015-04-15,4500,4530,4480,4500,89500,402945500
2015-04-14,4540,4585,4515,4520,59400,270060000
2015-04-13,4625,4630,4530,4555,67000,305943500
2015-04-10,4645,4695,4595,4670,138100,642882500
2015-04-09,4575,4635,4570,4615,73500,338412000
2015-04-08,4540,4615,4505,4575,135100,615865500
2015-04-07,4705,4710,4555,4585,165800,764432500
2015-04-06,4715,4815,4670,4730,87400,414544000
2015-04-03,4585,4720,4570,4690,125800,588029500
2015-04-02,4480,4640,4470,4585,140800,644460000
2015-04-01,4450,4470,4355,4400,125100,552957500
2015-03-31,4530,4610,4380,4500,261300,1177204000
2015-03-30,4545,4675,4515,4600,90300,415627000
2015-03-27,4560,4645,4515,4565,114700,525990500
2015-03-26,9300,9330,9160,9210,46400,428590000
2015-03-25,9680,9680,9310,9380,67900,639183000
