8285-T,東証1部,三谷産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,367,375,367,371,18700,6926300
2015-10-01,378,378,367,372,23600,8814700
2015-09-30,370,380,370,371,27600,10304600
2015-09-29,380,381,367,368,32900,12261300
2015-09-28,391,391,384,386,22300,8653600
2015-09-25,389,394,375,393,28500,11033700
2015-09-24,394,398,388,388,55800,21857900
2015-09-18,406,408,395,402,34200,13798900
2015-09-17,410,410,394,406,79600,32264800
2015-09-16,385,407,384,406,44200,17460900
2015-09-15,380,387,377,382,18600,7103900
2015-09-14,382,386,378,378,16000,6099200
2015-09-11,372,382,372,381,42100,15721400
2015-09-10,378,381,368,379,11400,4281100
2015-09-09,368,387,365,384,25800,9684000
2015-09-08,361,370,355,358,32900,11944700
2015-09-07,360,366,350,361,29600,10568100
2015-09-04,383,399,364,365,47400,17706400
2015-09-03,387,399,377,383,28400,10966300
2015-09-02,384,393,375,383,39300,15138100
2015-09-01,408,409,384,386,38600,15236300
2015-08-31,410,410,401,408,37900,15438300
2015-08-28,405,411,398,400,38600,15559000
2015-08-27,403,410,395,396,34600,13927000
2015-08-26,370,387,370,387,44800,16950000
2015-08-25,318,379,316,365,188100,64836000
2015-08-24,402,413,380,390,93900,37154300
2015-08-21,450,450,430,431,75100,32974700
2015-08-20,469,470,458,458,33600,15499700
2015-08-19,477,479,470,470,27500,12995600
2015-08-18,482,484,476,480,13200,6337800
2015-08-17,477,484,476,482,14300,6874300
2015-08-14,476,477,474,476,11200,5326800
2015-08-13,475,485,475,476,21900,10432600
2015-08-12,479,482,474,481,24500,11715100
2015-08-11,488,489,480,482,17400,8428400
2015-08-10,473,492,471,486,55400,26932300
2015-08-07,476,477,472,475,34800,16534900
2015-08-06,481,484,476,478,34700,16633400
2015-08-05,481,483,475,480,39000,18672000
2015-08-04,493,493,480,483,43900,21262400
2015-08-03,499,499,488,493,39400,19379200
2015-07-31,498,499,487,493,59600,29336700
2015-07-30,490,496,482,490,92200,44991800
2015-07-29,482,543,474,497,493300,251360400
2015-07-28,465,479,465,470,78000,36689000
2015-07-27,483,490,479,480,31300,15153800
