8306-T,東証1部,三菱UFJ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,737.0,748.2,734.1,747.7,45501200,33799433810
2015-10-01,730.7,751.6,721.5,741.9,76334800,56414397820
2015-09-30,713.0,728.5,712.6,716.4,72443400,52069002490
2015-09-29,725.0,725.1,692.2,699.5,99317700,70118519830
2015-09-28,743.0,757.0,737.7,742.0,52064400,38815612540
2015-09-25,727.6,753.0,723.4,751.7,78030200,57738000030
2015-09-24,731.1,737.9,723.3,723.3,69907300,50834650860
2015-09-18,760.2,760.5,741.2,744.0,97162800,72638256760
2015-09-17,770.1,772.1,755.4,768.3,48188600,36881108550
2015-09-16,760.0,768.7,757.1,761.5,55052500,41971906900
2015-09-15,756.0,769.3,747.2,748.0,65087300,49193088960
2015-09-14,770.0,770.0,750.3,753.4,53697800,40728577400
2015-09-11,758.0,777.0,754.8,771.8,87294400,66801140820
2015-09-10,754.0,768.5,750.2,763.1,68908700,52362193020
2015-09-09,757.0,783.0,747.1,782.7,86162800,66046455280
2015-09-08,739.0,742.5,726.0,728.6,46593900,34214736380
2015-09-07,727.2,744.8,721.3,739.6,78851800,57886251130
2015-09-04,761.5,763.6,732.1,738.0,86738700,64591670500
2015-09-03,780.0,781.4,761.3,761.3,54129800,41739304410
2015-09-02,750.0,787.7,748.3,767.1,93995700,72199508340
2015-09-01,797.1,802.8,777.0,777.0,76251200,59995776570
2015-08-31,813.0,813.8,800.1,800.1,78062600,62794963890
2015-08-28,815.0,826.7,810.2,820.1,86805800,71010444560
2015-08-27,788.7,805.7,784.3,786.9,102953900,81752314250
2015-08-26,750.0,771.9,733.0,769.6,121657700,92108301850
2015-08-25,717.0,798.3,716.0,744.3,197354600,149619476250
2015-08-24,779.0,787.0,745.3,746.9,170240800,129727252810
2015-08-21,810.1,823.4,807.2,814.9,116780800,95046824940
2015-08-20,862.0,863.9,849.8,849.8,70685300,60476192410
2015-08-19,871.0,883.1,866.5,868.0,61123800,53411466060
2015-08-18,867.1,877.9,864.3,875.2,45965100,40113292820
2015-08-17,869.1,882.7,861.0,864.3,59232000,51545712560
2015-08-14,865.5,873.7,860.4,864.0,55099700,47729900670
2015-08-13,871.4,880.0,862.0,865.7,82160200,71302013930
2015-08-12,894.1,903.4,871.4,879.5,87348900,77240343210
2015-08-11,899.0,901.9,887.2,891.6,66681100,59741489210
2015-08-10,892.9,893.0,881.5,889.1,50683700,44936222480
