8309-T,東証1部,三住トラスト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,443.0,448.1,438.9,446.5,12218000,5432130600
2015-10-01,436.6,453.7,431.1,447.3,21460000,9567474100
2015-09-30,427.8,441.4,427.1,437.4,26169000,11418658500
2015-09-29,430.0,432.0,417.8,420.3,27972000,11831193300
2015-09-28,442.1,450.2,437.8,442.3,20472000,9059566100
2015-09-25,439.8,456.8,436.2,454.9,39427000,17744445800
2015-09-24,450.7,454.3,431.3,433.2,41190000,18037146300
2015-09-18,469.0,472.4,455.2,458.7,22682000,10432871400
2015-09-17,470.0,475.9,466.3,473.3,14892000,7026684300
2015-09-16,469.9,472.3,466.0,467.8,10761000,5043883100
2015-09-15,477.7,485.3,465.6,465.6,18949000,8941560800
2015-09-14,480.0,481.1,470.4,473.5,12508000,5937466700
2015-09-11,480.4,485.0,473.2,482.6,25853000,12440319000
2015-09-10,467.2,479.0,466.5,476.4,23032000,10918497900
2015-09-09,469.5,481.3,463.2,478.8,25232000,11974793900
2015-09-08,454.1,460.7,449.3,451.8,19491000,8868831500
2015-09-07,454.3,456.4,448.3,453.7,24678000,11169801900
2015-09-04,476.6,477.3,453.8,461.3,25307000,11724227400
2015-09-03,483.6,486.6,472.5,474.0,17911000,8538911600
2015-09-02,475.2,490.2,473.2,479.4,19811000,9515708700
2015-09-01,505.8,506.2,489.8,489.8,22468000,11146112300
2015-08-31,505.0,505.6,497.5,501.2,17724000,8884263200
2015-08-28,511.4,515.6,509.0,512.1,18973000,9724861100
2015-08-27,500.0,504.3,495.5,497.2,22193000,11072616400
2015-08-26,482.2,491.9,470.0,487.6,24873000,11977880800
2015-08-25,479.0,499.9,469.3,476.7,31284000,15184770800
2015-08-24,506.5,510.8,487.9,490.1,36822000,18315396900
2015-08-21,535.0,538.9,525.2,531.1,22433000,11893979400
2015-08-20,557.5,561.5,551.6,551.9,13289000,7369112100
2015-08-19,570.0,574.7,561.4,561.9,16059000,9082452400
2015-08-18,569.3,575.7,567.0,572.5,11147000,6384127500
2015-08-17,575.5,578.1,562.8,567.8,14251000,8094332900
2015-08-14,577.8,580.0,572.2,574.3,11591000,6668155600
2015-08-13,579.1,580.0,567.1,572.7,14431000,8254166100
2015-08-12,584.5,589.0,570.1,579.2,14796000,8538967600
2015-08-11,589.0,593.8,580.3,585.7,13006000,7629092200
2015-08-10,584.6,587.2,574.5,587.2,9125000,5305970000
2015-08-07,575.9,586.3,573.1,585.8,9933000,5776789500
2015-08-06,581.0,588.6,575.2,575.9,14887000,8663928300
2015-08-05,570.0,578.6,567.9,574.5,13856000,7958646500
2015-08-04,569.4,572.8,566.7,569.9,14610000,8326906800
2015-08-03,577.2,577.3,559.6,570.0,19418000,11010923300
2015-07-31,579.9,580.0,570.0,575.8,20599000,11850255000
2015-07-30,563.0,574.4,563.0,569.9,12138000,6931587200
2015-07-29,563.4,566.3,556.6,558.0,16132000,9033446500
2015-07-28,562.0,564.1,550.6,557.6,15655000,8731525400
2015-07-27,565.0,568.9,558.2,567.3,10667000,6017422100
2015-07-24,574.0,574.5,564.0,568.2,12272000,6973036900
2015-07-23,574.0,578.0,570.3,573.0,10031000,5755013400
2015-07-22,578.0,578.0,571.2,571.5,22521000,12909843200
2015-07-21,588.1,589.6,580.8,589.0,16816000,9857421600
2015-07-17,569.5,587.6,569.1,585.0,28345000,16489897500
2015-07-16,568.5,569.0,561.2,568.1,13298000,7512651700
2015-07-15,570.3,570.3,560.2,565.4,12348000,6985438000
2015-07-14,561.4,564.0,558.2,563.0,14915000,8372456200
2015-07-13,547.5,554.6,543.7,552.6,14939000,8230137000
