8333-T,東証1部,常陽銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,624,625,613,619,2254000,1390838000
2015-10-01,631,641,618,634,1448000,916623000
2015-09-30,615,631,615,628,2300000,1440758000
2015-09-29,617,621,598,605,1566000,950031000
2015-09-28,626,636,620,627,1262000,793646000
2015-09-25,610,635,604,628,1931000,1202481000
2015-09-24,609,624,605,605,2189000,1338379000
2015-09-18,631,631,613,614,1872000,1156660000
2015-09-17,646,646,627,634,1886000,1194183000
2015-09-16,645,648,636,642,1586000,1019273000
2015-09-15,648,659,638,639,1729000,1113850000
2015-09-14,645,651,637,641,1335000,857359000
2015-09-11,623,643,623,642,2551000,1609937000
2015-09-10,630,636,621,633,1814000,1143120000
2015-09-09,632,648,628,648,1966000,1256160000
2015-09-08,622,626,610,611,1168000,719417000
2015-09-07,611,626,604,621,1372000,846095000
2015-09-04,630,630,610,618,2164000,1340431000
2015-09-03,630,638,620,621,1378000,865705000
2015-09-02,617,644,615,627,1690000,1064387000
2015-09-01,645,649,634,634,1901000,1217370000
2015-08-31,659,659,642,649,1615000,1050476000
2015-08-28,653,662,645,660,1937000,1272296000
2015-08-27,636,648,631,631,2420000,1546060000
2015-08-26,605,628,603,626,3655000,2250386000
2015-08-25,605,634,599,605,11158000,6920153000
2015-08-24,653,660,632,632,4587000,2963479000
2015-08-21,682,685,671,671,2609000,1764741000
2015-08-20,719,720,701,703,2484000,1763010000
2015-08-19,735,740,728,728,1681000,1229956000
2015-08-18,739,742,732,737,1275000,939644000
2015-08-17,738,748,731,738,1589000,1171320000
2015-08-14,737,740,730,733,1252000,919165000
2015-08-13,742,744,731,737,1792000,1320751000
2015-08-12,745,750,740,747,1381000,1028692000
2015-08-11,757,759,739,748,1654000,1237361000
2015-08-10,745,755,737,755,1452000,1085300000
2015-08-07,740,747,735,745,1703000,1264593000
2015-08-06,749,758,743,744,1592000,1194373000
2015-08-05,732,750,732,740,1569000,1164343000
2015-08-04,731,734,722,733,2001000,1458196000
2015-08-03,736,741,727,739,969000,711651000
2015-07-31,735,737,725,734,2418000,1766742000
2015-07-30,739,744,733,736,1426000,1051232000
2015-07-29,726,734,723,729,1046000,762558000
2015-07-28,727,732,717,726,1500000,1088178000
2015-07-27,735,742,728,733,1380000,1012224000
2015-07-24,756,760,738,743,2079000,1553694000
2015-07-23,745,758,745,756,1393000,1048930000
2015-07-22,751,754,744,744,2136000,1598955000
2015-07-21,746,753,740,751,1981000,1480625000
2015-07-17,739,743,734,742,1901000,1404325000
2015-07-16,730,738,728,738,1915000,1405437000
2015-07-15,714,728,712,726,2695000,1944449000
2015-07-14,705,713,705,712,1979000,1404423000
2015-07-13,691,698,686,695,1817000,1259630000
2015-07-10,673,691,673,683,3571000,2438951000
2015-07-09,670,673,653,663,4037000,2671661000
2015-07-08,702,706,679,679,3751000,2582350000
2015-07-07,707,713,706,709,2354000,1669336000
2015-07-06,692,707,689,698,2309000,1614704000
2015-07-03,697,711,696,706,2920000,2051314000
2015-07-02,694,700,692,697,2290000,1595964000
2015-07-01,689,692,681,687,1360000,934196000
2015-06-30,680,689,674,686,4182000,2856422000
2015-06-29,669,683,668,676,2447000,1658065000
2015-06-26,681,690,671,689,1892000,1293470000
2015-06-25,690,692,686,686,1576000,1084731000
2015-06-24,690,696,688,690,1706000,1179033000
2015-06-23,683,690,681,688,1921000,1317666000
2015-06-22,660,679,660,678,2109000,1414247000
2015-06-19,651,665,650,659,3282000,2160015000
2015-06-18,650,655,641,645,2241000,1450218000
2015-06-17,657,659,648,651,1694000,1104002000
2015-06-16,667,671,653,655,2722000,1796400000
2015-06-15,672,678,671,672,1817000,1224420000
2015-06-12,674,680,672,680,3462000,2340194000
2015-06-11,670,680,670,676,2759000,1863738000
2015-06-10,668,673,662,663,2521000,1682258000
2015-06-09,672,678,665,666,2377000,1595108000
2015-06-08,682,693,676,680,2598000,1777347000
2015-06-05,665,672,663,670,2804000,1875415000
2015-06-04,661,669,658,667,1765000,1173832000
2015-06-03,662,665,658,659,1849000,1220890000
2015-06-02,676,677,665,666,3457000,2311596000
2015-06-01,673,681,671,679,2969000,2007758000
2015-05-29,670,681,670,673,5556000,3751275000
2015-05-28,669,678,667,676,3666000,2463868000
2015-05-27,667,667,658,662,1753000,1160398000
2015-05-26,672,674,668,668,1109000,742724000
2015-05-25,671,679,671,675,1299000,877727000
2015-05-22,669,672,664,669,1517000,1014177000
2015-05-21,666,673,662,670,2841000,1899895000
2015-05-20,670,671,662,664,2373000,1580159000
2015-05-19,655,668,649,666,2799000,1854685000
2015-05-18,648,655,640,653,2787000,1810826000
2015-05-15,647,655,631,646,3813000,2436895000
2015-05-14,647,653,639,642,2525000,1627377000
2015-05-13,663,668,642,652,3212000,2101433000
2015-05-12,670,674,662,670,2466000,1649868000
2015-05-11,676,679,664,669,2895000,1940615000
2015-05-08,655,663,652,662,2384000,1572523000
2015-05-07,650,662,646,650,2552000,1659809000
2015-05-01,656,663,647,656,4472000,2927595000
2015-04-30,678,678,652,656,5810000,3828521000
