8350-T,東証1部,みち銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,210,211,208,210,126000,26428000
2015-10-01,208,210,207,210,101000,21107000
2015-09-30,207,210,207,207,79000,16452000
2015-09-29,207,208,205,206,78000,16096000
2015-09-28,208,210,208,210,108000,22621000
2015-09-25,206,209,206,209,169000,35114000
2015-09-24,208,208,203,203,244000,50200000
2015-09-18,210,210,208,208,133000,27784000
2015-09-17,210,210,209,210,173000,36310000
2015-09-16,208,210,208,210,138000,28928000
2015-09-15,210,211,208,208,159000,33329000
2015-09-14,210,212,210,210,63000,13258000
2015-09-11,205,212,205,211,268000,55313000
2015-09-10,208,210,205,208,102000,21216000
2015-09-09,206,211,206,210,104000,21656000
2015-09-08,206,208,203,203,132000,27109000
2015-09-07,206,208,204,206,115000,23684000
2015-09-04,212,212,207,207,144000,30166000
2015-09-03,211,213,209,209,94000,19791000
2015-09-02,210,213,208,210,153000,32162000
2015-09-01,214,214,210,210,166000,35239000
2015-08-31,213,214,211,214,78000,16599000
2015-08-28,214,216,213,216,144000,30865000
2015-08-27,211,214,209,211,215000,45564000
2015-08-26,203,214,203,213,315000,65820000
2015-08-25,200,211,198,203,430000,87165000
2015-08-24,207,209,201,201,311000,63772000
2015-08-21,211,212,208,208,280000,58715000
2015-08-20,215,216,213,213,92000,19704000
2015-08-19,217,217,215,215,107000,23109000
2015-08-18,217,218,217,217,44000,9567000
2015-08-17,217,218,216,217,109000,23614000
2015-08-14,218,218,216,217,52000,11287000
2015-08-13,216,218,216,218,85000,18433000
2015-08-12,218,218,216,216,89000,19296000
2015-08-11,219,219,217,218,138000,30081000
2015-08-10,218,219,216,219,97000,21151000
2015-08-07,215,218,215,218,77000,16723000
2015-08-06,218,219,215,215,140000,30373000
2015-08-05,217,220,217,218,132000,28810000
2015-08-04,219,219,217,218,171000,37275000
2015-08-03,218,219,216,219,107000,23298000
2015-07-31,217,218,215,218,264000,57382000
2015-07-30,214,216,214,215,98000,21050000
2015-07-29,214,215,213,213,69000,14747000
2015-07-28,213,214,212,213,64000,13626000
2015-07-27,213,214,213,213,109000,23271000
2015-07-24,217,217,214,214,107000,23056000
2015-07-23,217,218,216,218,55000,11943000
2015-07-22,218,218,216,216,111000,24098000
2015-07-21,219,219,217,218,100000,21829000
2015-07-17,218,219,217,219,162000,35274000
2015-07-16,218,218,217,218,145000,31551000
2015-07-15,217,218,217,218,170000,36928000
2015-07-14,215,218,215,217,202000,43758000
2015-07-13,213,214,213,214,67000,14308000
2015-07-10,210,214,209,212,211000,44758000
2015-07-09,210,210,206,209,269000,56082000
2015-07-08,215,215,210,210,182000,38586000
2015-07-07,215,216,214,215,113000,24340000
2015-07-06,213,216,213,213,173000,37024000
2015-07-03,217,217,216,217,146000,31624000
2015-07-02,217,217,216,217,81000,17570000
2015-07-01,213,216,212,216,150000,32249000
2015-06-30,212,214,211,214,206000,43859000
2015-06-29,213,214,212,212,170000,36190000
2015-06-26,217,218,215,217,302000,65398000
2015-06-25,217,217,215,217,199000,43047000
2015-06-24,218,218,216,216,219000,47488000
2015-06-23,216,218,216,217,206000,44744000
2015-06-22,213,217,213,216,311000,66744000
2015-06-19,217,217,211,211,422000,89816000
2015-06-18,217,217,214,215,138000,29720000
2015-06-17,216,217,215,217,253000,54702000
2015-06-16,217,217,214,214,166000,35737000
2015-06-15,218,218,216,217,118000,25661000
2015-06-12,219,219,217,218,501000,109475000
2015-06-11,216,218,215,216,243000,52585000
2015-06-10,217,218,215,216,286000,62049000
2015-06-09,217,218,215,215,224000,48390000
2015-06-08,219,219,217,218,224000,48830000
2015-06-05,217,219,216,217,346000,75177000
2015-06-04,214,218,213,217,371000,80282000
2015-06-03,211,214,211,213,173000,36791000
2015-06-02,215,215,211,211,263000,55893000
2015-06-01,216,216,213,215,166000,35683000
2015-05-29,216,216,215,215,103000,22199000
2015-05-28,215,216,213,214,234000,50235000
2015-05-27,214,215,213,215,120000,25709000
2015-05-26,215,215,213,213,103000,22045000
2015-05-25,217,217,215,215,97000,20932000
2015-05-22,217,217,215,215,114000,24603000
2015-05-21,215,218,215,216,192000,41587000
2015-05-20,215,217,215,216,124000,26760000
2015-05-19,215,217,214,217,244000,52749000
2015-05-18,212,215,211,215,227000,48433000
2015-05-15,211,212,209,212,292000,61582000
2015-05-14,210,210,208,209,291000,60837000
2015-05-13,210,211,209,210,162000,33978000
2015-05-12,212,213,209,210,326000,68572000
2015-05-11,215,215,212,213,127000,27139000
2015-05-08,210,214,209,214,265000,56345000
2015-05-07,211,211,209,210,138000,28991000
2015-05-01,213,213,209,210,161000,33933000
2015-04-30,215,217,213,214,257000,55278000
2015-04-28,214,216,214,216,215000,46238000
2015-04-27,214,215,212,212,97000,20680000
2015-04-24,215,216,214,214,100000,21479000
2015-04-23,215,217,214,216,669000,144520000
2015-04-22,214,215,213,215,319000,68345000
2015-04-21,211,215,211,213,488000,103854000
2015-04-20,209,212,207,211,536000,112504000
2015-04-17,208,212,207,209,627000,131656000
2015-04-16,205,209,204,208,440000,90968000
2015-04-15,206,206,204,204,107000,21922000
2015-04-14,205,206,204,206,128000,26256000
2015-04-13,207,207,205,206,116000,23884000
2015-04-10,206,207,205,205,186000,38273000
2015-04-09,207,208,206,206,142000,29349000
2015-04-08,206,208,205,207,273000,56408000
2015-04-07,204,206,204,206,189000,38742000
2015-04-06,204,205,203,204,88000,17962000
2015-04-03,206,206,203,205,287000,58584000
2015-04-02,204,208,204,207,319000,65842000
2015-04-01,204,205,203,204,345000,70556000
2015-03-31,207,208,204,204,303000,62245000
2015-03-30,207,208,203,206,343000,70608000
2015-03-27,211,213,205,207,1132000,236944000
2015-03-26,215,218,215,217,1394000,300657000
2015-03-25,217,217,215,217,376000,81344000
2015-03-24,216,217,215,216,299000,64572000
2015-03-23,216,217,215,216,369000,79676000
2015-03-20,216,217,216,216,272000,58800000
2015-03-19,215,217,215,216,417000,90013000
2015-03-18,219,219,215,216,414000,89946000
2015-03-17,217,218,216,217,184000,39923000
2015-03-16,215,217,215,217,216000,46704000
2015-03-13,215,216,214,215,294000,63239000
2015-03-12,213,215,213,214,275000,58839000
2015-03-11,211,213,211,213,267000,56645000
2015-03-10,213,213,211,211,176000,37332000
2015-03-09,213,213,210,213,587000,124287000
2015-03-06,214,217,214,214,329000,70792000
2015-03-05,213,215,213,215,281000,60121000
2015-03-04,213,213,212,212,252000,53560000
2015-03-03,215,215,212,213,440000,93892000
2015-03-02,216,216,214,214,197000,42362000
2015-02-27,216,217,214,215,400000,86196000
2015-02-26,215,217,214,217,293000,63195000
2015-02-25,215,216,214,215,237000,50950000
2015-02-24,215,216,214,215,293000,62977000
2015-02-23,217,218,214,215,408000,88175000
2015-02-20,218,218,214,216,555000,119866000
2015-02-19,216,220,215,217,757000,164387000
2015-02-18,214,217,214,216,549000,118409000
2015-02-17,213,215,213,213,538000,115038000
2015-02-16,212,215,212,213,554000,118160000
2015-02-13,211,212,210,212,210000,44373000
2015-02-12,211,212,210,211,301000,63605000
2015-02-10,211,212,209,209,366000,76776000
2015-02-09,211,212,211,212,286000,60414000
2015-02-06,211,212,210,211,940000,198442000
2015-02-05,215,216,211,214,764000,163056000
2015-02-04,217,221,217,218,143000,31280000
2015-02-03,218,219,217,217,169000,36778000
2015-02-02,218,219,218,218,134000,29260000
2015-01-30,222,223,220,221,114000,25237000
2015-01-29,222,222,220,220,87000,19253000
2015-01-28,222,224,222,223,89000,19876000
2015-01-27,220,223,220,222,99000,21922000
2015-01-26,219,221,219,220,114000,25038000
2015-01-23,223,223,221,223,94000,20898000
2015-01-22,220,221,218,221,122000,26809000
2015-01-21,222,224,220,220,145000,32192000
2015-01-20,220,225,219,225,189000,42128000
2015-01-19,219,221,219,220,101000,22206000
2015-01-16,217,219,216,219,139000,30220000
2015-01-15,216,219,216,219,114000,24817000
2015-01-14,216,217,215,216,80000,17303000
2015-01-13,217,217,215,217,142000,30679000
2015-01-09,218,219,217,219,141000,30772000
2015-01-08,218,220,218,218,152000,33278000
2015-01-07,217,219,217,217,133000,28965000
2015-01-06,220,221,218,218,167000,36586000
2015-01-05,224,224,221,222,132000,29426000
2014-12-30,226,226,224,224,72000,16148000
2014-12-29,226,226,223,226,119000,26746000
2014-12-26,225,227,225,225,109000,24603000
2014-12-25,224,224,222,223,338000,75326000
2014-12-24,221,223,221,223,119000,26382000
2014-12-22,222,222,219,221,107000,23570000
2014-12-19,218,224,217,223,197000,43446000
2014-12-18,220,222,215,215,370000,80544000
2014-12-17,219,222,219,220,133000,29323000
2014-12-16,216,221,216,219,199000,43425000
2014-12-15,220,220,216,216,160000,34863000
2014-12-12,222,225,220,220,466000,103458000
2014-12-11,220,222,219,220,120000,26469000
2014-12-10,225,225,221,222,179000,40003000
2014-12-09,229,229,226,226,145000,32981000
2014-12-08,232,233,228,229,237000,54696000
2014-12-05,232,234,230,234,212000,49305000
2014-12-04,230,233,230,232,112000,25992000
2014-12-03,228,231,228,229,146000,33431000
2014-12-02,231,231,227,229,159000,36436000
2014-12-01,229,231,229,231,94000,21620000
2014-11-28,223,229,223,229,179000,40657000
2014-11-27,226,226,222,222,183000,40881000
2014-11-26,228,228,225,226,124000,28089000
2014-11-25,230,231,228,228,130000,29806000
2014-11-21,230,233,227,230,237000,54415000
2014-11-20,228,231,227,229,279000,64057000
2014-11-19,228,231,227,228,130000,29789000
2014-11-18,224,228,223,228,214000,48303000
2014-11-17,224,224,222,223,156000,34811000
2014-11-14,224,225,220,225,270000,60243000
2014-11-13,220,223,219,222,290000,64091000
2014-11-12,222,224,222,223,236000,52653000
2014-11-11,220,224,220,222,667000,148441000
2014-11-10,216,219,215,217,205000,44484000
2014-11-07,213,218,212,216,334000,72010000
2014-11-06,216,218,213,213,193000,41615000
2014-11-05,216,217,214,215,336000,72452000
2014-11-04,215,217,213,214,325000,69891000
2014-10-31,206,214,205,213,491000,102884000
2014-10-30,209,209,206,207,449000,93173000
2014-10-29,202,206,202,206,211000,43240000
2014-10-28,201,203,201,202,76000,15312000
2014-10-27,200,203,200,203,106000,21357000
2014-10-24,199,201,199,200,81000,16193000
2014-10-23,200,200,198,199,77000,15342000
2014-10-22,197,201,197,201,148000,29464000
2014-10-21,200,200,195,196,145000,28632000
2014-10-20,196,200,196,200,194000,38381000
2014-10-17,197,197,194,194,289000,56396000
2014-10-16,200,200,197,197,287000,57058000
2014-10-15,201,203,200,203,245000,49377000
2014-10-14,202,204,202,202,103000,20860000
2014-10-10,205,206,203,204,221000,45161000
2014-10-09,208,209,206,206,246000,51011000
2014-10-08,208,209,208,208,160000,33332000
2014-10-07,209,210,208,208,159000,33201000
2014-10-06,209,210,209,209,59000,12350000
2014-10-03,208,210,208,209,86000,17936000
2014-10-02,212,212,209,210,246000,51779000
2014-10-01,213,215,211,212,187000,39827000
2014-09-30,213,213,211,213,97000,20612000
2014-09-29,212,212,211,212,83000,17567000
2014-09-26,211,213,211,212,55000,11663000
2014-09-25,212,213,211,213,246000,52205000
