8358-T,東証1部,スルガ銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2229,2239,2196,2236,480400,1066808500
2015-10-01,2223,2267,2186,2250,695900,1559446800
2015-09-30,2178,2230,2168,2216,1177900,2603306100
2015-09-29,2161,2176,2111,2130,869600,1865998400
2015-09-28,2182,2213,2163,2194,683500,1498508700
2015-09-25,2106,2207,2097,2164,877300,1886319800
2015-09-24,2142,2161,2071,2096,1131600,2398910800
2015-09-18,2221,2237,2167,2179,1770200,3883234300
2015-09-17,2283,2287,2236,2259,523900,1182442000
2015-09-16,2306,2308,2250,2275,654200,1487784200
2015-09-15,2336,2357,2280,2280,529800,1221833900
2015-09-14,2323,2341,2300,2322,485700,1129444400
2015-09-11,2255,2315,2255,2308,1058800,2413372500
2015-09-10,2291,2300,2243,2291,767900,1747748000
2015-09-09,2285,2360,2281,2360,993100,2310310100
2015-09-08,2261,2261,2201,2209,521600,1161567100
2015-09-07,2172,2276,2150,2251,1242600,2769036100
2015-09-04,2243,2262,2170,2191,1204700,2665316500
2015-09-03,2251,2287,2206,2211,818100,1830137700
2015-09-02,2242,2307,2185,2239,1425000,3207488200
2015-09-01,2325,2330,2290,2290,2269700,5226944800
2015-08-31,2347,2349,2294,2326,1076700,2503313100
2015-08-28,2380,2390,2343,2376,771700,1829488600
2015-08-27,2285,2347,2280,2310,886600,2057801600
2015-08-26,2204,2248,2189,2237,1110000,2458981600
2015-08-25,2176,2296,2145,2195,1408500,3138129400
2015-08-24,2350,2376,2214,2226,1595900,3636668700
2015-08-21,2456,2470,2417,2427,945800,2303265700
2015-08-20,2595,2627,2539,2542,860300,2215621000
2015-08-19,2662,2671,2615,2615,412300,1085152200
2015-08-18,2662,2678,2649,2654,292900,779535000
2015-08-17,2653,2687,2620,2653,709200,1882909000
2015-08-14,2630,2647,2610,2634,353900,931097500
2015-08-13,2665,2665,2605,2640,710900,1873051000
2015-08-12,2653,2684,2638,2665,443200,1178211100
2015-08-11,2695,2708,2650,2684,745800,2000338400
2015-08-10,2649,2690,2620,2690,581300,1548524000
2015-08-07,2562,2650,2561,2648,1160200,3040804500
2015-08-06,2670,2674,2550,2561,1363200,3554484400
2015-08-05,2667,2734,2663,2706,467400,1266687600
2015-08-04,2684,2704,2651,2696,601500,1613597400
2015-08-03,2670,2670,2623,2669,303000,803357500
2015-07-31,2684,2684,2651,2663,370000,986222200
2015-07-30,2664,2679,2649,2669,428100,1140649700
2015-07-29,2630,2656,2622,2646,263400,696619400
2015-07-28,2626,2654,2591,2624,446600,1168866200
2015-07-27,2630,2668,2626,2646,330300,873966500
2015-07-24,2700,2732,2641,2659,480800,1284184100
2015-07-23,2712,2723,2697,2707,350600,949891900
2015-07-22,2716,2730,2702,2706,389300,1056165100
2015-07-21,2733,2745,2714,2742,350400,957130500
2015-07-17,2715,2732,2687,2722,338700,919534900
2015-07-16,2692,2728,2673,2728,723500,1962934800
2015-07-15,2650,2680,2630,2680,638300,1698349200
2015-07-14,2629,2644,2598,2631,558400,1468524300
2015-07-13,2566,2599,2545,2593,502300,1297334000
2015-07-10,2518,2586,2517,2528,1233600,3141027600
2015-07-09,2492,2507,2430,2486,1106800,2730188500
2015-07-08,2611,2637,2535,2535,1120200,2876452400
2015-07-07,2635,2658,2620,2639,732500,1932181400
2015-07-06,2589,2632,2578,2596,729600,1897907500
2015-07-03,2646,2668,2615,2619,713800,1879244500
2015-07-02,2641,2655,2620,2638,537600,1417572400
2015-07-01,2643,2643,2595,2612,915600,2392329200
2015-06-30,2640,2646,2591,2627,563400,1475497200
2015-06-29,2627,2654,2604,2626,624400,1640462600
2015-06-26,2645,2693,2611,2688,917000,2439709600
2015-06-25,2673,2680,2618,2643,922900,2441849000
2015-06-24,2740,2760,2687,2692,1282400,3471651800
2015-06-23,2748,2750,2715,2740,725500,1983070800
2015-06-22,2671,2723,2658,2721,886200,2389114000
2015-06-19,2651,2681,2631,2657,545500,1448104100
2015-06-18,2643,2657,2601,2621,546200,1433413700
2015-06-17,2698,2713,2637,2656,649800,1732312700
2015-06-16,2750,2753,2686,2690,840200,2278266400
2015-06-15,2710,2745,2710,2744,524000,1432125700
2015-06-12,2725,2743,2695,2730,1253200,3408659600
2015-06-11,2655,2705,2631,2689,1012900,2715900200
2015-06-10,2647,2686,2615,2644,868200,2303634800
2015-06-09,2638,2674,2624,2638,685200,1813244000
2015-06-08,2697,2737,2654,2673,810000,2183736300
2015-06-05,2611,2659,2611,2647,723800,1912159700
2015-06-04,2640,2668,2615,2647,785500,2074013300
2015-06-03,2621,2650,2608,2624,681500,1787870700
2015-06-02,2684,2691,2634,2642,1142000,3031966500
2015-06-01,2619,2689,2602,2684,713200,1894068500
2015-05-29,2651,2674,2637,2649,749400,1987301200
2015-05-28,2635,2675,2600,2656,1089800,2873241900
2015-05-27,2608,2652,2608,2633,947000,2492055500
2015-05-26,2699,2699,2671,2686,392700,1054640300
2015-05-25,2705,2739,2700,2705,460600,1247884300
2015-05-22,2700,2700,2669,2684,426300,1142514400
2015-05-21,2706,2717,2658,2678,770600,2068074000
2015-05-20,2749,2750,2670,2696,679000,1835143200
2015-05-19,2677,2745,2652,2737,1084200,2942585100
2015-05-18,2630,2695,2600,2691,699900,1863300300
2015-05-15,2580,2621,2533,2619,1318700,3388360300
2015-05-14,2681,2690,2599,2599,975600,2564532400
2015-05-13,2774,2824,2696,2717,1087100,2995368400
2015-05-12,2682,2719,2662,2716,384000,1035231400
2015-05-11,2742,2760,2669,2686,500800,1356718500
2015-05-08,2645,2686,2626,2684,584600,1559604600
2015-05-07,2608,2688,2608,2645,796000,2106419000
2015-05-01,2652,2692,2613,2658,722700,1913329000
2015-04-30,2719,2734,2631,2654,1043700,2786609400
2015-04-28,2738,2771,2722,2763,464200,1279320200
2015-04-27,2731,2759,2704,2724,627200,1708242500
2015-04-24,2792,2793,2733,2738,661000,1819828400
2015-04-23,2836,2854,2764,2793,821500,2305064700
2015-04-22,2765,2833,2758,2816,725700,2036454800
2015-04-21,2705,2765,2689,2739,946800,2587442300
2015-04-20,2696,2717,2676,2694,1452300,3918540200
2015-04-17,2782,2797,2714,2742,1314100,3601148700
2015-04-16,2702,2810,2691,2809,986500,2711773900
2015-04-15,2698,2730,2694,2701,1090100,2948418300
2015-04-14,2698,2728,2692,2719,514100,1392189100
2015-04-13,2716,2728,2683,2697,943100,2545752800
2015-04-10,2710,2734,2691,2697,1028000,2783099500
2015-04-09,2690,2746,2681,2701,900800,2440470200
2015-04-08,2637,2677,2609,2677,833100,2215128700
2015-04-07,2600,2638,2600,2619,889900,2333692700
2015-04-06,2548,2583,2532,2576,500600,1283233100
2015-04-03,2573,2587,2533,2562,813400,2079386500
2015-04-02,2543,2627,2532,2598,1022400,2645744600
2015-04-01,2472,2569,2446,2534,1452400,3634268900
2015-03-31,2573,2589,2492,2495,932300,2368478800
2015-03-30,2512,2549,2501,2543,549000,1390118900
2015-03-27,2513,2559,2484,2504,553500,1394993600
2015-03-26,2585,2585,2502,2511,697000,1760234800
2015-03-25,2539,2588,2539,2587,650000,1668798300
2015-03-24,2563,2567,2517,2543,890700,2265028800
2015-03-23,2594,2596,2536,2579,805700,2072775900
2015-03-20,2567,2585,2535,2574,808400,2068805900
2015-03-19,2612,2633,2551,2579,842800,2175819000
2015-03-18,2565,2646,2541,2642,942700,2448887100
2015-03-17,2575,2585,2525,2557,830800,2116654900
2015-03-16,2563,2620,2543,2561,800400,2059038400
2015-03-13,2553,2601,2531,2563,1436400,3680035500
2015-03-12,2540,2568,2518,2540,900500,2293411900
2015-03-11,2475,2531,2466,2527,622400,1564173400
2015-03-10,2516,2530,2470,2482,628800,1567286700
2015-03-09,2518,2533,2478,2487,545900,1361029000
2015-03-06,2478,2526,2460,2509,761700,1906159300
2015-03-05,2408,2461,2408,2458,791600,1931634100
2015-03-04,2446,2449,2400,2428,993500,2404818300
2015-03-03,2464,2475,2440,2460,799700,1968332000
2015-03-02,2498,2504,2451,2458,642500,1585033100
2015-02-27,2517,2571,2495,2514,1210000,3059114100
2015-02-26,2506,2515,2460,2485,589800,1463630200
2015-02-25,2499,2528,2490,2507,605500,1518356000
2015-02-24,2493,2531,2476,2484,619800,1545737400
2015-02-23,2522,2536,2444,2477,931400,2327089800
2015-02-20,2524,2527,2464,2484,837400,2083469200
2015-02-19,2463,2520,2446,2500,745800,1857996500
2015-02-18,2422,2473,2398,2451,793500,1947501300
2015-02-17,2396,2414,2369,2390,941000,2251875300
2015-02-16,2324,2411,2324,2404,789300,1884482200
2015-02-13,2332,2357,2305,2323,641700,1494239600
2015-02-12,2321,2359,2284,2341,1052100,2454393700
2015-02-10,2307,2327,2287,2298,664800,1531260500
2015-02-09,2317,2329,2295,2310,729600,1683040300
2015-02-06,2331,2331,2300,2317,556800,1289142400
2015-02-05,2293,2316,2246,2287,581800,1331190500
2015-02-04,2273,2342,2270,2301,974300,2250679300
2015-02-03,2237,2242,2202,2213,609700,1353151700
2015-02-02,2189,2225,2182,2218,402400,888501300
2015-01-30,2250,2282,2227,2227,448200,1006844100
2015-01-29,2198,2258,2196,2232,649900,1456156100
2015-01-28,2188,2237,2185,2216,733000,1626039100
2015-01-27,2165,2210,2163,2209,669800,1470727900
2015-01-26,2129,2158,2109,2140,471800,1004677600
2015-01-23,2152,2159,2123,2146,537200,1150098800
2015-01-22,2142,2146,2098,2122,453700,960557900
2015-01-21,2151,2160,2121,2135,492000,1051238500
2015-01-20,2129,2170,2116,2169,466600,1006981500
2015-01-19,2142,2163,2103,2128,734000,1564630300
2015-01-16,2086,2110,2068,2110,805900,1683440500
2015-01-15,2109,2135,2106,2126,488400,1035147400
2015-01-14,2136,2158,2112,2122,346600,738507400
2015-01-13,2140,2151,2114,2149,553100,1178959000
2015-01-09,2180,2190,2155,2170,416600,902325400
2015-01-08,2149,2184,2137,2174,564800,1224261900
2015-01-07,2130,2170,2125,2140,443500,951336500
2015-01-06,2172,2196,2145,2153,664600,1436267200
2015-01-05,2212,2234,2168,2216,421500,930807700
2014-12-30,2265,2268,2222,2223,322900,722015700
2014-12-29,2269,2277,2225,2250,275000,619166800
2014-12-26,2265,2286,2240,2245,245900,554145000
2014-12-25,2268,2295,2263,2269,481700,1097035300
2014-12-24,2243,2265,2219,2255,494000,1111912700
2014-12-22,2278,2287,2183,2198,677200,1499019400
2014-12-19,2193,2264,2172,2259,1106000,2466129200
2014-12-18,2149,2193,2125,2133,960000,2066258000
2014-12-17,2081,2101,2058,2070,1075200,2236794300
2014-12-16,2096,2116,2078,2096,778300,1630629000
2014-12-15,2112,2170,2112,2146,761500,1636631700
2014-12-12,2124,2178,2120,2140,1496000,3205187100
2014-12-11,2145,2181,2139,2150,1918700,4135220600
2014-12-10,2227,2245,2172,2180,798400,1752570400
2014-12-09,2250,2255,2227,2243,804800,1803061600
2014-12-08,2281,2285,2242,2266,359000,812162200
2014-12-05,2242,2259,2227,2252,609300,1366827900
2014-12-04,2261,2287,2254,2264,758500,1720917400
2014-12-03,2254,2272,2234,2250,737700,1660641500
2014-12-02,2242,2264,2226,2255,645700,1454370200
2014-12-01,2258,2303,2258,2270,824500,1876873900
2014-11-28,2186,2260,2174,2255,1162500,2601774300
2014-11-27,2184,2211,2163,2165,462000,1006936100
2014-11-26,2210,2212,2185,2197,1062300,2334870500
2014-11-25,2252,2273,2192,2196,1797400,3984858900
2014-11-21,2280,2292,2246,2259,848900,1919861400
2014-11-20,2313,2322,2270,2271,1008300,2309602300
2014-11-19,2320,2348,2283,2286,745000,1715487500
2014-11-18,2308,2328,2281,2324,700800,1616965500
2014-11-17,2332,2340,2277,2283,801700,1843891800
2014-11-14,2384,2387,2325,2345,931000,2188855200
2014-11-13,2314,2354,2303,2343,543100,1269135300
2014-11-12,2348,2367,2317,2330,813500,1907254900
2014-11-11,2320,2324,2265,2312,974800,2241690200
2014-11-10,2284,2331,2271,2320,644100,1486901000
2014-11-07,2286,2312,2275,2301,667700,1530581400
2014-11-06,2346,2365,2281,2285,715200,1660103900
2014-11-05,2344,2356,2304,2351,1062900,2478604000
2014-11-04,2491,2491,2375,2379,1591600,3844785900
2014-10-31,2166,2296,2157,2291,1402300,3127495500
2014-10-30,2093,2179,2086,2145,1560100,3345162100
2014-10-29,2050,2088,2039,2072,555000,1149693700
2014-10-28,1994,2039,1991,2029,771100,1558204900
2014-10-27,1982,2012,1962,2005,768400,1531451200
2014-10-24,2007,2016,1975,1984,557600,1109158300
2014-10-23,1970,2005,1949,1990,577000,1145797000
2014-10-22,1977,2002,1965,1988,541700,1074239300
2014-10-21,1991,1998,1936,1939,548800,1073184500
2014-10-20,1998,2002,1973,1980,781000,1550233400
2014-10-17,1970,1994,1920,1933,1356400,2643388500
2014-10-16,1946,1981,1941,1961,856400,1681379900
2014-10-15,1979,2005,1970,1981,677600,1344888900
2014-10-14,1996,2021,1977,1981,868200,1732028700
2014-10-10,2023,2054,2023,2045,535200,1091244800
2014-10-09,2083,2105,2068,2072,576900,1199651100
2014-10-08,2063,2089,2029,2074,1058400,2180811500
2014-10-07,2127,2145,2094,2097,534600,1132981200
2014-10-06,2132,2145,2103,2119,536800,1139951700
2014-10-03,2067,2093,2065,2091,616000,1281463200
2014-10-02,2114,2123,2072,2078,1076900,2252954300
2014-10-01,2193,2200,2161,2164,754900,1643240800
2014-09-30,2193,2194,2148,2186,750900,1632880200
2014-09-29,2181,2194,2163,2191,376300,821929300
2014-09-26,2148,2168,2127,2165,591000,1274103800
2014-09-25,2139,2185,2125,2185,669100,1452627700
