8374-T,東証1部,三重銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,264,264,256,259,186000,48221000
2015-10-01,267,267,260,263,227000,59587000
2015-09-30,257,266,257,265,183000,48083000
2015-09-29,259,259,255,257,135000,34648000
2015-09-28,261,265,259,261,92000,24092000
2015-09-25,261,265,260,264,116000,30523000
2015-09-24,261,263,258,258,166000,43211000
2015-09-18,268,268,263,264,134000,35556000
2015-09-17,266,268,265,268,137000,36515000
2015-09-16,265,266,264,266,58000,15356000
2015-09-15,264,266,263,264,130000,34376000
2015-09-14,265,266,261,263,173000,45406000
2015-09-11,262,266,261,265,219000,57601000
2015-09-10,262,263,258,262,185000,48212000
2015-09-09,260,266,260,266,150000,39454000
2015-09-08,257,260,254,254,74000,18957000
2015-09-07,256,260,253,260,92000,23618000
2015-09-04,261,262,256,257,172000,44536000
2015-09-03,265,268,261,262,86000,22743000
2015-09-02,264,270,261,265,162000,42941000
2015-09-01,272,274,266,267,214000,57791000
2015-08-31,268,273,264,273,177000,47653000
2015-08-28,265,269,264,268,129000,34481000
2015-08-27,259,264,258,260,241000,62900000
2015-08-26,253,257,251,256,219000,55741000
2015-08-25,261,265,250,250,359000,92029000
2015-08-24,271,283,264,265,485000,130854000
2015-08-21,281,283,278,280,275000,77047000
2015-08-20,286,287,284,285,234000,66731000
2015-08-19,289,289,286,286,106000,30446000
2015-08-18,285,291,284,291,678000,195795000
2015-08-17,280,284,278,283,358000,100563000
2015-08-14,280,281,278,279,183000,51168000
2015-08-13,277,279,276,279,109000,30250000
2015-08-12,279,280,276,277,280000,77883000
2015-08-11,283,285,279,282,151000,42595000
2015-08-10,279,283,277,283,278000,77874000
2015-08-07,279,280,277,279,132000,36831000
2015-08-06,278,283,277,279,231000,64601000
2015-08-05,275,280,274,277,316000,87694000
2015-08-04,276,277,274,276,130000,35823000
2015-08-03,275,277,272,275,231000,63331000
2015-07-31,278,278,274,274,182000,50066000
2015-07-30,275,276,274,274,154000,42353000
2015-07-29,284,284,272,273,419000,115677000
2015-07-28,283,286,279,281,139000,39136000
2015-07-27,284,286,282,283,136000,38576000
2015-07-24,289,289,285,286,113000,32367000
2015-07-23,289,291,288,290,96000,27770000
2015-07-22,292,292,290,290,69000,20068000
2015-07-21,295,295,290,292,98000,28711000
2015-07-17,293,294,290,294,131000,38347000
2015-07-16,293,293,290,293,215000,62677000
2015-07-15,289,293,287,292,219000,63505000
2015-07-14,287,289,286,287,176000,50568000
2015-07-13,282,284,280,284,171000,48327000
2015-07-10,277,282,275,277,317000,88278000
2015-07-09,273,274,266,273,241000,65248000
2015-07-08,288,288,276,278,286000,80218000
2015-07-07,285,291,284,288,256000,73614000
2015-07-06,287,288,283,283,190000,54147000
2015-07-03,291,294,290,292,247000,72065000
2015-07-02,293,295,287,291,220000,64040000
2015-07-01,288,295,287,292,208000,60673000
2015-06-30,287,292,283,289,213000,61100000
2015-06-29,286,290,285,287,208000,59816000
2015-06-26,292,295,290,293,369000,107848000
2015-06-25,294,294,290,291,247000,72069000
2015-06-24,291,294,290,293,326000,95327000
2015-06-23,288,292,284,290,289000,83366000
2015-06-22,280,288,280,288,321000,91242000
2015-06-19,281,282,280,280,268000,75239000
2015-06-18,281,282,279,281,241000,67738000
2015-06-17,281,282,280,282,110000,30915000
2015-06-16,283,283,279,281,177000,49753000
2015-06-15,288,288,282,283,337000,95798000
2015-06-12,286,290,281,288,563000,161202000
2015-06-11,289,290,284,286,334000,95959000
2015-06-10,290,292,286,288,387000,111694000
2015-06-09,293,293,288,288,648000,188619000
2015-06-08,298,298,286,288,1085000,315826000
2015-06-05,276,278,274,277,282000,77922000
2015-06-04,276,279,276,277,216000,59991000
2015-06-03,275,276,273,275,167000,45878000
2015-06-02,278,278,275,275,224000,61973000
2015-06-01,275,278,275,278,140000,38739000
2015-05-29,273,276,273,275,217000,59519000
2015-05-28,271,272,270,272,164000,44479000
2015-05-27,272,272,270,271,100000,27095000
2015-05-26,272,273,271,272,178000,48376000
2015-05-25,272,272,270,271,147000,39844000
2015-05-22,271,271,269,270,132000,35683000
2015-05-21,269,272,268,270,309000,83303000
2015-05-20,271,273,269,271,343000,92809000
2015-05-19,270,271,268,271,174000,46972000
2015-05-18,265,270,264,270,317000,85067000
2015-05-15,268,269,261,267,380000,100676000
2015-05-14,268,269,264,265,623000,165592000
2015-05-13,270,271,268,269,290000,77947000
2015-05-12,268,272,267,270,342000,92136000
2015-05-11,272,274,269,270,239000,64851000
2015-05-08,270,273,270,272,161000,43693000
2015-05-07,273,275,269,269,166000,44969000
2015-05-01,274,277,270,273,196000,53435000
2015-04-30,277,277,275,277,174000,48050000
2015-04-28,280,282,279,279,111000,31100000
2015-04-27,283,283,277,279,131000,36618000
2015-04-24,286,286,282,282,76000,21557000
2015-04-23,286,288,280,283,242000,68851000
2015-04-22,282,286,281,285,202000,57179000
2015-04-21,283,289,278,279,267000,75411000
2015-04-20,281,284,279,283,116000,32733000
2015-04-17,282,287,278,281,178000,50294000
2015-04-16,270,285,270,283,159000,44083000
2015-04-15,272,273,269,269,69000,18699000
2015-04-14,269,272,268,272,67000,18158000
2015-04-13,270,270,265,269,162000,43373000
2015-04-10,268,272,266,268,119000,31949000
2015-04-09,273,274,266,268,98000,26459000
2015-04-08,274,276,272,272,114000,31249000
2015-04-07,273,277,272,273,82000,22460000
2015-04-06,276,276,272,273,57000,15588000
2015-04-03,280,280,274,276,110000,30415000
2015-04-02,276,284,276,282,122000,34252000
2015-04-01,275,276,273,276,109000,29963000
2015-03-31,281,281,274,275,67000,18585000
2015-03-30,280,280,273,278,125000,34653000
2015-03-27,280,283,273,273,202000,56096000
2015-03-26,289,289,285,285,160000,45799000
2015-03-25,290,291,286,288,124000,35743000
2015-03-24,290,290,286,290,75000,21598000
2015-03-23,293,293,287,289,154000,44641000
2015-03-20,289,293,287,293,157000,45540000
2015-03-19,294,294,288,289,191000,55433000
2015-03-18,294,294,291,294,114000,33335000
2015-03-17,296,297,292,292,191000,56048000
2015-03-16,294,298,291,293,138000,40605000
2015-03-13,298,299,291,294,319000,94409000
2015-03-12,289,292,287,290,149000,43168000
2015-03-11,286,293,285,288,112000,32305000
2015-03-10,290,291,286,287,127000,36573000
2015-03-09,291,292,288,290,78000,22631000
2015-03-06,291,295,291,292,84000,24569000
2015-03-05,291,295,289,293,102000,29718000
2015-03-04,294,295,289,289,122000,35507000
2015-03-03,296,298,294,294,66000,19473000
2015-03-02,299,301,296,296,138000,41253000
2015-02-27,300,303,299,300,167000,50287000
2015-02-26,300,303,297,301,150000,44975000
2015-02-25,297,300,297,299,107000,31943000
2015-02-24,300,300,296,296,101000,30080000
2015-02-23,299,300,295,298,170000,50723000
2015-02-20,301,303,298,299,238000,71496000
2015-02-19,294,300,294,300,237000,70632000
2015-02-18,286,298,286,292,246000,72221000
2015-02-17,282,287,282,285,104000,29638000
2015-02-16,272,287,272,284,183000,51665000
2015-02-13,277,277,272,275,79000,21783000
2015-02-12,270,274,266,274,125000,33939000
2015-02-10,266,267,265,266,52000,13847000
2015-02-09,269,269,265,267,40000,10694000
2015-02-06,264,265,262,263,70000,18443000
2015-02-05,259,263,258,261,58000,15104000
2015-02-04,259,263,259,260,115000,29964000
2015-02-03,263,265,257,258,83000,21506000
2015-02-02,260,261,259,260,43000,11170000
2015-01-30,260,262,260,262,95000,24818000
2015-01-29,261,261,257,259,69000,17898000
2015-01-28,255,261,255,261,69000,17863000
2015-01-27,257,258,253,258,68000,17407000
2015-01-26,249,256,249,255,50000,12616000
2015-01-23,252,254,252,253,69000,17416000
2015-01-22,256,256,249,252,134000,33694000
2015-01-21,259,259,256,256,64000,16449000
2015-01-20,256,259,255,259,111000,28607000
2015-01-19,256,259,256,256,61000,15667000
2015-01-16,259,259,255,256,75000,19261000
2015-01-15,261,262,258,262,112000,29106000
2015-01-14,261,266,258,258,98000,25561000
2015-01-13,263,263,260,263,87000,22799000
2015-01-09,266,267,264,266,93000,24699000
2015-01-08,265,269,265,267,56000,14935000
2015-01-07,264,268,263,264,94000,24876000
2015-01-06,271,271,266,266,122000,32681000
2015-01-05,272,274,269,273,44000,11988000
2014-12-30,277,277,274,274,59000,16219000
2014-12-29,278,278,273,275,61000,16804000
2014-12-26,272,277,272,276,79000,21754000
2014-12-25,274,276,268,275,104000,28325000
2014-12-24,273,275,272,275,101000,27643000
2014-12-22,273,273,267,272,98000,26487000
2014-12-19,268,272,267,272,234000,63215000
2014-12-18,265,266,259,264,246000,64893000
2014-12-17,262,264,260,260,208000,54486000
2014-12-16,260,261,256,259,196000,50716000
2014-12-15,264,264,262,262,145000,38152000
2014-12-12,272,272,266,266,399000,107660000
2014-12-11,268,274,268,269,115000,31115000
2014-12-10,274,280,270,272,219000,59871000
2014-12-09,279,279,275,277,145000,40248000
2014-12-08,286,286,278,279,156000,43896000
2014-12-05,284,285,281,283,165000,46587000
2014-12-04,283,286,282,284,196000,55635000
2014-12-03,279,282,279,281,181000,50804000
2014-12-02,276,278,270,278,241000,66299000
2014-12-01,276,276,273,274,125000,34270000
2014-11-28,268,275,268,274,242000,65765000
2014-11-27,274,274,269,269,122000,33050000
2014-11-26,274,274,272,272,104000,28381000
2014-11-25,272,277,272,275,219000,60248000
2014-11-21,273,273,269,271,135000,36573000
2014-11-20,276,277,273,273,145000,39850000
2014-11-19,278,279,273,276,244000,67436000
2014-11-18,268,278,268,278,144000,39323000
2014-11-17,276,277,266,266,164000,44374000
2014-11-14,278,278,272,276,216000,59531000
2014-11-13,267,275,266,275,187000,50483000
2014-11-12,267,270,265,265,170000,45463000
2014-11-11,265,267,261,266,187000,49402000
2014-11-10,262,268,262,265,99000,26270000
2014-11-07,260,266,259,266,156000,41165000
2014-11-06,262,267,256,257,191000,50224000
2014-11-05,264,266,259,264,213000,56038000
2014-11-04,265,266,259,262,267000,70290000
2014-10-31,248,259,245,258,343000,86711000
2014-10-30,244,249,243,244,280000,68561000
2014-10-29,240,242,238,241,174000,41819000
2014-10-28,236,239,235,236,67000,15843000
2014-10-27,236,239,234,238,84000,19891000
2014-10-24,237,237,234,234,58000,13656000
