8377-T,東証1部,ほくほく,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,271,271,263,267,3898000,1038995000
2015-10-01,274,274,267,272,4373000,1187317000
2015-09-30,264,275,264,273,6154000,1666867000
2015-09-29,264,265,256,260,5078000,1323022000
2015-09-28,266,272,264,268,4245000,1141227000
2015-09-25,257,268,255,267,5149000,1360427000
2015-09-24,260,265,257,257,5166000,1345022000
2015-09-18,272,272,261,262,6838000,1807416000
2015-09-17,274,275,267,271,4128000,1117137000
2015-09-16,274,275,270,273,4201000,1145678000
2015-09-15,273,278,270,272,4241000,1159853000
2015-09-14,273,274,270,271,4556000,1238524000
2015-09-11,263,273,263,271,7434000,1992812000
2015-09-10,266,270,263,266,5446000,1452501000
2015-09-09,269,275,268,273,7820000,2130285000
2015-09-08,265,267,259,260,4182000,1095797000
2015-09-07,261,267,257,265,4158000,1091111000
2015-09-04,267,272,262,263,7228000,1926035000
2015-09-03,265,268,261,263,4644000,1225576000
2015-09-02,261,271,259,263,7304000,1936216000
2015-09-01,273,274,266,266,4079000,1101557000
2015-08-31,274,279,271,274,4993000,1373633000
2015-08-28,274,277,269,274,3858000,1058360000
2015-08-27,264,271,263,263,5234000,1393194000
2015-08-26,253,261,253,260,7082000,1819320000
2015-08-25,251,264,249,252,9475000,2435783000
2015-08-24,275,279,264,264,8628000,2343109000
2015-08-21,289,290,282,284,5474000,1563208000
2015-08-20,305,306,296,297,3716000,1114265000
2015-08-19,310,312,307,308,2682000,829221000
2015-08-18,311,314,310,311,2012000,627476000
2015-08-17,309,315,307,310,3904000,1211516000
2015-08-14,309,310,306,308,3208000,988409000
2015-08-13,305,311,301,308,5210000,1599487000
2015-08-12,305,308,304,308,4604000,1408952000
2015-08-11,310,310,304,307,4248000,1305520000
2015-08-10,304,310,301,310,2647000,812738000
2015-08-07,301,305,300,304,4220000,1279289000
2015-08-06,305,310,304,304,4980000,1527747000
2015-08-05,297,308,295,304,6437000,1946576000
2015-08-04,297,299,294,299,3693000,1096148000
2015-08-03,295,296,291,296,2471000,726125000
2015-07-31,293,294,290,293,3483000,1016766000
2015-07-30,290,294,289,292,3482000,1016433000
